symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"FSL"," EQ"," 25-Mar-2022"," 133.50"," 135.50"," 135.90"," 131.40"," 131.50"," 132.00"," 133.24"," 7137731"," 9510.34"," 40229"," 2171631"," 30.42",177,146,29.48,03/25/2022,T
"FSL"," EQ"," 24-Mar-2022"," 125.80"," 125.60"," 134.85"," 125.00"," 133.80"," 133.50"," 131.63"," 10004021"," 13168.62"," 56573"," 2852482"," 28.51",177,146,29.22,03/24/2022,F
"FSL"," EQ"," 23-Mar-2022"," 125.60"," 126.95"," 128.10"," 125.05"," 125.70"," 125.80"," 126.34"," 2295769"," 2900.51"," 16684"," 672395"," 29.29",138,146,29.01,03/23/2022,F
"FSL"," EQ"," 22-Mar-2022"," 123.40"," 123.60"," 128.40"," 120.35"," 125.60"," 125.60"," 124.93"," 5877071"," 7342.26"," 34282"," 1221425"," 20.78",171,146,29.10,03/22/2022,F
"FSL"," EQ"," 21-Mar-2022"," 125.65"," 126.80"," 127.40"," 123.00"," 123.20"," 123.40"," 124.76"," 2590134"," 3231.46"," 17815"," 911077"," 35.17",145,145,29.29,03/21/2022,F
"FSL"," EQ"," 17-Mar-2022"," 125.45"," 127.00"," 127.85"," 125.35"," 125.80"," 125.65"," 126.56"," 2301566"," 2912.78"," 17336"," 734347"," 31.91",133,144,29.27,03/17/2022,F
"FSL"," EQ"," 16-Mar-2022"," 122.85"," 124.00"," 127.40"," 123.70"," 125.30"," 125.45"," 125.29"," 3361742"," 4211.98"," 25455"," 917886"," 27.30",132,143,29.40,03/16/2022,F
"FSL"," EQ"," 15-Mar-2022"," 124.80"," 125.10"," 127.10"," 121.15"," 122.55"," 122.85"," 124.28"," 4009401"," 4982.78"," 25923"," 1285888"," 32.07",155,142,29.53,03/15/2022,T
"FSL"," EQ"," 14-Mar-2022"," 124.15"," 125.35"," 125.85"," 123.30"," 124.45"," 124.80"," 124.70"," 2828536"," 3527.20"," 17356"," 754734"," 26.68",163,142,29.47,03/14/2022,F
"FSL"," EQ"," 11-Mar-2022"," 128.35"," 127.50"," 129.00"," 123.80"," 124.45"," 124.15"," 125.88"," 3406853"," 4288.39"," 23761"," 1447515"," 42.49",143,141,29.56,03/11/2022,T
"FSL"," EQ"," 10-Mar-2022"," 129.90"," 132.00"," 133.00"," 126.10"," 127.50"," 128.35"," 129.30"," 4628476"," 5984.60"," 27887"," 1259614"," 27.21",166,141,29.54,03/10/2022,F
"FSL"," EQ"," 09-Mar-2022"," 127.35"," 128.30"," 131.40"," 127.70"," 130.15"," 129.90"," 129.41"," 2907274"," 3762.19"," 17443"," 728105"," 25.04",167,141,29.50,03/09/2022,F
"FSL"," EQ"," 08-Mar-2022"," 126.70"," 126.95"," 130.70"," 126.20"," 127.50"," 127.35"," 128.35"," 3050198"," 3914.81"," 22296"," 917675"," 30.09",137,141,29.73,03/08/2022,F
"FSL"," EQ"," 04-Mar-2022"," 129.40"," 127.90"," 130.20"," 125.80"," 126.30"," 126.45"," 127.75"," 3202960"," 4091.62"," 23176"," 750194"," 23.42",138,140,29.93,03/04/2022,F
"FSL"," EQ"," 03-Mar-2022"," 126.85"," 127.80"," 131.80"," 127.60"," 129.80"," 129.40"," 129.98"," 4704334"," 6114.46"," 27844"," 997366"," 21.20",169,140,30.15,03/03/2022,F
"FSL"," EQ"," 02-Mar-2022"," 126.90"," 125.80"," 128.00"," 125.00"," 127.15"," 126.85"," 126.93"," 2680210"," 3402.00"," 18862"," 598099"," 22.32",142,139,30.24,03/02/2022,F
"FSL"," EQ"," 28-Feb-2022"," 125.70"," 124.00"," 129.65"," 121.15"," 126.85"," 126.90"," 126.17"," 6295657"," 7943.50"," 31994"," 1118492"," 17.77",197,140,30.64,02/28/2022,F
"FSL"," EQ"," 25-Feb-2022"," 121.05"," 123.00"," 128.00"," 123.00"," 125.40"," 125.70"," 125.92"," 4675366"," 5887.35"," 28932"," 1033233"," 22.10",162,138,31.00,02/25/2022,F
"FSL"," EQ"," 24-Feb-2022"," 127.30"," 122.50"," 140.00"," 117.50"," 119.50"," 121.05"," 120.65"," 8896730"," 10733.80"," 50187"," 3734917"," 41.98",177,137,31.18,02/24/2022,T
"FSL"," EQ"," 23-Feb-2022"," 121.60"," 123.40"," 129.30"," 121.90"," 127.20"," 127.30"," 126.05"," 6357496"," 8013.56"," 42200"," 1839803"," 28.94",151,136,31.00,02/23/2022,F
"FSL"," EQ"," 22-Feb-2022"," 123.80"," 119.90"," 122.90"," 117.45"," 121.50"," 121.60"," 120.44"," 5465263"," 6582.29"," 34138"," 1358620"," 24.86",160,136,31.05,02/22/2022,F
"FSL"," EQ"," 21-Feb-2022"," 127.35"," 126.60"," 127.60"," 121.35"," 123.80"," 123.80"," 124.80"," 5758825"," 7186.86"," 36993"," 1605195"," 27.87",156,135,31.28,02/21/2022,F
"FSL"," EQ"," 18-Feb-2022"," 132.75"," 130.50"," 131.50"," 126.90"," 127.20"," 127.35"," 128.72"," 5687089"," 7320.62"," 41664"," 1781492"," 31.33",136,135,31.34,02/18/2022,F
"FSL"," EQ"," 17-Feb-2022"," 134.85"," 133.40"," 135.35"," 131.00"," 132.50"," 132.75"," 133.23"," 5215534"," 6948.48"," 38751"," 1174911"," 22.53",135,135,31.34,02/17/2022,F
"FSL"," EQ"," 16-Feb-2022"," 141.05"," 143.00"," 143.75"," 134.50"," 134.75"," 134.85"," 136.78"," 8001724"," 10945.04"," 56976"," 4269416"," 53.36",140,135,31.43,02/16/2022,T
"FSL"," EQ"," 15-Feb-2022"," 138.20"," 140.00"," 142.00"," 135.60"," 141.15"," 141.05"," 138.96"," 4459457"," 6196.96"," 27510"," 1612808"," 36.17",162,134,31.03,02/15/2022,T
"FSL"," EQ"," 14-Feb-2022"," 143.80"," 140.15"," 143.00"," 137.50"," 138.00"," 138.20"," 140.02"," 3998651"," 5598.72"," 31181"," 1394339"," 34.87",128,134,30.82,02/14/2022,F
"FSL"," EQ"," 11-Feb-2022"," 150.70"," 148.00"," 150.10"," 143.30"," 143.80"," 143.80"," 146.13"," 4823480"," 7048.49"," 37307"," 2333742"," 48.38",129,133,30.93,02/11/2022,F
"FSL"," EQ"," 10-Feb-2022"," 144.50"," 145.70"," 152.25"," 144.90"," 151.40"," 150.70"," 148.33"," 2777079"," 4119.22"," 20882"," 981052"," 35.33",133,133,30.92,02/10/2022,F
"FSL"," EQ"," 09-Feb-2022"," 146.35"," 147.95"," 150.00"," 143.65"," 145.10"," 144.50"," 146.73"," 5603020"," 8221.49"," 31408"," 2385005"," 42.57",178,133,30.94,02/09/2022,T
"FSL"," EQ"," 08-Feb-2022"," 145.85"," 146.00"," 148.00"," 143.50"," 146.70"," 146.35"," 146.06"," 3113042"," 4546.86"," 21761"," 781561"," 25.11",143,132,30.83,02/08/2022,F
"FSL"," EQ"," 07-Feb-2022"," 152.90"," 153.00"," 153.75"," 145.20"," 145.55"," 145.85"," 148.30"," 5731075"," 8499.38"," 43040"," 2229490"," 38.90",133,132,31.10,02/07/2022,T
"FSL"," EQ"," 04-Feb-2022"," 163.05"," 163.50"," 165.00"," 152.00"," 152.50"," 152.90"," 157.79"," 10114713"," 15960.08"," 64432"," 2851787"," 28.19",157,132,31.11,02/04/2022,F
"FSL"," EQ"," 03-Feb-2022"," 166.90"," 167.00"," 167.00"," 162.35"," 163.15"," 163.05"," 163.98"," 2105065"," 3451.90"," 14480"," 507421"," 24.10",145,132,31.15,02/03/2022,F
