symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"GAIL"," EQ"," 25-Mar-2022"," 147.10"," 147.50"," 148.65"," 146.60"," 147.70"," 147.65"," 147.57"," 10324903"," 15236.70"," 43042"," 5417995"," 52.48",240,179,44.86,03/25/2022,T
"GAIL"," EQ"," 24-Mar-2022"," 143.60"," 144.15"," 147.85"," 144.05"," 147.20"," 147.10"," 146.68"," 11888684"," 17438.89"," 67679"," 5179858"," 43.57",176,178,44.73,03/24/2022,F
"GAIL"," EQ"," 23-Mar-2022"," 143.45"," 144.15"," 146.20"," 143.10"," 143.50"," 143.60"," 144.65"," 14412349"," 20847.32"," 136301"," 7182150"," 49.83",106,179,44.59,03/23/2022,F
"GAIL"," EQ"," 22-Mar-2022"," 144.30"," 145.00"," 146.15"," 142.70"," 143.55"," 143.45"," 144.17"," 12817516"," 18478.64"," 58951"," 6043513"," 47.15",217,180,44.47,03/22/2022,T
"GAIL"," EQ"," 21-Mar-2022"," 151.30"," 147.25"," 147.70"," 144.00"," 144.20"," 144.30"," 145.62"," 19059074"," 27754.07"," 132230"," 10284576"," 53.96",144,180,44.49,03/21/2022,F
"GAIL"," EQ"," 17-Mar-2022"," 152.40"," 153.25"," 154.15"," 150.60"," 151.65"," 151.30"," 151.78"," 18044254"," 27388.07"," 72034"," 11915680"," 66.04",250,182,44.59,03/17/2022,T
"GAIL"," EQ"," 16-Mar-2022"," 148.45"," 149.70"," 152.80"," 148.00"," 152.35"," 152.40"," 150.94"," 15249761"," 23018.40"," 65857"," 8223053"," 53.92",232,182,44.41,03/16/2022,T
"GAIL"," EQ"," 15-Mar-2022"," 152.35"," 151.60"," 151.90"," 146.70"," 148.60"," 148.45"," 148.80"," 20524474"," 30540.29"," 129550"," 12197065"," 59.43",158,181,44.34,03/15/2022,F
"GAIL"," EQ"," 14-Mar-2022"," 152.40"," 153.90"," 156.40"," 150.90"," 152.30"," 152.35"," 152.54"," 17853417"," 27233.17"," 86177"," 6789372"," 38.03",207,182,44.20,03/14/2022,F
"GAIL"," EQ"," 11-Mar-2022"," 147.50"," 148.00"," 154.10"," 148.00"," 152.20"," 152.40"," 151.87"," 17945413"," 27253.55"," 106931"," 4003605"," 22.31",168,182,44.31,03/11/2022,F
