symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"GLENMARK"," EQ"," 25-Mar-2022"," 464.10"," 465.75"," 467.50"," 451.20"," 457.65"," 457.55"," 459.62"," 713621"," 3279.94"," 15530"," 235333"," 32.98",46,50,30.35,03/25/2022,F
"GLENMARK"," EQ"," 24-Mar-2022"," 453.75"," 450.75"," 469.70"," 450.05"," 462.80"," 464.10"," 463.35"," 1166331"," 5404.24"," 22885"," 379832"," 32.57",51,50,30.16,03/24/2022,T
"GLENMARK"," EQ"," 23-Mar-2022"," 450.05"," 453.00"," 461.35"," 452.25"," 453.60"," 453.75"," 456.91"," 799825"," 3654.45"," 17055"," 184236"," 23.03",47,50,30.07,03/23/2022,F
"GLENMARK"," EQ"," 22-Mar-2022"," 455.75"," 456.85"," 459.55"," 444.50"," 449.80"," 450.05"," 451.16"," 898723"," 4054.68"," 14170"," 160386"," 17.85",63,50,30.22,03/22/2022,F
"GLENMARK"," EQ"," 21-Mar-2022"," 443.85"," 446.00"," 466.75"," 445.55"," 455.10"," 455.75"," 459.73"," 2423399"," 11141.02"," 48686"," 588855"," 24.30",50,50,30.19,03/21/2022,F
"GLENMARK"," EQ"," 17-Mar-2022"," 446.85"," 448.85"," 452.60"," 442.40"," 443.05"," 443.85"," 446.55"," 680596"," 3039.18"," 13897"," 284227"," 41.76",49,50,30.36,03/17/2022,F
"GLENMARK"," EQ"," 16-Mar-2022"," 444.05"," 448.00"," 450.75"," 441.20"," 446.90"," 446.85"," 446.80"," 853340"," 3812.72"," 12352"," 401424"," 47.04",69,50,30.32,03/16/2022,T
"GLENMARK"," EQ"," 15-Mar-2022"," 447.05"," 447.10"," 457.70"," 439.10"," 445.95"," 444.05"," 450.73"," 952447"," 4292.94"," 17061"," 276552"," 29.04",56,49,30.10,03/15/2022,F
"GLENMARK"," EQ"," 14-Mar-2022"," 453.30"," 454.70"," 460.00"," 442.50"," 446.00"," 447.05"," 447.26"," 1262687"," 5647.44"," 15306"," 565151"," 44.76",82,49,30.04,03/14/2022,T
"GLENMARK"," EQ"," 11-Mar-2022"," 445.55"," 446.00"," 456.75"," 439.00"," 453.70"," 453.30"," 449.45"," 1097206"," 4931.41"," 21328"," 280514"," 25.57",51,49,29.73,03/11/2022,F
"GLENMARK"," EQ"," 10-Mar-2022"," 441.15"," 448.10"," 450.55"," 443.15"," 443.60"," 445.55"," 447.37"," 584725"," 2615.86"," 12690"," 220481"," 37.71",46,49,29.66,03/10/2022,F
"GLENMARK"," EQ"," 09-Mar-2022"," 437.45"," 440.05"," 444.70"," 437.50"," 443.00"," 441.15"," 441.64"," 1044262"," 4611.87"," 13624"," 475921"," 45.57",77,49,29.52,03/09/2022,T
"GLENMARK"," EQ"," 08-Mar-2022"," 435.55"," 435.00"," 441.00"," 429.05"," 438.80"," 437.45"," 435.48"," 586781"," 2555.31"," 11146"," 154850"," 26.39",53,49,29.25,03/08/2022,F
"GLENMARK"," EQ"," 04-Mar-2022"," 440.95"," 440.00"," 440.00"," 425.05"," 426.20"," 426.90"," 432.83"," 782866"," 3388.48"," 14488"," 165205"," 21.10",54,49,28.95,03/04/2022,F
"GLENMARK"," EQ"," 03-Mar-2022"," 444.75"," 446.00"," 452.20"," 439.10"," 440.85"," 440.95"," 445.75"," 477608"," 2128.93"," 11454"," 119989"," 25.12",42,49,29.07,03/03/2022,F
"GLENMARK"," EQ"," 02-Mar-2022"," 448.50"," 439.95"," 456.65"," 438.95"," 444.25"," 444.75"," 447.43"," 690800"," 3090.84"," 14644"," 138339"," 20.03",47,49,29.08,03/02/2022,F
"GLENMARK"," EQ"," 28-Feb-2022"," 452.05"," 445.00"," 450.15"," 433.20"," 449.00"," 448.50"," 445.94"," 904166"," 4032.04"," 13932"," 152183"," 16.83",65,49,29.13,02/28/2022,F
"GLENMARK"," EQ"," 25-Feb-2022"," 429.80"," 430.10"," 453.30"," 430.10"," 452.40"," 452.05"," 446.61"," 666714"," 2977.62"," 12307"," 184572"," 27.68",54,49,29.06,02/25/2022,F
"GLENMARK"," EQ"," 24-Feb-2022"," 452.50"," 441.00"," 448.75"," 423.00"," 429.00"," 429.80"," 434.05"," 1334690"," 5793.18"," 23080"," 526633"," 39.46",58,49,28.87,02/24/2022,T
"GLENMARK"," EQ"," 23-Feb-2022"," 441.55"," 444.20"," 455.95"," 443.25"," 453.25"," 452.50"," 450.55"," 802540"," 3615.87"," 15389"," 174190"," 21.70",52,49,28.60,02/23/2022,F
"GLENMARK"," EQ"," 22-Feb-2022"," 455.60"," 448.10"," 462.00"," 439.55"," 442.80"," 441.55"," 448.15"," 1355529"," 6074.75"," 30035"," 282845"," 20.87",45,49,28.59,02/22/2022,F
"GLENMARK"," EQ"," 21-Feb-2022"," 470.30"," 470.30"," 472.20"," 452.50"," 453.50"," 455.60"," 462.30"," 907117"," 4193.63"," 17389"," 201546"," 22.22",52,50,28.54,02/21/2022,F
"GLENMARK"," EQ"," 18-Feb-2022"," 476.35"," 475.00"," 480.55"," 469.00"," 470.30"," 470.30"," 475.57"," 869786"," 4136.47"," 11911"," 82699"," 9.51",73,49,28.66,02/18/2022,F
"GLENMARK"," EQ"," 17-Feb-2022"," 487.20"," 492.00"," 492.00"," 475.15"," 477.00"," 476.35"," 480.23"," 517244"," 2483.96"," 11719"," 124955"," 24.16",44,49,28.97,02/17/2022,F
"GLENMARK"," EQ"," 16-Feb-2022"," 485.55"," 485.80"," 490.60"," 484.05"," 486.95"," 487.20"," 487.48"," 469350"," 2287.98"," 9680"," 161764"," 34.47",48,49,29.20,02/16/2022,F
"GLENMARK"," EQ"," 15-Feb-2022"," 478.30"," 478.30"," 487.10"," 468.05"," 486.00"," 485.55"," 477.78"," 727353"," 3475.15"," 14791"," 167798"," 23.07",49,49,29.17,02/15/2022,F
"GLENMARK"," EQ"," 14-Feb-2022"," 489.50"," 483.00"," 495.00"," 475.00"," 475.10"," 478.30"," 485.90"," 798182"," 3878.34"," 19688"," 151111"," 18.93",41,49,29.14,02/14/2022,F
"GLENMARK"," EQ"," 11-Feb-2022"," 501.45"," 496.00"," 499.70"," 487.00"," 488.10"," 489.50"," 491.50"," 671404"," 3299.95"," 12295"," 187264"," 27.89",55,49,29.23,02/11/2022,F
"GLENMARK"," EQ"," 10-Feb-2022"," 501.75"," 505.00"," 505.00"," 494.75"," 497.90"," 501.45"," 498.43"," 1329495"," 6626.64"," 18741"," 171886"," 12.93",71,49,29.28,02/10/2022,F
"GLENMARK"," EQ"," 09-Feb-2022"," 484.95"," 487.80"," 504.50"," 487.15"," 501.45"," 501.75"," 497.30"," 966188"," 4804.83"," 36866"," 282174"," 29.20",26,49,29.56,02/09/2022,F
"GLENMARK"," EQ"," 08-Feb-2022"," 489.80"," 490.00"," 493.95"," 482.10"," 484.70"," 484.95"," 486.45"," 483382"," 2351.40"," 17083"," 123948"," 25.64",28,49,29.66,02/08/2022,F
"GLENMARK"," EQ"," 07-Feb-2022"," 491.00"," 488.30"," 495.10"," 485.50"," 488.00"," 489.80"," 489.96"," 472247"," 2313.80"," 10249"," 159262"," 33.72",46,49,29.74,02/07/2022,F
"GLENMARK"," EQ"," 04-Feb-2022"," 495.75"," 495.75"," 498.50"," 489.35"," 490.30"," 491.00"," 492.79"," 268817"," 1324.69"," 6556"," 87404"," 32.51",41,49,29.74,02/04/2022,F
"GLENMARK"," EQ"," 03-Feb-2022"," 502.90"," 503.90"," 504.75"," 492.55"," 495.00"," 495.75"," 499.31"," 325299"," 1624.24"," 7482"," 85356"," 26.24",43,49,29.69,02/03/2022,F
"GLENMARK"," EQ"," 02-Feb-2022"," 494.45"," 496.50"," 505.50"," 496.05"," 502.65"," 502.90"," 501.25"," 636852"," 3192.21"," 12399"," 183877"," 28.87",51,49,30.18,02/02/2022,F
"GLENMARK"," EQ"," 01-Feb-2022"," 486.55"," 488.20"," 495.65"," 488.20"," 493.85"," 494.45"," 492.58"," 467887"," 2304.72"," 10359"," 141155"," 30.17",45,49,30.13,02/01/2022,F
