symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"GMRINFRA"," EQ"," 23-Mar-2022"," 38.05"," 38.30"," 38.45"," 37.05"," 37.15"," 37.20"," 37.61"," 17675444"," 6647.81"," 42157"," 9224020"," 52.19",419,414,35.61,03/23/2022,T
"GMRINFRA"," EQ"," 22-Mar-2022"," 37.40"," 37.50"," 38.15"," 36.75"," 38.10"," 38.05"," 37.65"," 16687586"," 6282.77"," 45919"," 8605108"," 51.57",363,413,35.05,03/22/2022,F
"GMRINFRA"," EQ"," 21-Mar-2022"," 38.15"," 38.40"," 38.40"," 37.30"," 37.50"," 37.40"," 37.63"," 12932689"," 4866.98"," 44668"," 8111755"," 62.72",290,412,34.50,03/21/2022,F
"GMRINFRA"," EQ"," 17-Mar-2022"," 38.50"," 39.25"," 39.25"," 38.00"," 38.15"," 38.15"," 38.36"," 35106874"," 13468.47"," 49561"," 26180175"," 74.57",708,411,33.77,03/17/2022,T
"GMRINFRA"," EQ"," 16-Mar-2022"," 37.60"," 38.15"," 38.65"," 38.00"," 38.50"," 38.50"," 38.48"," 19650499"," 7562.10"," 37067"," 14724220"," 74.93",530,402,32.94,03/16/2022,T
"GMRINFRA"," EQ"," 15-Mar-2022"," 38.75"," 38.90"," 39.05"," 37.40"," 37.45"," 37.60"," 38.11"," 9946649"," 3790.93"," 40863"," 2461001"," 24.74",243,398,31.99,03/15/2022,F
"GMRINFRA"," EQ"," 14-Mar-2022"," 39.35"," 39.30"," 39.50"," 38.15"," 38.75"," 38.75"," 38.78"," 14545197"," 5640.92"," 43229"," 5692532"," 39.14",336,399,31.77,03/14/2022,F
"GMRINFRA"," EQ"," 11-Mar-2022"," 39.20"," 39.00"," 39.60"," 38.70"," 39.35"," 39.35"," 39.20"," 35053659"," 13739.74"," 45096"," 26202768"," 74.75",777,398,31.53,03/11/2022,T
"GMRINFRA"," EQ"," 10-Mar-2022"," 39.65"," 40.85"," 40.85"," 38.90"," 39.10"," 39.20"," 39.59"," 15544953"," 6154.85"," 54520"," 5205495"," 33.49",285,391,30.67,03/10/2022,F
"GMRINFRA"," EQ"," 09-Mar-2022"," 37.80"," 38.10"," 39.95"," 38.00"," 39.60"," 39.65"," 38.98"," 16570605"," 6459.36"," 44168"," 4242016"," 25.60",375,393,30.52,03/09/2022,F
"GMRINFRA"," EQ"," 08-Mar-2022"," 36.40"," 36.60"," 38.00"," 36.60"," 37.60"," 37.80"," 37.42"," 12066703"," 4515.46"," 50545"," 1835891"," 15.21",239,393,30.45,03/08/2022,F
"GMRINFRA"," EQ"," 04-Mar-2022"," 38.40"," 38.00"," 38.15"," 37.00"," 37.25"," 37.30"," 37.58"," 7970558"," 2995.35"," 39600"," 1629869"," 20.45",201,393,30.31,03/04/2022,F
"GMRINFRA"," EQ"," 03-Mar-2022"," 38.05"," 38.60"," 38.95"," 37.95"," 38.40"," 38.40"," 38.42"," 10886063"," 4182.34"," 38666"," 2577546"," 23.68",282,396,30.35,03/03/2022,F
"GMRINFRA"," EQ"," 02-Mar-2022"," 37.90"," 37.80"," 38.35"," 36.95"," 38.25"," 38.05"," 37.94"," 9916970"," 3762.26"," 37927"," 2559123"," 25.81",261,401,30.21,03/02/2022,F
"GMRINFRA"," EQ"," 28-Feb-2022"," 37.50"," 36.80"," 38.20"," 36.20"," 38.05"," 37.90"," 37.59"," 13214229"," 4967.22"," 43178"," 3534121"," 26.74",306,403,29.74,02/28/2022,F
"GMRINFRA"," EQ"," 25-Feb-2022"," 34.50"," 35.75"," 37.80"," 35.60"," 37.65"," 37.50"," 37.17"," 31393404"," 11670.07"," 56635"," 13840314"," 44.09",554,403,29.67,02/25/2022,T
"GMRINFRA"," EQ"," 24-Feb-2022"," 38.65"," 37.15"," 37.50"," 33.85"," 34.65"," 34.50"," 36.02"," 18505953"," 6665.39"," 59183"," 5238218"," 28.31",313,400,29.45,02/24/2022,F
"GMRINFRA"," EQ"," 23-Feb-2022"," 38.10"," 38.35"," 39.45"," 38.25"," 38.60"," 38.65"," 38.98"," 9393129"," 3661.69"," 41952"," 2790672"," 29.71",224,402,29.55,02/23/2022,F
