symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"GNFC"," EQ"," 23-Mar-2022"," 799.45"," 795.00"," 795.00"," 741.20"," 777.05"," 776.90"," 763.92"," 9071472"," 69298.41"," 167408"," 1403210"," 15.47",54,62,24.38,03/23/2022,F
"GNFC"," EQ"," 22-Mar-2022"," 762.45"," 762.00"," 808.00"," 758.60"," 794.10"," 799.45"," 787.72"," 6979862"," 54981.54"," 138974"," 726180"," 10.40",50,61,24.83,03/22/2022,F
"GNFC"," EQ"," 21-Mar-2022"," 759.30"," 765.00"," 785.00"," 751.55"," 762.00"," 762.45"," 771.27"," 8166631"," 62986.37"," 135785"," 887599"," 10.87",60,61,25.10,03/21/2022,F
"GNFC"," EQ"," 17-Mar-2022"," 707.75"," 715.05"," 768.60"," 704.05"," 768.60"," 759.30"," 747.22"," 11345566"," 84776.35"," 133521"," 4063920"," 35.82",85,60,25.52,03/17/2022,T
"GNFC"," EQ"," 16-Mar-2022"," 697.30"," 703.60"," 720.70"," 699.45"," 706.50"," 707.75"," 709.48"," 2974945"," 21106.58"," 56647"," 588265"," 19.77",53,60,25.67,03/16/2022,F
"GNFC"," EQ"," 15-Mar-2022"," 730.25"," 727.25"," 735.95"," 684.00"," 694.30"," 697.30"," 705.21"," 5697859"," 40181.71"," 93605"," 1670032"," 29.31",61,59,26.05,03/15/2022,T
"GNFC"," EQ"," 14-Mar-2022"," 708.85"," 707.00"," 741.00"," 701.05"," 728.50"," 730.25"," 723.91"," 9850974"," 71312.21"," 157919"," 768080"," 7.80",62,59,26.21,03/14/2022,F
"GNFC"," EQ"," 11-Mar-2022"," 630.50"," 631.50"," 715.75"," 628.00"," 706.20"," 708.85"," 684.42"," 13494174"," 92356.50"," 209980"," 1509172"," 11.18",64,59,26.82,03/11/2022,F
"GNFC"," EQ"," 10-Mar-2022"," 618.95"," 625.00"," 635.20"," 618.05"," 630.00"," 630.50"," 627.75"," 2330527"," 14629.85"," 41519"," 554030"," 23.77",56,58,27.38,03/10/2022,F
"GNFC"," EQ"," 09-Mar-2022"," 608.95"," 613.00"," 625.00"," 608.00"," 618.00"," 618.95"," 619.53"," 2662494"," 16495.00"," 62890"," 623958"," 23.44",42,58,27.44,03/09/2022,F
