symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"GODREJCP"," EQ"," 23-Mar-2022"," 699.30"," 707.65"," 707.65"," 686.95"," 692.00"," 694.35"," 695.04"," 2683742"," 18652.98"," 80942"," 1893947"," 70.57",33,26,51.49,03/23/2022,T
"GODREJCP"," EQ"," 22-Mar-2022"," 722.25"," 720.00"," 721.00"," 691.25"," 699.90"," 699.30"," 698.18"," 2803453"," 19573.06"," 89494"," 1554231"," 55.44",31,26,50.90,03/22/2022,T
"GODREJCP"," EQ"," 21-Mar-2022"," 746.50"," 751.20"," 753.65"," 720.00"," 721.25"," 722.25"," 727.06"," 1519162"," 11045.18"," 66555"," 827350"," 54.46",23,26,50.37,03/21/2022,F
"GODREJCP"," EQ"," 17-Mar-2022"," 747.25"," 754.00"," 764.90"," 739.40"," 749.00"," 746.50"," 753.80"," 1872618"," 14115.73"," 77848"," 1136934"," 60.71",24,26,50.55,03/17/2022,F
"GODREJCP"," EQ"," 16-Mar-2022"," 724.60"," 733.00"," 750.00"," 720.00"," 747.00"," 747.25"," 735.89"," 1324407"," 9746.12"," 41486"," 672782"," 50.80",32,26,50.55,03/16/2022,T
"GODREJCP"," EQ"," 15-Mar-2022"," 710.00"," 709.60"," 741.00"," 709.60"," 725.00"," 724.60"," 728.05"," 2483379"," 18080.29"," 88664"," 1280650"," 51.57",28,26,50.74,03/15/2022,T
"GODREJCP"," EQ"," 14-Mar-2022"," 709.45"," 710.00"," 713.95"," 699.90"," 711.40"," 710.00"," 707.46"," 1006751"," 7122.31"," 39889"," 622276"," 61.81",25,26,50.75,03/14/2022,F
"GODREJCP"," EQ"," 11-Mar-2022"," 710.85"," 708.50"," 712.05"," 699.00"," 712.00"," 709.45"," 704.85"," 1691259"," 11920.78"," 65808"," 1129283"," 66.77",26,26,50.72,03/11/2022,F
"GODREJCP"," EQ"," 10-Mar-2022"," 702.00"," 707.20"," 737.80"," 707.20"," 709.50"," 710.85"," 721.27"," 2212776"," 15960.13"," 88666"," 1342120"," 60.65",25,26,50.74,03/10/2022,F
"GODREJCP"," EQ"," 09-Mar-2022"," 701.05"," 702.85"," 707.00"," 694.45"," 702.50"," 702.00"," 700.37"," 2756142"," 19303.21"," 65423"," 1983563"," 71.97",42,26,50.12,03/09/2022,T
"GODREJCP"," EQ"," 08-Mar-2022"," 664.70"," 665.00"," 703.95"," 660.05"," 698.70"," 701.05"," 689.05"," 3176686"," 21889.09"," 71031"," 1525014"," 48.01",45,26,50.06,03/08/2022,F
"GODREJCP"," EQ"," 04-Mar-2022"," 733.80"," 731.05"," 735.00"," 711.05"," 716.00"," 722.05"," 720.09"," 1833048"," 13199.50"," 79537"," 1171619"," 63.92",23,25,50.41,03/04/2022,F
"GODREJCP"," EQ"," 03-Mar-2022"," 752.30"," 756.00"," 756.00"," 730.00"," 732.20"," 733.80"," 737.12"," 2003112"," 14765.25"," 78711"," 1186254"," 59.22",25,26,50.24,03/03/2022,F
"GODREJCP"," EQ"," 02-Mar-2022"," 767.95"," 760.00"," 763.00"," 749.00"," 752.50"," 752.30"," 752.89"," 1483184"," 11166.78"," 66148"," 1139699"," 76.84",22,26,50.00,03/02/2022,F
