symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"GODREJPROP"," EQ"," 25-Mar-2022"," 1569.65"," 1583.80"," 1635.50"," 1575.15"," 1620.00"," 1622.95"," 1612.90"," 1786135"," 28808.48"," 64915"," 459171"," 25.71",28,24,30.48,03/25/2022,F
"GODREJPROP"," EQ"," 24-Mar-2022"," 1558.50"," 1548.00"," 1574.45"," 1533.20"," 1568.00"," 1569.65"," 1555.48"," 790580"," 12297.33"," 27853"," 271979"," 34.40",28,24,30.30,03/24/2022,T
"GODREJPROP"," EQ"," 23-Mar-2022"," 1578.95"," 1580.00"," 1611.00"," 1551.15"," 1554.45"," 1558.50"," 1573.52"," 1008556"," 15869.83"," 43620"," 350950"," 34.80",23,24,30.18,03/23/2022,F
"GODREJPROP"," EQ"," 22-Mar-2022"," 1607.80"," 1607.00"," 1607.00"," 1545.25"," 1580.85"," 1578.95"," 1570.27"," 872990"," 13708.28"," 39706"," 192960"," 22.10",22,24,30.10,03/22/2022,F
"GODREJPROP"," EQ"," 21-Mar-2022"," 1596.40"," 1609.75"," 1639.70"," 1601.45"," 1609.00"," 1607.80"," 1619.87"," 1206242"," 19539.50"," 50721"," 348585"," 28.90",24,24,30.17,03/21/2022,F
"GODREJPROP"," EQ"," 17-Mar-2022"," 1526.35"," 1549.00"," 1604.20"," 1545.00"," 1598.00"," 1596.40"," 1587.66"," 1652040"," 26228.81"," 58265"," 443831"," 26.87",28,24,30.23,03/17/2022,F
"GODREJPROP"," EQ"," 16-Mar-2022"," 1470.95"," 1490.75"," 1534.75"," 1490.00"," 1526.00"," 1526.35"," 1518.76"," 972762"," 14773.91"," 36316"," 297099"," 30.54",27,24,30.30,03/16/2022,T
"GODREJPROP"," EQ"," 15-Mar-2022"," 1487.35"," 1494.80"," 1536.90"," 1462.00"," 1464.00"," 1470.95"," 1510.13"," 1619139"," 24451.17"," 58063"," 418907"," 25.87",28,24,30.35,03/15/2022,F
"GODREJPROP"," EQ"," 14-Mar-2022"," 1492.80"," 1500.00"," 1504.00"," 1467.90"," 1482.00"," 1487.35"," 1485.10"," 509386"," 7564.87"," 19962"," 145959"," 28.65",26,23,30.42,03/14/2022,F
"GODREJPROP"," EQ"," 11-Mar-2022"," 1484.00"," 1480.00"," 1501.95"," 1471.00"," 1489.90"," 1492.80"," 1488.49"," 570819"," 8496.60"," 26572"," 186392"," 32.65",21,23,30.39,03/11/2022,F
"GODREJPROP"," EQ"," 10-Mar-2022"," 1467.30"," 1519.00"," 1519.00"," 1475.55"," 1479.90"," 1484.00"," 1498.35"," 893869"," 13393.30"," 36356"," 299278"," 33.48",25,24,30.21,03/10/2022,T
"GODREJPROP"," EQ"," 09-Mar-2022"," 1424.25"," 1438.00"," 1480.00"," 1425.00"," 1464.00"," 1467.30"," 1454.62"," 884502"," 12866.10"," 41109"," 340423"," 38.49",22,24,29.93,03/09/2022,F
"GODREJPROP"," EQ"," 08-Mar-2022"," 1374.80"," 1374.00"," 1429.00"," 1368.00"," 1426.00"," 1424.25"," 1398.33"," 1053313"," 14728.76"," 36093"," 285631"," 27.12",29,23,29.69,03/08/2022,F
"GODREJPROP"," EQ"," 04-Mar-2022"," 1539.60"," 1520.00"," 1532.80"," 1443.45"," 1466.00"," 1466.30"," 1471.70"," 1542081"," 22694.87"," 59363"," 491078"," 31.85",26,23,29.71,03/04/2022,T
"GODREJPROP"," EQ"," 03-Mar-2022"," 1504.70"," 1529.25"," 1561.95"," 1516.35"," 1540.15"," 1539.60"," 1536.98"," 1654795"," 25433.83"," 43700"," 573220"," 34.64",38,23,29.52,03/03/2022,T
"GODREJPROP"," EQ"," 02-Mar-2022"," 1502.15"," 1507.00"," 1519.50"," 1481.10"," 1507.05"," 1504.70"," 1502.87"," 1473991"," 22152.14"," 43318"," 528716"," 35.87",34,23,29.39,03/02/2022,T
"GODREJPROP"," EQ"," 28-Feb-2022"," 1471.45"," 1465.00"," 1510.70"," 1432.00"," 1505.00"," 1502.15"," 1481.05"," 1440261"," 21330.92"," 51489"," 405360"," 28.14",28,24,29.62,02/28/2022,F
"GODREJPROP"," EQ"," 25-Feb-2022"," 1451.30"," 1500.00"," 1533.35"," 1457.85"," 1473.00"," 1471.45"," 1487.90"," 1792611"," 26672.22"," 65353"," 520763"," 29.05",27,24,29.61,02/25/2022,F
"GODREJPROP"," EQ"," 24-Feb-2022"," 1596.85"," 1520.20"," 1548.00"," 1443.00"," 1445.05"," 1451.30"," 1495.00"," 1788534"," 26738.55"," 82780"," 467955"," 26.16",22,24,29.59,02/24/2022,F
"GODREJPROP"," EQ"," 23-Feb-2022"," 1556.45"," 1570.00"," 1609.00"," 1567.00"," 1591.90"," 1596.85"," 1587.17"," 949354"," 15067.82"," 38117"," 193020"," 20.33",25,24,29.68,02/23/2022,F
"GODREJPROP"," EQ"," 22-Feb-2022"," 1587.20"," 1546.95"," 1583.70"," 1530.00"," 1555.40"," 1556.45"," 1556.70"," 785725"," 12231.37"," 38111"," 121412"," 15.45",21,24,30.04,02/22/2022,F
"GODREJPROP"," EQ"," 21-Feb-2022"," 1569.00"," 1565.00"," 1599.45"," 1537.35"," 1586.40"," 1587.20"," 1573.79"," 944807"," 14869.32"," 36431"," 213732"," 22.62",26,23,30.43,02/21/2022,F
"GODREJPROP"," EQ"," 18-Feb-2022"," 1606.25"," 1600.00"," 1616.65"," 1562.55"," 1566.00"," 1569.00"," 1596.55"," 929886"," 14846.13"," 30921"," 266535"," 28.66",30,23,30.64,02/18/2022,F
"GODREJPROP"," EQ"," 17-Feb-2022"," 1586.90"," 1598.00"," 1612.00"," 1585.00"," 1606.40"," 1606.25"," 1600.59"," 959332"," 15354.95"," 43535"," 375004"," 39.09",22,23,30.67,02/17/2022,F
"GODREJPROP"," EQ"," 16-Feb-2022"," 1554.30"," 1560.00"," 1628.00"," 1560.00"," 1583.00"," 1586.90"," 1603.67"," 2687484"," 43098.45"," 92685"," 649691"," 24.17",29,23,30.57,02/16/2022,F
"GODREJPROP"," EQ"," 15-Feb-2022"," 1472.20"," 1496.90"," 1562.05"," 1481.10"," 1552.00"," 1554.30"," 1524.32"," 1533031"," 23368.37"," 58479"," 390692"," 25.48",26,23,30.94,02/15/2022,F
"GODREJPROP"," EQ"," 14-Feb-2022"," 1560.45"," 1535.00"," 1550.00"," 1459.00"," 1465.25"," 1472.20"," 1515.08"," 1471403"," 22292.92"," 63005"," 441829"," 30.03",23,23,31.18,02/14/2022,F
"GODREJPROP"," EQ"," 11-Feb-2022"," 1576.70"," 1569.90"," 1580.80"," 1532.25"," 1560.00"," 1560.45"," 1562.51"," 1067208"," 16675.28"," 38358"," 375187"," 35.16",28,23,31.29,02/11/2022,T
"GODREJPROP"," EQ"," 10-Feb-2022"," 1547.15"," 1556.65"," 1585.00"," 1542.00"," 1576.70"," 1576.70"," 1569.43"," 1150733"," 18059.91"," 48511"," 360322"," 31.31",24,23,31.33,02/10/2022,F
"GODREJPROP"," EQ"," 09-Feb-2022"," 1551.20"," 1560.00"," 1564.00"," 1537.95"," 1549.00"," 1547.15"," 1551.52"," 1037914"," 16103.45"," 46481"," 396511"," 38.20",22,23,31.40,02/09/2022,F
"GODREJPROP"," EQ"," 08-Feb-2022"," 1561.55"," 1570.00"," 1579.95"," 1520.00"," 1548.00"," 1551.20"," 1547.45"," 1668512"," 25819.33"," 62892"," 465604"," 27.91",27,23,31.31,02/08/2022,F
"GODREJPROP"," EQ"," 07-Feb-2022"," 1506.90"," 1590.25"," 1609.70"," 1532.15"," 1561.00"," 1561.55"," 1562.32"," 5441200"," 85008.97"," 216394"," 1637479"," 30.09",25,23,31.39,02/07/2022,F
"GODREJPROP"," EQ"," 04-Feb-2022"," 1667.85"," 1501.10"," 1574.80"," 1500.10"," 1511.40"," 1506.90"," 1534.07"," 8765781"," 134473.59"," 301824"," 2489518"," 28.40",29,23,31.49,02/04/2022,F
"GODREJPROP"," EQ"," 03-Feb-2022"," 1782.20"," 1784.90"," 1792.00"," 1651.70"," 1664.70"," 1667.85"," 1709.07"," 3044456"," 52031.90"," 134300"," 687176"," 22.57",23,22,31.54,02/03/2022,F
"GODREJPROP"," EQ"," 02-Feb-2022"," 1721.50"," 1736.00"," 1786.80"," 1727.00"," 1777.00"," 1782.20"," 1760.83"," 966243"," 17013.88"," 43233"," 272723"," 28.23",22,22,31.52,02/02/2022,F
"GODREJPROP"," EQ"," 01-Feb-2022"," 1715.15"," 1749.85"," 1761.00"," 1687.30"," 1729.95"," 1721.50"," 1726.89"," 1555314"," 26858.62"," 70498"," 435697"," 28.01",22,22,31.29,02/01/2022,F
"GODREJPROP"," EQ"," 31-Jan-2022"," 1632.10"," 1659.00"," 1725.00"," 1656.70"," 1717.00"," 1715.15"," 1698.64"," 1147207"," 19486.96"," 41715"," 412086"," 35.92",28,22,30.99,01/31/2022,T
"GODREJPROP"," EQ"," 28-Jan-2022"," 1609.95"," 1630.00"," 1705.75"," 1620.15"," 1633.00"," 1632.10"," 1665.48"," 1100713"," 18332.14"," 60235"," 282879"," 25.70",18,22,30.67,01/28/2022,F
"GODREJPROP"," EQ"," 27-Jan-2022"," 1638.95"," 1624.10"," 1624.10"," 1548.00"," 1616.00"," 1609.95"," 1583.40"," 1505371"," 23836.01"," 102374"," 497060"," 33.02",15,22,30.54,01/27/2022,F
"GODREJPROP"," EQ"," 25-Jan-2022"," 1655.90"," 1644.00"," 1648.50"," 1560.50"," 1634.15"," 1638.95"," 1616.20"," 3330806"," 53832.46"," 139316"," 1820903"," 54.67",24,22,30.43,01/25/2022,T
"GODREJPROP"," EQ"," 24-Jan-2022"," 1798.85"," 1798.85"," 1800.00"," 1627.00"," 1649.00"," 1655.90"," 1691.81"," 1351199"," 22859.73"," 60352"," 398217"," 29.47",22,22,29.82,01/24/2022,F
"GODREJPROP"," EQ"," 21-Jan-2022"," 1867.00"," 1850.00"," 1858.00"," 1776.70"," 1805.00"," 1798.85"," 1823.46"," 598677"," 10916.61"," 33359"," 158134"," 26.41",18,22,29.56,01/21/2022,F
"GODREJPROP"," EQ"," 20-Jan-2022"," 1851.20"," 1860.50"," 1879.45"," 1842.50"," 1868.00"," 1867.00"," 1861.06"," 525825"," 9785.91"," 31352"," 151073"," 28.73",17,22,29.42,01/20/2022,F
"GODREJPROP"," EQ"," 19-Jan-2022"," 1903.05"," 1898.00"," 1898.00"," 1820.40"," 1855.00"," 1851.20"," 1848.10"," 1249679"," 23095.27"," 75445"," 416874"," 33.36",17,22,29.49,01/19/2022,F
"GODREJPROP"," EQ"," 18-Jan-2022"," 1977.95"," 1983.00"," 2012.50"," 1894.80"," 1903.60"," 1903.05"," 1960.41"," 1230549"," 24123.82"," 54040"," 403034"," 32.75",23,22,29.45,01/18/2022,T
"GODREJPROP"," EQ"," 17-Jan-2022"," 1964.35"," 1964.95"," 1989.90"," 1938.00"," 1979.65"," 1977.95"," 1974.33"," 798294"," 15760.98"," 34039"," 338979"," 42.46",23,22,29.28,01/17/2022,T
"GODREJPROP"," EQ"," 14-Jan-2022"," 1929.90"," 1920.00"," 1969.65"," 1906.05"," 1960.95"," 1964.35"," 1950.08"," 1012320"," 19741.01"," 49648"," 501704"," 49.56",20,22,29.22,01/14/2022,F
"GODREJPROP"," EQ"," 13-Jan-2022"," 1956.10"," 1957.95"," 1957.95"," 1912.20"," 1929.95"," 1929.90"," 1928.45"," 435700"," 8402.27"," 27602"," 124146"," 28.49",16,22,28.89,01/13/2022,F
"GODREJPROP"," EQ"," 12-Jan-2022"," 1913.25"," 1930.00"," 1988.40"," 1926.85"," 1950.60"," 1956.10"," 1960.43"," 1102410"," 21611.93"," 73144"," 289467"," 26.26",15,22,28.76,01/12/2022,F
"GODREJPROP"," EQ"," 11-Jan-2022"," 1921.50"," 1923.00"," 1948.50"," 1906.60"," 1911.00"," 1913.25"," 1930.32"," 890137"," 17182.53"," 30344"," 417103"," 46.86",29,22,28.73,01/11/2022,T
"GODREJPROP"," EQ"," 10-Jan-2022"," 1891.50"," 1901.80"," 1947.00"," 1901.80"," 1928.00"," 1921.50"," 1922.25"," 585189"," 11248.81"," 25251"," 159714"," 27.29",23,22,28.32,01/10/2022,F
"GODREJPROP"," EQ"," 07-Jan-2022"," 1903.55"," 1910.00"," 1932.40"," 1885.00"," 1888.95"," 1891.50"," 1907.60"," 572626"," 10923.43"," 29274"," 113031"," 19.74",20,22,28.24,01/07/2022,F
"GODREJPROP"," EQ"," 06-Jan-2022"," 1920.70"," 1909.95"," 1910.00"," 1876.75"," 1900.05"," 1903.55"," 1893.05"," 527766"," 9990.87"," 26901"," 161807"," 30.66",20,22,28.45,01/06/2022,F
"GODREJPROP"," EQ"," 05-Jan-2022"," 1890.30"," 1890.00"," 1928.95"," 1870.00"," 1924.00"," 1920.70"," 1904.81"," 586019"," 11162.57"," 25049"," 175136"," 29.89",23,22,28.12,01/05/2022,T
"GODREJPROP"," EQ"," 04-Jan-2022"," 1903.60"," 1919.55"," 1919.55"," 1872.25"," 1888.00"," 1890.30"," 1897.30"," 458510"," 8699.31"," 19561"," 136332"," 29.73",23,22,28.17,01/04/2022,T
"GODREJPROP"," EQ"," 03-Jan-2022"," 1871.80"," 1886.75"," 1914.40"," 1875.00"," 1905.00"," 1903.60"," 1900.53"," 664397"," 12627.07"," 30106"," 199872"," 30.08",22,22,28.20,01/03/2022,F
"GODREJPROP"," EQ"," 31-Dec-2021"," 1840.45"," 1853.25"," 1881.95"," 1848.15"," 1871.55"," 1871.80"," 1868.58"," 392238"," 7329.28"," 21794"," 140059"," 35.71",18,22,27.95,12/31/2021,F
"GODREJPROP"," EQ"," 30-Dec-2021"," 1858.35"," 1858.00"," 1859.95"," 1825.00"," 1842.00"," 1840.45"," 1840.04"," 382004"," 7029.03"," 17461"," 108993"," 28.53",22,22,27.97,12/30/2021,F
"GODREJPROP"," EQ"," 29-Dec-2021"," 1855.75"," 1855.75"," 1868.00"," 1845.40"," 1855.00"," 1858.35"," 1856.22"," 314229"," 5832.77"," 12630"," 87523"," 27.85",25,22,27.98,12/29/2021,F
"GODREJPROP"," EQ"," 28-Dec-2021"," 1839.80"," 1853.00"," 1865.00"," 1832.10"," 1858.20"," 1855.75"," 1852.28"," 412175"," 7634.65"," 26440"," 139065"," 33.74",16,22,27.69,12/28/2021,F
"GODREJPROP"," EQ"," 27-Dec-2021"," 1828.70"," 1818.00"," 1846.55"," 1785.00"," 1837.00"," 1839.80"," 1823.24"," 541823"," 9878.75"," 21770"," 115572"," 21.33",25,22,27.35,12/27/2021,F
"GODREJPROP"," EQ"," 24-Dec-2021"," 1875.90"," 1880.00"," 1885.00"," 1814.15"," 1827.00"," 1828.70"," 1835.48"," 603674"," 11080.31"," 22210"," 88607"," 14.68",27,22,27.26,12/24/2021,F
"GODREJPROP"," EQ"," 23-Dec-2021"," 1852.40"," 1874.00"," 1892.95"," 1860.00"," 1875.70"," 1875.90"," 1876.41"," 641452"," 12036.26"," 25195"," 172581"," 26.90",25,22,27.26,12/23/2021,F
"GODREJPROP"," EQ"," 22-Dec-2021"," 1818.25"," 1820.00"," 1861.85"," 1820.00"," 1846.35"," 1852.40"," 1843.44"," 763341"," 14071.74"," 32360"," 232559"," 30.47",24,22,27.01,12/22/2021,T
"GODREJPROP"," EQ"," 21-Dec-2021"," 1806.15"," 1820.00"," 1856.80"," 1792.55"," 1817.00"," 1818.25"," 1829.35"," 1012300"," 18518.50"," 40210"," 267364"," 26.41",25,22,26.70,12/21/2021,F
"GODREJPROP"," EQ"," 20-Dec-2021"," 1884.70"," 1845.00"," 1885.90"," 1766.35"," 1801.00"," 1806.15"," 1810.42"," 1895623"," 34318.67"," 78009"," 641511"," 33.84",24,22,26.44,12/20/2021,T
"GODREJPROP"," EQ"," 17-Dec-2021"," 1998.60"," 1999.00"," 2009.60"," 1875.00"," 1889.00"," 1884.70"," 1918.89"," 1045683"," 20065.55"," 50917"," 300832"," 28.77",21,22,26.51,12/17/2021,F
"GODREJPROP"," EQ"," 16-Dec-2021"," 2012.90"," 2036.60"," 2044.75"," 1985.00"," 2001.00"," 1998.60"," 2006.16"," 568451"," 11404.04"," 26324"," 178483"," 31.40",22,22,26.66,12/16/2021,F
"GODREJPROP"," EQ"," 15-Dec-2021"," 2082.50"," 2071.00"," 2074.90"," 1998.50"," 2016.00"," 2012.90"," 2031.64"," 718574"," 14598.82"," 35355"," 239971"," 33.40",20,22,26.88,12/15/2021,F
"GODREJPROP"," EQ"," 14-Dec-2021"," 2066.35"," 2079.00"," 2088.00"," 2012.00"," 2075.00"," 2082.50"," 2049.49"," 996662"," 20426.52"," 39234"," 298621"," 29.96",25,22,26.88,12/14/2021,T
"GODREJPROP"," EQ"," 13-Dec-2021"," 2099.20"," 2108.65"," 2125.00"," 2055.55"," 2073.00"," 2066.35"," 2095.81"," 832567"," 17449.05"," 38202"," 225057"," 27.03",22,22,26.83,12/13/2021,F
"GODREJPROP"," EQ"," 10-Dec-2021"," 2044.35"," 2045.00"," 2108.00"," 2026.05"," 2094.00"," 2099.20"," 2070.98"," 1057123"," 21892.76"," 40137"," 229338"," 21.69",26,22,26.84,12/10/2021,F
"GODREJPROP"," EQ"," 09-Dec-2021"," 2042.80"," 2055.00"," 2059.90"," 2018.00"," 2045.00"," 2044.35"," 2038.44"," 483899"," 9863.97"," 19545"," 77392"," 15.99",25,22,26.93,12/09/2021,F
"GODREJPROP"," EQ"," 08-Dec-2021"," 2000.15"," 2018.20"," 2049.00"," 2009.30"," 2033.00"," 2042.80"," 2029.43"," 747803"," 15176.12"," 35734"," 175656"," 23.49",21,22,27.10,12/08/2021,F
"GODREJPROP"," EQ"," 07-Dec-2021"," 1961.45"," 1990.00"," 2008.00"," 1962.35"," 2005.00"," 2000.15"," 1983.18"," 1664290"," 33005.90"," 62170"," 679254"," 40.81",27,22,27.09,12/07/2021,T
"GODREJPROP"," EQ"," 06-Dec-2021"," 2020.10"," 2040.35"," 2116.65"," 1952.90"," 1962.35"," 1961.45"," 2033.60"," 2610898"," 53095.14"," 109064"," 458248"," 17.55",24,22,26.85,12/06/2021,F
"GODREJPROP"," EQ"," 03-Dec-2021"," 2020.75"," 2031.00"," 2063.95"," 2005.10"," 2022.50"," 2020.10"," 2030.75"," 833974"," 16935.90"," 37425"," 163436"," 19.60",22,22,27.05,12/03/2021,F
"GODREJPROP"," EQ"," 02-Dec-2021"," 1966.50"," 1982.00"," 2029.00"," 1943.50"," 2028.90"," 2020.75"," 1988.27"," 1153260"," 22929.93"," 45647"," 301666"," 26.16",25,22,27.24,12/02/2021,F
"GODREJPROP"," EQ"," 01-Dec-2021"," 1996.70"," 1973.80"," 2031.00"," 1938.05"," 1977.00"," 1966.50"," 1976.30"," 1381091"," 27294.54"," 62809"," 372677"," 26.98",22,22,27.19,12/01/2021,F
"GODREJPROP"," EQ"," 30-Nov-2021"," 2062.10"," 2106.00"," 2172.95"," 1960.00"," 1964.00"," 1996.70"," 2014.86"," 15091293"," 304067.94"," 196846"," 8079123"," 53.53",77,22,27.06,11/30/2021,T
"GODREJPROP"," EQ"," 29-Nov-2021"," 2095.75"," 2070.50"," 2121.30"," 1988.70"," 2064.20"," 2062.10"," 2066.83"," 970295"," 20054.38"," 53847"," 263290"," 27.14",18,21,26.65,11/29/2021,F
"GODREJPROP"," EQ"," 26-Nov-2021"," 2239.35"," 2232.10"," 2232.10"," 2080.00"," 2090.00"," 2095.75"," 2139.57"," 1163577"," 24895.50"," 62301"," 326961"," 28.10",19,21,26.68,11/26/2021,F
"GODREJPROP"," EQ"," 25-Nov-2021"," 2182.50"," 2194.00"," 2269.95"," 2185.00"," 2237.00"," 2239.35"," 2238.94"," 2350517"," 52626.76"," 99793"," 752213"," 32.00",24,21,26.82,11/25/2021,T
"GODREJPROP"," EQ"," 24-Nov-2021"," 2177.35"," 2199.45"," 2254.80"," 2160.50"," 2164.95"," 2182.50"," 2218.67"," 1346587"," 29876.34"," 70060"," 575896"," 42.77",19,21,26.83,11/24/2021,F
"GODREJPROP"," EQ"," 23-Nov-2021"," 2116.20"," 2119.80"," 2208.00"," 2107.00"," 2179.85"," 2177.35"," 2171.73"," 1567313"," 34037.80"," 83889"," 637804"," 40.69",19,21,26.95,11/23/2021,F
