symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"GRANULES"," EQ"," 25-Mar-2022"," 315.95"," 315.00"," 321.50"," 314.50"," 317.90"," 318.95"," 318.83"," 1010743"," 3222.51"," 14400"," 291629"," 28.85",70,72,30.68,03/25/2022,F
"GRANULES"," EQ"," 24-Mar-2022"," 310.95"," 310.10"," 322.00"," 307.70"," 315.45"," 315.95"," 315.48"," 2917594"," 9204.41"," 22021"," 1558923"," 53.43",132,72,30.51,03/24/2022,T
"GRANULES"," EQ"," 23-Mar-2022"," 312.45"," 312.15"," 317.00"," 309.60"," 310.70"," 310.95"," 312.76"," 997898"," 3121.03"," 17144"," 381912"," 38.27",58,72,29.90,03/23/2022,F
"GRANULES"," EQ"," 22-Mar-2022"," 313.75"," 313.75"," 315.50"," 308.50"," 311.50"," 312.45"," 312.03"," 1093818"," 3413.02"," 16231"," 195722"," 17.89",67,72,29.58,03/22/2022,F
"GRANULES"," EQ"," 21-Mar-2022"," 305.65"," 310.00"," 319.90"," 307.00"," 313.00"," 313.75"," 315.69"," 2506378"," 7912.33"," 32987"," 575767"," 22.97",76,72,29.47,03/21/2022,F
"GRANULES"," EQ"," 17-Mar-2022"," 306.20"," 306.85"," 310.80"," 305.00"," 306.20"," 305.65"," 307.81"," 661440"," 2036.00"," 9008"," 247348"," 37.40",73,72,29.22,03/17/2022,T
"GRANULES"," EQ"," 16-Mar-2022"," 302.60"," 306.00"," 308.45"," 297.55"," 305.00"," 306.20"," 303.57"," 957826"," 2907.68"," 14038"," 152754"," 15.95",68,71,29.05,03/16/2022,F
"GRANULES"," EQ"," 15-Mar-2022"," 302.85"," 305.50"," 313.80"," 301.00"," 301.45"," 302.60"," 306.31"," 1860870"," 5700.01"," 27042"," 207966"," 11.18",69,72,29.28,03/15/2022,F
"GRANULES"," EQ"," 14-Mar-2022"," 308.20"," 310.20"," 311.80"," 301.90"," 302.25"," 302.85"," 305.01"," 1142803"," 3485.63"," 22075"," 269127"," 23.55",52,72,29.55,03/14/2022,F
"GRANULES"," EQ"," 11-Mar-2022"," 292.70"," 291.30"," 309.50"," 291.20"," 309.00"," 308.20"," 304.04"," 2737826"," 8324.13"," 35265"," 629161"," 22.98",78,72,29.72,03/11/2022,F
"GRANULES"," EQ"," 10-Mar-2022"," 295.60"," 299.40"," 301.35"," 289.50"," 292.95"," 292.70"," 295.16"," 963352"," 2843.43"," 17052"," 238697"," 24.78",56,72,29.86,03/10/2022,F
"GRANULES"," EQ"," 09-Mar-2022"," 288.20"," 291.80"," 299.00"," 288.25"," 295.90"," 295.60"," 293.80"," 696946"," 2047.62"," 7593"," 227127"," 32.59",92,73,30.03,03/09/2022,T
"GRANULES"," EQ"," 08-Mar-2022"," 286.00"," 286.70"," 293.80"," 278.55"," 288.95"," 288.20"," 286.52"," 934023"," 2676.13"," 12070"," 311750"," 33.38",77,73,29.86,03/08/2022,T
"GRANULES"," EQ"," 04-Mar-2022"," 290.45"," 286.80"," 291.75"," 282.10"," 287.40"," 288.55"," 287.53"," 873925"," 2512.84"," 11984"," 215117"," 24.62",73,73,29.61,03/04/2022,F
"GRANULES"," EQ"," 03-Mar-2022"," 291.75"," 295.00"," 299.40"," 288.60"," 289.00"," 290.45"," 292.99"," 733078"," 2147.81"," 10755"," 148948"," 20.32",68,73,29.68,03/03/2022,F
