symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"GRASIM"," EQ"," 23-Mar-2022"," 1582.50"," 1594.50"," 1595.00"," 1564.30"," 1578.00"," 1582.10"," 1580.39"," 841284"," 13295.59"," 44914"," 427365"," 50.80",19,22,40.98,03/23/2022,F
"GRASIM"," EQ"," 22-Mar-2022"," 1569.45"," 1569.45"," 1590.95"," 1525.10"," 1584.70"," 1582.50"," 1560.01"," 1013736"," 15814.40"," 43303"," 330310"," 32.58",23,23,41.07,03/22/2022,F
"GRASIM"," EQ"," 21-Mar-2022"," 1619.85"," 1607.00"," 1614.45"," 1556.45"," 1569.00"," 1569.45"," 1581.21"," 1286325"," 20339.53"," 52237"," 593471"," 46.14",25,23,41.37,03/21/2022,T
"GRASIM"," EQ"," 17-Mar-2022"," 1604.05"," 1620.00"," 1656.75"," 1612.00"," 1623.25"," 1619.85"," 1630.22"," 2728198"," 44475.76"," 62978"," 1961802"," 71.91",43,23,41.54,03/17/2022,T
"GRASIM"," EQ"," 16-Mar-2022"," 1564.25"," 1579.55"," 1615.85"," 1576.20"," 1603.70"," 1604.05"," 1600.25"," 1401061"," 22420.43"," 66900"," 743045"," 53.03",21,22,41.16,03/16/2022,F
"GRASIM"," EQ"," 15-Mar-2022"," 1577.50"," 1573.00"," 1598.70"," 1557.60"," 1563.90"," 1564.25"," 1578.10"," 913262"," 14412.16"," 43962"," 320698"," 35.12",21,22,41.08,03/15/2022,F
"GRASIM"," EQ"," 14-Mar-2022"," 1566.25"," 1556.20"," 1583.95"," 1545.90"," 1579.15"," 1577.50"," 1569.21"," 548042"," 8599.95"," 28328"," 220948"," 40.32",19,22,41.34,03/14/2022,F
"GRASIM"," EQ"," 11-Mar-2022"," 1554.90"," 1553.75"," 1575.90"," 1541.00"," 1567.20"," 1566.25"," 1562.96"," 1202172"," 18789.41"," 36450"," 706823"," 58.80",33,22,41.43,03/11/2022,T
"GRASIM"," EQ"," 10-Mar-2022"," 1493.35"," 1550.00"," 1575.00"," 1531.10"," 1555.00"," 1554.90"," 1558.32"," 1486312"," 23161.54"," 68354"," 523084"," 35.19",22,22,41.07,03/10/2022,F
"GRASIM"," EQ"," 09-Mar-2022"," 1458.20"," 1465.70"," 1508.70"," 1443.50"," 1492.10"," 1493.35"," 1490.55"," 1691246"," 25208.94"," 69434"," 998809"," 59.06",24,22,41.21,03/09/2022,T
"GRASIM"," EQ"," 08-Mar-2022"," 1446.55"," 1440.00"," 1465.70"," 1407.20"," 1452.40"," 1458.20"," 1438.93"," 816447"," 11748.13"," 44989"," 281146"," 34.44",18,22,40.79,03/08/2022,F
"GRASIM"," EQ"," 04-Mar-2022"," 1503.60"," 1485.00"," 1514.90"," 1447.00"," 1474.40"," 1477.60"," 1477.13"," 1627383"," 24038.57"," 74496"," 666725"," 40.97",22,22,41.43,03/04/2022,F
"GRASIM"," EQ"," 03-Mar-2022"," 1548.50"," 1558.00"," 1577.60"," 1496.20"," 1504.00"," 1503.60"," 1530.82"," 1145813"," 17540.35"," 65452"," 470301"," 41.05",18,22,41.50,03/03/2022,F
"GRASIM"," EQ"," 02-Mar-2022"," 1598.50"," 1572.00"," 1582.75"," 1538.50"," 1557.85"," 1548.50"," 1554.13"," 1146391"," 17816.40"," 59388"," 545776"," 47.61",19,23,41.53,03/02/2022,F
"GRASIM"," EQ"," 28-Feb-2022"," 1567.85"," 1552.50"," 1604.40"," 1538.45"," 1600.00"," 1598.50"," 1581.27"," 1212286"," 19169.54"," 55772"," 661560"," 54.57",22,23,41.73,02/28/2022,F
"GRASIM"," EQ"," 25-Feb-2022"," 1544.35"," 1580.00"," 1598.80"," 1560.15"," 1576.45"," 1567.85"," 1578.67"," 1121363"," 17702.64"," 71802"," 521277"," 46.49",16,23,41.44,02/25/2022,F
"GRASIM"," EQ"," 24-Feb-2022"," 1669.80"," 1625.00"," 1652.95"," 1535.00"," 1539.00"," 1544.35"," 1582.95"," 1255601"," 19875.58"," 61620"," 521327"," 41.52",20,23,41.37,02/24/2022,F
"GRASIM"," EQ"," 23-Feb-2022"," 1684.15"," 1690.10"," 1704.00"," 1663.15"," 1665.50"," 1669.80"," 1679.84"," 673096"," 11306.97"," 42577"," 315908"," 46.93",16,23,41.26,02/23/2022,F
"GRASIM"," EQ"," 22-Feb-2022"," 1692.45"," 1637.15"," 1689.70"," 1637.15"," 1684.45"," 1684.15"," 1673.06"," 880972"," 14739.19"," 37740"," 424531"," 48.19",23,23,41.26,02/22/2022,F
"GRASIM"," EQ"," 21-Feb-2022"," 1722.75"," 1704.00"," 1736.75"," 1687.35"," 1687.35"," 1692.45"," 1712.51"," 1031646"," 17667.02"," 38194"," 475790"," 46.12",27,23,41.34,02/21/2022,T
"GRASIM"," EQ"," 18-Feb-2022"," 1711.25"," 1702.00"," 1739.90"," 1698.00"," 1716.95"," 1722.75"," 1720.70"," 1200407"," 20655.43"," 36544"," 489505"," 40.78",33,23,41.19,02/18/2022,F
"GRASIM"," EQ"," 17-Feb-2022"," 1721.30"," 1737.95"," 1751.80"," 1700.00"," 1701.80"," 1711.25"," 1722.15"," 1067390"," 18382.09"," 43973"," 460512"," 43.14",24,23,41.19,02/17/2022,T
"GRASIM"," EQ"," 16-Feb-2022"," 1712.10"," 1714.80"," 1749.95"," 1712.55"," 1716.00"," 1721.30"," 1734.80"," 1204064"," 20888.12"," 38948"," 436788"," 36.28",31,22,40.94,02/16/2022,F
"GRASIM"," EQ"," 15-Feb-2022"," 1642.95"," 1659.30"," 1715.80"," 1618.05"," 1707.90"," 1712.10"," 1663.07"," 1194854"," 19871.25"," 72774"," 549684"," 46.00",16,22,40.90,02/15/2022,F
