symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"GSPL"," EQ"," 25-Mar-2022"," 270.85"," 272.00"," 273.25"," 261.55"," 264.00"," 263.85"," 265.34"," 487765"," 1294.22"," 10871"," 201609"," 41.33",45,54,39.60,03/25/2022,F
"GSPL"," EQ"," 24-Mar-2022"," 269.90"," 268.80"," 274.40"," 268.00"," 270.05"," 270.85"," 271.48"," 1039743"," 2822.65"," 15957"," 548193"," 52.72",65,53,40.02,03/24/2022,T
"GSPL"," EQ"," 23-Mar-2022"," 268.30"," 267.50"," 272.00"," 266.85"," 269.45"," 269.90"," 269.51"," 578024"," 1557.85"," 15144"," 271645"," 47.00",38,53,39.80,03/23/2022,F
"GSPL"," EQ"," 22-Mar-2022"," 269.55"," 272.00"," 272.60"," 262.55"," 267.90"," 268.30"," 267.03"," 888877"," 2373.57"," 16379"," 366792"," 41.26",54,53,40.07,03/22/2022,T
"GSPL"," EQ"," 21-Mar-2022"," 260.65"," 263.50"," 274.40"," 261.20"," 272.00"," 269.55"," 267.24"," 1330702"," 3556.17"," 13160"," 684710"," 51.45",101,54,40.70,03/21/2022,T
"GSPL"," EQ"," 17-Mar-2022"," 262.50"," 263.50"," 264.55"," 257.10"," 262.15"," 260.65"," 260.63"," 1779062"," 4636.80"," 30823"," 960138"," 53.97",58,54,40.26,03/17/2022,T
"GSPL"," EQ"," 16-Mar-2022"," 259.30"," 260.15"," 264.60"," 253.35"," 260.55"," 262.50"," 258.59"," 2107127"," 5448.79"," 23867"," 1260413"," 59.82",88,54,40.51,03/16/2022,T
"GSPL"," EQ"," 15-Mar-2022"," 265.60"," 267.90"," 268.45"," 257.00"," 258.90"," 259.30"," 263.30"," 689486"," 1815.40"," 11048"," 308400"," 44.73",62,53,40.20,03/15/2022,T
"GSPL"," EQ"," 14-Mar-2022"," 267.55"," 268.05"," 270.35"," 263.50"," 266.00"," 265.60"," 266.20"," 548114"," 1459.09"," 11820"," 201161"," 36.70",46,53,39.84,03/14/2022,F
"GSPL"," EQ"," 11-Mar-2022"," 268.10"," 267.80"," 269.00"," 265.15"," 266.65"," 267.55"," 266.75"," 620728"," 1655.82"," 14417"," 300931"," 48.48",43,54,40.06,03/11/2022,F
"GSPL"," EQ"," 10-Mar-2022"," 269.45"," 277.00"," 277.00"," 265.65"," 265.65"," 268.10"," 270.33"," 951621"," 2572.50"," 22317"," 405844"," 42.65",43,55,40.03,03/10/2022,F
"GSPL"," EQ"," 09-Mar-2022"," 268.30"," 271.00"," 271.65"," 261.10"," 268.95"," 269.45"," 266.68"," 1857629"," 4953.93"," 59886"," 889520"," 47.88",31,55,39.65,03/09/2022,F
"GSPL"," EQ"," 08-Mar-2022"," 264.35"," 263.05"," 274.65"," 260.70"," 267.60"," 268.30"," 269.14"," 2355605"," 6339.95"," 42868"," 946441"," 40.18",55,55,39.56,03/08/2022,F
"GSPL"," EQ"," 04-Mar-2022"," 275.60"," 278.00"," 285.55"," 267.85"," 280.00"," 280.60"," 277.97"," 915282"," 2544.19"," 18464"," 168922"," 18.46",50,54,39.08,03/04/2022,F
"GSPL"," EQ"," 03-Mar-2022"," 280.30"," 285.00"," 286.45"," 273.75"," 275.80"," 275.60"," 279.38"," 662878"," 1851.93"," 10584"," 248862"," 37.54",63,55,39.17,03/03/2022,F
"GSPL"," EQ"," 02-Mar-2022"," 289.50"," 288.00"," 292.35"," 277.20"," 280.95"," 280.30"," 284.14"," 1136152"," 3228.30"," 19172"," 427093"," 37.59",59,54,39.00,03/02/2022,F
"GSPL"," EQ"," 28-Feb-2022"," 279.20"," 277.50"," 294.00"," 274.70"," 288.00"," 289.50"," 287.56"," 1667359"," 4794.62"," 22902"," 592395"," 35.53",73,54,38.93,02/28/2022,F
"GSPL"," EQ"," 25-Feb-2022"," 269.65"," 273.80"," 282.50"," 272.50"," 278.50"," 279.20"," 277.66"," 806506"," 2239.30"," 13712"," 202852"," 25.15",59,54,38.83,02/25/2022,F
"GSPL"," EQ"," 24-Feb-2022"," 290.65"," 283.00"," 287.00"," 265.35"," 267.90"," 269.65"," 277.31"," 761357"," 2111.34"," 14065"," 342371"," 44.97",54,53,39.08,02/24/2022,T
"GSPL"," EQ"," 23-Feb-2022"," 278.65"," 282.30"," 296.75"," 281.65"," 290.30"," 290.65"," 292.43"," 3042949"," 8898.38"," 48669"," 585935"," 19.26",63,53,38.83,02/23/2022,F
"GSPL"," EQ"," 22-Feb-2022"," 284.10"," 280.00"," 284.40"," 271.75"," 277.00"," 278.65"," 280.31"," 1535688"," 4304.63"," 19717"," 366975"," 23.90",78,53,39.33,02/22/2022,F
"GSPL"," EQ"," 21-Feb-2022"," 287.85"," 285.00"," 286.65"," 279.20"," 284.95"," 284.10"," 283.23"," 1134422"," 3213.00"," 27679"," 484742"," 42.73",41,52,39.64,02/21/2022,F
"GSPL"," EQ"," 18-Feb-2022"," 288.50"," 287.10"," 291.85"," 285.65"," 287.50"," 287.85"," 288.47"," 274043"," 790.54"," 5310"," 64858"," 23.67",52,52,39.51,02/18/2022,F
"GSPL"," EQ"," 17-Feb-2022"," 292.00"," 294.90"," 296.70"," 287.10"," 287.30"," 288.50"," 290.17"," 444425"," 1289.60"," 10463"," 190481"," 42.86",42,52,39.76,02/17/2022,F
"GSPL"," EQ"," 16-Feb-2022"," 294.25"," 297.00"," 299.25"," 289.95"," 291.45"," 292.00"," 293.41"," 701592"," 2058.57"," 13648"," 287700"," 41.01",51,53,39.47,02/16/2022,F
"GSPL"," EQ"," 15-Feb-2022"," 286.50"," 291.55"," 295.40"," 278.25"," 295.00"," 294.25"," 286.07"," 694312"," 1986.22"," 18868"," 193993"," 27.94",37,53,39.58,02/15/2022,F
"GSPL"," EQ"," 14-Feb-2022"," 297.60"," 294.00"," 297.75"," 283.35"," 284.05"," 286.50"," 290.73"," 862449"," 2507.40"," 19454"," 272785"," 31.63",44,54,39.56,02/14/2022,F
"GSPL"," EQ"," 11-Feb-2022"," 299.25"," 294.95"," 305.80"," 292.85"," 296.60"," 297.60"," 299.38"," 1102480"," 3300.64"," 20405"," 202698"," 18.39",54,54,40.10,02/11/2022,F
"GSPL"," EQ"," 10-Feb-2022"," 302.60"," 302.95"," 306.75"," 297.65"," 298.30"," 299.25"," 301.83"," 488662"," 1474.95"," 11584"," 213744"," 43.74",42,54,40.70,02/10/2022,F
"GSPL"," EQ"," 09-Feb-2022"," 304.25"," 304.25"," 309.70"," 300.70"," 303.60"," 302.60"," 305.19"," 745023"," 2273.73"," 14782"," 226954"," 30.46",50,54,41.05,02/09/2022,F
"GSPL"," EQ"," 08-Feb-2022"," 314.80"," 313.05"," 314.20"," 295.60"," 303.80"," 304.25"," 302.63"," 1272738"," 3851.74"," 23596"," 281957"," 22.15",54,54,41.16,02/08/2022,F
"GSPL"," EQ"," 07-Feb-2022"," 318.70"," 317.85"," 325.40"," 309.20"," 314.30"," 314.80"," 317.77"," 857123"," 2723.67"," 15810"," 253881"," 29.62",54,55,42.07,02/07/2022,F
"GSPL"," EQ"," 04-Feb-2022"," 317.70"," 317.60"," 323.50"," 315.10"," 318.00"," 318.70"," 320.09"," 661189"," 2116.40"," 13127"," 221324"," 33.47",50,56,42.36,02/04/2022,F
"GSPL"," EQ"," 03-Feb-2022"," 314.20"," 316.35"," 328.00"," 315.05"," 316.55"," 317.70"," 322.66"," 3235979"," 10441.13"," 58434"," 929164"," 28.71",55,56,42.50,02/03/2022,F
"GSPL"," EQ"," 02-Feb-2022"," 298.70"," 300.05"," 318.65"," 300.05"," 317.00"," 314.20"," 309.19"," 695368"," 2149.99"," 14778"," 259385"," 37.30",47,56,42.61,02/02/2022,F
"GSPL"," EQ"," 01-Feb-2022"," 300.85"," 301.10"," 305.05"," 297.85"," 299.65"," 298.70"," 302.05"," 787538"," 2378.74"," 18038"," 516968"," 65.64",44,56,42.48,02/01/2022,F
"GSPL"," EQ"," 31-Jan-2022"," 297.85"," 301.00"," 306.35"," 299.55"," 300.55"," 300.85"," 302.97"," 449300"," 1361.23"," 9217"," 130731"," 29.10",49,56,42.07,01/31/2022,F
"GSPL"," EQ"," 28-Jan-2022"," 294.75"," 295.00"," 303.85"," 294.80"," 299.25"," 297.85"," 300.69"," 354432"," 1065.75"," 9296"," 166696"," 47.03",38,56,42.15,01/28/2022,F
"GSPL"," EQ"," 27-Jan-2022"," 302.00"," 302.00"," 302.00"," 292.90"," 294.00"," 294.75"," 296.33"," 514529"," 1524.69"," 15967"," 243932"," 47.41",32,56,42.12,01/27/2022,F
"GSPL"," EQ"," 25-Jan-2022"," 296.45"," 293.00"," 307.90"," 285.95"," 302.20"," 302.00"," 294.33"," 1570060"," 4621.09"," 36333"," 834096"," 53.13",43,56,42.09,01/25/2022,F
"GSPL"," EQ"," 24-Jan-2022"," 312.95"," 313.00"," 313.00"," 294.30"," 296.95"," 296.45"," 301.16"," 886768"," 2670.59"," 33243"," 353044"," 39.81",27,56,42.25,01/24/2022,F
"GSPL"," EQ"," 21-Jan-2022"," 314.35"," 312.95"," 318.90"," 309.15"," 315.00"," 312.95"," 313.57"," 602979"," 1890.74"," 13997"," 212765"," 35.29",43,56,42.54,01/21/2022,F
"GSPL"," EQ"," 20-Jan-2022"," 318.65"," 318.65"," 319.80"," 312.60"," 314.65"," 314.35"," 315.13"," 231586"," 729.79"," 4063"," 102499"," 44.26",57,56,42.90,01/20/2022,T
"GSPL"," EQ"," 19-Jan-2022"," 314.20"," 314.05"," 324.90"," 309.50"," 317.90"," 318.65"," 319.63"," 1092535"," 3492.02"," 18239"," 260143"," 23.81",60,57,43.31,01/19/2022,F
"GSPL"," EQ"," 18-Jan-2022"," 315.60"," 314.95"," 320.00"," 305.05"," 315.35"," 314.20"," 314.65"," 1035748"," 3258.95"," 21191"," 431397"," 41.65",49,56,43.87,01/18/2022,F
