symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HAL"," EQ"," 23-Mar-2022"," 1414.75"," 1439.90"," 1454.05"," 1403.30"," 1406.00"," 1407.10"," 1426.89"," 528491"," 7540.96"," 22825"," 158981"," 30.08",23,25,41.27,03/23/2022,F
"HAL"," EQ"," 22-Mar-2022"," 1446.20"," 1447.00"," 1447.00"," 1398.05"," 1421.00"," 1414.75"," 1417.64"," 569579"," 8074.60"," 20247"," 261175"," 45.85",28,25,41.37,03/22/2022,T
"HAL"," EQ"," 21-Mar-2022"," 1445.80"," 1458.00"," 1470.00"," 1438.85"," 1445.00"," 1446.20"," 1453.51"," 587494"," 8539.28"," 22662"," 224250"," 38.17",26,25,41.25,03/21/2022,F
"HAL"," EQ"," 17-Mar-2022"," 1462.15"," 1486.00"," 1494.00"," 1435.00"," 1450.00"," 1445.80"," 1465.15"," 1222533"," 17911.92"," 53342"," 391456"," 32.02",23,25,41.36,03/17/2022,F
"HAL"," EQ"," 16-Mar-2022"," 1376.80"," 1395.00"," 1481.05"," 1381.10"," 1463.00"," 1462.15"," 1445.10"," 2404349"," 34745.32"," 95246"," 606190"," 25.21",25,25,41.61,03/16/2022,F
"HAL"," EQ"," 15-Mar-2022"," 1381.25"," 1392.90"," 1402.00"," 1358.75"," 1375.00"," 1376.80"," 1382.74"," 396605"," 5484.03"," 20514"," 111184"," 28.03",19,25,41.90,03/15/2022,F
"HAL"," EQ"," 14-Mar-2022"," 1385.10"," 1400.00"," 1404.90"," 1377.10"," 1380.50"," 1381.25"," 1386.86"," 474041"," 6574.28"," 18855"," 219859"," 46.38",25,25,42.26,03/14/2022,F
"HAL"," EQ"," 11-Mar-2022"," 1368.20"," 1370.00"," 1406.00"," 1367.05"," 1381.95"," 1385.10"," 1389.27"," 590120"," 8198.36"," 21469"," 211447"," 35.83",27,25,42.21,03/11/2022,F
"HAL"," EQ"," 10-Mar-2022"," 1335.55"," 1337.55"," 1389.00"," 1337.55"," 1369.90"," 1368.20"," 1368.43"," 612786"," 8385.55"," 25505"," 272562"," 44.48",24,25,42.22,03/10/2022,F
"HAL"," EQ"," 09-Mar-2022"," 1325.70"," 1339.00"," 1357.95"," 1330.00"," 1336.60"," 1335.55"," 1342.27"," 477121"," 6404.26"," 16357"," 265316"," 55.61",29,25,42.51,03/09/2022,T
"HAL"," EQ"," 08-Mar-2022"," 1325.05"," 1341.80"," 1350.00"," 1307.05"," 1324.10"," 1325.70"," 1329.52"," 580465"," 7717.38"," 21783"," 324008"," 55.82",27,25,42.45,03/08/2022,T
"HAL"," EQ"," 04-Mar-2022"," 1377.80"," 1376.00"," 1418.55"," 1361.05"," 1373.50"," 1372.10"," 1390.71"," 722512"," 10048.07"," 37793"," 166270"," 23.01",19,25,42.24,03/04/2022,F
"HAL"," EQ"," 03-Mar-2022"," 1390.40"," 1399.00"," 1424.50"," 1370.95"," 1382.95"," 1377.80"," 1402.58"," 594087"," 8332.53"," 22847"," 260962"," 43.93",26,26,42.26,03/03/2022,F
"HAL"," EQ"," 02-Mar-2022"," 1387.75"," 1386.90"," 1429.95"," 1361.85"," 1396.00"," 1390.40"," 1404.19"," 922635"," 12955.52"," 42710"," 360846"," 39.11",22,25,42.30,03/02/2022,F
"HAL"," EQ"," 28-Feb-2022"," 1314.60"," 1314.00"," 1393.15"," 1285.15"," 1383.00"," 1387.75"," 1349.20"," 744337"," 10042.60"," 23068"," 373104"," 50.13",32,25,42.25,02/28/2022,T
"HAL"," EQ"," 25-Feb-2022"," 1276.25"," 1285.80"," 1332.20"," 1285.80"," 1313.00"," 1314.60"," 1318.59"," 543508"," 7166.65"," 19498"," 273320"," 50.29",28,25,41.86,02/25/2022,T
"HAL"," EQ"," 24-Feb-2022"," 1310.15"," 1290.00"," 1299.30"," 1240.00"," 1280.00"," 1276.25"," 1275.63"," 692025"," 8827.71"," 35113"," 293819"," 42.46",20,25,41.69,02/24/2022,F
"HAL"," EQ"," 23-Feb-2022"," 1281.65"," 1281.00"," 1324.00"," 1281.00"," 1308.00"," 1310.15"," 1310.00"," 584031"," 7650.81"," 19853"," 278207"," 47.64",29,25,41.41,02/23/2022,T
"HAL"," EQ"," 22-Feb-2022"," 1301.05"," 1265.00"," 1289.95"," 1257.00"," 1280.60"," 1281.65"," 1275.93"," 607287"," 7748.57"," 28273"," 317521"," 52.29",21,25,41.38,02/22/2022,F
"HAL"," EQ"," 21-Feb-2022"," 1345.95"," 1330.00"," 1338.00"," 1294.55"," 1295.00"," 1301.05"," 1314.32"," 602643"," 7920.63"," 27540"," 290954"," 48.28",22,25,41.23,02/21/2022,F
"HAL"," EQ"," 18-Feb-2022"," 1364.55"," 1375.00"," 1375.00"," 1340.50"," 1347.00"," 1345.95"," 1360.26"," 615088"," 8366.82"," 21281"," 252069"," 40.98",29,25,41.05,02/18/2022,F
"HAL"," EQ"," 17-Feb-2022"," 1362.85"," 1342.00"," 1375.70"," 1340.00"," 1360.35"," 1364.55"," 1361.04"," 559307"," 7612.38"," 22084"," 280892"," 50.22",25,25,41.05,02/17/2022,F
"HAL"," EQ"," 16-Feb-2022"," 1367.40"," 1374.95"," 1392.00"," 1354.90"," 1363.60"," 1362.85"," 1372.26"," 505004"," 6929.97"," 19343"," 265952"," 52.66",26,25,40.80,02/16/2022,T
"HAL"," EQ"," 15-Feb-2022"," 1332.85"," 1350.00"," 1372.95"," 1316.00"," 1368.75"," 1367.40"," 1342.38"," 324816"," 4360.26"," 16861"," 129165"," 39.77",19,25,40.65,02/15/2022,F
"HAL"," EQ"," 14-Feb-2022"," 1379.95"," 1355.00"," 1364.90"," 1326.10"," 1334.00"," 1332.85"," 1346.00"," 347251"," 4673.98"," 24867"," 130809"," 37.67",14,25,40.85,02/14/2022,F
"HAL"," EQ"," 11-Feb-2022"," 1397.85"," 1370.00"," 1399.00"," 1370.00"," 1376.00"," 1379.95"," 1385.29"," 278609"," 3859.56"," 12183"," 103900"," 37.29",23,25,41.07,02/11/2022,F
"HAL"," EQ"," 10-Feb-2022"," 1414.50"," 1419.00"," 1438.00"," 1383.00"," 1396.55"," 1397.85"," 1410.99"," 996820"," 14065.03"," 38301"," 284752"," 28.57",26,25,41.36,02/10/2022,F
"HAL"," EQ"," 09-Feb-2022"," 1378.05"," 1385.00"," 1423.00"," 1383.10"," 1421.00"," 1414.50"," 1410.56"," 583529"," 8231.06"," 28062"," 341805"," 58.58",21,25,41.41,02/09/2022,F
"HAL"," EQ"," 08-Feb-2022"," 1386.80"," 1390.00"," 1404.00"," 1365.20"," 1374.00"," 1378.05"," 1385.69"," 499717"," 6924.53"," 17204"," 222123"," 44.45",29,25,41.24,02/08/2022,T
"HAL"," EQ"," 07-Feb-2022"," 1400.20"," 1400.20"," 1418.85"," 1382.00"," 1384.00"," 1386.80"," 1396.47"," 314116"," 4386.55"," 22137"," 100816"," 32.10",14,25,41.37,02/07/2022,F
"HAL"," EQ"," 04-Feb-2022"," 1416.65"," 1416.60"," 1433.55"," 1394.60"," 1399.00"," 1400.20"," 1409.62"," 293206"," 4133.08"," 16071"," 107161"," 36.55",18,25,41.72,02/04/2022,F
"HAL"," EQ"," 03-Feb-2022"," 1420.55"," 1425.90"," 1454.00"," 1407.00"," 1413.00"," 1416.65"," 1426.17"," 741303"," 10572.26"," 20895"," 356130"," 48.04",35,25,41.81,02/03/2022,T
"HAL"," EQ"," 02-Feb-2022"," 1441.75"," 1449.00"," 1457.75"," 1411.00"," 1424.70"," 1420.55"," 1429.92"," 623476"," 8915.21"," 21966"," 299518"," 48.04",28,25,41.94,02/02/2022,T
"HAL"," EQ"," 01-Feb-2022"," 1443.70"," 1457.65"," 1474.80"," 1417.50"," 1435.00"," 1441.75"," 1449.64"," 767215"," 11121.83"," 32237"," 274751"," 35.81",24,25,41.99,02/01/2022,F
"HAL"," EQ"," 31-Jan-2022"," 1417.10"," 1448.00"," 1470.50"," 1427.65"," 1445.00"," 1443.70"," 1453.83"," 849331"," 12347.85"," 48586"," 388636"," 45.76",17,25,42.05,01/31/2022,F
"HAL"," EQ"," 28-Jan-2022"," 1422.95"," 1431.90"," 1471.00"," 1405.40"," 1420.95"," 1417.10"," 1445.53"," 961596"," 13900.17"," 36091"," 398510"," 41.44",27,25,42.17,01/28/2022,F
"HAL"," EQ"," 27-Jan-2022"," 1421.30"," 1419.50"," 1429.25"," 1398.45"," 1426.20"," 1422.95"," 1417.37"," 775988"," 10998.65"," 30918"," 418672"," 53.95",25,25,42.16,01/27/2022,F
"HAL"," EQ"," 25-Jan-2022"," 1360.90"," 1341.05"," 1438.00"," 1331.85"," 1425.00"," 1421.30"," 1393.75"," 954040"," 13296.90"," 30630"," 488074"," 51.16",31,25,41.90,01/25/2022,T
"HAL"," EQ"," 24-Jan-2022"," 1418.15"," 1429.90"," 1443.95"," 1345.00"," 1354.80"," 1360.90"," 1394.37"," 1105179"," 15410.25"," 47669"," 508609"," 46.02",23,25,41.87,01/24/2022,F
"HAL"," EQ"," 21-Jan-2022"," 1431.10"," 1425.25"," 1456.85"," 1391.00"," 1418.00"," 1418.15"," 1434.56"," 850897"," 12206.67"," 41770"," 270376"," 31.78",20,25,41.71,01/21/2022,F
"HAL"," EQ"," 20-Jan-2022"," 1432.20"," 1438.40"," 1446.50"," 1413.05"," 1430.00"," 1431.10"," 1432.07"," 609436"," 8727.57"," 29921"," 167451"," 27.48",20,25,41.70,01/20/2022,F
"HAL"," EQ"," 19-Jan-2022"," 1389.55"," 1390.00"," 1442.00"," 1371.25"," 1431.15"," 1432.20"," 1409.92"," 916109"," 12916.38"," 37650"," 203420"," 22.20",24,25,41.82,01/19/2022,F
"HAL"," EQ"," 18-Jan-2022"," 1396.85"," 1399.95"," 1430.00"," 1381.60"," 1392.75"," 1389.55"," 1412.43"," 993366"," 14030.65"," 43574"," 276954"," 27.88",23,25,41.82,01/18/2022,F
"HAL"," EQ"," 17-Jan-2022"," 1365.65"," 1373.95"," 1417.45"," 1358.70"," 1396.00"," 1396.85"," 1394.14"," 1101174"," 15351.86"," 52755"," 298276"," 27.09",21,25,41.70,01/17/2022,F
"HAL"," EQ"," 14-Jan-2022"," 1319.75"," 1319.85"," 1372.00"," 1311.95"," 1368.00"," 1365.65"," 1346.29"," 880246"," 11850.65"," 35998"," 270486"," 30.73",24,25,41.64,01/14/2022,F
"HAL"," EQ"," 13-Jan-2022"," 1312.60"," 1314.95"," 1328.00"," 1300.80"," 1319.25"," 1319.75"," 1316.16"," 390006"," 5133.09"," 17467"," 160335"," 41.11",22,25,41.81,01/13/2022,F
"HAL"," EQ"," 12-Jan-2022"," 1280.20"," 1287.00"," 1319.30"," 1285.15"," 1310.25"," 1312.60"," 1310.16"," 846271"," 11087.47"," 37591"," 348442"," 41.17",23,25,41.74,01/12/2022,F
"HAL"," EQ"," 11-Jan-2022"," 1296.25"," 1295.60"," 1305.75"," 1271.00"," 1280.00"," 1280.20"," 1286.20"," 1456787"," 18737.25"," 37334"," 496008"," 34.05",39,25,41.51,01/11/2022,F
"HAL"," EQ"," 10-Jan-2022"," 1256.60"," 1256.65"," 1300.00"," 1256.65"," 1294.05"," 1296.25"," 1284.30"," 1426483"," 18320.27"," 43300"," 810480"," 56.82",33,25,41.48,01/10/2022,T
"HAL"," EQ"," 07-Jan-2022"," 1248.35"," 1248.55"," 1273.00"," 1248.55"," 1254.90"," 1256.60"," 1261.34"," 471235"," 5943.86"," 16500"," 200856"," 42.62",29,24,41.23,01/07/2022,T
"HAL"," EQ"," 06-Jan-2022"," 1269.70"," 1271.00"," 1276.00"," 1244.90"," 1247.55"," 1248.35"," 1257.29"," 765932"," 9629.97"," 17754"," 403826"," 52.72",43,24,41.38,01/06/2022,T
"HAL"," EQ"," 05-Jan-2022"," 1248.60"," 1254.90"," 1278.85"," 1240.10"," 1275.05"," 1269.70"," 1261.10"," 757285"," 9550.14"," 19660"," 386347"," 51.02",39,24,41.35,01/05/2022,T
"HAL"," EQ"," 04-Jan-2022"," 1233.70"," 1236.70"," 1266.90"," 1233.25"," 1252.25"," 1248.60"," 1252.68"," 1052122"," 13179.68"," 33046"," 529689"," 50.34",32,24,41.00,01/04/2022,T
"HAL"," EQ"," 03-Jan-2022"," 1210.65"," 1214.00"," 1245.65"," 1212.05"," 1232.00"," 1233.70"," 1234.71"," 552027"," 6815.92"," 15088"," 304123"," 55.09",37,24,40.69,01/03/2022,T
"HAL"," EQ"," 31-Dec-2021"," 1211.20"," 1211.25"," 1232.00"," 1208.50"," 1209.55"," 1210.65"," 1217.17"," 569433"," 6930.96"," 14065"," 404919"," 71.11",40,24,40.59,12/31/2021,T
"HAL"," EQ"," 30-Dec-2021"," 1228.35"," 1225.00"," 1226.05"," 1206.70"," 1211.00"," 1211.20"," 1214.53"," 179223"," 2176.71"," 11078"," 74304"," 41.46",16,23,40.14,12/30/2021,F
"HAL"," EQ"," 29-Dec-2021"," 1237.35"," 1235.00"," 1244.70"," 1226.00"," 1226.00"," 1228.35"," 1232.71"," 185866"," 2291.19"," 10583"," 64728"," 34.83",18,23,39.94,12/29/2021,F
"HAL"," EQ"," 28-Dec-2021"," 1220.50"," 1225.00"," 1244.45"," 1224.95"," 1236.10"," 1237.35"," 1235.30"," 216761"," 2677.66"," 9753"," 51294"," 23.66",22,24,40.25,12/28/2021,F
"HAL"," EQ"," 27-Dec-2021"," 1230.25"," 1230.25"," 1236.70"," 1213.10"," 1217.60"," 1220.50"," 1221.67"," 284196"," 3471.95"," 12815"," 79395"," 27.94",22,23,40.48,12/27/2021,F
"HAL"," EQ"," 24-Dec-2021"," 1242.50"," 1241.00"," 1244.35"," 1221.00"," 1230.00"," 1230.25"," 1232.40"," 118640"," 1462.12"," 5980"," 36891"," 31.09",20,23,40.68,12/24/2021,F
"HAL"," EQ"," 23-Dec-2021"," 1245.50"," 1252.80"," 1254.75"," 1235.10"," 1244.00"," 1242.50"," 1243.28"," 171645"," 2134.02"," 7021"," 53730"," 31.30",24,23,40.84,12/23/2021,F
"HAL"," EQ"," 22-Dec-2021"," 1214.70"," 1220.80"," 1260.00"," 1215.30"," 1242.90"," 1245.50"," 1236.64"," 277181"," 3427.74"," 15410"," 101250"," 36.53",18,23,41.00,12/22/2021,F
"HAL"," EQ"," 21-Dec-2021"," 1216.05"," 1220.00"," 1232.40"," 1205.25"," 1217.95"," 1214.70"," 1219.57"," 213971"," 2609.53"," 16853"," 81726"," 38.19",13,23,40.74,12/21/2021,F
"HAL"," EQ"," 20-Dec-2021"," 1247.70"," 1235.20"," 1235.80"," 1181.20"," 1208.00"," 1216.05"," 1205.91"," 1009618"," 12175.11"," 36522"," 260179"," 25.77",28,24,40.52,12/20/2021,F
"HAL"," EQ"," 17-Dec-2021"," 1280.90"," 1282.00"," 1285.70"," 1239.25"," 1244.00"," 1247.70"," 1255.74"," 1118937"," 14050.90"," 55961"," 682583"," 61.00",20,24,40.73,12/17/2021,F
"HAL"," EQ"," 16-Dec-2021"," 1286.55"," 1299.30"," 1303.00"," 1275.00"," 1290.00"," 1280.90"," 1284.91"," 563276"," 7237.61"," 25593"," 264614"," 46.98",22,24,40.38,12/16/2021,F
"HAL"," EQ"," 15-Dec-2021"," 1287.60"," 1287.00"," 1308.90"," 1283.65"," 1286.30"," 1286.55"," 1294.77"," 281134"," 3640.05"," 14254"," 122934"," 43.73",20,24,40.15,12/15/2021,F
"HAL"," EQ"," 14-Dec-2021"," 1311.50"," 1308.00"," 1308.00"," 1281.00"," 1288.00"," 1287.60"," 1293.03"," 385180"," 4980.50"," 17008"," 191954"," 49.83",23,24,39.93,12/14/2021,F
"HAL"," EQ"," 13-Dec-2021"," 1305.10"," 1315.90"," 1325.95"," 1300.00"," 1311.95"," 1311.50"," 1314.56"," 532434"," 6999.19"," 19748"," 230947"," 43.38",27,24,39.38,12/13/2021,T
"HAL"," EQ"," 10-Dec-2021"," 1292.40"," 1292.40"," 1321.60"," 1292.40"," 1304.95"," 1305.10"," 1311.40"," 707800"," 9282.06"," 24397"," 260229"," 36.77",29,24,39.00,12/10/2021,F
"HAL"," EQ"," 09-Dec-2021"," 1291.95"," 1298.45"," 1307.85"," 1286.85"," 1296.00"," 1292.40"," 1298.15"," 580505"," 7535.84"," 11598"," 360439"," 62.09",50,24,39.03,12/09/2021,T
"HAL"," EQ"," 08-Dec-2021"," 1286.35"," 1296.00"," 1314.00"," 1288.75"," 1296.00"," 1291.95"," 1301.84"," 448390"," 5837.30"," 14553"," 232519"," 51.86",31,24,38.45,12/08/2021,T
"HAL"," EQ"," 07-Dec-2021"," 1278.45"," 1289.90"," 1311.80"," 1280.00"," 1282.00"," 1286.35"," 1294.27"," 522183"," 6758.44"," 17303"," 283691"," 54.33",30,23,38.14,12/07/2021,T
"HAL"," EQ"," 06-Dec-2021"," 1296.50"," 1298.65"," 1316.70"," 1271.40"," 1278.80"," 1278.45"," 1298.37"," 536914"," 6971.16"," 22541"," 166888"," 31.08",24,23,37.58,12/06/2021,F
"HAL"," EQ"," 03-Dec-2021"," 1300.85"," 1307.00"," 1328.00"," 1291.15"," 1298.00"," 1296.50"," 1314.44"," 545693"," 7172.79"," 19552"," 133220"," 24.41",28,23,37.50,12/03/2021,F
"HAL"," EQ"," 02-Dec-2021"," 1308.95"," 1310.00"," 1311.50"," 1293.20"," 1304.00"," 1300.85"," 1300.69"," 193451"," 2516.20"," 9261"," 88974"," 45.99",21,24,37.23,12/02/2021,F
"HAL"," EQ"," 01-Dec-2021"," 1276.90"," 1277.40"," 1314.95"," 1271.70"," 1308.75"," 1308.95"," 1295.85"," 428232"," 5549.23"," 22384"," 160367"," 37.45",19,24,36.76,12/01/2021,F
"HAL"," EQ"," 30-Nov-2021"," 1298.50"," 1290.00"," 1311.00"," 1270.10"," 1270.10"," 1276.90"," 1290.34"," 419921"," 5418.43"," 20060"," 171064"," 40.74",21,24,36.45,11/30/2021,F
"HAL"," EQ"," 29-Nov-2021"," 1285.90"," 1285.00"," 1316.45"," 1235.15"," 1281.85"," 1298.50"," 1289.51"," 818928"," 10560.15"," 39026"," 210041"," 25.65",21,24,36.03,11/29/2021,F
"HAL"," EQ"," 26-Nov-2021"," 1352.55"," 1336.25"," 1348.00"," 1275.00"," 1290.05"," 1285.90"," 1310.77"," 515497"," 6756.98"," 23734"," 200740"," 38.94",22,24,35.83,11/26/2021,F
"HAL"," EQ"," 25-Nov-2021"," 1375.95"," 1365.00"," 1377.30"," 1350.00"," 1353.95"," 1352.55"," 1364.54"," 713739"," 9739.27"," 21877"," 177811"," 24.91",33,24,35.51,11/25/2021,F
"HAL"," EQ"," 24-Nov-2021"," 1405.60"," 1419.70"," 1419.70"," 1365.20"," 1368.30"," 1375.95"," 1387.71"," 466266"," 6470.41"," 19743"," 212400"," 45.55",24,24,35.41,11/24/2021,F
"HAL"," EQ"," 23-Nov-2021"," 1362.35"," 1350.00"," 1416.00"," 1339.00"," 1410.00"," 1405.60"," 1399.50"," 991721"," 13879.11"," 50756"," 421014"," 42.45",20,24,35.10,11/23/2021,F
"HAL"," EQ"," 22-Nov-2021"," 1383.60"," 1397.00"," 1412.60"," 1343.50"," 1364.00"," 1362.35"," 1379.15"," 617175"," 8511.79"," 32859"," 228107"," 36.96",19,24,35.21,11/22/2021,F
"HAL"," EQ"," 18-Nov-2021"," 1406.10"," 1410.00"," 1418.30"," 1366.35"," 1380.00"," 1383.60"," 1390.24"," 394110"," 5479.08"," 28937"," 137042"," 34.77",14,24,35.31,11/18/2021,F
"HAL"," EQ"," 17-Nov-2021"," 1429.40"," 1424.95"," 1429.80"," 1395.80"," 1411.85"," 1406.10"," 1410.68"," 877343"," 12376.49"," 38901"," 376659"," 42.93",23,24,35.32,11/17/2021,F
"HAL"," EQ"," 16-Nov-2021"," 1422.50"," 1419.00"," 1456.00"," 1413.60"," 1433.00"," 1429.40"," 1441.17"," 987889"," 14237.14"," 51962"," 515140"," 52.15",19,24,35.18,11/16/2021,F
"HAL"," EQ"," 15-Nov-2021"," 1417.15"," 1425.00"," 1440.00"," 1408.00"," 1413.05"," 1422.50"," 1428.40"," 668841"," 9553.73"," 30533"," 345153"," 51.60",22,24,34.98,11/15/2021,F
"HAL"," EQ"," 12-Nov-2021"," 1395.05"," 1415.00"," 1422.50"," 1378.00"," 1420.90"," 1417.15"," 1406.79"," 1380016"," 19413.91"," 45883"," 768127"," 55.66",30,24,34.84,11/12/2021,T
"HAL"," EQ"," 11-Nov-2021"," 1374.90"," 1375.90"," 1414.55"," 1360.10"," 1409.00"," 1395.05"," 1394.12"," 1620715"," 22594.65"," 69698"," 511214"," 31.54",23,24,34.34,11/11/2021,F
"HAL"," EQ"," 10-Nov-2021"," 1369.00"," 1367.00"," 1389.50"," 1366.00"," 1373.50"," 1374.90"," 1378.34"," 563647"," 7768.98"," 25850"," 269539"," 47.82",22,24,34.59,11/10/2021,F
