symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HAVELLS"," EQ"," 25-Mar-2022"," 1146.15"," 1150.50"," 1160.00"," 1132.70"," 1145.00"," 1148.55"," 1145.15"," 778720"," 8917.51"," 34525"," 403331"," 51.79",23,24,45.03,03/25/2022,F
"HAVELLS"," EQ"," 24-Mar-2022"," 1141.35"," 1135.00"," 1152.70"," 1126.65"," 1138.50"," 1146.15"," 1142.82"," 838633"," 9584.10"," 34877"," 422385"," 50.37",24,24,44.87,03/24/2022,F
"HAVELLS"," EQ"," 23-Mar-2022"," 1124.95"," 1135.00"," 1161.95"," 1132.10"," 1142.90"," 1141.35"," 1146.07"," 1613189"," 18488.23"," 57267"," 706693"," 43.81",28,24,44.77,03/23/2022,F
"HAVELLS"," EQ"," 22-Mar-2022"," 1137.15"," 1139.95"," 1144.00"," 1096.00"," 1127.00"," 1124.95"," 1115.65"," 1207877"," 13475.65"," 44102"," 416757"," 34.50",27,24,44.80,03/22/2022,F
"HAVELLS"," EQ"," 21-Mar-2022"," 1147.10"," 1148.60"," 1164.25"," 1131.05"," 1137.00"," 1137.15"," 1150.89"," 1000399"," 11513.54"," 35150"," 287326"," 28.72",28,24,44.80,03/21/2022,F
"HAVELLS"," EQ"," 17-Mar-2022"," 1136.35"," 1159.10"," 1177.00"," 1143.65"," 1153.65"," 1147.10"," 1161.59"," 1955444"," 22714.25"," 72466"," 821926"," 42.03",27,24,45.11,03/17/2022,F
"HAVELLS"," EQ"," 16-Mar-2022"," 1082.05"," 1098.00"," 1138.95"," 1096.00"," 1134.45"," 1136.35"," 1125.50"," 1669435"," 18789.45"," 54589"," 381098"," 22.83",31,24,45.25,03/16/2022,F
"HAVELLS"," EQ"," 15-Mar-2022"," 1095.70"," 1099.90"," 1114.10"," 1072.60"," 1085.60"," 1082.05"," 1095.28"," 1158265"," 12686.22"," 51458"," 586983"," 50.68",23,23,45.78,03/15/2022,F
"HAVELLS"," EQ"," 14-Mar-2022"," 1092.60"," 1103.00"," 1103.00"," 1075.00"," 1096.80"," 1095.70"," 1090.63"," 776057"," 8463.95"," 32623"," 286142"," 36.87",24,23,45.76,03/14/2022,F
"HAVELLS"," EQ"," 11-Mar-2022"," 1127.70"," 1120.00"," 1122.80"," 1088.30"," 1094.40"," 1092.60"," 1098.29"," 1395420"," 15325.70"," 58696"," 647023"," 46.37",24,24,46.01,03/11/2022,F
"HAVELLS"," EQ"," 10-Mar-2022"," 1092.65"," 1115.00"," 1134.20"," 1105.60"," 1127.00"," 1127.70"," 1121.74"," 1520340"," 17054.22"," 44252"," 881344"," 57.97",34,24,46.04,03/10/2022,T
"HAVELLS"," EQ"," 09-Mar-2022"," 1075.35"," 1079.00"," 1111.00"," 1076.00"," 1093.00"," 1092.65"," 1095.00"," 1113825"," 12196.37"," 49350"," 579117"," 51.99",23,23,45.91,03/09/2022,F
"HAVELLS"," EQ"," 08-Mar-2022"," 1072.05"," 1068.00"," 1084.65"," 1040.00"," 1075.00"," 1075.35"," 1060.60"," 1378391"," 14619.19"," 44567"," 538816"," 39.09",31,23,45.68,03/08/2022,F
"HAVELLS"," EQ"," 04-Mar-2022"," 1104.35"," 1092.00"," 1096.40"," 1063.00"," 1087.00"," 1084.00"," 1078.17"," 1210864"," 13055.15"," 69999"," 512019"," 42.29",17,23,45.68,03/04/2022,F
"HAVELLS"," EQ"," 03-Mar-2022"," 1148.85"," 1160.30"," 1166.20"," 1088.60"," 1101.00"," 1104.35"," 1113.81"," 1729863"," 19267.40"," 83951"," 877087"," 50.70",21,24,45.74,03/03/2022,F
"HAVELLS"," EQ"," 02-Mar-2022"," 1185.70"," 1175.00"," 1184.20"," 1137.80"," 1154.85"," 1148.85"," 1153.39"," 1512687"," 17447.14"," 56846"," 801085"," 52.96",27,24,45.74,03/02/2022,T
"HAVELLS"," EQ"," 28-Feb-2022"," 1168.40"," 1156.20"," 1191.80"," 1118.85"," 1184.20"," 1185.70"," 1157.97"," 1813314"," 20997.62"," 60708"," 948255"," 52.29",30,24,45.62,02/28/2022,T
"HAVELLS"," EQ"," 25-Feb-2022"," 1147.40"," 1155.30"," 1191.00"," 1152.15"," 1167.80"," 1168.40"," 1169.90"," 1201568"," 14057.17"," 40023"," 575664"," 47.91",30,24,45.47,02/25/2022,T
"HAVELLS"," EQ"," 24-Feb-2022"," 1201.25"," 1150.00"," 1180.25"," 1140.05"," 1146.00"," 1147.40"," 1162.00"," 1658545"," 19272.28"," 57103"," 991127"," 59.76",29,24,45.36,02/24/2022,T
"HAVELLS"," EQ"," 23-Feb-2022"," 1203.45"," 1207.00"," 1217.45"," 1198.35"," 1202.00"," 1201.25"," 1208.20"," 627290"," 7578.94"," 26642"," 304787"," 48.59",24,24,45.23,02/23/2022,F
"HAVELLS"," EQ"," 22-Feb-2022"," 1201.15"," 1194.40"," 1208.10"," 1166.10"," 1200.70"," 1203.45"," 1194.13"," 847355"," 10118.53"," 34216"," 393341"," 46.42",25,24,45.36,02/22/2022,T
"HAVELLS"," EQ"," 21-Feb-2022"," 1201.30"," 1198.00"," 1205.85"," 1179.55"," 1200.00"," 1201.15"," 1194.29"," 578419"," 6908.01"," 13235"," 353834"," 61.17",44,24,45.32,02/21/2022,T
"HAVELLS"," EQ"," 18-Feb-2022"," 1206.95"," 1197.00"," 1211.45"," 1191.05"," 1200.75"," 1201.30"," 1203.40"," 632744"," 7614.46"," 31442"," 244681"," 38.67",20,24,44.93,02/18/2022,F
"HAVELLS"," EQ"," 17-Feb-2022"," 1206.40"," 1210.00"," 1219.30"," 1192.50"," 1204.95"," 1206.95"," 1208.71"," 846963"," 10237.34"," 45204"," 380517"," 44.93",19,24,45.03,02/17/2022,F
"HAVELLS"," EQ"," 16-Feb-2022"," 1189.80"," 1195.00"," 1217.50"," 1180.25"," 1204.00"," 1206.40"," 1201.81"," 623551"," 7493.89"," 29175"," 257833"," 41.35",21,24,45.11,02/16/2022,F
