symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HCLTECH"," EQ"," 25-Mar-2022"," 1192.10"," 1199.00"," 1199.00"," 1175.40"," 1184.00"," 1179.35"," 1185.74"," 2489854"," 29523.17"," 80994"," 1357167"," 54.51",31,30,56.61,03/25/2022,F
"HCLTECH"," EQ"," 24-Mar-2022"," 1180.70"," 1169.00"," 1194.00"," 1169.00"," 1191.90"," 1192.10"," 1185.76"," 2351703"," 27885.48"," 72402"," 1292633"," 54.97",32,31,56.49,03/24/2022,F
"HCLTECH"," EQ"," 23-Mar-2022"," 1176.40"," 1190.00"," 1190.85"," 1170.00"," 1179.50"," 1180.70"," 1181.77"," 2338886"," 27640.31"," 90625"," 1263390"," 54.02",26,31,56.59,03/23/2022,F
"HCLTECH"," EQ"," 22-Mar-2022"," 1168.05"," 1170.00"," 1181.75"," 1162.30"," 1180.00"," 1176.40"," 1173.35"," 4516870"," 52998.75"," 97208"," 2942684"," 65.15",46,31,56.50,03/22/2022,T
"HCLTECH"," EQ"," 21-Mar-2022"," 1196.90"," 1199.90"," 1209.90"," 1165.10"," 1167.00"," 1168.05"," 1184.45"," 4046440"," 47928.25"," 117759"," 2526139"," 62.43",34,31,56.28,03/21/2022,T
"HCLTECH"," EQ"," 17-Mar-2022"," 1199.50"," 1215.00"," 1215.00"," 1190.80"," 1194.50"," 1196.90"," 1197.56"," 6987787"," 83683.24"," 154666"," 4368831"," 62.52",45,31,56.28,03/17/2022,T
"HCLTECH"," EQ"," 16-Mar-2022"," 1176.85"," 1190.15"," 1202.95"," 1185.00"," 1197.00"," 1199.50"," 1192.73"," 1894018"," 22590.58"," 86173"," 1054971"," 55.70",22,30,56.09,03/16/2022,F
"HCLTECH"," EQ"," 15-Mar-2022"," 1202.85"," 1207.00"," 1214.30"," 1168.10"," 1179.40"," 1176.85"," 1188.64"," 3003066"," 35695.70"," 135033"," 1676167"," 55.82",22,30,56.09,03/15/2022,F
"HCLTECH"," EQ"," 14-Mar-2022"," 1193.45"," 1193.45"," 1214.80"," 1177.65"," 1207.50"," 1202.85"," 1200.58"," 5740660"," 68921.22"," 180125"," 3430086"," 59.75",32,30,56.08,03/14/2022,T
"HCLTECH"," EQ"," 11-Mar-2022"," 1192.15"," 1180.00"," 1207.15"," 1176.30"," 1193.95"," 1193.45"," 1194.47"," 2770879"," 33097.30"," 106304"," 1431009"," 51.64",26,30,56.05,03/11/2022,F
"HCLTECH"," EQ"," 10-Mar-2022"," 1182.70"," 1198.20"," 1198.20"," 1175.00"," 1190.90"," 1192.15"," 1186.24"," 3834327"," 45484.42"," 174344"," 2223024"," 57.98",22,30,55.97,03/10/2022,F
"HCLTECH"," EQ"," 09-Mar-2022"," 1175.30"," 1180.00"," 1195.00"," 1161.10"," 1179.95"," 1182.70"," 1187.04"," 3781326"," 44885.77"," 150570"," 1974930"," 52.23",25,30,55.77,03/09/2022,F
"HCLTECH"," EQ"," 08-Mar-2022"," 1154.20"," 1156.00"," 1179.60"," 1155.00"," 1172.95"," 1175.30"," 1170.63"," 3805165"," 44544.24"," 186833"," 1854217"," 48.73",20,31,55.68,03/08/2022,F
"HCLTECH"," EQ"," 04-Mar-2022"," 1139.70"," 1128.00"," 1154.85"," 1122.65"," 1139.95"," 1138.45"," 1141.58"," 3522375"," 40210.74"," 152935"," 2038595"," 57.88",23,31,55.65,03/04/2022,F
"HCLTECH"," EQ"," 03-Mar-2022"," 1115.55"," 1125.00"," 1152.00"," 1120.50"," 1137.15"," 1139.70"," 1141.11"," 3969380"," 45295.18"," 114308"," 2399250"," 60.44",35,31,55.76,03/03/2022,T
"HCLTECH"," EQ"," 02-Mar-2022"," 1126.95"," 1124.65"," 1124.65"," 1109.00"," 1114.00"," 1115.55"," 1114.89"," 3867328"," 43116.35"," 147696"," 2726839"," 70.51",26,31,55.76,03/02/2022,F
"HCLTECH"," EQ"," 28-Feb-2022"," 1129.70"," 1119.60"," 1133.30"," 1107.00"," 1126.00"," 1126.95"," 1124.15"," 4571884"," 51395.06"," 132686"," 3016656"," 65.98",34,31,55.77,02/28/2022,T
"HCLTECH"," EQ"," 25-Feb-2022"," 1098.55"," 1115.60"," 1141.00"," 1115.00"," 1131.35"," 1129.70"," 1132.07"," 3213276"," 36376.44"," 121008"," 1958649"," 60.95",27,31,55.26,02/25/2022,F
"HCLTECH"," EQ"," 24-Feb-2022"," 1153.00"," 1106.00"," 1134.95"," 1092.00"," 1099.00"," 1098.55"," 1106.09"," 5469084"," 60492.93"," 176157"," 3668530"," 67.08",31,31,55.15,02/24/2022,F
"HCLTECH"," EQ"," 23-Feb-2022"," 1149.55"," 1156.00"," 1159.00"," 1148.05"," 1151.00"," 1153.00"," 1153.42"," 1937649"," 22349.26"," 59302"," 1156511"," 59.69",33,31,55.16,02/23/2022,T
"HCLTECH"," EQ"," 22-Feb-2022"," 1164.75"," 1132.00"," 1154.15"," 1132.00"," 1152.90"," 1149.55"," 1146.92"," 3254855"," 37330.69"," 117879"," 1910853"," 58.71",28,31,55.21,02/22/2022,F
"HCLTECH"," EQ"," 21-Feb-2022"," 1165.00"," 1153.10"," 1169.50"," 1150.20"," 1164.00"," 1164.75"," 1160.94"," 1706058"," 19806.34"," 48258"," 843155"," 49.42",35,31,55.36,02/21/2022,F
"HCLTECH"," EQ"," 18-Feb-2022"," 1163.05"," 1152.85"," 1170.10"," 1150.10"," 1165.60"," 1165.00"," 1160.52"," 2166690"," 25144.78"," 58646"," 1186112"," 54.74",37,31,55.48,02/18/2022,F
"HCLTECH"," EQ"," 17-Feb-2022"," 1167.80"," 1174.00"," 1174.00"," 1160.00"," 1161.90"," 1163.05"," 1166.30"," 1644055"," 19174.55"," 52253"," 783671"," 47.67",31,31,55.49,02/17/2022,F
"HCLTECH"," EQ"," 16-Feb-2022"," 1168.55"," 1178.00"," 1182.65"," 1160.00"," 1164.80"," 1167.80"," 1170.98"," 1885868"," 22083.19"," 80567"," 921556"," 48.87",23,31,55.76,02/16/2022,F
