symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HDFCAMC"," EQ"," 23-Mar-2022"," 2160.35"," 2169.60"," 2242.80"," 2169.60"," 2216.00"," 2218.95"," 2217.51"," 595258"," 13199.92"," 36660"," 299130"," 50.25",16,13,53.61,03/23/2022,F
"HDFCAMC"," EQ"," 22-Mar-2022"," 2152.85"," 2152.85"," 2166.85"," 2121.00"," 2157.80"," 2160.35"," 2149.24"," 277448"," 5963.03"," 16718"," 126351"," 45.54",17,13,53.76,03/22/2022,F
"HDFCAMC"," EQ"," 21-Mar-2022"," 2238.00"," 2246.75"," 2255.75"," 2145.60"," 2149.80"," 2152.85"," 2195.36"," 367894"," 8076.60"," 25436"," 235132"," 63.91",14,13,53.82,03/21/2022,T
"HDFCAMC"," EQ"," 17-Mar-2022"," 2209.20"," 2245.00"," 2249.50"," 2227.00"," 2244.05"," 2238.00"," 2240.26"," 378862"," 8487.50"," 23499"," 240395"," 63.45",16,14,53.81,03/17/2022,T
"HDFCAMC"," EQ"," 16-Mar-2022"," 2132.15"," 2150.00"," 2227.00"," 2145.90"," 2207.00"," 2209.20"," 2195.20"," 480898"," 10556.65"," 32640"," 168054"," 34.95",15,13,53.66,03/16/2022,F
"HDFCAMC"," EQ"," 15-Mar-2022"," 2154.65"," 2151.15"," 2173.95"," 2118.65"," 2130.15"," 2132.15"," 2146.93"," 260369"," 5589.93"," 18884"," 139882"," 53.72",14,13,54.13,03/15/2022,F
"HDFCAMC"," EQ"," 14-Mar-2022"," 2167.80"," 2164.90"," 2173.70"," 2118.00"," 2160.05"," 2154.65"," 2144.52"," 241260"," 5173.86"," 16201"," 129792"," 53.80",15,13,54.17,03/14/2022,F
"HDFCAMC"," EQ"," 11-Mar-2022"," 2169.40"," 2173.00"," 2179.00"," 2140.00"," 2160.00"," 2167.80"," 2157.85"," 284426"," 6137.49"," 19121"," 160940"," 56.58",15,13,54.27,03/11/2022,T
"HDFCAMC"," EQ"," 10-Mar-2022"," 2133.40"," 2185.00"," 2185.00"," 2140.45"," 2169.05"," 2169.40"," 2160.97"," 318952"," 6892.47"," 24877"," 187712"," 58.85",13,13,54.39,03/10/2022,F
"HDFCAMC"," EQ"," 09-Mar-2022"," 2103.90"," 2125.00"," 2155.95"," 2080.15"," 2134.60"," 2133.40"," 2123.61"," 258617"," 5492.03"," 19619"," 101602"," 39.29",13,13,54.21,03/09/2022,F
