symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HDFCBANK"," EQ"," 25-Mar-2022"," 1442.65"," 1451.00"," 1452.00"," 1419.00"," 1436.80"," 1430.90"," 1430.95"," 8183231"," 117097.62"," 223085"," 5210224"," 63.67",37,34,61.49,03/25/2022,T
"HDFCBANK"," EQ"," 24-Mar-2022"," 1479.25"," 1466.00"," 1469.65"," 1434.55"," 1442.90"," 1442.65"," 1449.15"," 10080022"," 146074.33"," 247575"," 5645030"," 56.00",41,34,61.23,03/24/2022,F
"HDFCBANK"," EQ"," 23-Mar-2022"," 1494.15"," 1507.00"," 1518.80"," 1473.60"," 1479.15"," 1479.25"," 1481.70"," 15594128"," 231058.06"," 201491"," 12617083"," 80.91",77,33,61.48,03/23/2022,T
"HDFCBANK"," EQ"," 22-Mar-2022"," 1486.50"," 1481.30"," 1498.00"," 1457.20"," 1496.80"," 1494.15"," 1478.67"," 5230907"," 77347.91"," 217951"," 2596078"," 49.63",24,33,61.16,03/22/2022,F
"HDFCBANK"," EQ"," 21-Mar-2022"," 1480.05"," 1487.00"," 1493.65"," 1472.80"," 1487.40"," 1486.50"," 1484.44"," 6128938"," 90980.11"," 204348"," 4058527"," 66.22",30,33,61.39,03/21/2022,F
"HDFCBANK"," EQ"," 17-Mar-2022"," 1448.15"," 1472.00"," 1489.80"," 1470.55"," 1477.95"," 1480.05"," 1482.21"," 7411977"," 109860.73"," 237930"," 4437033"," 59.86",31,33,61.21,03/17/2022,F
"HDFCBANK"," EQ"," 16-Mar-2022"," 1424.00"," 1447.00"," 1455.00"," 1436.20"," 1445.95"," 1448.15"," 1446.50"," 6682054"," 96656.23"," 223791"," 4412774"," 66.04",30,33,61.31,03/16/2022,F
"HDFCBANK"," EQ"," 15-Mar-2022"," 1442.55"," 1443.50"," 1449.50"," 1411.75"," 1422.00"," 1424.00"," 1435.02"," 9433964"," 135379.49"," 277249"," 6025245"," 63.87",34,33,61.26,03/15/2022,T
"HDFCBANK"," EQ"," 14-Mar-2022"," 1396.80"," 1415.00"," 1450.00"," 1415.00"," 1442.25"," 1442.55"," 1433.68"," 12509063"," 179339.41"," 344549"," 7220428"," 57.72",36,33,61.21,03/14/2022,F
"HDFCBANK"," EQ"," 11-Mar-2022"," 1392.70"," 1388.00"," 1408.95"," 1372.70"," 1396.00"," 1396.80"," 1396.47"," 7575390"," 105787.98"," 204283"," 4434451"," 58.54",37,33,61.22,03/11/2022,F
"HDFCBANK"," EQ"," 10-Mar-2022"," 1371.15"," 1427.00"," 1427.00"," 1380.25"," 1388.90"," 1392.70"," 1404.82"," 11136603"," 156448.71"," 277256"," 5815424"," 52.22",40,33,61.31,03/10/2022,F
"HDFCBANK"," EQ"," 09-Mar-2022"," 1327.80"," 1330.00"," 1374.70"," 1318.85"," 1371.05"," 1371.15"," 1347.62"," 11567347"," 155883.58"," 330592"," 7459892"," 64.49",35,33,61.54,03/09/2022,T
"HDFCBANK"," EQ"," 08-Mar-2022"," 1324.80"," 1302.20"," 1334.00"," 1292.00"," 1333.00"," 1327.80"," 1305.18"," 19606246"," 255896.78"," 527016"," 11934591"," 60.87",37,33,61.69,03/08/2022,F
"HDFCBANK"," EQ"," 04-Mar-2022"," 1371.00"," 1360.00"," 1386.00"," 1336.90"," 1364.95"," 1366.50"," 1359.66"," 10609682"," 144255.85"," 351310"," 7005918"," 66.03",30,33,61.70,03/04/2022,F
"HDFCBANK"," EQ"," 03-Mar-2022"," 1374.25"," 1381.00"," 1392.00"," 1362.90"," 1373.35"," 1371.00"," 1377.34"," 8763961"," 120709.40"," 355777"," 5607536"," 63.98",25,33,61.71,03/03/2022,F
"HDFCBANK"," EQ"," 02-Mar-2022"," 1426.25"," 1386.50"," 1398.40"," 1354.40"," 1378.55"," 1374.25"," 1372.96"," 19252780"," 264333.17"," 590118"," 13593351"," 70.60",33,33,61.78,03/02/2022,F
"HDFCBANK"," EQ"," 28-Feb-2022"," 1456.10"," 1426.00"," 1438.55"," 1414.05"," 1428.80"," 1426.25"," 1424.95"," 12440416"," 177269.91"," 337515"," 9206870"," 74.01",37,33,61.79,02/28/2022,T
"HDFCBANK"," EQ"," 25-Feb-2022"," 1419.40"," 1439.95"," 1465.90"," 1432.85"," 1456.30"," 1456.10"," 1454.62"," 9159327"," 133233.10"," 204609"," 6257959"," 68.32",45,33,61.59,02/25/2022,T
"HDFCBANK"," EQ"," 24-Feb-2022"," 1500.90"," 1449.90"," 1474.95"," 1407.15"," 1410.20"," 1419.40"," 1448.27"," 11815383"," 171118.12"," 364952"," 7159199"," 60.59",32,33,61.72,02/24/2022,F
"HDFCBANK"," EQ"," 23-Feb-2022"," 1510.70"," 1525.10"," 1525.70"," 1495.65"," 1500.00"," 1500.90"," 1511.14"," 4514781"," 68224.88"," 182373"," 2897494"," 64.18",25,33,61.82,02/23/2022,F
