symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HDFCLIFE"," EQ"," 23-Mar-2022"," 529.30"," 531.90"," 534.00"," 524.15"," 525.80"," 525.85"," 529.15"," 2654149"," 14044.41"," 49517"," 1290710"," 48.63",54,42,56.14,03/23/2022,F
"HDFCLIFE"," EQ"," 22-Mar-2022"," 522.35"," 523.50"," 530.50"," 516.50"," 528.75"," 529.30"," 523.62"," 3457606"," 18104.79"," 71819"," 1559858"," 45.11",48,42,56.32,03/22/2022,F
"HDFCLIFE"," EQ"," 21-Mar-2022"," 530.15"," 532.80"," 534.30"," 520.25"," 523.50"," 522.35"," 526.77"," 4064003"," 21407.79"," 64785"," 1973108"," 48.55",63,41,56.56,03/21/2022,F
"HDFCLIFE"," EQ"," 17-Mar-2022"," 517.30"," 523.00"," 532.90"," 520.50"," 529.10"," 530.15"," 526.31"," 11303983"," 59493.60"," 133027"," 7431545"," 65.74",85,41,56.76,03/17/2022,T
"HDFCLIFE"," EQ"," 16-Mar-2022"," 504.70"," 507.05"," 521.35"," 507.05"," 517.50"," 517.30"," 515.08"," 6339842"," 32655.51"," 119666"," 3756881"," 59.26",53,40,56.71,03/16/2022,T
"HDFCLIFE"," EQ"," 15-Mar-2022"," 512.45"," 512.45"," 519.80"," 502.75"," 503.80"," 504.70"," 511.20"," 4513513"," 23073.07"," 89309"," 2555910"," 56.63",51,39,56.64,03/15/2022,F
"HDFCLIFE"," EQ"," 14-Mar-2022"," 518.80"," 520.00"," 521.15"," 510.05"," 512.75"," 512.45"," 512.39"," 4517379"," 23146.39"," 98981"," 2754669"," 60.98",46,39,56.68,03/14/2022,T
"HDFCLIFE"," EQ"," 11-Mar-2022"," 521.30"," 518.55"," 524.20"," 514.75"," 518.50"," 518.80"," 518.88"," 2924919"," 15176.83"," 51523"," 1386157"," 47.39",57,39,56.79,03/11/2022,F
"HDFCLIFE"," EQ"," 10-Mar-2022"," 514.70"," 524.00"," 529.75"," 515.85"," 519.65"," 521.30"," 523.55"," 5059007"," 26486.21"," 98084"," 2817693"," 55.70",52,39,56.87,03/10/2022,F
"HDFCLIFE"," EQ"," 09-Mar-2022"," 513.05"," 517.00"," 523.00"," 508.00"," 515.30"," 514.70"," 515.72"," 4515965"," 23289.64"," 98115"," 2164266"," 47.92",46,38,56.95,03/09/2022,F
"HDFCLIFE"," EQ"," 08-Mar-2022"," 503.50"," 500.00"," 514.95"," 497.05"," 511.65"," 513.05"," 504.92"," 7443036"," 37581.26"," 134292"," 4241764"," 56.99",55,38,57.31,03/08/2022,F
"HDFCLIFE"," EQ"," 04-Mar-2022"," 531.75"," 528.90"," 528.90"," 514.25"," 522.00"," 521.50"," 522.34"," 4687979"," 24487.18"," 121630"," 2356210"," 50.26",39,38,57.37,03/04/2022,F
"HDFCLIFE"," EQ"," 03-Mar-2022"," 560.80"," 560.75"," 563.50"," 530.25"," 532.60"," 531.75"," 542.25"," 5811568"," 31513.27"," 129294"," 2078865"," 35.77",45,38,57.46,03/03/2022,F
"HDFCLIFE"," EQ"," 02-Mar-2022"," 523.20"," 518.00"," 563.00"," 509.05"," 560.00"," 560.80"," 525.44"," 41081069"," 215857.90"," 284066"," 23848589"," 58.05",145,37,57.96,03/02/2022,T
"HDFCLIFE"," EQ"," 28-Feb-2022"," 538.90"," 532.00"," 532.50"," 520.25"," 523.00"," 523.20"," 523.68"," 10669560"," 55874.52"," 134894"," 7091720"," 66.47",79,36,58.25,02/28/2022,T
"HDFCLIFE"," EQ"," 25-Feb-2022"," 532.95"," 540.00"," 545.55"," 533.85"," 539.00"," 538.90"," 539.59"," 5087685"," 27452.63"," 125003"," 3351166"," 65.87",41,36,58.21,02/25/2022,T
"HDFCLIFE"," EQ"," 24-Feb-2022"," 569.05"," 559.00"," 560.00"," 529.05"," 535.00"," 532.95"," 542.57"," 5515851"," 29927.55"," 139046"," 3075642"," 55.76",40,36,58.20,02/24/2022,F
"HDFCLIFE"," EQ"," 23-Feb-2022"," 572.75"," 572.75"," 578.00"," 565.50"," 570.95"," 569.05"," 571.80"," 1929381"," 11032.17"," 59311"," 1162474"," 60.25",33,35,58.31,02/23/2022,F
"HDFCLIFE"," EQ"," 22-Feb-2022"," 582.00"," 577.00"," 577.00"," 565.00"," 571.95"," 572.75"," 571.29"," 2952243"," 16865.88"," 80585"," 1465885"," 49.65",37,35,58.28,02/22/2022,F
"HDFCLIFE"," EQ"," 21-Feb-2022"," 590.95"," 583.55"," 589.40"," 576.55"," 582.15"," 582.00"," 583.17"," 2415405"," 14085.96"," 54607"," 1225850"," 50.75",44,35,58.50,02/21/2022,F
"HDFCLIFE"," EQ"," 18-Feb-2022"," 592.60"," 590.00"," 597.50"," 587.45"," 589.75"," 590.95"," 593.78"," 2613689"," 15519.66"," 56437"," 1292999"," 49.47",46,35,58.57,02/18/2022,F
"HDFCLIFE"," EQ"," 17-Feb-2022"," 586.35"," 586.10"," 595.40"," 581.25"," 590.70"," 592.60"," 590.37"," 3542326"," 20912.80"," 82488"," 1809927"," 51.09",43,35,58.71,02/17/2022,F
"HDFCLIFE"," EQ"," 16-Feb-2022"," 573.60"," 577.00"," 592.90"," 576.30"," 584.00"," 586.35"," 585.62"," 6991082"," 40940.91"," 103733"," 3257614"," 46.60",67,35,58.92,02/16/2022,F
"HDFCLIFE"," EQ"," 15-Feb-2022"," 557.30"," 564.00"," 574.50"," 551.60"," 573.50"," 573.60"," 563.68"," 4282324"," 24138.48"," 116273"," 2257354"," 52.71",37,34,59.18,02/15/2022,F
"HDFCLIFE"," EQ"," 14-Feb-2022"," 595.35"," 588.00"," 589.80"," 555.00"," 557.50"," 557.30"," 565.39"," 7168038"," 40527.68"," 205515"," 4103457"," 57.25",35,34,59.50,02/14/2022,F
"HDFCLIFE"," EQ"," 11-Feb-2022"," 606.25"," 600.70"," 601.50"," 593.00"," 594.40"," 595.35"," 596.80"," 2557745"," 15264.75"," 63303"," 1594187"," 62.33",40,34,59.55,02/11/2022,T
"HDFCLIFE"," EQ"," 10-Feb-2022"," 600.20"," 600.20"," 611.50"," 590.45"," 604.85"," 606.25"," 599.75"," 6231536"," 37373.89"," 129569"," 4172391"," 66.96",48,34,59.36,02/10/2022,T
"HDFCLIFE"," EQ"," 09-Feb-2022"," 600.45"," 606.75"," 606.75"," 596.10"," 599.90"," 600.20"," 599.80"," 2644690"," 15862.75"," 69386"," 1601599"," 60.56",38,34,59.40,02/09/2022,T
"HDFCLIFE"," EQ"," 08-Feb-2022"," 603.25"," 606.40"," 607.85"," 594.00"," 600.10"," 600.45"," 600.63"," 1954492"," 11739.33"," 64626"," 885017"," 45.28",30,34,59.63,02/08/2022,F
"HDFCLIFE"," EQ"," 07-Feb-2022"," 624.35"," 620.10"," 623.70"," 600.00"," 603.35"," 603.25"," 607.56"," 3030728"," 18413.46"," 103252"," 1531641"," 50.54",29,34,59.84,02/07/2022,F
"HDFCLIFE"," EQ"," 04-Feb-2022"," 634.40"," 637.00"," 637.00"," 622.10"," 624.95"," 624.35"," 626.88"," 1909456"," 11970.04"," 57560"," 742803"," 38.90",33,34,60.02,02/04/2022,F
