symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HDFC"," EQ"," 25-Mar-2022"," 2310.50"," 2333.00"," 2339.05"," 2286.75"," 2306.00"," 2303.00"," 2300.80"," 3418282"," 78647.69"," 154576"," 2171923"," 63.54",22,62,65.97,03/25/2022,F
"HDFC"," W3"," 25-Mar-2022"," 510.20"," 530.00"," 550.00"," 508.00"," 518.00"," 519.45"," 515.96"," 73200"," 377.68"," 46"," 66000"," 90.16",1591,62,65.97,03/25/2022,T
"HDFC"," EQ"," 24-Mar-2022"," 2346.30"," 2318.00"," 2356.95"," 2303.55"," 2307.35"," 2310.50"," 2326.46"," 3994199"," 92923.28"," 156339"," 2596058"," 65.00",26,38,65.40,03/24/2022,F
"HDFC"," W3"," 24-Mar-2022"," 548.95"," 540.00"," 540.00"," 510.00"," 510.00"," 510.20"," 522.91"," 114000"," 596.12"," 143"," 93000"," 81.58",797,38,65.40,03/24/2022,T
"HDFC"," EQ"," 23-Mar-2022"," 2402.75"," 2408.75"," 2422.60"," 2341.20"," 2344.70"," 2346.30"," 2375.40"," 3173223"," 75376.78"," 132693"," 1935905"," 61.01",24,25,65.02,03/23/2022,F
"HDFC"," EQ"," 22-Mar-2022"," 2391.90"," 2398.00"," 2420.00"," 2355.55"," 2406.95"," 2402.75"," 2381.46"," 6357856"," 151409.63"," 131396"," 5127101"," 80.64",48,25,65.11,03/22/2022,T
"HDFC"," EQ"," 21-Mar-2022"," 2415.25"," 2459.00"," 2459.00"," 2383.50"," 2389.00"," 2391.90"," 2407.80"," 3702411"," 89146.55"," 167002"," 2387279"," 64.48",22,25,64.81,03/21/2022,F
"HDFC"," EQ"," 17-Mar-2022"," 2292.10"," 2346.00"," 2423.80"," 2346.00"," 2415.00"," 2415.25"," 2397.65"," 6664277"," 159786.20"," 231016"," 3650595"," 54.78",29,24,64.96,03/17/2022,F
"HDFC"," EQ"," 16-Mar-2022"," 2240.85"," 2280.00"," 2320.00"," 2272.65"," 2302.30"," 2292.10"," 2295.62"," 3558601"," 81692.05"," 204690"," 2029590"," 57.03",17,24,65.29,03/16/2022,F
"HDFC"," EQ"," 15-Mar-2022"," 2275.70"," 2291.70"," 2308.05"," 2230.45"," 2244.85"," 2240.85"," 2273.32"," 4557236"," 103600.65"," 218370"," 2786000"," 61.13",21,24,65.46,03/15/2022,F
"HDFC"," EQ"," 14-Mar-2022"," 2230.00"," 2235.00"," 2285.60"," 2218.00"," 2285.30"," 2275.70"," 2254.42"," 2153393"," 48546.55"," 119697"," 1251858"," 58.13",18,24,65.55,03/14/2022,F
"HDFC"," EQ"," 11-Mar-2022"," 2237.95"," 2216.00"," 2259.85"," 2189.90"," 2232.00"," 2230.00"," 2233.07"," 2532517"," 56552.78"," 112353"," 1356871"," 53.58",23,24,65.87,03/11/2022,F
"HDFC"," EQ"," 10-Mar-2022"," 2194.40"," 2287.00"," 2287.00"," 2206.65"," 2232.55"," 2237.95"," 2249.72"," 4183914"," 94126.25"," 190372"," 2440350"," 58.33",22,25,66.26,03/10/2022,F
"HDFC"," EQ"," 09-Mar-2022"," 2151.70"," 2151.70"," 2216.00"," 2120.35"," 2199.40"," 2194.40"," 2180.00"," 6114047"," 133286.28"," 248506"," 3911587"," 63.98",25,25,66.56,03/09/2022,F
"HDFC"," EQ"," 08-Mar-2022"," 2121.95"," 2106.00"," 2161.95"," 2046.00"," 2156.85"," 2151.70"," 2101.30"," 9024183"," 189625.49"," 317335"," 5645915"," 62.56",28,25,66.67,03/08/2022,F
"HDFC"," EQ"," 04-Mar-2022"," 2273.00"," 2250.30"," 2263.00"," 2203.00"," 2219.00"," 2217.50"," 2233.38"," 4537882"," 101347.99"," 232910"," 2964808"," 65.33",19,24,66.68,03/04/2022,F
"HDFC"," EQ"," 03-Mar-2022"," 2278.10"," 2280.00"," 2306.55"," 2262.25"," 2276.15"," 2273.00"," 2280.23"," 6191711"," 141185.17"," 147832"," 4751451"," 76.74",42,25,66.66,03/03/2022,T
"HDFC"," EQ"," 02-Mar-2022"," 2364.50"," 2321.50"," 2321.50"," 2259.45"," 2286.20"," 2278.10"," 2285.82"," 8890970"," 203231.28"," 304770"," 6560376"," 73.79",29,24,66.38,03/02/2022,T
"HDFC"," EQ"," 28-Feb-2022"," 2401.35"," 2375.00"," 2402.80"," 2333.00"," 2361.85"," 2364.50"," 2363.86"," 8366630"," 197775.41"," 174652"," 6103802"," 72.95",48,24,66.28,02/28/2022,T
"HDFC"," EQ"," 25-Feb-2022"," 2343.05"," 2380.90"," 2417.10"," 2370.05"," 2400.00"," 2401.35"," 2401.04"," 2731176"," 65576.65"," 144984"," 1697749"," 62.16",19,24,66.20,02/25/2022,F
"HDFC"," EQ"," 24-Feb-2022"," 2437.05"," 2367.00"," 2401.00"," 2331.00"," 2338.45"," 2343.05"," 2373.18"," 5058230"," 120040.80"," 218835"," 3489912"," 68.99",23,24,66.17,02/24/2022,F
"HDFC"," EQ"," 23-Feb-2022"," 2453.95"," 2471.80"," 2479.45"," 2428.30"," 2440.00"," 2437.05"," 2458.15"," 3044306"," 74833.49"," 198247"," 2210594"," 72.61",15,24,66.12,02/23/2022,F
