symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HEROMOTOCO"," EQ"," 25-Mar-2022"," 2412.15"," 2420.00"," 2438.00"," 2366.75"," 2379.80"," 2378.40"," 2395.34"," 467568"," 11199.85"," 30153"," 180120"," 38.52",16,13,39.41,03/25/2022,F
"HEROMOTOCO"," EQ"," 24-Mar-2022"," 2394.65"," 2361.00"," 2427.25"," 2333.00"," 2414.95"," 2412.15"," 2402.01"," 692836"," 16641.97"," 40938"," 173870"," 25.10",17,13,39.48,03/24/2022,F
"HEROMOTOCO"," EQ"," 23-Mar-2022"," 2423.65"," 2423.00"," 2439.80"," 2327.20"," 2394.00"," 2394.65"," 2381.81"," 1137046"," 27082.33"," 79152"," 215528"," 18.96",14,13,39.85,03/23/2022,F
"HEROMOTOCO"," EQ"," 22-Mar-2022"," 2391.55"," 2405.00"," 2435.00"," 2345.05"," 2422.35"," 2423.65"," 2391.53"," 470208"," 11245.17"," 31986"," 179621"," 38.20",15,13,40.54,03/22/2022,F
"HEROMOTOCO"," EQ"," 21-Mar-2022"," 2419.90"," 2434.75"," 2447.95"," 2380.00"," 2382.50"," 2391.55"," 2414.82"," 516893"," 12482.03"," 39693"," 235285"," 45.52",13,13,40.61,03/21/2022,F
"HEROMOTOCO"," EQ"," 17-Mar-2022"," 2369.50"," 2383.00"," 2429.25"," 2375.00"," 2422.00"," 2419.90"," 2408.91"," 781757"," 18831.84"," 40213"," 466889"," 59.72",19,13,40.89,03/17/2022,T
"HEROMOTOCO"," EQ"," 16-Mar-2022"," 2318.40"," 2350.20"," 2376.50"," 2335.00"," 2368.00"," 2369.50"," 2354.49"," 493507"," 11619.58"," 34834"," 264992"," 53.70",14,13,40.81,03/16/2022,T
"HEROMOTOCO"," EQ"," 15-Mar-2022"," 2341.90"," 2345.00"," 2380.00"," 2300.00"," 2314.05"," 2318.40"," 2342.80"," 612285"," 14344.64"," 45336"," 283813"," 46.35",14,13,40.79,03/15/2022,T
"HEROMOTOCO"," EQ"," 14-Mar-2022"," 2331.20"," 2330.00"," 2351.00"," 2282.30"," 2338.00"," 2341.90"," 2322.05"," 382149"," 8873.69"," 32625"," 132343"," 34.63",12,13,40.88,03/14/2022,F
"HEROMOTOCO"," EQ"," 11-Mar-2022"," 2320.75"," 2318.00"," 2345.00"," 2287.10"," 2330.00"," 2331.20"," 2328.00"," 467988"," 10894.77"," 38828"," 242367"," 51.79",12,13,41.17,03/11/2022,F
"HEROMOTOCO"," EQ"," 10-Mar-2022"," 2290.50"," 2350.00"," 2410.45"," 2312.05"," 2318.00"," 2320.75"," 2338.60"," 716132"," 16747.47"," 58739"," 244570"," 34.15",12,13,40.95,03/10/2022,F
"HEROMOTOCO"," EQ"," 09-Mar-2022"," 2251.65"," 2266.00"," 2310.60"," 2235.15"," 2295.00"," 2290.50"," 2267.47"," 670764"," 15209.39"," 51048"," 266290"," 39.70",13,13,41.22,03/09/2022,F
"HEROMOTOCO"," EQ"," 08-Mar-2022"," 2198.70"," 2181.00"," 2259.25"," 2146.85"," 2249.00"," 2251.65"," 2189.77"," 1081826"," 23689.48"," 94769"," 447133"," 41.33",11,13,41.32,03/08/2022,F
"HEROMOTOCO"," EQ"," 04-Mar-2022"," 2417.40"," 2400.00"," 2403.60"," 2301.10"," 2313.00"," 2311.30"," 2328.15"," 1266961"," 29496.73"," 101147"," 477459"," 37.69",13,13,41.49,03/04/2022,F
"HEROMOTOCO"," EQ"," 03-Mar-2022"," 2426.30"," 2441.00"," 2468.00"," 2405.00"," 2430.20"," 2417.40"," 2431.25"," 831912"," 20225.89"," 67002"," 402906"," 48.43",12,13,41.62,03/03/2022,F
"HEROMOTOCO"," EQ"," 02-Mar-2022"," 2535.45"," 2498.00"," 2498.50"," 2421.00"," 2432.00"," 2426.30"," 2450.70"," 855090"," 20955.65"," 75127"," 379549"," 44.39",11,13,41.58,03/02/2022,F
"HEROMOTOCO"," EQ"," 28-Feb-2022"," 2558.40"," 2527.00"," 2546.95"," 2489.05"," 2523.50"," 2535.45"," 2526.35"," 1008620"," 25481.27"," 49941"," 629210"," 62.38",20,13,41.90,02/28/2022,T
"HEROMOTOCO"," EQ"," 25-Feb-2022"," 2490.40"," 2584.70"," 2592.00"," 2504.70"," 2564.70"," 2558.40"," 2564.64"," 715496"," 18349.91"," 65267"," 233129"," 32.58",11,13,41.54,02/25/2022,F
"HEROMOTOCO"," EQ"," 24-Feb-2022"," 2670.65"," 2618.60"," 2624.60"," 2440.00"," 2500.00"," 2490.40"," 2512.92"," 1934361"," 48608.95"," 123943"," 727913"," 37.63",16,13,41.81,02/24/2022,F
"HEROMOTOCO"," EQ"," 23-Feb-2022"," 2731.00"," 2745.00"," 2762.45"," 2665.00"," 2670.00"," 2670.65"," 2704.98"," 631227"," 17074.56"," 49076"," 179536"," 28.44",13,13,42.14,02/23/2022,F
"HEROMOTOCO"," EQ"," 22-Feb-2022"," 2713.35"," 2674.95"," 2752.00"," 2646.05"," 2745.00"," 2731.00"," 2692.24"," 644900"," 17362.24"," 51685"," 180625"," 28.01",12,13,42.65,02/22/2022,F
"HEROMOTOCO"," EQ"," 21-Feb-2022"," 2774.05"," 2719.95"," 2748.00"," 2685.00"," 2713.60"," 2713.35"," 2720.38"," 522214"," 14206.20"," 29846"," 75349"," 14.43",17,13,43.10,02/21/2022,F
"HEROMOTOCO"," EQ"," 18-Feb-2022"," 2793.45"," 2780.00"," 2818.00"," 2748.95"," 2775.00"," 2774.05"," 2782.60"," 662754"," 18441.82"," 43898"," 217997"," 32.89",15,13,43.80,02/18/2022,F
"HEROMOTOCO"," EQ"," 17-Feb-2022"," 2786.80"," 2800.00"," 2872.30"," 2780.55"," 2791.85"," 2793.45"," 2826.97"," 1166885"," 32987.44"," 62553"," 267012"," 22.88",19,13,43.97,02/17/2022,F
"HEROMOTOCO"," EQ"," 16-Feb-2022"," 2778.65"," 2766.20"," 2844.60"," 2766.20"," 2772.85"," 2786.80"," 2807.84"," 1127829"," 31667.65"," 65594"," 379268"," 33.63",17,13,44.29,02/16/2022,F
"HEROMOTOCO"," EQ"," 15-Feb-2022"," 2648.50"," 2650.00"," 2787.85"," 2630.00"," 2775.00"," 2778.65"," 2739.67"," 1131545"," 31000.56"," 78545"," 349646"," 30.90",14,13,44.56,02/15/2022,F
"HEROMOTOCO"," EQ"," 14-Feb-2022"," 2718.60"," 2681.00"," 2703.15"," 2630.75"," 2635.10"," 2648.50"," 2656.92"," 576694"," 15322.31"," 42299"," 234045"," 40.58",14,13,44.80,02/14/2022,F
"HEROMOTOCO"," EQ"," 11-Feb-2022"," 2734.10"," 2670.00"," 2747.00"," 2655.00"," 2717.05"," 2718.60"," 2713.63"," 1235994"," 33540.32"," 68393"," 411464"," 33.29",18,13,44.68,02/11/2022,F
"HEROMOTOCO"," EQ"," 10-Feb-2022"," 2728.85"," 2745.40"," 2751.00"," 2701.05"," 2726.75"," 2734.10"," 2725.85"," 448648"," 12229.46"," 48403"," 205639"," 45.84",9,13,44.87,02/10/2022,F
"HEROMOTOCO"," EQ"," 09-Feb-2022"," 2671.95"," 2680.40"," 2736.60"," 2673.05"," 2732.00"," 2728.85"," 2718.45"," 359950"," 9785.07"," 33777"," 107190"," 29.78",11,13,44.77,02/09/2022,F
"HEROMOTOCO"," EQ"," 08-Feb-2022"," 2648.05"," 2660.55"," 2691.65"," 2650.00"," 2671.00"," 2671.95"," 2669.09"," 625615"," 16698.23"," 49636"," 209298"," 33.45",13,13,45.12,02/08/2022,F
"HEROMOTOCO"," EQ"," 07-Feb-2022"," 2721.75"," 2721.75"," 2734.00"," 2625.00"," 2640.00"," 2648.05"," 2651.91"," 688838"," 18267.34"," 52322"," 198649"," 28.84",13,13,45.23,02/07/2022,F
"HEROMOTOCO"," EQ"," 04-Feb-2022"," 2781.50"," 2765.00"," 2780.00"," 2712.75"," 2719.00"," 2721.75"," 2731.52"," 585251"," 15986.24"," 53361"," 162275"," 27.73",11,13,45.89,02/04/2022,F
"HEROMOTOCO"," EQ"," 03-Feb-2022"," 2702.40"," 2704.30"," 2817.95"," 2684.00"," 2764.60"," 2781.50"," 2784.66"," 1436881"," 40012.30"," 91654"," 307053"," 21.37",16,13,46.19,02/03/2022,F
"HEROMOTOCO"," EQ"," 02-Feb-2022"," 2726.75"," 2703.00"," 2743.40"," 2698.00"," 2705.95"," 2702.40"," 2719.14"," 283071"," 7697.09"," 29335"," 92976"," 32.85",10,13,46.68,02/02/2022,F
"HEROMOTOCO"," EQ"," 01-Feb-2022"," 2724.30"," 2748.00"," 2769.80"," 2678.00"," 2725.00"," 2726.75"," 2732.52"," 414159"," 11316.97"," 36785"," 140566"," 33.94",11,13,47.05,02/01/2022,F
"HEROMOTOCO"," EQ"," 31-Jan-2022"," 2672.15"," 2680.15"," 2734.05"," 2680.15"," 2714.00"," 2724.30"," 2716.96"," 442531"," 12023.38"," 32856"," 214870"," 48.55",13,13,47.43,01/31/2022,F
"HEROMOTOCO"," EQ"," 28-Jan-2022"," 2715.00"," 2720.20"," 2755.00"," 2663.05"," 2674.00"," 2672.15"," 2714.70"," 466238"," 12656.95"," 43894"," 165701"," 35.54",11,13,47.68,01/28/2022,F
"HEROMOTOCO"," EQ"," 27-Jan-2022"," 2782.05"," 2733.00"," 2770.00"," 2689.00"," 2715.00"," 2715.00"," 2718.63"," 559824"," 15219.52"," 54960"," 182320"," 32.57",10,14,48.10,01/27/2022,F
