symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HINDALCO"," EQ"," 23-Mar-2022"," 593.45"," 601.00"," 611.80"," 597.50"," 608.30"," 608.45"," 604.86"," 13581577"," 82149.19"," 148556"," 5135671"," 37.81",91,70,36.28,03/23/2022,T
"HINDALCO"," EQ"," 22-Mar-2022"," 589.95"," 599.80"," 602.85"," 587.20"," 593.25"," 593.45"," 594.65"," 7490300"," 44541.27"," 146536"," 1918963"," 25.62",51,70,36.17,03/22/2022,F
"HINDALCO"," EQ"," 21-Mar-2022"," 576.80"," 584.00"," 600.95"," 582.55"," 589.20"," 589.95"," 594.14"," 14159371"," 84126.70"," 198833"," 5258710"," 37.14",71,70,35.97,03/21/2022,T
"HINDALCO"," EQ"," 17-Mar-2022"," 572.70"," 575.05"," 584.40"," 573.85"," 576.00"," 576.80"," 578.66"," 11581454"," 67016.85"," 127860"," 5144483"," 44.42",91,71,36.24,03/17/2022,T
"HINDALCO"," EQ"," 16-Mar-2022"," 559.75"," 568.70"," 575.40"," 563.30"," 574.40"," 572.70"," 569.64"," 10485661"," 59730.00"," 151009"," 4873207"," 46.47",69,71,36.47,03/16/2022,F
"HINDALCO"," EQ"," 15-Mar-2022"," 590.80"," 580.00"," 581.90"," 555.95"," 560.00"," 559.75"," 565.04"," 13005715"," 73487.70"," 260431"," 6099133"," 46.90",50,71,36.25,03/15/2022,F
"HINDALCO"," EQ"," 14-Mar-2022"," 589.10"," 585.90"," 593.55"," 578.25"," 590.70"," 590.80"," 585.83"," 7904911"," 46309.35"," 129159"," 3270139"," 41.37",61,72,36.16,03/14/2022,F
"HINDALCO"," EQ"," 11-Mar-2022"," 593.80"," 595.00"," 603.00"," 585.75"," 588.40"," 589.10"," 594.00"," 7635725"," 45356.18"," 110403"," 1661588"," 21.76",69,72,35.93,03/11/2022,F
"HINDALCO"," EQ"," 10-Mar-2022"," 588.05"," 573.50"," 596.50"," 569.80"," 592.50"," 593.80"," 582.80"," 14824703"," 86398.79"," 219805"," 5973822"," 40.30",67,72,35.94,03/10/2022,F
"HINDALCO"," EQ"," 09-Mar-2022"," 589.95"," 591.30"," 598.95"," 585.10"," 587.45"," 588.05"," 589.95"," 15686460"," 92542.29"," 265660"," 6670264"," 42.52",59,73,35.60,03/09/2022,F
"HINDALCO"," EQ"," 08-Mar-2022"," 619.75"," 618.00"," 618.00"," 587.35"," 591.30"," 589.95"," 598.74"," 19477245"," 116618.31"," 374199"," 6898411"," 35.42",52,73,35.59,03/08/2022,F
"HINDALCO"," EQ"," 04-Mar-2022"," 606.30"," 607.80"," 618.00"," 580.60"," 585.90"," 583.80"," 601.75"," 20490598"," 123301.47"," 288469"," 4370921"," 21.33",71,74,35.37,03/04/2022,F
"HINDALCO"," EQ"," 03-Mar-2022"," 600.10"," 613.90"," 613.90"," 596.90"," 606.05"," 606.30"," 604.78"," 18676314"," 112951.13"," 319433"," 7539843"," 40.37",58,74,35.47,03/03/2022,F
