symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HINDCOPPER"," EQ"," 25-Mar-2022"," 117.30"," 117.95"," 118.95"," 115.05"," 115.30"," 115.55"," 116.85"," 3687383"," 4308.74"," 18342"," 1335882"," 36.23",201,215,29.81,03/25/2022,F
"HINDCOPPER"," EQ"," 24-Mar-2022"," 117.95"," 118.00"," 119.95"," 116.55"," 117.00"," 117.30"," 118.36"," 4498389"," 5324.34"," 17721"," 1794053"," 39.88",254,214,29.68,03/24/2022,T
"HINDCOPPER"," EQ"," 23-Mar-2022"," 118.20"," 119.65"," 119.65"," 116.70"," 117.85"," 117.95"," 118.15"," 3992771"," 4717.34"," 20160"," 1092713"," 27.37",198,212,29.46,03/23/2022,F
"HINDCOPPER"," EQ"," 22-Mar-2022"," 117.00"," 117.70"," 120.00"," 116.50"," 118.10"," 118.20"," 118.28"," 4837292"," 5721.72"," 24077"," 994776"," 20.56",201,212,29.45,03/22/2022,F
"HINDCOPPER"," EQ"," 21-Mar-2022"," 117.50"," 119.40"," 121.00"," 116.50"," 117.05"," 117.00"," 118.89"," 5346677"," 6356.43"," 25040"," 1727338"," 32.31",214,211,29.47,03/21/2022,T
"HINDCOPPER"," EQ"," 17-Mar-2022"," 115.25"," 117.40"," 119.00"," 116.10"," 117.55"," 117.50"," 117.47"," 6012485"," 7062.87"," 27149"," 2058036"," 34.23",221,209,29.47,03/17/2022,T
"HINDCOPPER"," EQ"," 16-Mar-2022"," 114.15"," 116.35"," 116.70"," 114.35"," 115.10"," 115.25"," 115.56"," 4731502"," 5467.57"," 21546"," 1814824"," 38.36",220,208,29.44,03/16/2022,T
"HINDCOPPER"," EQ"," 15-Mar-2022"," 119.50"," 119.50"," 120.15"," 112.15"," 113.50"," 114.15"," 116.07"," 7040176"," 8171.22"," 37683"," 2338994"," 33.22",187,207,29.15,03/15/2022,F
"HINDCOPPER"," EQ"," 14-Mar-2022"," 123.70"," 123.50"," 124.80"," 119.10"," 119.50"," 119.50"," 120.79"," 5344277"," 6455.54"," 23804"," 2003594"," 37.49",225,207,29.21,03/14/2022,T
"HINDCOPPER"," EQ"," 11-Mar-2022"," 122.75"," 123.25"," 126.00"," 122.50"," 123.60"," 123.70"," 124.17"," 4842464"," 6012.88"," 22684"," 1360494"," 28.10",213,206,29.06,03/11/2022,F
"HINDCOPPER"," EQ"," 10-Mar-2022"," 124.05"," 125.40"," 125.40"," 121.10"," 122.90"," 122.75"," 122.99"," 7178388"," 8829.01"," 30314"," 2324872"," 32.39",237,206,29.13,03/10/2022,T
"HINDCOPPER"," EQ"," 09-Mar-2022"," 126.70"," 128.70"," 129.00"," 123.50"," 123.90"," 124.05"," 125.44"," 6779091"," 8504.01"," 33471"," 2162219"," 31.90",203,204,29.11,03/09/2022,F
"HINDCOPPER"," EQ"," 08-Mar-2022"," 124.70"," 127.00"," 133.95"," 125.45"," 126.70"," 126.70"," 128.77"," 18998589"," 24464.59"," 92162"," 3472932"," 18.28",206,203,28.93,03/08/2022,F
"HINDCOPPER"," EQ"," 04-Mar-2022"," 123.60"," 124.50"," 126.25"," 120.65"," 120.80"," 121.00"," 123.19"," 7931946"," 9771.63"," 36867"," 1598507"," 20.15",215,202,29.01,03/04/2022,F
"HINDCOPPER"," EQ"," 03-Mar-2022"," 119.90"," 124.00"," 126.75"," 122.55"," 124.00"," 123.60"," 124.45"," 12216686"," 15203.24"," 58338"," 2875309"," 23.54",209,201,29.17,03/03/2022,F
"HINDCOPPER"," EQ"," 02-Mar-2022"," 117.65"," 117.50"," 123.35"," 117.30"," 119.90"," 119.90"," 120.69"," 10091114"," 12178.90"," 42488"," 3008912"," 29.82",238,199,29.29,03/02/2022,T
"HINDCOPPER"," EQ"," 28-Feb-2022"," 113.55"," 113.55"," 118.15"," 111.85"," 117.30"," 117.65"," 115.87"," 7200101"," 8342.63"," 32799"," 1468909"," 20.40",220,196,29.20,02/28/2022,F
"HINDCOPPER"," EQ"," 25-Feb-2022"," 105.65"," 111.00"," 114.65"," 109.30"," 113.50"," 113.55"," 112.68"," 7708188"," 8685.31"," 32202"," 1910165"," 24.78",239,195,29.45,02/25/2022,F
"HINDCOPPER"," EQ"," 24-Feb-2022"," 116.00"," 111.90"," 113.85"," 105.00"," 106.55"," 105.65"," 110.09"," 10395146"," 11443.78"," 48894"," 2638316"," 25.38",213,193,29.62,02/24/2022,F
"HINDCOPPER"," EQ"," 23-Feb-2022"," 115.05"," 118.05"," 119.70"," 115.55"," 116.20"," 116.00"," 117.55"," 6392957"," 7515.15"," 27858"," 1124948"," 17.60",229,191,29.74,02/23/2022,F
"HINDCOPPER"," EQ"," 22-Feb-2022"," 117.25"," 112.30"," 115.90"," 111.00"," 114.80"," 115.05"," 113.71"," 8328136"," 9469.99"," 37333"," 1930422"," 23.18",223,190,29.97,02/22/2022,F
"HINDCOPPER"," EQ"," 21-Feb-2022"," 123.15"," 123.15"," 123.15"," 114.70"," 117.85"," 117.25"," 117.88"," 10144352"," 11957.99"," 45618"," 2611155"," 25.74",222,188,30.00,02/21/2022,F
