symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HINDUNILVR"," EQ"," 23-Mar-2022"," 1993.50"," 2012.00"," 2016.55"," 1975.25"," 1978.15"," 1978.55"," 1989.27"," 3212162"," 63898.51"," 161145"," 1933507"," 60.19",20,18,65.19,03/23/2022,F
"HINDUNILVR"," EQ"," 22-Mar-2022"," 2051.20"," 2053.75"," 2053.75"," 1969.00"," 1992.80"," 1993.50"," 1989.54"," 5356303"," 106565.53"," 276247"," 2999131"," 55.99",19,18,65.13,03/22/2022,F
"HINDUNILVR"," EQ"," 21-Mar-2022"," 2102.05"," 2106.50"," 2110.90"," 2046.00"," 2050.00"," 2051.20"," 2066.15"," 1674982"," 34607.63"," 105442"," 976256"," 58.28",16,18,65.13,03/21/2022,F
"HINDUNILVR"," EQ"," 17-Mar-2022"," 2072.15"," 2098.10"," 2116.70"," 2082.35"," 2098.00"," 2102.05"," 2098.61"," 2995889"," 62872.09"," 115937"," 1752744"," 58.50",26,18,64.97,03/17/2022,F
"HINDUNILVR"," EQ"," 16-Mar-2022"," 2038.20"," 2060.00"," 2080.00"," 2032.05"," 2078.00"," 2072.15"," 2047.26"," 2808685"," 57500.99"," 116229"," 1773001"," 63.13",24,18,65.11,03/16/2022,F
"HINDUNILVR"," EQ"," 15-Mar-2022"," 2059.30"," 2045.00"," 2080.80"," 2025.00"," 2035.00"," 2038.20"," 2052.12"," 2391023"," 49066.72"," 131696"," 1560801"," 65.28",18,17,65.01,03/15/2022,T
"HINDUNILVR"," EQ"," 14-Mar-2022"," 2094.40"," 2095.00"," 2095.00"," 2046.10"," 2059.75"," 2059.30"," 2060.41"," 1730325"," 35651.76"," 115660"," 1104239"," 63.82",15,17,65.05,03/14/2022,F
"HINDUNILVR"," EQ"," 11-Mar-2022"," 2101.95"," 2100.00"," 2110.20"," 2070.00"," 2096.00"," 2094.40"," 2090.45"," 2481643"," 51877.57"," 116346"," 1615190"," 65.09",21,17,65.22,03/11/2022,F
"HINDUNILVR"," EQ"," 10-Mar-2022"," 1997.90"," 2051.90"," 2114.00"," 2049.00"," 2101.05"," 2101.95"," 2090.55"," 4879791"," 102014.42"," 175521"," 3239306"," 66.38",28,17,65.18,03/10/2022,T
"HINDUNILVR"," EQ"," 09-Mar-2022"," 1949.00"," 1964.00"," 2007.05"," 1951.00"," 2003.75"," 1997.90"," 1987.37"," 2879079"," 57217.84"," 154719"," 1873677"," 65.08",19,17,65.04,03/09/2022,T
"HINDUNILVR"," EQ"," 08-Mar-2022"," 1943.95"," 1924.55"," 1958.00"," 1901.55"," 1955.00"," 1949.00"," 1926.80"," 3211938"," 61887.55"," 183475"," 2082577"," 64.84",18,17,65.10,03/08/2022,F
"HINDUNILVR"," EQ"," 04-Mar-2022"," 2091.00"," 2075.00"," 2077.95"," 1975.25"," 2020.00"," 2019.50"," 2009.04"," 6320118"," 126973.77"," 332674"," 4523597"," 71.57",19,17,65.01,03/04/2022,T
"HINDUNILVR"," EQ"," 03-Mar-2022"," 2149.10"," 2157.90"," 2167.95"," 2086.60"," 2090.00"," 2091.00"," 2112.31"," 2372998"," 50125.18"," 167145"," 1564069"," 65.91",14,17,64.88,03/03/2022,F
