symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"HONAUT"," EQ"," 23-Mar-2022"," 39328.15"," 39499.70"," 39551.00"," 38900.00"," 39099.00"," 39112.40"," 39165.58"," 2422"," 948.59"," 1599"," 1187"," 49.01",2,2,46.95,03/23/2022,F
"HONAUT"," EQ"," 22-Mar-2022"," 39557.45"," 39250.00"," 39905.00"," 39000.85"," 39329.00"," 39328.15"," 39307.88"," 1649"," 648.19"," 1089"," 595"," 36.08",2,2,47.50,03/22/2022,F
"HONAUT"," EQ"," 21-Mar-2022"," 39412.90"," 39618.00"," 39669.85"," 39215.05"," 39430.50"," 39557.45"," 39458.09"," 3535"," 1394.84"," 1873"," 2027"," 57.34",2,2,47.71,03/21/2022,F
"HONAUT"," EQ"," 17-Mar-2022"," 39961.70"," 40298.00"," 40852.95"," 38850.00"," 39079.55"," 39412.90"," 39685.04"," 7441"," 2952.96"," 3031"," 4879"," 65.57",2,2,48.30,03/17/2022,F
"HONAUT"," EQ"," 16-Mar-2022"," 40238.80"," 40325.00"," 40640.00"," 39860.25"," 39998.00"," 39961.70"," 40066.51"," 1820"," 729.21"," 1254"," 626"," 34.40",1,2,47.92,03/16/2022,F
"HONAUT"," EQ"," 15-Mar-2022"," 40214.05"," 40030.00"," 40498.15"," 40000.60"," 40200.05"," 40238.80"," 40212.06"," 1980"," 796.20"," 1144"," 894"," 45.15",2,2,48.63,03/15/2022,F
"HONAUT"," EQ"," 14-Mar-2022"," 39919.50"," 39825.00"," 40462.20"," 39825.00"," 40155.00"," 40214.05"," 40237.80"," 1853"," 745.61"," 1228"," 478"," 25.80",2,2,48.65,03/14/2022,F
"HONAUT"," EQ"," 11-Mar-2022"," 40089.95"," 39800.00"," 40589.95"," 39682.05"," 40000.00"," 39919.50"," 40170.27"," 3445"," 1383.87"," 1917"," 1160"," 33.67",2,2,49.23,03/11/2022,F
"HONAUT"," EQ"," 10-Mar-2022"," 40370.30"," 40998.00"," 41000.00"," 40000.00"," 40049.00"," 40089.95"," 40406.56"," 2761"," 1115.63"," 1770"," 1119"," 40.53",2,2,49.35,03/10/2022,F
"HONAUT"," EQ"," 09-Mar-2022"," 39053.95"," 39648.80"," 40500.00"," 39300.50"," 40500.00"," 40370.30"," 39950.18"," 3243"," 1295.58"," 2258"," 991"," 30.56",1,2,49.67,03/09/2022,F
"HONAUT"," EQ"," 08-Mar-2022"," 39488.90"," 39285.15"," 40190.50"," 38701.00"," 39120.00"," 39053.95"," 39232.58"," 3945"," 1547.73"," 2314"," 1601"," 40.58",2,2,49.90,03/08/2022,F
"HONAUT"," EQ"," 04-Mar-2022"," 40504.15"," 40453.55"," 40453.55"," 38900.50"," 39093.00"," 39175.20"," 39464.28"," 8416"," 3321.31"," 2849"," 5762"," 68.46",3,2,50.19,03/04/2022,T
"HONAUT"," EQ"," 03-Mar-2022"," 40441.45"," 40801.00"," 41250.00"," 40500.00"," 40500.00"," 40504.15"," 40660.94"," 1294"," 526.15"," 893"," 588"," 45.44",1,2,50.52,03/03/2022,F
"HONAUT"," EQ"," 02-Mar-2022"," 40950.95"," 40767.00"," 41200.00"," 39749.20"," 40122.00"," 40441.45"," 40621.23"," 4858"," 1973.38"," 2231"," 2908"," 59.86",2,2,51.01,03/02/2022,F
"HONAUT"," EQ"," 28-Feb-2022"," 40358.50"," 40261.00"," 41262.45"," 39750.10"," 40915.25"," 40950.95"," 40520.49"," 2356"," 954.66"," 1780"," 642"," 27.25",1,2,50.80,02/28/2022,F
"HONAUT"," EQ"," 25-Feb-2022"," 39768.05"," 40200.00"," 40999.95"," 40200.00"," 40536.65"," 40358.50"," 40513.06"," 2770"," 1122.21"," 1738"," 984"," 35.52",2,2,51.38,02/25/2022,F
"HONAUT"," EQ"," 24-Feb-2022"," 40737.10"," 40390.00"," 40888.50"," 39400.10"," 39900.00"," 39768.05"," 40074.12"," 9299"," 3726.49"," 4087"," 4672"," 50.24",2,2,51.36,02/24/2022,F
"HONAUT"," EQ"," 23-Feb-2022"," 40692.55"," 40980.00"," 41107.20"," 40454.55"," 40645.00"," 40737.10"," 40927.33"," 3119"," 1276.52"," 1964"," 2012"," 64.51",2,2,51.26,02/23/2022,F
"HONAUT"," EQ"," 22-Feb-2022"," 40642.60"," 40005.00"," 41260.85"," 39666.00"," 40637.45"," 40692.55"," 40723.43"," 9293"," 3784.43"," 5976"," 4609"," 49.60",2,2,51.03,02/22/2022,F
"HONAUT"," EQ"," 21-Feb-2022"," 40565.40"," 40444.00"," 40933.70"," 39810.10"," 40648.90"," 40642.60"," 40437.36"," 5553"," 2245.49"," 3307"," 2907"," 52.35",2,2,51.10,02/21/2022,F
"HONAUT"," EQ"," 18-Feb-2022"," 42070.05"," 41880.00"," 42030.00"," 40152.20"," 40650.00"," 40565.40"," 41046.55"," 5843"," 2398.35"," 3508"," 2051"," 35.10",2,2,51.03,02/18/2022,F
"HONAUT"," EQ"," 17-Feb-2022"," 41778.60"," 41788.95"," 42269.35"," 39611.25"," 41713.15"," 42070.05"," 41750.95"," 3548"," 1481.32"," 2320"," 1245"," 35.09",2,2,51.28,02/17/2022,F
"HONAUT"," EQ"," 16-Feb-2022"," 41561.65"," 41500.00"," 42110.85"," 41123.40"," 41450.00"," 41778.60"," 41853.91"," 5665"," 2371.02"," 3144"," 3079"," 54.35",2,2,51.60,02/16/2022,F
"HONAUT"," EQ"," 15-Feb-2022"," 41163.30"," 41000.05"," 41917.55"," 40625.00"," 41051.00"," 41561.65"," 41234.31"," 6733"," 2776.31"," 2648"," 3369"," 50.04",3,2,51.64,02/15/2022,F
"HONAUT"," EQ"," 14-Feb-2022"," 43511.20"," 41990.00"," 42199.85"," 40900.00"," 40950.00"," 41163.30"," 41440.94"," 18603"," 7709.26"," 6493"," 11352"," 61.02",3,2,51.85,02/14/2022,T
"HONAUT"," EQ"," 11-Feb-2022"," 44871.80"," 44601.00"," 45047.45"," 43289.80"," 43595.00"," 43511.20"," 44357.06"," 3750"," 1663.39"," 2084"," 1405"," 37.47",2,2,51.71,02/11/2022,F
"HONAUT"," EQ"," 10-Feb-2022"," 44332.80"," 44687.20"," 45100.25"," 43917.50"," 44889.00"," 44871.80"," 44616.27"," 2943"," 1313.06"," 1565"," 647"," 21.98",2,2,52.20,02/10/2022,F
"HONAUT"," EQ"," 09-Feb-2022"," 44493.00"," 44351.00"," 44782.40"," 44200.15"," 44201.00"," 44332.80"," 44543.56"," 1274"," 567.48"," 755"," 378"," 29.67",2,3,52.94,02/09/2022,F
"HONAUT"," EQ"," 08-Feb-2022"," 44992.15"," 45000.00"," 45469.45"," 44114.80"," 44150.15"," 44493.00"," 44609.18"," 3877"," 1729.50"," 2311"," 1709"," 44.08",2,2,53.10,02/08/2022,F
"HONAUT"," EQ"," 07-Feb-2022"," 44677.85"," 44777.00"," 45199.75"," 44000.10"," 45074.15"," 44992.15"," 44612.35"," 3088"," 1377.63"," 1865"," 1073"," 34.75",2,3,53.61,02/07/2022,F
"HONAUT"," EQ"," 04-Feb-2022"," 45915.35"," 45915.35"," 45915.35"," 44444.00"," 44450.00"," 44677.85"," 45156.85"," 5134"," 2318.35"," 3299"," 2199"," 42.83",2,3,54.07,02/04/2022,F
"HONAUT"," EQ"," 03-Feb-2022"," 46086.10"," 46010.00"," 46250.00"," 45751.00"," 45800.10"," 45915.35"," 45949.81"," 2742"," 1259.94"," 1800"," 798"," 29.10",2,3,54.25,02/03/2022,F
"HONAUT"," EQ"," 02-Feb-2022"," 44310.25"," 44310.25"," 46200.00"," 44310.25"," 46129.90"," 46086.10"," 45739.61"," 7632"," 3490.85"," 4718"," 2782"," 36.45",2,3,54.81,02/02/2022,F
"HONAUT"," EQ"," 01-Feb-2022"," 42810.45"," 43099.90"," 45198.95"," 42400.00"," 44246.10"," 44310.25"," 44398.13"," 16128"," 7160.53"," 7585"," 8164"," 50.62",2,3,55.02,02/01/2022,F
"HONAUT"," EQ"," 31-Jan-2022"," 41901.30"," 42699.95"," 43383.90"," 40644.35"," 42301.00"," 42810.45"," 42231.87"," 6628"," 2799.13"," 4117"," 2684"," 40.49",2,3,55.32,01/31/2022,F
"HONAUT"," EQ"," 28-Jan-2022"," 42281.75"," 42899.00"," 43212.20"," 41698.80"," 41801.00"," 41901.30"," 42601.98"," 2260"," 962.80"," 1586"," 914"," 40.44",1,3,55.65,01/28/2022,F
"HONAUT"," EQ"," 27-Jan-2022"," 42862.05"," 41800.00"," 43000.00"," 40611.25"," 42713.65"," 42281.75"," 41844.32"," 12228"," 5116.72"," 3034"," 8937"," 73.09",4,3,56.17,01/27/2022,T
"HONAUT"," EQ"," 25-Jan-2022"," 42214.65"," 42213.00"," 43229.20"," 40877.85"," 42650.00"," 42862.05"," 42169.83"," 3622"," 1527.39"," 2185"," 875"," 24.16",2,2,55.31,01/25/2022,F
"HONAUT"," EQ"," 24-Jan-2022"," 43863.75"," 43863.00"," 43863.00"," 41994.00"," 42400.00"," 42214.65"," 42656.68"," 2780"," 1185.86"," 1740"," 1064"," 38.27",2,2,55.55,01/24/2022,F
"HONAUT"," EQ"," 21-Jan-2022"," 45198.05"," 45099.00"," 45099.00"," 42326.55"," 44100.00"," 43863.75"," 43878.37"," 5725"," 2512.04"," 2888"," 2645"," 46.20",2,2,55.91,01/21/2022,F
"HONAUT"," EQ"," 20-Jan-2022"," 45528.15"," 45311.00"," 45555.65"," 44992.10"," 45063.55"," 45198.05"," 45115.27"," 3172"," 1431.06"," 1070"," 2217"," 69.89",3,3,56.06,01/20/2022,F
"HONAUT"," EQ"," 19-Jan-2022"," 45015.45"," 44800.00"," 45877.65"," 44306.00"," 45537.70"," 45528.15"," 45171.50"," 4025"," 1818.15"," 2395"," 1316"," 32.70",2,3,56.06,01/19/2022,F
"HONAUT"," EQ"," 18-Jan-2022"," 46018.45"," 46030.00"," 46397.70"," 44967.10"," 45000.00"," 45015.45"," 45594.99"," 4863"," 2217.28"," 2890"," 1621"," 33.33",2,3,56.33,01/18/2022,F
"HONAUT"," EQ"," 17-Jan-2022"," 44556.20"," 44500.00"," 46250.00"," 44300.05"," 45994.00"," 46018.45"," 45454.77"," 9944"," 4520.02"," 4568"," 3800"," 38.21",2,3,56.62,01/17/2022,F
"HONAUT"," EQ"," 14-Jan-2022"," 44106.20"," 44000.00"," 44850.00"," 43850.70"," 44530.00"," 44556.20"," 44533.81"," 3932"," 1751.07"," 1990"," 1888"," 48.02",2,3,56.78,01/14/2022,F
"HONAUT"," EQ"," 13-Jan-2022"," 43637.45"," 43650.00"," 44200.00"," 43417.10"," 44100.00"," 44106.20"," 43760.20"," 7746"," 3389.67"," 2324"," 5536"," 71.47",3,3,56.92,01/13/2022,F
"HONAUT"," EQ"," 12-Jan-2022"," 43541.00"," 43600.00"," 43970.00"," 43463.10"," 43600.00"," 43637.45"," 43582.25"," 11700"," 5099.12"," 1328"," 10494"," 89.69",9,2,56.65,01/12/2022,T
"HONAUT"," EQ"," 11-Jan-2022"," 43556.35"," 43555.00"," 43762.50"," 43300.95"," 43515.05"," 43541.00"," 43540.37"," 2900"," 1262.67"," 1873"," 1602"," 55.24",2,2,55.92,01/11/2022,F
"HONAUT"," EQ"," 10-Jan-2022"," 43067.90"," 43241.35"," 44300.00"," 43016.15"," 43500.00"," 43556.35"," 43556.38"," 4897"," 2132.96"," 2322"," 2564"," 52.36",2,2,56.18,01/10/2022,F
"HONAUT"," EQ"," 07-Jan-2022"," 42905.75"," 43107.00"," 43550.00"," 42727.35"," 42930.00"," 43067.90"," 43067.44"," 3785"," 1630.10"," 2454"," 1851"," 48.90",2,2,56.17,01/07/2022,F
"HONAUT"," EQ"," 06-Jan-2022"," 43366.40"," 43300.00"," 43300.00"," 42386.00"," 43000.00"," 42905.75"," 42724.05"," 6839"," 2921.90"," 4390"," 3466"," 50.68",2,2,56.18,01/06/2022,F
