symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"IBULHSGFIN"," EQ"," 23-Mar-2022"," 154.45"," 157.00"," 159.20"," 155.10"," 155.50"," 155.80"," 156.66"," 8586108"," 13451.11"," 40309"," 3036830"," 35.37",213,113,56.01,03/23/2022,F
"IBULHSGFIN"," N8"," 23-Mar-2022"," 979.00"," 979.00"," 979.00"," 979.00"," 979.00"," 979.00"," 979.00"," 1"," 0.01"," 1"," 1"," 100.00",1,113,56.01,03/23/2022,F
"IBULHSGFIN"," NA"," 23-Mar-2022"," 910.00"," 917.00"," 920.00"," 917.00"," 920.00"," 920.00"," 919.39"," 780"," 7.17"," 16"," 780"," 100.00",49,113,56.01,03/23/2022,F
"IBULHSGFIN"," NE"," 23-Mar-2022"," 894.99"," 891.00"," 891.00"," 890.00"," 890.00"," 890.66"," 890.50"," 60"," 0.53"," 5"," 60"," 100.00",12,113,56.01,03/23/2022,F
"IBULHSGFIN"," NT"," 23-Mar-2022"," 980.00"," 900.11"," 975.00"," 900.11",""," 975.00"," 943.36"," 71"," 0.67"," 4"," 30"," 42.25",18,113,56.01,03/23/2022,F
"IBULHSGFIN"," YA"," 23-Mar-2022"," 1000.00"," 950.00"," 950.00"," 950.00"," 950.00"," 950.00"," 950.00"," 5"," 0.05"," 1"," 5"," 100.00",5,113,56.01,03/23/2022,F
"IBULHSGFIN"," EQ"," 22-Mar-2022"," 157.30"," 157.30"," 157.45"," 152.60"," 154.45"," 154.45"," 154.33"," 8528232"," 13161.96"," 46437"," 2235690"," 26.22",184,117,54.29,03/22/2022,F
"IBULHSGFIN"," NE"," 22-Mar-2022"," 895.00"," 890.00"," 894.99"," 890.00"," 894.99"," 894.99"," 894.84"," 170"," 1.52"," 10"," 170"," 100.00",17,117,54.29,03/22/2022,F
"IBULHSGFIN"," NL"," 22-Mar-2022"," 991.00"," 977.00"," 977.00"," 977.00"," 977.00"," 977.00"," 977.00"," 76"," 0.74"," 1"," 76"," 100.00",76,117,54.29,03/22/2022,F
"IBULHSGFIN"," NN"," 22-Mar-2022"," 990.00"," 990.00"," 990.00"," 990.00"," 990.00"," 990.00"," 990.00"," 25"," 0.25"," 1"," 25"," 100.00",25,117,54.29,03/22/2022,F
"IBULHSGFIN"," NT"," 22-Mar-2022"," 983.00"," 975.00"," 980.00"," 971.45",""," 980.00"," 973.54"," 57"," 0.55"," 6"," 57"," 100.00",10,117,54.29,03/22/2022,F
"IBULHSGFIN"," EQ"," 21-Mar-2022"," 161.10"," 162.70"," 163.00"," 156.55"," 157.20"," 157.30"," 158.69"," 7941998"," 12603.41"," 41743"," 2370821"," 29.85",190,120,52.34,03/21/2022,F
"IBULHSGFIN"," NA"," 21-Mar-2022"," 913.25"," 910.00"," 910.25"," 910.00"," 910.00"," 910.00"," 910.03"," 75"," 0.68"," 4"," 75"," 100.00",19,120,52.34,03/21/2022,F
"IBULHSGFIN"," NE"," 21-Mar-2022"," 885.00"," 897.90"," 897.90"," 872.05"," 895.00"," 895.00"," 893.18"," 235"," 2.10"," 6"," 210"," 89.36",39,120,52.34,03/21/2022,F
"IBULHSGFIN"," NL"," 21-Mar-2022"," 901.60"," 989.90"," 991.00"," 989.90"," 991.00"," 991.00"," 990.12"," 100"," 0.99"," 3"," 100"," 100.00",33,120,52.34,03/21/2022,F
"IBULHSGFIN"," NO"," 21-Mar-2022"," 1000.00"," 900.00"," 900.00"," 900.00"," 900.00"," 900.00"," 900.00"," 15"," 0.14"," 1"," 15"," 100.00",15,120,52.34,03/21/2022,F
"IBULHSGFIN"," Y1"," 21-Mar-2022"," 974.80"," 974.80"," 974.80"," 974.80"," 974.80"," 974.80"," 974.80"," 4"," 0.04"," 1"," 4"," 100.00",4,120,52.34,03/21/2022,F
"IBULHSGFIN"," Y3"," 21-Mar-2022"," 980.00"," 970.00"," 970.00"," 970.00"," 970.00"," 970.00"," 970.00"," 1"," 0.01"," 1"," 1"," 100.00",1,120,52.34,03/21/2022,F
"IBULHSGFIN"," EQ"," 17-Mar-2022"," 156.90"," 159.30"," 162.00"," 158.55"," 161.25"," 161.10"," 160.53"," 14550814"," 23358.33"," 73118"," 3512111"," 24.14",199,127,48.83,03/17/2022,F
