symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ICICIBANK"," EQ"," 23-Mar-2022"," 718.20"," 725.00"," 726.80"," 714.25"," 716.65"," 718.30"," 720.32"," 7140403"," 51433.77"," 113577"," 2599108"," 36.40",63,61,53.11,03/23/2022,F
"ICICIBANK"," EQ"," 22-Mar-2022"," 710.75"," 708.65"," 721.00"," 699.50"," 720.85"," 718.20"," 710.64"," 11761758"," 83583.21"," 224938"," 6139017"," 52.19",52,61,53.46,03/22/2022,F
"ICICIBANK"," EQ"," 21-Mar-2022"," 720.10"," 721.00"," 722.90"," 705.50"," 712.00"," 710.75"," 712.37"," 12866839"," 91659.21"," 227837"," 7567140"," 58.81",56,62,53.50,03/21/2022,F
"ICICIBANK"," EQ"," 17-Mar-2022"," 708.00"," 717.80"," 725.00"," 716.20"," 719.45"," 720.10"," 720.50"," 18329844"," 132067.40"," 201059"," 11389149"," 62.13",91,62,53.54,03/17/2022,T
"ICICIBANK"," EQ"," 16-Mar-2022"," 697.35"," 706.90"," 711.40"," 701.25"," 706.60"," 708.00"," 706.68"," 14621688"," 103329.21"," 227926"," 8314947"," 56.87",64,61,53.51,03/16/2022,T
"ICICIBANK"," EQ"," 15-Mar-2022"," 696.15"," 701.50"," 708.10"," 688.00"," 694.95"," 697.35"," 699.51"," 27714580"," 193866.68"," 392031"," 17606360"," 63.53",71,61,53.55,03/15/2022,T
"ICICIBANK"," EQ"," 14-Mar-2022"," 677.90"," 678.10"," 698.45"," 677.25"," 697.50"," 696.15"," 691.15"," 24648981"," 170362.64"," 294081"," 16668546"," 67.62",84,61,53.53,03/14/2022,T
"ICICIBANK"," EQ"," 11-Mar-2022"," 676.60"," 674.65"," 684.70"," 670.60"," 678.00"," 677.90"," 677.53"," 20546724"," 139210.90"," 258581"," 10885366"," 52.98",79,61,53.53,03/11/2022,F
"ICICIBANK"," EQ"," 10-Mar-2022"," 667.45"," 693.95"," 701.00"," 673.65"," 675.50"," 676.60"," 689.69"," 35959638"," 248010.25"," 410463"," 19616307"," 54.55",88,61,53.54,03/10/2022,T
"ICICIBANK"," EQ"," 09-Mar-2022"," 665.00"," 664.70"," 674.50"," 658.00"," 670.00"," 667.45"," 665.91"," 33728639"," 224603.05"," 350200"," 19988301"," 59.26",96,61,53.60,03/09/2022,T
"ICICIBANK"," EQ"," 08-Mar-2022"," 653.75"," 643.30"," 669.45"," 643.00"," 664.00"," 665.00"," 654.86"," 26716975"," 174958.28"," 436225"," 11978462"," 44.83",61,60,53.67,03/08/2022,F
"ICICIBANK"," EQ"," 04-Mar-2022"," 698.30"," 691.00"," 706.55"," 685.00"," 688.00"," 688.05"," 693.72"," 18697223"," 129706.01"," 326057"," 8444168"," 45.16",57,61,53.73,03/04/2022,F
"ICICIBANK"," EQ"," 03-Mar-2022"," 714.85"," 717.60"," 721.95"," 693.45"," 699.65"," 698.30"," 705.85"," 23190595"," 163691.90"," 444480"," 12498168"," 53.89",52,61,54.00,03/03/2022,F
"ICICIBANK"," EQ"," 02-Mar-2022"," 742.70"," 717.00"," 724.95"," 707.75"," 717.50"," 714.85"," 713.82"," 25252492"," 180258.08"," 450140"," 13237743"," 52.42",56,61,54.19,03/02/2022,F
"ICICIBANK"," EQ"," 28-Feb-2022"," 730.05"," 722.95"," 744.75"," 715.40"," 741.70"," 742.70"," 734.66"," 20547432"," 150952.90"," 204063"," 12988412"," 63.21",101,61,54.24,02/28/2022,T
"ICICIBANK"," EQ"," 25-Feb-2022"," 707.40"," 724.95"," 739.30"," 720.25"," 731.80"," 730.05"," 731.90"," 16935750"," 123953.44"," 258610"," 9297653"," 54.90",65,60,54.12,02/25/2022,T
"ICICIBANK"," EQ"," 24-Feb-2022"," 744.60"," 712.90"," 727.10"," 702.30"," 706.00"," 707.40"," 717.06"," 28023104"," 200942.37"," 378036"," 17110265"," 61.06",74,60,54.28,02/24/2022,T
"ICICIBANK"," EQ"," 23-Feb-2022"," 751.30"," 754.60"," 756.40"," 742.70"," 744.50"," 744.60"," 748.37"," 11624282"," 86993.03"," 225116"," 6083374"," 52.33",52,60,54.26,02/23/2022,F
"ICICIBANK"," EQ"," 22-Feb-2022"," 754.45"," 738.40"," 759.75"," 737.75"," 750.25"," 751.30"," 748.94"," 13156371"," 98533.83"," 203813"," 6980318"," 53.06",65,61,54.51,02/22/2022,F
"ICICIBANK"," EQ"," 21-Feb-2022"," 748.90"," 746.25"," 762.90"," 740.00"," 754.05"," 754.45"," 754.67"," 10967164"," 82765.44"," 164619"," 3983760"," 36.32",67,61,54.72,02/21/2022,F
"ICICIBANK"," EQ"," 18-Feb-2022"," 750.35"," 746.85"," 756.80"," 745.55"," 747.95"," 748.90"," 751.25"," 8945567"," 67203.17"," 160575"," 3529595"," 39.46",56,61,55.19,02/18/2022,F
"ICICIBANK"," EQ"," 17-Feb-2022"," 764.05"," 766.50"," 767.25"," 746.30"," 747.60"," 750.35"," 755.04"," 16683808"," 125969.60"," 206647"," 9627392"," 57.71",81,61,55.44,02/17/2022,T
"ICICIBANK"," EQ"," 16-Feb-2022"," 776.05"," 775.70"," 777.55"," 760.40"," 762.60"," 764.05"," 769.64"," 10549784"," 81195.82"," 184247"," 4772378"," 45.24",57,61,55.62,02/16/2022,F
"ICICIBANK"," EQ"," 15-Feb-2022"," 753.70"," 752.95"," 778.00"," 743.20"," 775.00"," 776.05"," 759.35"," 18880659"," 143370.91"," 290494"," 9770306"," 51.75",65,61,55.96,02/15/2022,F
"ICICIBANK"," EQ"," 14-Feb-2022"," 790.80"," 772.00"," 773.95"," 751.15"," 752.50"," 753.70"," 760.87"," 16170656"," 123037.71"," 364618"," 7610916"," 47.07",44,61,56.29,02/14/2022,F
"ICICIBANK"," EQ"," 11-Feb-2022"," 805.50"," 796.85"," 797.40"," 787.90"," 789.50"," 790.80"," 792.81"," 13138408"," 104162.94"," 206865"," 7556702"," 57.52",64,61,56.55,02/11/2022,T
"ICICIBANK"," EQ"," 10-Feb-2022"," 802.80"," 805.95"," 808.80"," 796.30"," 804.45"," 805.50"," 804.24"," 13159771"," 105836.71"," 248496"," 7276067"," 55.29",53,62,56.88,02/10/2022,F
"ICICIBANK"," EQ"," 09-Feb-2022"," 792.50"," 797.25"," 804.25"," 794.20"," 803.00"," 802.80"," 799.57"," 8855292"," 70804.58"," 194125"," 5006434"," 56.54",46,62,56.88,02/09/2022,F
