symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ICICIGI"," EQ"," 23-Mar-2022"," 1250.40"," 1251.00"," 1271.80"," 1247.90"," 1253.85"," 1252.50"," 1260.37"," 628795"," 7925.15"," 29526"," 403698"," 64.20",21,18,62.29,03/23/2022,T
"ICICIGI"," EQ"," 22-Mar-2022"," 1240.55"," 1240.65"," 1253.00"," 1224.10"," 1252.90"," 1250.40"," 1241.18"," 388976"," 4827.88"," 40852"," 255243"," 65.62",10,18,62.31,03/22/2022,F
"ICICIGI"," EQ"," 21-Mar-2022"," 1269.40"," 1277.95"," 1277.95"," 1238.00"," 1242.00"," 1240.55"," 1250.95"," 587899"," 7354.35"," 44462"," 342143"," 58.20",13,19,62.46,03/21/2022,F
"ICICIGI"," EQ"," 17-Mar-2022"," 1219.20"," 1242.00"," 1274.25"," 1214.40"," 1273.00"," 1269.40"," 1237.19"," 1520083"," 18806.30"," 62785"," 1037975"," 68.28",24,19,62.54,03/17/2022,T
"ICICIGI"," EQ"," 16-Mar-2022"," 1210.70"," 1220.20"," 1248.25"," 1208.60"," 1216.50"," 1219.20"," 1230.38"," 1180168"," 14520.60"," 48573"," 763341"," 64.68",24,19,62.50,03/16/2022,T
"ICICIGI"," EQ"," 15-Mar-2022"," 1257.10"," 1254.10"," 1267.60"," 1203.45"," 1212.00"," 1210.70"," 1231.84"," 807720"," 9949.78"," 57175"," 557055"," 68.97",14,18,62.58,03/15/2022,F
"ICICIGI"," EQ"," 14-Mar-2022"," 1256.00"," 1264.00"," 1270.35"," 1228.50"," 1255.20"," 1257.10"," 1246.83"," 454323"," 5664.63"," 23102"," 273851"," 60.28",20,18,62.61,03/14/2022,F
"ICICIGI"," EQ"," 11-Mar-2022"," 1260.15"," 1260.00"," 1265.00"," 1248.55"," 1253.00"," 1256.00"," 1254.12"," 670143"," 8404.40"," 26140"," 483354"," 72.13",26,18,62.90,03/11/2022,T
"ICICIGI"," EQ"," 10-Mar-2022"," 1236.10"," 1260.00"," 1284.80"," 1248.00"," 1258.00"," 1260.15"," 1269.01"," 1099064"," 13947.25"," 39748"," 771046"," 70.15",28,18,62.85,03/10/2022,T
"ICICIGI"," EQ"," 09-Mar-2022"," 1217.65"," 1237.90"," 1246.00"," 1204.95"," 1241.75"," 1236.10"," 1227.05"," 1380187"," 16935.62"," 63777"," 985160"," 71.38",22,18,62.55,03/09/2022,T
"ICICIGI"," EQ"," 08-Mar-2022"," 1205.35"," 1200.00"," 1234.15"," 1198.05"," 1217.45"," 1217.65"," 1219.51"," 1009790"," 12314.48"," 37645"," 676580"," 67.00",27,18,62.32,03/08/2022,T
"ICICIGI"," EQ"," 04-Mar-2022"," 1240.55"," 1235.00"," 1236.00"," 1207.00"," 1221.70"," 1218.30"," 1223.49"," 1697979"," 20774.65"," 68469"," 1243714"," 73.25",25,18,62.39,03/04/2022,T
"ICICIGI"," EQ"," 03-Mar-2022"," 1251.55"," 1278.00"," 1278.00"," 1239.00"," 1241.00"," 1240.55"," 1252.30"," 507149"," 6351.02"," 41865"," 326425"," 64.36",12,18,62.39,03/03/2022,F
"ICICIGI"," EQ"," 02-Mar-2022"," 1263.80"," 1257.50"," 1262.00"," 1238.00"," 1249.20"," 1251.55"," 1246.86"," 915621"," 11416.47"," 67906"," 700634"," 76.52",13,18,62.53,03/02/2022,F
"ICICIGI"," EQ"," 28-Feb-2022"," 1272.30"," 1259.00"," 1273.80"," 1225.95"," 1264.15"," 1263.80"," 1254.42"," 1341945"," 16833.59"," 79123"," 904185"," 67.38",17,18,62.52,02/28/2022,F
"ICICIGI"," EQ"," 25-Feb-2022"," 1240.85"," 1241.00"," 1280.00"," 1241.00"," 1270.00"," 1272.30"," 1266.09"," 402028"," 5090.02"," 29353"," 224095"," 55.74",14,18,62.46,02/25/2022,F
"ICICIGI"," EQ"," 24-Feb-2022"," 1279.90"," 1259.80"," 1270.00"," 1235.00"," 1244.25"," 1240.85"," 1246.94"," 838799"," 10459.35"," 54318"," 580233"," 69.17",15,18,62.66,02/24/2022,F
"ICICIGI"," EQ"," 23-Feb-2022"," 1275.75"," 1277.50"," 1288.00"," 1266.15"," 1277.35"," 1279.90"," 1276.67"," 549493"," 7015.22"," 29651"," 398406"," 72.50",19,18,62.81,02/23/2022,T
"ICICIGI"," EQ"," 22-Feb-2022"," 1266.75"," 1247.00"," 1287.50"," 1235.00"," 1275.00"," 1275.75"," 1272.16"," 668981"," 8510.54"," 55253"," 419872"," 62.76",12,19,62.51,02/22/2022,F
"ICICIGI"," EQ"," 21-Feb-2022"," 1282.60"," 1275.00"," 1284.80"," 1255.10"," 1268.00"," 1266.75"," 1269.59"," 581516"," 7382.87"," 44869"," 392539"," 67.50",13,19,62.47,02/21/2022,F
"ICICIGI"," EQ"," 18-Feb-2022"," 1297.00"," 1296.85"," 1302.40"," 1275.00"," 1279.00"," 1282.60"," 1291.08"," 391940"," 5060.24"," 28713"," 234619"," 59.86",14,19,62.47,02/18/2022,F
"ICICIGI"," EQ"," 17-Feb-2022"," 1287.10"," 1284.00"," 1306.40"," 1284.00"," 1296.85"," 1297.00"," 1296.86"," 655859"," 8505.59"," 44977"," 411935"," 62.81",15,19,62.51,02/17/2022,F
"ICICIGI"," EQ"," 16-Feb-2022"," 1295.10"," 1296.00"," 1304.00"," 1282.00"," 1282.80"," 1287.10"," 1295.45"," 427094"," 5532.77"," 31503"," 258578"," 60.54",14,19,62.61,02/16/2022,F
"ICICIGI"," EQ"," 15-Feb-2022"," 1285.75"," 1285.75"," 1299.95"," 1274.00"," 1295.00"," 1295.10"," 1288.22"," 739559"," 9527.12"," 41597"," 463808"," 62.71",18,19,62.88,02/15/2022,F
"ICICIGI"," EQ"," 14-Feb-2022"," 1343.50"," 1325.00"," 1327.85"," 1280.25"," 1287.00"," 1285.75"," 1299.94"," 970046"," 12609.99"," 52503"," 621429"," 64.06",18,19,62.79,02/14/2022,F
"ICICIGI"," EQ"," 11-Feb-2022"," 1344.25"," 1340.00"," 1356.40"," 1315.75"," 1343.00"," 1343.50"," 1338.93"," 837852"," 11218.24"," 51235"," 505548"," 60.34",16,19,62.73,02/11/2022,F
"ICICIGI"," EQ"," 10-Feb-2022"," 1366.85"," 1366.20"," 1366.20"," 1338.10"," 1342.50"," 1344.25"," 1345.45"," 579032"," 7790.59"," 41630"," 393978"," 68.04",14,19,62.65,02/10/2022,F
"ICICIGI"," EQ"," 09-Feb-2022"," 1366.20"," 1373.95"," 1378.20"," 1351.00"," 1363.00"," 1366.85"," 1369.83"," 604378"," 8278.95"," 22005"," 407826"," 67.48",27,19,62.68,02/09/2022,T
"ICICIGI"," EQ"," 08-Feb-2022"," 1337.00"," 1337.00"," 1388.70"," 1336.95"," 1364.40"," 1366.20"," 1365.66"," 1016198"," 13877.79"," 56571"," 452841"," 44.56",18,19,62.55,02/08/2022,F
"ICICIGI"," EQ"," 07-Feb-2022"," 1364.85"," 1360.10"," 1372.45"," 1326.10"," 1335.55"," 1337.00"," 1350.99"," 972861"," 13143.26"," 51974"," 733908"," 75.44",19,19,62.95,02/07/2022,F
"ICICIGI"," EQ"," 04-Feb-2022"," 1384.40"," 1387.00"," 1391.30"," 1353.00"," 1366.85"," 1364.85"," 1375.96"," 660886"," 9093.50"," 18024"," 553858"," 83.81",37,19,62.89,02/04/2022,T
"ICICIGI"," EQ"," 03-Feb-2022"," 1383.95"," 1383.00"," 1391.00"," 1366.70"," 1380.00"," 1384.40"," 1376.11"," 316535"," 4355.86"," 21836"," 229601"," 72.54",14,19,62.55,02/03/2022,F
"ICICIGI"," EQ"," 02-Feb-2022"," 1369.15"," 1370.00"," 1397.55"," 1370.00"," 1384.00"," 1383.95"," 1389.02"," 410524"," 5702.27"," 17206"," 292819"," 71.33",24,19,62.32,02/02/2022,T
"ICICIGI"," EQ"," 01-Feb-2022"," 1369.10"," 1374.00"," 1402.85"," 1365.70"," 1367.85"," 1369.15"," 1381.61"," 857386"," 11845.70"," 46552"," 498056"," 58.09",18,19,62.28,02/01/2022,F
"ICICIGI"," EQ"," 31-Jan-2022"," 1373.20"," 1383.00"," 1397.40"," 1361.00"," 1364.95"," 1369.10"," 1375.58"," 1035056"," 14237.97"," 32103"," 733802"," 70.89",32,19,62.49,01/31/2022,T
