symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ICICIPRULI"," EQ"," 23-Mar-2022"," 481.75"," 483.55"," 491.10"," 476.30"," 477.20"," 477.60"," 482.29"," 883906"," 4262.98"," 22241"," 350616"," 39.67",40,44,48.40,03/23/2022,F
"ICICIPRULI"," EQ"," 22-Mar-2022"," 477.45"," 478.00"," 485.80"," 471.00"," 483.30"," 481.75"," 479.47"," 1100486"," 5276.51"," 37891"," 475648"," 43.22",29,44,48.62,03/22/2022,F
"ICICIPRULI"," EQ"," 21-Mar-2022"," 492.30"," 497.80"," 498.35"," 476.75"," 477.00"," 477.45"," 486.45"," 1481944"," 7208.86"," 34391"," 888054"," 59.92",43,44,48.69,03/21/2022,F
"ICICIPRULI"," EQ"," 17-Mar-2022"," 468.50"," 475.00"," 494.95"," 470.60"," 493.00"," 492.30"," 486.35"," 2725253"," 13254.31"," 47243"," 1380145"," 50.64",58,43,48.42,03/17/2022,T
"ICICIPRULI"," EQ"," 16-Mar-2022"," 458.00"," 462.50"," 470.75"," 462.00"," 469.00"," 468.50"," 465.85"," 1672222"," 7790.10"," 18539"," 1087588"," 65.04",90,43,48.12,03/16/2022,T
"ICICIPRULI"," EQ"," 15-Mar-2022"," 463.40"," 461.55"," 473.15"," 455.00"," 458.00"," 458.00"," 462.66"," 1488103"," 6884.86"," 44671"," 838950"," 56.38",33,42,47.84,03/15/2022,F
"ICICIPRULI"," EQ"," 14-Mar-2022"," 463.05"," 463.00"," 466.75"," 453.70"," 461.55"," 463.40"," 459.81"," 711779"," 3272.81"," 23106"," 337591"," 47.43",31,42,47.98,03/14/2022,F
"ICICIPRULI"," EQ"," 11-Mar-2022"," 459.85"," 459.85"," 465.00"," 453.35"," 461.35"," 463.05"," 460.97"," 565846"," 2608.38"," 14824"," 240586"," 42.52",38,43,48.29,03/11/2022,F
"ICICIPRULI"," EQ"," 10-Mar-2022"," 449.25"," 461.00"," 469.45"," 458.45"," 460.60"," 459.85"," 463.21"," 5701416"," 26409.35"," 35511"," 4399752"," 77.17",161,43,48.56,03/10/2022,T
"ICICIPRULI"," EQ"," 09-Mar-2022"," 449.15"," 452.50"," 456.65"," 445.60"," 448.80"," 449.25"," 450.66"," 1262246"," 5688.48"," 27431"," 631054"," 49.99",46,41,48.03,03/09/2022,T
"ICICIPRULI"," EQ"," 08-Mar-2022"," 446.80"," 434.00"," 452.50"," 430.00"," 452.50"," 449.15"," 439.06"," 3228764"," 14176.28"," 39538"," 1906567"," 59.05",82,41,48.32,03/08/2022,T
"ICICIPRULI"," EQ"," 04-Mar-2022"," 464.90"," 460.00"," 461.70"," 447.10"," 451.00"," 451.90"," 453.93"," 1310780"," 5950.04"," 32015"," 547063"," 41.74",41,40,48.28,03/04/2022,F
"ICICIPRULI"," EQ"," 03-Mar-2022"," 487.80"," 494.00"," 494.00"," 462.00"," 465.40"," 464.90"," 473.11"," 1585349"," 7500.44"," 46521"," 782486"," 49.36",34,39,48.52,03/03/2022,F
"ICICIPRULI"," EQ"," 02-Mar-2022"," 479.15"," 468.35"," 498.45"," 468.35"," 486.90"," 487.80"," 486.09"," 2067476"," 10049.89"," 56290"," 1074549"," 51.97",37,39,48.53,03/02/2022,F
"ICICIPRULI"," EQ"," 28-Feb-2022"," 477.45"," 473.00"," 480.60"," 461.75"," 479.50"," 479.15"," 473.45"," 1370338"," 6487.92"," 38549"," 583389"," 42.57",36,39,48.50,02/28/2022,F
"ICICIPRULI"," EQ"," 25-Feb-2022"," 467.15"," 480.00"," 489.45"," 471.30"," 477.00"," 477.45"," 479.69"," 1565587"," 7510.02"," 30272"," 792790"," 50.64",52,39,48.60,02/25/2022,T
"ICICIPRULI"," EQ"," 24-Feb-2022"," 500.75"," 480.20"," 483.90"," 465.00"," 466.00"," 467.15"," 478.09"," 2797675"," 13375.31"," 61722"," 1756955"," 62.80",45,39,48.79,02/24/2022,T
"ICICIPRULI"," EQ"," 23-Feb-2022"," 505.10"," 506.50"," 508.90"," 497.15"," 499.50"," 500.75"," 503.41"," 2250197"," 11327.76"," 61535"," 1171762"," 52.07",37,39,48.74,02/23/2022,F
"ICICIPRULI"," EQ"," 22-Feb-2022"," 510.55"," 500.50"," 507.45"," 492.55"," 505.00"," 505.10"," 499.85"," 1963371"," 9813.84"," 49516"," 1003989"," 51.14",40,39,48.83,02/22/2022,T
"ICICIPRULI"," EQ"," 21-Feb-2022"," 525.20"," 521.35"," 521.35"," 509.05"," 511.70"," 510.55"," 514.56"," 1516500"," 7803.25"," 27098"," 461087"," 30.40",56,39,48.83,02/21/2022,F
"ICICIPRULI"," EQ"," 18-Feb-2022"," 517.90"," 518.65"," 529.75"," 512.25"," 525.50"," 525.20"," 524.03"," 3051523"," 15991.02"," 38995"," 989929"," 32.44",78,38,49.14,02/18/2022,F
"ICICIPRULI"," EQ"," 17-Feb-2022"," 502.75"," 505.00"," 521.55"," 497.50"," 517.45"," 517.90"," 509.87"," 3870751"," 19735.84"," 59811"," 1861031"," 48.08",65,38,49.41,02/17/2022,F
"ICICIPRULI"," EQ"," 16-Feb-2022"," 507.10"," 510.00"," 514.95"," 496.35"," 500.05"," 502.75"," 503.59"," 4242647"," 21365.44"," 97513"," 2595844"," 61.18",44,37,49.34,02/16/2022,T
"ICICIPRULI"," EQ"," 15-Feb-2022"," 502.60"," 504.00"," 514.40"," 500.10"," 507.00"," 507.10"," 506.42"," 4658100"," 23589.76"," 65573"," 3646345"," 78.28",71,37,49.08,02/15/2022,T
"ICICIPRULI"," EQ"," 14-Feb-2022"," 517.30"," 509.80"," 510.15"," 499.60"," 503.40"," 502.60"," 503.77"," 1570259"," 7910.52"," 45858"," 947168"," 60.32",34,36,48.73,02/14/2022,F
"ICICIPRULI"," EQ"," 11-Feb-2022"," 527.85"," 526.40"," 528.00"," 513.50"," 517.90"," 517.30"," 519.44"," 1108104"," 5755.99"," 29713"," 551902"," 49.81",37,36,48.49,02/11/2022,T
"ICICIPRULI"," EQ"," 10-Feb-2022"," 515.80"," 519.00"," 529.00"," 505.35"," 528.50"," 527.85"," 518.73"," 2317150"," 12019.81"," 89088"," 1293559"," 55.83",26,36,48.05,02/10/2022,F
"ICICIPRULI"," EQ"," 09-Feb-2022"," 515.90"," 515.00"," 523.00"," 513.60"," 515.50"," 515.80"," 517.33"," 1128825"," 5839.73"," 46531"," 705261"," 62.48",24,36,48.17,02/09/2022,F
"ICICIPRULI"," EQ"," 08-Feb-2022"," 522.95"," 523.25"," 527.10"," 510.50"," 516.00"," 515.90"," 516.61"," 1168893"," 6038.60"," 42337"," 540845"," 46.27",28,37,48.17,02/08/2022,F
"ICICIPRULI"," EQ"," 07-Feb-2022"," 535.80"," 535.70"," 538.00"," 516.00"," 523.20"," 522.95"," 523.51"," 914910"," 4789.63"," 38700"," 368045"," 40.23",24,37,48.23,02/07/2022,F
