symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"IDEA"," EQ"," 23-Mar-2022"," 10.05"," 10.10"," 10.20"," 9.95"," 10.00"," 10.00"," 10.04"," 128567672"," 12905.82"," 110915"," 35299783"," 27.46",1159,1566,28.00,03/23/2022,F
"IDEA"," EQ"," 22-Mar-2022"," 10.05"," 10.10"," 10.15"," 9.95"," 10.05"," 10.05"," 10.06"," 104914784"," 10550.15"," 73891"," 30095039"," 28.69",1420,1571,27.93,03/22/2022,F
"IDEA"," EQ"," 21-Mar-2022"," 10.25"," 10.35"," 10.35"," 10.00"," 10.05"," 10.05"," 10.15"," 149816155"," 15199.64"," 127184"," 46841650"," 31.27",1178,1573,27.80,03/21/2022,F
"IDEA"," EQ"," 17-Mar-2022"," 10.30"," 10.45"," 10.50"," 10.20"," 10.25"," 10.25"," 10.33"," 103325255"," 10668.44"," 98900"," 39509504"," 38.24",1045,1582,27.79,03/17/2022,F
"IDEA"," EQ"," 16-Mar-2022"," 10.00"," 10.20"," 10.35"," 10.10"," 10.30"," 10.30"," 10.22"," 110948916"," 11341.17"," 108877"," 38006278"," 34.26",1019,1586,27.68,03/16/2022,F
"IDEA"," EQ"," 15-Mar-2022"," 10.20"," 10.20"," 10.50"," 9.90"," 10.00"," 10.00"," 10.20"," 252176614"," 25717.57"," 133095"," 63971312"," 25.37",1895,1592,27.56,03/15/2022,F
"IDEA"," EQ"," 14-Mar-2022"," 10.40"," 10.35"," 10.55"," 10.15"," 10.15"," 10.20"," 10.30"," 145345741"," 14970.31"," 106769"," 48320096"," 33.24",1361,1585,27.56,03/14/2022,F
"IDEA"," EQ"," 11-Mar-2022"," 10.25"," 10.25"," 10.60"," 10.15"," 10.40"," 10.40"," 10.37"," 174683164"," 18117.01"," 114736"," 49515929"," 28.35",1522,1584,27.61,03/11/2022,F
"IDEA"," EQ"," 10-Mar-2022"," 10.30"," 10.50"," 10.60"," 10.15"," 10.25"," 10.25"," 10.35"," 186424639"," 19296.34"," 154561"," 52637390"," 28.24",1206,1579,27.52,03/10/2022,F
"IDEA"," EQ"," 09-Mar-2022"," 9.90"," 10.00"," 10.40"," 9.95"," 10.25"," 10.30"," 10.20"," 199472650"," 20347.81"," 140092"," 56419999"," 28.28",1424,1593,27.45,03/09/2022,F
"IDEA"," EQ"," 08-Mar-2022"," 9.55"," 9.65"," 10.05"," 9.60"," 9.85"," 9.90"," 9.85"," 197754813"," 19480.81"," 189103"," 54782468"," 27.70",1046,1591,27.33,03/08/2022,F
"IDEA"," EQ"," 04-Mar-2022"," 11.10"," 11.30"," 11.35"," 10.20"," 10.35"," 10.35"," 10.59"," 500785414"," 53013.89"," 205729"," 148441397"," 29.64",2434,1616,27.22,03/04/2022,T
"IDEA"," EQ"," 03-Mar-2022"," 10.45"," 10.70"," 11.25"," 10.55"," 11.05"," 11.10"," 10.96"," 395142363"," 43302.65"," 158752"," 103019858"," 26.07",2489,1619,27.21,03/03/2022,F
"IDEA"," EQ"," 02-Mar-2022"," 10.30"," 10.25"," 10.60"," 10.05"," 10.45"," 10.45"," 10.38"," 217653897"," 22583.49"," 113954"," 43866416"," 20.15",1910,1611,27.10,03/02/2022,F
"IDEA"," EQ"," 28-Feb-2022"," 10.25"," 10.35"," 10.70"," 10.00"," 10.30"," 10.30"," 10.35"," 306658932"," 31741.56"," 154598"," 63832928"," 20.82",1984,1625,27.13,02/28/2022,F
"IDEA"," EQ"," 25-Feb-2022"," 9.65"," 9.95"," 10.50"," 9.90"," 10.15"," 10.25"," 10.22"," 247443030"," 25287.69"," 145940"," 61339024"," 24.79",1696,1626,27.35,02/25/2022,F
"IDEA"," EQ"," 24-Feb-2022"," 10.70"," 10.60"," 10.80"," 9.45"," 9.55"," 9.65"," 10.03"," 487108695"," 48843.24"," 223793"," 147100712"," 30.20",2177,1618,27.47,02/24/2022,T
"IDEA"," EQ"," 23-Feb-2022"," 10.90"," 11.05"," 11.10"," 10.65"," 10.65"," 10.70"," 10.86"," 183591222"," 19941.37"," 117623"," 49760346"," 27.10",1561,1614,27.55,02/23/2022,F
"IDEA"," EQ"," 22-Feb-2022"," 11.25"," 10.90"," 11.15"," 10.70"," 10.90"," 10.90"," 10.92"," 227160056"," 24816.15"," 123962"," 45105357"," 19.86",1832,1616,27.72,02/22/2022,F
"IDEA"," EQ"," 21-Feb-2022"," 10.65"," 10.55"," 11.65"," 10.40"," 11.15"," 11.25"," 11.17"," 448511464"," 50089.37"," 189768"," 124052996"," 27.66",2363,1599,27.90,02/21/2022,F
"IDEA"," EQ"," 18-Feb-2022"," 10.55"," 10.60"," 11.00"," 10.50"," 10.60"," 10.65"," 10.74"," 184511485"," 19817.48"," 88257"," 40055980"," 21.71",2091,1589,28.18,02/18/2022,F
"IDEA"," EQ"," 17-Feb-2022"," 10.60"," 10.65"," 10.75"," 10.40"," 10.60"," 10.55"," 10.55"," 129366952"," 13648.93"," 117737"," 24891677"," 19.24",1099,1581,28.28,02/17/2022,F
"IDEA"," EQ"," 16-Feb-2022"," 10.65"," 10.65"," 11.00"," 10.50"," 10.55"," 10.60"," 10.71"," 217431751"," 23283.93"," 154195"," 34868450"," 16.04",1410,1574,28.41,02/16/2022,F
"IDEA"," EQ"," 15-Feb-2022"," 10.15"," 10.25"," 10.80"," 10.00"," 10.60"," 10.65"," 10.43"," 236971182"," 24716.62"," 181469"," 48109924"," 20.30",1306,1562,28.57,02/15/2022,F
"IDEA"," EQ"," 14-Feb-2022"," 10.80"," 10.60"," 10.65"," 10.10"," 10.10"," 10.15"," 10.33"," 216331897"," 22351.10"," 156477"," 68807116"," 31.81",1383,1554,28.76,02/14/2022,F
"IDEA"," EQ"," 11-Feb-2022"," 11.15"," 11.00"," 11.15"," 10.75"," 10.80"," 10.80"," 10.91"," 145093038"," 15833.87"," 162408"," 53581776"," 36.93",893,1544,28.72,02/11/2022,F
"IDEA"," EQ"," 10-Feb-2022"," 10.80"," 10.90"," 11.45"," 10.65"," 11.15"," 11.15"," 11.09"," 258923751"," 28701.88"," 156135"," 66390378"," 25.64",1658,1559,28.55,02/10/2022,F
"IDEA"," EQ"," 09-Feb-2022"," 10.85"," 11.00"," 11.15"," 10.70"," 10.80"," 10.80"," 10.93"," 172831139"," 18886.32"," 132849"," 35740347"," 20.68",1301,1552,28.67,02/09/2022,F
"IDEA"," EQ"," 08-Feb-2022"," 10.95"," 11.10"," 11.20"," 10.80"," 10.85"," 10.85"," 10.94"," 158896027"," 17382.81"," 159287"," 35851999"," 22.56",998,1549,28.68,02/08/2022,F
"IDEA"," EQ"," 07-Feb-2022"," 11.30"," 11.25"," 11.40"," 10.85"," 11.00"," 10.95"," 11.09"," 165475780"," 18358.80"," 110194"," 48025519"," 29.02",1502,1562,28.75,02/07/2022,F
"IDEA"," EQ"," 04-Feb-2022"," 11.35"," 11.35"," 11.85"," 11.20"," 11.25"," 11.30"," 11.43"," 303446679"," 34684.87"," 189275"," 58509938"," 19.28",1603,1550,28.98,02/04/2022,F
"IDEA"," EQ"," 03-Feb-2022"," 11.40"," 11.40"," 11.65"," 11.10"," 11.30"," 11.35"," 11.38"," 191781527"," 21819.13"," 139553"," 39419846"," 20.55",1374,1549,29.14,02/03/2022,F
"IDEA"," EQ"," 02-Feb-2022"," 10.70"," 11.00"," 11.95"," 10.90"," 11.40"," 11.40"," 11.50"," 441251145"," 50758.56"," 204091"," 91991349"," 20.85",2162,1532,29.62,02/02/2022,F
"IDEA"," EQ"," 01-Feb-2022"," 10.65"," 10.85"," 11.25"," 10.65"," 10.75"," 10.70"," 10.91"," 271565319"," 29623.07"," 150853"," 60207594"," 22.17",1800,1505,29.84,02/01/2022,F
"IDEA"," EQ"," 31-Jan-2022"," 10.80"," 11.00"," 11.05"," 10.50"," 10.70"," 10.65"," 10.73"," 242691613"," 26035.95"," 167888"," 69142126"," 28.49",1446,1484,29.97,01/31/2022,F
"IDEA"," EQ"," 28-Jan-2022"," 10.65"," 10.90"," 11.30"," 10.70"," 10.75"," 10.80"," 10.97"," 307103764"," 33697.74"," 156917"," 84264132"," 27.44",1957,1482,29.86,01/28/2022,F
"IDEA"," EQ"," 27-Jan-2022"," 11.30"," 11.00"," 11.20"," 10.60"," 10.75"," 10.65"," 10.78"," 330017669"," 35567.28"," 198868"," 97708956"," 29.61",1659,1467,29.82,01/27/2022,F
"IDEA"," EQ"," 25-Jan-2022"," 10.95"," 10.80"," 11.50"," 10.80"," 11.20"," 11.30"," 11.25"," 385767954"," 43400.14"," 169961"," 96757119"," 25.08",2270,1449,29.82,01/25/2022,F
"IDEA"," EQ"," 24-Jan-2022"," 11.85"," 11.40"," 11.85"," 10.75"," 10.95"," 10.95"," 11.14"," 345228541"," 38466.03"," 210306"," 94460308"," 27.36",1642,1441,29.82,01/24/2022,F
"IDEA"," EQ"," 21-Jan-2022"," 12.05"," 11.85"," 12.25"," 11.75"," 11.80"," 11.85"," 12.05"," 169930902"," 20473.61"," 111806"," 54822129"," 32.26",1520,1439,29.82,01/21/2022,T
"IDEA"," EQ"," 20-Jan-2022"," 11.95"," 11.90"," 12.35"," 11.85"," 12.00"," 12.05"," 12.10"," 124495401"," 15065.71"," 109507"," 35152547"," 28.24",1137,1425,29.85,01/20/2022,F
"IDEA"," EQ"," 19-Jan-2022"," 12.05"," 11.85"," 12.05"," 11.60"," 11.90"," 11.95"," 11.83"," 229377462"," 27124.00"," 152718"," 65914704"," 28.74",1502,1418,29.99,01/19/2022,F
"IDEA"," EQ"," 18-Jan-2022"," 12.50"," 12.60"," 12.60"," 12.00"," 12.10"," 12.05"," 12.19"," 179807332"," 21924.95"," 154422"," 70754188"," 39.35",1164,1419,30.02,01/18/2022,F
"IDEA"," EQ"," 17-Jan-2022"," 12.75"," 12.80"," 12.95"," 12.45"," 12.50"," 12.50"," 12.59"," 172004314"," 21659.40"," 151508"," 61800517"," 35.93",1135,1424,30.05,01/17/2022,F
"IDEA"," EQ"," 14-Jan-2022"," 12.80"," 12.85"," 13.00"," 12.70"," 12.70"," 12.75"," 12.85"," 158830431"," 20417.56"," 138070"," 66713705"," 42.00",1150,1418,30.17,01/14/2022,F
"IDEA"," EQ"," 13-Jan-2022"," 12.80"," 13.15"," 13.25"," 12.60"," 12.80"," 12.80"," 12.85"," 258126625"," 33165.69"," 191613"," 76577316"," 29.67",1347,1422,29.98,01/13/2022,F
"IDEA"," EQ"," 12-Jan-2022"," 11.80"," 12.20"," 13.50"," 12.00"," 12.85"," 12.80"," 12.75"," 856995853"," 109298.59"," 467312"," 244362286"," 28.51",1834,1413,30.15,01/12/2022,F
"IDEA"," EQ"," 11-Jan-2022"," 14.85"," 13.40"," 13.60"," 11.40"," 11.75"," 11.80"," 12.52"," 2108703849"," 264074.45"," 862095"," 629635516"," 29.86",2446,1400,30.14,01/11/2022,F
"IDEA"," EQ"," 10-Jan-2022"," 15.10"," 15.25"," 15.35"," 14.65"," 14.75"," 14.85"," 14.99"," 217190508"," 32566.88"," 136312"," 79290703"," 36.51",1593,1389,30.13,01/10/2022,T
"IDEA"," EQ"," 07-Jan-2022"," 15.30"," 15.55"," 15.60"," 15.00"," 15.10"," 15.10"," 15.23"," 256333161"," 39026.92"," 153412"," 82694313"," 32.26",1671,1387,30.05,01/07/2022,T
"IDEA"," EQ"," 06-Jan-2022"," 15.10"," 15.00"," 15.75"," 14.90"," 15.30"," 15.30"," 15.31"," 304801531"," 46670.99"," 157246"," 55980269"," 18.37",1938,1378,29.97,01/06/2022,F
"IDEA"," EQ"," 05-Jan-2022"," 15.25"," 15.30"," 15.60"," 15.05"," 15.15"," 15.10"," 15.26"," 251510189"," 38381.35"," 137518"," 60883103"," 24.21",1829,1368,30.13,01/05/2022,F
"IDEA"," EQ"," 04-Jan-2022"," 15.55"," 15.70"," 15.85"," 15.10"," 15.20"," 15.25"," 15.41"," 286611986"," 44159.94"," 171503"," 76972099"," 26.86",1671,1370,30.18,01/04/2022,F
"IDEA"," EQ"," 03-Jan-2022"," 15.35"," 15.35"," 16.05"," 15.25"," 15.55"," 15.55"," 15.66"," 392307918"," 61439.08"," 228254"," 108420988"," 27.64",1719,1379,30.09,01/03/2022,F
"IDEA"," EQ"," 31-Dec-2021"," 14.00"," 14.15"," 15.70"," 14.05"," 15.30"," 15.35"," 14.89"," 635686929"," 94684.92"," 320850"," 225157053"," 35.42",1981,1370,30.22,12/31/2021,T
"IDEA"," EQ"," 30-Dec-2021"," 14.45"," 14.45"," 14.80"," 13.90"," 14.00"," 14.00"," 14.39"," 396404094"," 57056.25"," 228506"," 139413647"," 35.17",1735,1369,30.14,12/30/2021,T
"IDEA"," EQ"," 29-Dec-2021"," 13.75"," 13.75"," 14.80"," 13.70"," 14.35"," 14.45"," 14.20"," 348532953"," 49493.46"," 199441"," 122390766"," 35.12",1748,1396,30.01,12/29/2021,T
