symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"IDFCFIRSTB"," EQ"," 23-Mar-2022"," 40.60"," 41.10"," 41.30"," 40.45"," 40.70"," 40.75"," 40.79"," 67093172"," 27368.06"," 57356"," 34562220"," 51.51",1170,665,28.70,03/23/2022,T
"IDFCFIRSTB"," EQ"," 22-Mar-2022"," 41.85"," 41.90"," 42.00"," 40.30"," 40.90"," 40.60"," 40.75"," 52099992"," 21229.38"," 65078"," 25736559"," 49.40",801,657,28.20,03/22/2022,T
"IDFCFIRSTB"," EQ"," 21-Mar-2022"," 42.70"," 42.80"," 43.20"," 41.75"," 41.90"," 41.85"," 42.28"," 18721207"," 7916.15"," 29049"," 6306953"," 33.69",644,652,27.82,03/21/2022,F
"IDFCFIRSTB"," EQ"," 17-Mar-2022"," 42.00"," 42.60"," 42.95"," 42.45"," 42.70"," 42.70"," 42.69"," 29552261"," 12615.92"," 34401"," 10228185"," 34.61",859,645,27.81,03/17/2022,T
"IDFCFIRSTB"," EQ"," 16-Mar-2022"," 40.70"," 41.65"," 42.20"," 41.10"," 42.05"," 42.00"," 41.58"," 21472059"," 8928.80"," 32513"," 6792003"," 31.63",660,639,27.62,03/16/2022,T
"IDFCFIRSTB"," EQ"," 15-Mar-2022"," 41.90"," 42.10"," 42.45"," 40.40"," 40.65"," 40.70"," 41.49"," 27719716"," 11499.96"," 34474"," 8433834"," 30.43",804,638,27.48,03/15/2022,T
"IDFCFIRSTB"," EQ"," 14-Mar-2022"," 42.40"," 42.40"," 42.55"," 41.35"," 42.00"," 41.90"," 41.83"," 19612107"," 8202.94"," 27226"," 4786386"," 24.41",720,634,27.38,03/14/2022,F
"IDFCFIRSTB"," EQ"," 11-Mar-2022"," 42.30"," 42.10"," 42.70"," 41.65"," 42.35"," 42.40"," 42.20"," 20037602"," 8456.68"," 26906"," 3307005"," 16.50",745,632,27.46,03/11/2022,F
"IDFCFIRSTB"," EQ"," 10-Mar-2022"," 42.05"," 42.95"," 43.55"," 42.00"," 42.15"," 42.30"," 42.84"," 27727480"," 11878.92"," 40825"," 6543157"," 23.60",679,631,27.68,03/10/2022,F
"IDFCFIRSTB"," EQ"," 09-Mar-2022"," 40.60"," 41.25"," 42.25"," 40.75"," 42.15"," 42.05"," 41.43"," 29175048"," 12085.79"," 36532"," 9773637"," 33.50",799,629,27.76,03/09/2022,T
"IDFCFIRSTB"," EQ"," 08-Mar-2022"," 40.10"," 40.50"," 41.25"," 39.55"," 40.85"," 40.60"," 40.41"," 31172979"," 12596.27"," 55176"," 7281478"," 23.36",565,627,27.63,03/08/2022,F
"IDFCFIRSTB"," EQ"," 04-Mar-2022"," 41.60"," 41.25"," 41.55"," 40.55"," 40.80"," 40.75"," 40.99"," 30141333"," 12353.52"," 61953"," 9002840"," 29.87",487,625,27.53,03/04/2022,F
"IDFCFIRSTB"," EQ"," 03-Mar-2022"," 41.95"," 42.45"," 42.80"," 41.30"," 41.55"," 41.60"," 42.05"," 20381783"," 8569.57"," 34049"," 5052335"," 24.79",599,627,27.34,03/03/2022,F
"IDFCFIRSTB"," EQ"," 02-Mar-2022"," 42.10"," 41.75"," 42.25"," 41.15"," 42.15"," 41.95"," 41.75"," 21825831"," 9111.41"," 55467"," 7518192"," 34.45",393,626,27.33,03/02/2022,F
"IDFCFIRSTB"," EQ"," 28-Feb-2022"," 42.05"," 41.50"," 42.60"," 41.10"," 42.00"," 42.10"," 41.90"," 33337507"," 13969.80"," 49382"," 11069161"," 33.20",675,628,27.26,02/28/2022,T
"IDFCFIRSTB"," EQ"," 25-Feb-2022"," 38.90"," 40.80"," 43.05"," 40.10"," 42.25"," 42.05"," 41.99"," 46794549"," 19648.11"," 64783"," 12689813"," 27.12",722,627,27.15,02/25/2022,F
"IDFCFIRSTB"," EQ"," 24-Feb-2022"," 43.30"," 42.30"," 42.70"," 37.60"," 39.40"," 38.90"," 40.23"," 62863486"," 25287.34"," 116716"," 25144265"," 40.00",539,623,27.30,02/24/2022,F
"IDFCFIRSTB"," EQ"," 23-Feb-2022"," 43.30"," 43.75"," 44.10"," 43.05"," 43.20"," 43.30"," 43.67"," 14895156"," 6505.44"," 25961"," 4268993"," 28.66",574,622,26.99,02/23/2022,F
"IDFCFIRSTB"," EQ"," 22-Feb-2022"," 43.90"," 42.75"," 43.40"," 42.40"," 43.35"," 43.30"," 42.93"," 20368031"," 8744.42"," 40133"," 4813182"," 23.63",508,621,26.84,02/22/2022,F
"IDFCFIRSTB"," EQ"," 21-Feb-2022"," 44.40"," 44.30"," 44.95"," 43.70"," 43.90"," 43.90"," 44.20"," 17138792"," 7574.81"," 27587"," 3599139"," 21.00",621,623,26.79,02/21/2022,F
"IDFCFIRSTB"," EQ"," 18-Feb-2022"," 44.70"," 44.45"," 45.20"," 44.30"," 44.40"," 44.40"," 44.68"," 13086363"," 5847.02"," 21065"," 3090767"," 23.62",621,621,26.92,02/18/2022,F
"IDFCFIRSTB"," EQ"," 17-Feb-2022"," 45.35"," 45.40"," 45.70"," 44.55"," 44.65"," 44.70"," 44.95"," 19292985"," 8671.67"," 26724"," 3689303"," 19.12",722,621,26.97,02/17/2022,F
"IDFCFIRSTB"," EQ"," 16-Feb-2022"," 45.40"," 45.70"," 46.15"," 45.10"," 45.20"," 45.35"," 45.72"," 22441769"," 10261.26"," 29501"," 4657948"," 20.76",761,616,27.18,02/16/2022,F
"IDFCFIRSTB"," EQ"," 15-Feb-2022"," 43.80"," 44.25"," 45.60"," 42.90"," 45.40"," 45.40"," 44.03"," 28996531"," 12767.61"," 52946"," 7485493"," 25.82",548,612,27.38,02/15/2022,F
"IDFCFIRSTB"," EQ"," 14-Feb-2022"," 46.45"," 45.25"," 46.05"," 43.55"," 43.60"," 43.80"," 44.46"," 35904564"," 15964.10"," 74657"," 12715866"," 35.42",481,611,27.52,02/14/2022,F
"IDFCFIRSTB"," EQ"," 11-Feb-2022"," 47.25"," 47.00"," 47.40"," 46.35"," 46.40"," 46.45"," 46.74"," 18679632"," 8730.19"," 24781"," 6288823"," 33.67",754,611,27.46,02/11/2022,T
"IDFCFIRSTB"," EQ"," 10-Feb-2022"," 47.10"," 47.30"," 47.80"," 46.75"," 47.20"," 47.25"," 47.31"," 12999351"," 6150.14"," 25116"," 2971866"," 22.86",518,607,27.32,02/10/2022,F
"IDFCFIRSTB"," EQ"," 09-Feb-2022"," 46.75"," 47.05"," 47.40"," 46.65"," 47.05"," 47.10"," 47.01"," 9817874"," 4615.29"," 18455"," 2805506"," 28.58",532,607,27.48,02/09/2022,F
"IDFCFIRSTB"," EQ"," 08-Feb-2022"," 47.10"," 47.20"," 47.45"," 45.90"," 46.60"," 46.75"," 46.56"," 19087389"," 8886.95"," 31188"," 4416701"," 23.14",612,608,27.43,02/08/2022,F
"IDFCFIRSTB"," EQ"," 07-Feb-2022"," 47.90"," 47.90"," 48.15"," 46.60"," 47.10"," 47.10"," 47.38"," 16712886"," 7917.93"," 30898"," 3946845"," 23.62",541,607,27.54,02/07/2022,F
"IDFCFIRSTB"," EQ"," 04-Feb-2022"," 48.40"," 48.40"," 48.70"," 47.60"," 47.80"," 47.90"," 48.10"," 17505548"," 8419.51"," 25819"," 4632971"," 26.47",678,607,27.61,02/04/2022,F
"IDFCFIRSTB"," EQ"," 03-Feb-2022"," 49.30"," 49.30"," 49.40"," 48.20"," 48.30"," 48.40"," 48.76"," 19239520"," 9381.90"," 31676"," 5373007"," 27.93",607,606,27.63,02/03/2022,T
"IDFCFIRSTB"," EQ"," 02-Feb-2022"," 47.45"," 47.60"," 49.45"," 47.55"," 49.30"," 49.30"," 48.76"," 34108644"," 16629.71"," 47953"," 11982567"," 35.13",711,599,28.02,02/02/2022,T
"IDFCFIRSTB"," EQ"," 01-Feb-2022"," 46.75"," 47.40"," 47.70"," 46.60"," 47.45"," 47.45"," 47.31"," 24779484"," 11722.49"," 35296"," 5216803"," 21.05",702,598,27.83,02/01/2022,F
