symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"IDFC"," EQ"," 23-Mar-2022"," 60.20"," 60.75"," 61.05"," 59.50"," 60.20"," 60.30"," 60.25"," 7613154"," 4586.87"," 12458"," 2624860"," 34.48",611,556,33.10,03/23/2022,T
"IDFC"," EQ"," 22-Mar-2022"," 60.90"," 60.90"," 61.45"," 59.75"," 60.15"," 60.20"," 60.37"," 11712378"," 7070.42"," 20455"," 4417722"," 37.72",573,555,33.07,03/22/2022,T
"IDFC"," EQ"," 21-Mar-2022"," 60.65"," 60.30"," 62.40"," 59.75"," 60.60"," 60.90"," 61.10"," 13240610"," 8089.51"," 21922"," 2661132"," 20.10",604,555,33.25,03/21/2022,F
"IDFC"," EQ"," 17-Mar-2022"," 58.95"," 59.60"," 61.20"," 58.85"," 60.25"," 60.65"," 60.15"," 12230652"," 7357.27"," 25799"," 3494109"," 28.57",474,552,34.18,03/17/2022,F
"IDFC"," EQ"," 16-Mar-2022"," 55.75"," 56.50"," 59.20"," 56.05"," 58.80"," 58.95"," 58.07"," 11703495"," 6796.03"," 25695"," 3986716"," 34.06",455,551,34.53,03/16/2022,F
"IDFC"," EQ"," 15-Mar-2022"," 57.45"," 57.45"," 57.75"," 55.05"," 55.25"," 55.75"," 56.34"," 10754749"," 6059.69"," 17792"," 3150610"," 29.30",604,551,34.80,03/15/2022,F
"IDFC"," EQ"," 14-Mar-2022"," 56.60"," 57.05"," 57.75"," 55.65"," 57.75"," 57.45"," 56.55"," 7482503"," 4231.23"," 11128"," 2972136"," 39.72",672,548,34.97,03/14/2022,T
"IDFC"," EQ"," 11-Mar-2022"," 56.40"," 56.45"," 57.35"," 56.05"," 56.70"," 56.60"," 56.77"," 5185992"," 2943.95"," 11039"," 1389918"," 26.80",470,544,35.02,03/11/2022,F
"IDFC"," EQ"," 10-Mar-2022"," 55.95"," 57.75"," 58.70"," 56.15"," 56.30"," 56.40"," 57.51"," 13082815"," 7524.20"," 27720"," 3929910"," 30.04",472,548,35.27,03/10/2022,F
"IDFC"," EQ"," 09-Mar-2022"," 54.80"," 55.60"," 56.95"," 54.50"," 56.10"," 55.95"," 55.73"," 5031634"," 2804.32"," 14079"," 1221092"," 24.27",357,551,35.61,03/09/2022,F
"IDFC"," EQ"," 08-Mar-2022"," 53.15"," 53.60"," 55.10"," 53.10"," 54.80"," 54.80"," 54.18"," 7018662"," 3803.04"," 20613"," 2630791"," 37.48",340,554,35.92,03/08/2022,F
"IDFC"," EQ"," 04-Mar-2022"," 56.40"," 55.90"," 56.50"," 55.05"," 55.35"," 55.35"," 55.63"," 4794524"," 2667.37"," 11890"," 1498130"," 31.25",403,555,35.94,03/04/2022,F
"IDFC"," EQ"," 03-Mar-2022"," 57.00"," 57.55"," 58.40"," 56.10"," 56.20"," 56.40"," 57.01"," 4966023"," 2831.21"," 10959"," 1313399"," 26.45",453,554,36.26,03/03/2022,F
"IDFC"," EQ"," 02-Mar-2022"," 57.90"," 57.00"," 58.25"," 56.10"," 57.05"," 57.00"," 57.09"," 6368616"," 3635.98"," 9818"," 1586608"," 24.91",649,554,36.54,03/02/2022,F
