symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"IEX"," EQ"," 23-Mar-2022"," 221.95"," 223.40"," 232.45"," 223.20"," 229.25"," 228.80"," 229.59"," 13956017"," 32041.18"," 130878"," 3750729"," 26.88",107,96,33.95,03/23/2022,F
"IEX"," EQ"," 22-Mar-2022"," 220.95"," 221.00"," 222.70"," 218.45"," 221.90"," 221.95"," 220.64"," 4360080"," 9620.00"," 43863"," 1495489"," 34.30",99,97,33.82,03/22/2022,T
"IEX"," EQ"," 21-Mar-2022"," 223.15"," 224.05"," 224.60"," 220.20"," 221.00"," 220.95"," 222.54"," 3442367"," 7660.79"," 37331"," 1341541"," 38.97",92,97,33.67,03/21/2022,F
"IEX"," EQ"," 17-Mar-2022"," 222.75"," 226.00"," 226.20"," 222.45"," 223.10"," 223.15"," 224.61"," 5324817"," 11960.04"," 48073"," 2000912"," 37.58",111,96,33.34,03/17/2022,T
"IEX"," EQ"," 16-Mar-2022"," 218.60"," 220.05"," 225.45"," 220.05"," 222.80"," 222.75"," 223.06"," 6028962"," 13448.17"," 60415"," 2168799"," 35.97",100,96,32.98,03/16/2022,T
"IEX"," EQ"," 15-Mar-2022"," 219.50"," 221.15"," 222.50"," 216.60"," 218.00"," 218.60"," 219.95"," 5881918"," 12937.13"," 56661"," 1876910"," 31.91",104,96,33.02,03/15/2022,F
"IEX"," EQ"," 14-Mar-2022"," 225.15"," 225.00"," 225.00"," 217.20"," 219.90"," 219.50"," 220.20"," 7825793"," 17232.44"," 81456"," 2811749"," 35.93",96,96,32.97,03/14/2022,F
"IEX"," EQ"," 11-Mar-2022"," 224.55"," 221.50"," 229.15"," 221.10"," 224.85"," 225.15"," 226.02"," 8768732"," 19819.03"," 66698"," 3292244"," 37.55",131,97,32.85,03/11/2022,T
"IEX"," EQ"," 10-Mar-2022"," 222.80"," 231.00"," 231.60"," 223.10"," 223.80"," 224.55"," 226.08"," 9723445"," 21982.71"," 88174"," 3667008"," 37.71",110,97,32.47,03/10/2022,T
"IEX"," EQ"," 09-Mar-2022"," 214.20"," 217.80"," 224.00"," 216.10"," 223.10"," 222.80"," 221.09"," 11567495"," 25574.82"," 112266"," 3613179"," 31.24",103,97,32.27,03/09/2022,F
