symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"IGL"," EQ"," 23-Mar-2022"," 370.90"," 374.95"," 385.00"," 372.30"," 372.70"," 373.85"," 377.74"," 3928921"," 14840.96"," 53280"," 1028822"," 26.19",74,62,45.71,03/23/2022,F
"IGL"," EQ"," 22-Mar-2022"," 374.20"," 375.55"," 376.80"," 368.00"," 371.10"," 370.90"," 371.52"," 2308678"," 8577.15"," 35945"," 708640"," 30.69",64,61,45.88,03/22/2022,F
"IGL"," EQ"," 21-Mar-2022"," 391.95"," 392.00"," 392.90"," 372.80"," 374.00"," 374.20"," 379.66"," 3398768"," 12903.81"," 49089"," 1508333"," 44.38",69,61,46.11,03/21/2022,F
"IGL"," EQ"," 17-Mar-2022"," 390.55"," 394.50"," 397.85"," 390.95"," 392.35"," 391.95"," 393.96"," 3037279"," 11965.62"," 40188"," 1635781"," 53.86",76,60,46.20,03/17/2022,T
"IGL"," EQ"," 16-Mar-2022"," 382.30"," 383.00"," 392.50"," 380.45"," 391.00"," 390.55"," 388.29"," 3218325"," 12496.57"," 45207"," 1330784"," 41.35",71,60,46.16,03/16/2022,F
"IGL"," EQ"," 15-Mar-2022"," 398.20"," 400.15"," 400.95"," 381.00"," 381.85"," 382.30"," 389.13"," 3452311"," 13434.01"," 49136"," 1108075"," 32.10",70,60,45.91,03/15/2022,F
"IGL"," EQ"," 14-Mar-2022"," 378.15"," 378.15"," 399.90"," 375.85"," 399.20"," 398.20"," 389.05"," 7105216"," 27642.78"," 81719"," 1529752"," 21.53",87,60,46.11,03/14/2022,F
"IGL"," EQ"," 11-Mar-2022"," 383.40"," 388.00"," 389.65"," 376.50"," 378.00"," 378.15"," 382.00"," 4167687"," 15920.54"," 56872"," 732409"," 17.57",73,59,46.72,03/11/2022,F
"IGL"," EQ"," 10-Mar-2022"," 380.10"," 382.55"," 385.00"," 376.30"," 381.70"," 383.40"," 381.44"," 4305861"," 16424.08"," 102822"," 1651646"," 38.36",42,59,47.38,03/10/2022,F
"IGL"," EQ"," 09-Mar-2022"," 370.15"," 377.55"," 382.75"," 358.00"," 379.95"," 380.10"," 371.06"," 11117891"," 41254.59"," 124458"," 2603126"," 23.41",89,60,47.73,03/09/2022,F
"IGL"," EQ"," 08-Mar-2022"," 337.65"," 344.75"," 376.00"," 342.80"," 370.00"," 370.15"," 365.40"," 21995182"," 80370.07"," 237901"," 2678515"," 12.18",92,59,48.22,03/08/2022,F
"IGL"," EQ"," 04-Mar-2022"," 340.80"," 338.00"," 338.00"," 327.20"," 332.00"," 331.75"," 331.84"," 3025511"," 10039.71"," 53570"," 1254115"," 41.45",56,58,48.35,03/04/2022,F
"IGL"," EQ"," 03-Mar-2022"," 341.75"," 347.50"," 347.55"," 339.20"," 340.25"," 340.80"," 341.75"," 1743736"," 5959.22"," 38469"," 818218"," 46.92",45,58,48.57,03/03/2022,F
"IGL"," EQ"," 02-Mar-2022"," 346.85"," 340.00"," 348.00"," 339.10"," 341.35"," 341.75"," 343.32"," 2415735"," 8293.81"," 49933"," 1173144"," 48.56",48,58,48.51,03/02/2022,F
"IGL"," EQ"," 28-Feb-2022"," 344.10"," 341.80"," 349.65"," 335.60"," 347.00"," 346.85"," 343.74"," 4554191"," 15654.66"," 63337"," 2845885"," 62.49",72,59,48.86,02/28/2022,T
"IGL"," EQ"," 25-Feb-2022"," 334.30"," 343.00"," 349.50"," 337.10"," 344.50"," 344.10"," 344.47"," 2838578"," 9778.12"," 69934"," 1348724"," 47.51",41,58,48.54,02/25/2022,F
"IGL"," EQ"," 24-Feb-2022"," 361.10"," 345.60"," 352.10"," 331.20"," 333.05"," 334.30"," 338.34"," 5950896"," 20134.31"," 70655"," 3651909"," 61.37",84,59,48.64,02/24/2022,T
"IGL"," EQ"," 23-Feb-2022"," 360.40"," 361.60"," 367.30"," 360.25"," 360.35"," 361.10"," 363.92"," 2342357"," 8524.42"," 38754"," 1422089"," 60.71",60,58,48.56,02/23/2022,T
"IGL"," EQ"," 22-Feb-2022"," 370.55"," 365.80"," 366.00"," 354.10"," 360.60"," 360.40"," 359.03"," 5204422"," 18685.57"," 78394"," 2711747"," 52.10",66,58,48.27,02/22/2022,T
"IGL"," EQ"," 21-Feb-2022"," 377.95"," 375.05"," 377.55"," 369.05"," 369.45"," 370.55"," 372.06"," 1692314"," 6296.36"," 30798"," 780327"," 46.11",55,58,48.11,02/21/2022,F
"IGL"," EQ"," 18-Feb-2022"," 380.40"," 378.00"," 381.00"," 374.50"," 377.10"," 377.95"," 378.13"," 2037415"," 7704.14"," 33054"," 1207311"," 59.26",62,58,48.03,02/18/2022,T
"IGL"," EQ"," 17-Feb-2022"," 386.80"," 386.50"," 390.10"," 379.10"," 380.45"," 380.40"," 382.86"," 1833886"," 7021.16"," 34412"," 1050815"," 57.30",53,58,47.85,02/17/2022,F
"IGL"," EQ"," 16-Feb-2022"," 383.75"," 389.70"," 391.80"," 383.35"," 387.00"," 386.80"," 387.64"," 1467847"," 5690.03"," 29281"," 460296"," 31.36",50,58,47.75,02/16/2022,F
"IGL"," EQ"," 15-Feb-2022"," 380.65"," 382.20"," 386.70"," 372.10"," 384.55"," 383.75"," 379.11"," 2575874"," 9765.33"," 53119"," 1075925"," 41.77",48,58,48.01,02/15/2022,F
"IGL"," EQ"," 14-Feb-2022"," 392.85"," 386.95"," 391.30"," 371.55"," 379.70"," 380.65"," 382.58"," 3002086"," 11485.44"," 48026"," 1349702"," 44.96",63,58,48.29,02/14/2022,F
"IGL"," EQ"," 11-Feb-2022"," 389.90"," 387.50"," 395.80"," 387.00"," 392.10"," 392.85"," 393.23"," 3259759"," 12818.19"," 46505"," 1335755"," 40.98",70,58,48.31,02/11/2022,F
"IGL"," EQ"," 10-Feb-2022"," 387.10"," 388.95"," 392.45"," 385.25"," 389.90"," 389.90"," 389.55"," 1665999"," 6489.95"," 41565"," 663299"," 39.81",40,58,48.21,02/10/2022,F
"IGL"," EQ"," 09-Feb-2022"," 392.10"," 396.50"," 406.00"," 378.90"," 387.00"," 387.10"," 389.04"," 6930165"," 26961.01"," 102488"," 1647357"," 23.77",68,58,47.87,02/09/2022,F
