symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"INDHOTEL"," EQ"," 23-Mar-2022"," 208.75"," 212.90"," 221.35"," 209.65"," 216.10"," 216.10"," 215.75"," 19198052"," 41418.88"," 115778"," 3999845"," 20.83",166,149,31.68,03/23/2022,F
"INDHOTEL"," EQ"," 22-Mar-2022"," 206.00"," 206.00"," 214.00"," 205.80"," 208.45"," 208.75"," 210.47"," 9132579"," 19221.77"," 61315"," 2467883"," 27.02",149,149,31.93,03/22/2022,F
"INDHOTEL"," EQ"," 21-Mar-2022"," 208.50"," 209.00"," 212.50"," 205.00"," 206.00"," 206.00"," 209.29"," 4340065"," 9083.30"," 32212"," 1294067"," 29.82",135,148,32.10,03/21/2022,F
"INDHOTEL"," EQ"," 17-Mar-2022"," 210.80"," 212.25"," 215.00"," 207.90"," 208.90"," 208.50"," 211.63"," 4300782"," 9101.66"," 35204"," 1313079"," 30.53",122,149,32.36,03/17/2022,F
"INDHOTEL"," EQ"," 16-Mar-2022"," 201.75"," 203.80"," 211.80"," 201.75"," 211.50"," 210.80"," 207.78"," 8051450"," 16729.45"," 40353"," 4304598"," 53.46",200,150,32.28,03/16/2022,T
"INDHOTEL"," EQ"," 15-Mar-2022"," 204.55"," 205.70"," 207.30"," 200.40"," 201.25"," 201.75"," 203.72"," 2077320"," 4231.89"," 13685"," 550036"," 26.48",152,150,31.96,03/15/2022,F
"INDHOTEL"," EQ"," 14-Mar-2022"," 203.00"," 204.05"," 206.95"," 202.75"," 205.00"," 204.55"," 204.96"," 3681703"," 7545.89"," 28347"," 1015779"," 27.59",130,150,31.80,03/14/2022,F
"INDHOTEL"," EQ"," 11-Mar-2022"," 201.85"," 200.15"," 204.50"," 200.00"," 203.50"," 203.00"," 202.23"," 4025498"," 8140.79"," 21939"," 728060"," 18.09",183,150,31.69,03/11/2022,F
"INDHOTEL"," EQ"," 10-Mar-2022"," 207.30"," 211.70"," 213.30"," 200.50"," 201.35"," 201.85"," 208.43"," 8245978"," 17186.84"," 44427"," 3171927"," 38.47",186,150,31.79,03/10/2022,T
"INDHOTEL"," EQ"," 09-Mar-2022"," 194.05"," 197.00"," 208.80"," 196.20"," 208.00"," 207.30"," 204.05"," 15038951"," 30686.74"," 75433"," 4877315"," 32.43",199,149,31.59,03/09/2022,T
"INDHOTEL"," EQ"," 08-Mar-2022"," 189.65"," 189.95"," 195.00"," 188.55"," 195.00"," 194.05"," 192.56"," 3581319"," 6896.35"," 28978"," 1002716"," 28.00",124,148,31.56,03/08/2022,F
"INDHOTEL"," EQ"," 04-Mar-2022"," 199.95"," 198.70"," 200.65"," 187.30"," 188.50"," 190.50"," 194.75"," 8468769"," 16492.86"," 47431"," 3324271"," 39.25",179,149,31.36,03/04/2022,T
"INDHOTEL"," EQ"," 03-Mar-2022"," 198.05"," 201.70"," 206.70"," 199.00"," 199.80"," 199.95"," 202.89"," 6831997"," 13861.69"," 35028"," 2123436"," 31.08",195,149,30.97,03/03/2022,T
"INDHOTEL"," EQ"," 02-Mar-2022"," 199.45"," 197.40"," 199.75"," 196.30"," 198.00"," 198.05"," 198.56"," 3638560"," 7224.74"," 20036"," 2089502"," 57.43",182,149,30.97,03/02/2022,T
"INDHOTEL"," EQ"," 28-Feb-2022"," 200.20"," 198.00"," 201.80"," 196.00"," 198.00"," 199.45"," 198.52"," 6432432"," 12769.42"," 29753"," 3549161"," 55.18",216,149,30.39,02/28/2022,T
"INDHOTEL"," EQ"," 25-Feb-2022"," 194.30"," 199.90"," 204.00"," 197.75"," 199.55"," 200.20"," 201.29"," 4144809"," 8343.23"," 24933"," 1524635"," 36.78",166,148,29.96,02/25/2022,T
"INDHOTEL"," EQ"," 24-Feb-2022"," 204.80"," 197.00"," 200.70"," 191.95"," 194.00"," 194.30"," 196.22"," 7389515"," 14499.64"," 51733"," 3210384"," 43.45",143,147,29.90,02/24/2022,F
"INDHOTEL"," EQ"," 23-Feb-2022"," 204.45"," 207.95"," 210.50"," 202.90"," 205.20"," 204.80"," 207.36"," 6741250"," 13978.83"," 30010"," 1874647"," 27.81",225,147,29.66,02/23/2022,F
"INDHOTEL"," EQ"," 22-Feb-2022"," 204.95"," 200.05"," 206.65"," 199.10"," 204.60"," 204.45"," 203.31"," 4734973"," 9626.52"," 29810"," 1726823"," 36.47",159,146,29.73,02/22/2022,T
"INDHOTEL"," EQ"," 21-Feb-2022"," 207.05"," 206.75"," 210.55"," 203.65"," 204.45"," 204.95"," 207.64"," 3543538"," 7357.79"," 23131"," 1137945"," 32.11",153,146,29.55,02/21/2022,T
"INDHOTEL"," EQ"," 18-Feb-2022"," 209.30"," 208.80"," 210.40"," 206.35"," 207.00"," 207.05"," 208.54"," 2200268"," 4588.39"," 21040"," 604731"," 27.48",105,146,29.58,02/18/2022,F
"INDHOTEL"," EQ"," 17-Feb-2022"," 204.85"," 206.85"," 211.50"," 206.35"," 208.90"," 209.30"," 209.69"," 5603756"," 11750.72"," 49513"," 1744607"," 31.13",113,146,29.62,02/17/2022,F
"INDHOTEL"," EQ"," 16-Feb-2022"," 206.00"," 207.95"," 209.75"," 203.30"," 204.35"," 204.85"," 206.67"," 3619273"," 7479.80"," 33067"," 1295319"," 35.79",109,147,29.45,02/16/2022,F
"INDHOTEL"," EQ"," 15-Feb-2022"," 195.10"," 197.00"," 206.90"," 194.10"," 205.50"," 206.00"," 200.35"," 3357223"," 6726.16"," 23579"," 989314"," 29.47",142,147,29.20,02/15/2022,F
"INDHOTEL"," EQ"," 14-Feb-2022"," 206.60"," 200.95"," 202.00"," 193.00"," 194.00"," 195.10"," 198.82"," 5714424"," 11361.18"," 44832"," 1694393"," 29.65",127,147,29.13,02/14/2022,F
"INDHOTEL"," EQ"," 11-Feb-2022"," 215.25"," 214.00"," 214.80"," 205.25"," 206.55"," 206.60"," 209.49"," 4362462"," 9138.95"," 27076"," 1182705"," 27.11",161,147,29.05,02/11/2022,F
"INDHOTEL"," EQ"," 10-Feb-2022"," 212.70"," 213.70"," 216.50"," 210.70"," 216.00"," 215.25"," 213.50"," 2830030"," 6042.02"," 17326"," 960084"," 33.92",163,147,28.98,02/10/2022,T
"INDHOTEL"," EQ"," 09-Feb-2022"," 210.85"," 212.00"," 215.65"," 211.60"," 212.80"," 212.70"," 213.87"," 3545796"," 7583.25"," 27449"," 1833966"," 51.72",129,147,28.90,02/09/2022,F
"INDHOTEL"," EQ"," 08-Feb-2022"," 211.80"," 213.10"," 213.85"," 207.45"," 210.45"," 210.85"," 210.33"," 2914711"," 6130.50"," 18518"," 915671"," 31.42",157,147,28.74,02/08/2022,T
"INDHOTEL"," EQ"," 07-Feb-2022"," 216.55"," 217.30"," 218.55"," 211.00"," 212.00"," 211.80"," 215.52"," 3697144"," 7968.18"," 26361"," 690283"," 18.67",140,147,28.59,02/07/2022,F
"INDHOTEL"," EQ"," 04-Feb-2022"," 218.85"," 220.65"," 220.70"," 214.00"," 216.00"," 216.55"," 216.71"," 3629097"," 7864.58"," 30451"," 1421988"," 39.18",119,148,28.84,02/04/2022,F
"INDHOTEL"," EQ"," 03-Feb-2022"," 218.55"," 219.00"," 220.85"," 216.90"," 218.80"," 218.85"," 218.98"," 4093071"," 8963.08"," 22348"," 1894023"," 46.27",183,148,28.67,02/03/2022,T
"INDHOTEL"," EQ"," 02-Feb-2022"," 222.60"," 220.00"," 226.55"," 217.10"," 218.15"," 218.55"," 220.79"," 10503819"," 23190.94"," 90107"," 1783092"," 16.98",117,147,28.33,02/02/2022,F
