symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"INDIACEM"," EQ"," 23-Mar-2022"," 211.80"," 212.60"," 213.40"," 207.75"," 208.45"," 208.95"," 209.88"," 1756661"," 3686.91"," 14929"," 431039"," 24.54",118,142,16.80,03/23/2022,F
"INDIACEM"," EQ"," 22-Mar-2022"," 209.85"," 209.40"," 212.85"," 206.25"," 211.60"," 211.80"," 209.96"," 2209950"," 4639.98"," 17359"," 433907"," 19.63",127,143,16.52,03/22/2022,F
"INDIACEM"," EQ"," 21-Mar-2022"," 214.50"," 215.90"," 215.90"," 208.10"," 210.00"," 209.85"," 210.69"," 1800731"," 3794.03"," 13885"," 289744"," 16.09",130,144,16.65,03/21/2022,F
"INDIACEM"," EQ"," 17-Mar-2022"," 212.35"," 216.30"," 217.30"," 213.00"," 213.95"," 214.50"," 215.26"," 4047410"," 8712.64"," 30997"," 1100291"," 27.19",131,143,16.95,03/17/2022,F
"INDIACEM"," EQ"," 16-Mar-2022"," 205.85"," 209.00"," 214.90"," 206.85"," 211.70"," 212.35"," 211.13"," 4152862"," 8768.07"," 31579"," 711997"," 17.14",132,143,16.87,03/16/2022,F
"INDIACEM"," EQ"," 15-Mar-2022"," 203.55"," 204.10"," 210.70"," 202.50"," 206.05"," 205.85"," 207.57"," 5910991"," 12269.51"," 37937"," 1254918"," 21.23",156,143,16.81,03/15/2022,T
"INDIACEM"," EQ"," 14-Mar-2022"," 204.90"," 205.90"," 206.25"," 201.00"," 203.30"," 203.55"," 203.41"," 2046216"," 4162.28"," 14365"," 362026"," 17.69",142,143,16.94,03/14/2022,F
"INDIACEM"," EQ"," 11-Mar-2022"," 199.50"," 199.65"," 206.75"," 198.10"," 204.90"," 204.90"," 203.07"," 2861231"," 5810.32"," 20529"," 607087"," 21.22",139,143,17.20,03/11/2022,F
"INDIACEM"," EQ"," 10-Mar-2022"," 196.80"," 201.00"," 204.15"," 197.80"," 199.40"," 199.50"," 200.89"," 2684882"," 5393.76"," 20389"," 543736"," 20.25",132,142,17.33,03/10/2022,F
"INDIACEM"," EQ"," 09-Mar-2022"," 193.00"," 194.70"," 198.20"," 191.45"," 197.60"," 196.80"," 195.18"," 2528187"," 4934.41"," 17820"," 364630"," 14.42",142,143,17.40,03/09/2022,F
"INDIACEM"," EQ"," 08-Mar-2022"," 184.50"," 185.00"," 194.20"," 182.60"," 193.00"," 193.00"," 187.22"," 4425182"," 8284.86"," 37224"," 501377"," 11.33",119,143,17.46,03/08/2022,F
"INDIACEM"," EQ"," 04-Mar-2022"," 194.20"," 193.80"," 198.25"," 190.10"," 192.25"," 192.65"," 194.17"," 4368473"," 8482.23"," 35711"," 424944"," 9.73",122,144,17.91,03/04/2022,F
"INDIACEM"," EQ"," 03-Mar-2022"," 203.60"," 204.00"," 207.00"," 192.95"," 194.25"," 194.20"," 198.57"," 4365155"," 8668.00"," 30485"," 960627"," 22.01",143,145,18.14,03/03/2022,F
"INDIACEM"," EQ"," 02-Mar-2022"," 202.15"," 200.50"," 206.45"," 197.05"," 204.30"," 203.60"," 201.40"," 3027255"," 6097.01"," 23004"," 500329"," 16.53",132,145,18.11,03/02/2022,F
"INDIACEM"," EQ"," 28-Feb-2022"," 197.00"," 196.40"," 202.90"," 189.15"," 201.85"," 202.15"," 197.23"," 3552354"," 7006.40"," 24217"," 575623"," 16.20",147,146,18.62,02/28/2022,F
"INDIACEM"," EQ"," 25-Feb-2022"," 187.30"," 194.00"," 202.90"," 193.05"," 197.95"," 197.00"," 198.62"," 3900367"," 7746.87"," 22409"," 1036453"," 26.57",174,145,18.86,02/25/2022,T
"INDIACEM"," EQ"," 24-Feb-2022"," 208.35"," 198.00"," 201.60"," 181.75"," 187.95"," 187.30"," 194.17"," 5455102"," 10591.96"," 35692"," 1068365"," 19.58",153,146,19.00,02/24/2022,T
"INDIACEM"," EQ"," 23-Feb-2022"," 207.90"," 209.25"," 211.40"," 206.40"," 208.20"," 208.35"," 209.26"," 1983949"," 4151.57"," 13620"," 260016"," 13.11",146,145,19.19,02/23/2022,F
"INDIACEM"," EQ"," 22-Feb-2022"," 208.90"," 203.00"," 208.85"," 199.20"," 207.50"," 207.90"," 206.26"," 3167524"," 6533.43"," 21199"," 349845"," 11.04",149,145,19.28,02/22/2022,F
"INDIACEM"," EQ"," 21-Feb-2022"," 212.45"," 210.00"," 216.25"," 207.35"," 209.40"," 208.90"," 212.42"," 7599807"," 16143.14"," 42258"," 776863"," 10.22",180,145,19.35,02/21/2022,F
"INDIACEM"," EQ"," 18-Feb-2022"," 205.20"," 204.00"," 217.50"," 203.30"," 212.10"," 212.45"," 212.68"," 8078551"," 17181.85"," 47754"," 977048"," 12.09",169,145,19.79,02/18/2022,F
"INDIACEM"," EQ"," 17-Feb-2022"," 207.50"," 208.80"," 210.25"," 203.80"," 205.00"," 205.20"," 206.56"," 1330659"," 2748.57"," 11437"," 161542"," 12.14",116,145,19.92,02/17/2022,F
"INDIACEM"," EQ"," 16-Feb-2022"," 209.85"," 211.00"," 212.20"," 204.95"," 206.50"," 207.50"," 209.29"," 2247203"," 4703.16"," 16898"," 382850"," 17.04",133,145,20.11,02/16/2022,F
"INDIACEM"," EQ"," 15-Feb-2022"," 197.60"," 195.80"," 211.90"," 195.80"," 211.70"," 209.85"," 202.65"," 3291184"," 6669.60"," 23239"," 458914"," 13.94",142,144,20.34,02/15/2022,F
"INDIACEM"," EQ"," 14-Feb-2022"," 210.00"," 204.50"," 207.60"," 195.85"," 197.20"," 197.60"," 203.43"," 5104782"," 10384.47"," 33193"," 779715"," 15.27",154,144,20.60,02/14/2022,F
"INDIACEM"," EQ"," 11-Feb-2022"," 222.95"," 222.00"," 222.05"," 208.85"," 209.55"," 210.00"," 215.52"," 5999938"," 12931.19"," 40500"," 1050446"," 17.51",148,143,20.88,02/11/2022,F
"INDIACEM"," EQ"," 10-Feb-2022"," 223.60"," 223.60"," 226.90"," 219.50"," 222.40"," 222.95"," 223.62"," 2961103"," 6621.65"," 19530"," 306967"," 10.37",152,143,21.00,02/10/2022,F
"INDIACEM"," EQ"," 09-Feb-2022"," 220.70"," 220.90"," 224.90"," 220.50"," 224.70"," 223.60"," 222.91"," 2485295"," 5540.09"," 15372"," 428325"," 17.23",162,143,21.22,02/09/2022,F
"INDIACEM"," EQ"," 08-Feb-2022"," 221.55"," 222.10"," 224.65"," 216.20"," 220.15"," 220.70"," 220.25"," 2479458"," 5460.92"," 19250"," 283831"," 11.45",129,142,21.20,02/08/2022,F
"INDIACEM"," EQ"," 07-Feb-2022"," 226.40"," 226.70"," 228.55"," 218.20"," 220.70"," 221.55"," 222.62"," 3524612"," 7846.54"," 24577"," 515408"," 14.62",143,143,21.39,02/07/2022,F
"INDIACEM"," EQ"," 04-Feb-2022"," 229.50"," 230.50"," 234.55"," 224.70"," 225.65"," 226.40"," 229.95"," 4151772"," 9547.10"," 29866"," 574758"," 13.84",139,143,21.57,02/04/2022,F
"INDIACEM"," EQ"," 03-Feb-2022"," 231.45"," 232.25"," 233.70"," 228.05"," 229.50"," 229.50"," 231.31"," 2126521"," 4918.86"," 16383"," 329846"," 15.51",130,143,21.69,02/03/2022,F
"INDIACEM"," EQ"," 02-Feb-2022"," 230.90"," 233.25"," 234.40"," 228.30"," 231.40"," 231.45"," 231.54"," 4405515"," 10200.65"," 30920"," 827801"," 18.79",142,142,22.08,02/02/2022,F
"INDIACEM"," EQ"," 01-Feb-2022"," 222.95"," 225.00"," 237.50"," 223.65"," 231.15"," 230.90"," 230.04"," 11292917"," 25978.15"," 75530"," 1532625"," 13.57",150,142,22.15,02/01/2022,F
"INDIACEM"," EQ"," 31-Jan-2022"," 223.70"," 227.00"," 229.60"," 221.50"," 222.65"," 222.95"," 224.82"," 2459835"," 5530.26"," 18275"," 555159"," 22.57",135,142,22.30,01/31/2022,F
"INDIACEM"," EQ"," 28-Jan-2022"," 219.85"," 222.90"," 231.40"," 221.85"," 223.80"," 223.70"," 227.35"," 4441387"," 10097.50"," 30892"," 640687"," 14.43",144,142,22.34,01/28/2022,F
"INDIACEM"," EQ"," 27-Jan-2022"," 218.60"," 216.40"," 223.15"," 212.85"," 220.50"," 219.85"," 218.70"," 3294891"," 7206.01"," 25347"," 476898"," 14.47",130,142,22.44,01/27/2022,F
"INDIACEM"," EQ"," 25-Jan-2022"," 212.50"," 211.00"," 220.00"," 207.10"," 218.80"," 218.60"," 215.55"," 4718064"," 10169.81"," 30149"," 1053632"," 22.33",156,142,22.54,01/25/2022,F
"INDIACEM"," EQ"," 24-Jan-2022"," 228.15"," 228.15"," 228.15"," 208.50"," 212.00"," 212.50"," 216.60"," 5088856"," 11022.43"," 38217"," 1072947"," 21.08",133,141,22.40,01/24/2022,F
"INDIACEM"," EQ"," 21-Jan-2022"," 238.80"," 238.00"," 239.65"," 225.20"," 229.00"," 228.15"," 231.51"," 3715377"," 8601.64"," 28052"," 530999"," 14.29",132,141,22.42,01/21/2022,F
"INDIACEM"," EQ"," 20-Jan-2022"," 237.80"," 239.15"," 241.60"," 236.00"," 238.70"," 238.80"," 238.35"," 2443603"," 5824.42"," 20561"," 340013"," 13.91",119,141,22.54,01/20/2022,F
"INDIACEM"," EQ"," 19-Jan-2022"," 235.60"," 236.95"," 239.85"," 230.10"," 239.40"," 237.80"," 235.03"," 4893899"," 11502.36"," 35809"," 415154"," 8.48",137,141,22.64,01/19/2022,F
"INDIACEM"," EQ"," 18-Jan-2022"," 251.25"," 252.00"," 252.80"," 233.40"," 236.25"," 235.60"," 241.84"," 6240350"," 15091.62"," 48711"," 1129682"," 18.10",128,142,22.79,01/18/2022,F
"INDIACEM"," EQ"," 17-Jan-2022"," 254.75"," 253.60"," 256.20"," 246.00"," 251.75"," 251.25"," 250.67"," 5995540"," 15028.90"," 47888"," 688757"," 11.49",125,142,22.89,01/17/2022,F
"INDIACEM"," EQ"," 14-Jan-2022"," 245.15"," 242.80"," 259.95"," 242.00"," 253.50"," 254.75"," 255.21"," 15432651"," 39385.44"," 100573"," 1299838"," 8.42",153,142,23.02,01/14/2022,F
"INDIACEM"," EQ"," 13-Jan-2022"," 248.50"," 246.65"," 249.60"," 243.25"," 244.90"," 245.15"," 246.02"," 2829664"," 6961.51"," 24067"," 845758"," 29.89",118,142,23.26,01/13/2022,F
"INDIACEM"," EQ"," 12-Jan-2022"," 244.05"," 245.40"," 250.80"," 242.55"," 247.75"," 248.50"," 246.56"," 5102928"," 12581.85"," 39000"," 789319"," 15.47",131,142,23.10,01/12/2022,F
"INDIACEM"," EQ"," 11-Jan-2022"," 250.10"," 250.10"," 253.65"," 241.30"," 244.00"," 244.05"," 248.10"," 8952272"," 22211.03"," 63728"," 1491558"," 16.66",140,142,23.31,01/11/2022,F
