symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"INDIAMART"," EQ"," 23-Mar-2022"," 4485.00"," 4502.00"," 4585.00"," 4450.00"," 4470.05"," 4487.75"," 4527.80"," 99209"," 4491.98"," 13154"," 27744"," 27.97",8,7,32.19,03/23/2022,F
"INDIAMART"," EQ"," 22-Mar-2022"," 4431.00"," 4439.90"," 4510.00"," 4350.00"," 4496.65"," 4485.00"," 4437.45"," 96545"," 4284.13"," 13421"," 20084"," 20.80",7,7,32.27,03/22/2022,F
"INDIAMART"," EQ"," 21-Mar-2022"," 4494.60"," 4550.00"," 4584.05"," 4407.05"," 4430.00"," 4431.00"," 4497.47"," 96471"," 4338.76"," 13640"," 29202"," 30.27",7,7,32.35,03/21/2022,F
"INDIAMART"," EQ"," 17-Mar-2022"," 4464.60"," 4550.05"," 4615.00"," 4465.10"," 4497.20"," 4494.60"," 4554.13"," 141303"," 6435.12"," 17080"," 45080"," 31.90",8,7,32.70,03/17/2022,F
"INDIAMART"," EQ"," 16-Mar-2022"," 4351.85"," 4414.40"," 4523.60"," 4366.05"," 4471.55"," 4464.60"," 4454.25"," 123918"," 5519.62"," 15019"," 24212"," 19.54",8,7,32.79,03/16/2022,F
"INDIAMART"," EQ"," 15-Mar-2022"," 4413.55"," 4444.10"," 4550.00"," 4335.75"," 4340.05"," 4351.85"," 4439.57"," 129780"," 5761.67"," 17745"," 22735"," 17.52",7,7,33.24,03/15/2022,F
"INDIAMART"," EQ"," 14-Mar-2022"," 4477.40"," 4477.00"," 4549.85"," 4400.00"," 4419.00"," 4413.55"," 4438.13"," 119317"," 5295.45"," 16153"," 48103"," 40.32",7,7,33.58,03/14/2022,F
"INDIAMART"," EQ"," 11-Mar-2022"," 4500.80"," 4500.00"," 4588.70"," 4450.00"," 4488.00"," 4477.40"," 4493.67"," 150349"," 6756.19"," 17977"," 53246"," 35.41",8,7,33.61,03/11/2022,T
"INDIAMART"," EQ"," 10-Mar-2022"," 4286.45"," 4458.85"," 4521.00"," 4400.05"," 4506.25"," 4500.80"," 4479.61"," 216674"," 9706.15"," 22808"," 78003"," 36.00",10,7,33.59,03/10/2022,T
"INDIAMART"," EQ"," 09-Mar-2022"," 4081.75"," 4158.40"," 4315.00"," 4104.00"," 4297.95"," 4286.45"," 4251.16"," 269091"," 11439.50"," 30678"," 81916"," 30.44",9,7,33.70,03/09/2022,F
"INDIAMART"," EQ"," 08-Mar-2022"," 4033.80"," 4080.00"," 4189.00"," 3960.00"," 4082.05"," 4081.75"," 4074.71"," 267610"," 10904.34"," 38543"," 74688"," 27.91",7,7,33.87,03/08/2022,F
"INDIAMART"," EQ"," 04-Mar-2022"," 4547.05"," 4496.90"," 4528.25"," 4380.00"," 4393.00"," 4406.50"," 4445.90"," 154141"," 6852.95"," 25923"," 60242"," 39.08",6,6,33.91,03/04/2022,F
"INDIAMART"," EQ"," 03-Mar-2022"," 4741.55"," 4814.90"," 4830.00"," 4501.15"," 4535.00"," 4547.05"," 4642.18"," 146651"," 6807.80"," 31824"," 66531"," 45.37",5,6,33.94,03/03/2022,F
"INDIAMART"," EQ"," 02-Mar-2022"," 4774.05"," 4749.00"," 4880.00"," 4686.15"," 4718.00"," 4741.55"," 4785.71"," 122816"," 5877.62"," 21406"," 36735"," 29.91",6,6,33.81,03/02/2022,F
"INDIAMART"," EQ"," 28-Feb-2022"," 4865.30"," 4846.00"," 4849.00"," 4740.10"," 4751.05"," 4774.05"," 4788.18"," 123299"," 5903.78"," 18285"," 31428"," 25.49",7,6,34.10,02/28/2022,F
"INDIAMART"," EQ"," 25-Feb-2022"," 4794.60"," 4873.45"," 4919.50"," 4764.00"," 4914.00"," 4865.30"," 4839.89"," 231258"," 11192.62"," 28481"," 33893"," 14.66",8,6,34.10,02/25/2022,F
"INDIAMART"," EQ"," 24-Feb-2022"," 4822.10"," 4699.95"," 4950.00"," 4605.00"," 4930.00"," 4794.60"," 4721.17"," 199016"," 9395.88"," 27392"," 51787"," 26.02",7,6,34.38,02/24/2022,F
"INDIAMART"," EQ"," 23-Feb-2022"," 4790.65"," 4867.70"," 4978.00"," 4791.05"," 4840.00"," 4822.10"," 4858.33"," 154752"," 7518.36"," 21694"," 27987"," 18.09",7,6,34.53,02/23/2022,F
"INDIAMART"," EQ"," 22-Feb-2022"," 4756.70"," 4680.00"," 4844.00"," 4555.00"," 4799.80"," 4790.65"," 4745.17"," 151483"," 7188.13"," 20404"," 23310"," 15.39",7,6,34.77,02/22/2022,F
"INDIAMART"," EQ"," 21-Feb-2022"," 4835.05"," 4800.00"," 4978.85"," 4640.00"," 4745.00"," 4756.70"," 4824.84"," 268716"," 12965.11"," 37409"," 46964"," 17.48",7,6,34.96,02/21/2022,F
"INDIAMART"," EQ"," 18-Feb-2022"," 5008.35"," 4962.80"," 5050.00"," 4810.15"," 4819.00"," 4835.05"," 4962.08"," 236144"," 11717.66"," 17965"," 144441"," 61.17",13,6,35.11,02/18/2022,T
"INDIAMART"," EQ"," 17-Feb-2022"," 5134.90"," 5165.00"," 5218.00"," 4998.15"," 5011.00"," 5008.35"," 5071.14"," 88561"," 4491.06"," 13159"," 20162"," 22.77",7,6,34.69,02/17/2022,F
"INDIAMART"," EQ"," 16-Feb-2022"," 5166.90"," 5220.00"," 5248.80"," 5114.55"," 5120.00"," 5134.90"," 5167.74"," 68329"," 3531.07"," 11432"," 16762"," 24.53",6,6,34.69,02/16/2022,F
"INDIAMART"," EQ"," 15-Feb-2022"," 5023.70"," 5078.00"," 5230.00"," 4984.60"," 5170.90"," 5166.90"," 5125.15"," 171040"," 8766.06"," 25310"," 35691"," 20.87",7,6,34.74,02/15/2022,F
"INDIAMART"," EQ"," 14-Feb-2022"," 5046.00"," 4805.00"," 5097.70"," 4805.00"," 5000.05"," 5023.70"," 4980.78"," 157808"," 7860.07"," 22459"," 57663"," 36.54",7,6,34.78,02/14/2022,T
"INDIAMART"," EQ"," 11-Feb-2022"," 5139.00"," 5060.05"," 5099.90"," 4992.90"," 5035.00"," 5046.00"," 5031.25"," 146303"," 7360.87"," 17849"," 40541"," 27.71",8,6,34.53,02/11/2022,F
"INDIAMART"," EQ"," 10-Feb-2022"," 5124.85"," 5130.00"," 5249.90"," 5035.40"," 5150.00"," 5139.00"," 5130.79"," 109870"," 5637.20"," 16753"," 20670"," 18.81",7,6,34.34,02/10/2022,F
