symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"INDIGO"," EQ"," 23-Mar-2022"," 1836.25"," 1845.00"," 1855.00"," 1812.05"," 1831.05"," 1832.80"," 1827.12"," 628556"," 11484.47"," 28115"," 111773"," 17.78",22,22,23.32,03/23/2022,F
"INDIGO"," EQ"," 22-Mar-2022"," 1814.05"," 1810.00"," 1851.50"," 1762.25"," 1834.90"," 1836.25"," 1801.93"," 990082"," 17840.56"," 45513"," 70678"," 7.14",22,22,23.16,03/22/2022,F
"INDIGO"," EQ"," 21-Mar-2022"," 1897.05"," 1882.00"," 1895.00"," 1809.55"," 1817.90"," 1814.05"," 1850.71"," 715151"," 13235.35"," 34326"," 130696"," 18.28",21,22,23.16,03/21/2022,F
"INDIGO"," EQ"," 17-Mar-2022"," 1899.80"," 1930.00"," 1944.00"," 1883.05"," 1895.00"," 1897.05"," 1899.77"," 1295677"," 24614.88"," 45987"," 504994"," 38.98",28,22,23.34,03/17/2022,T
"INDIGO"," EQ"," 16-Mar-2022"," 1832.55"," 1866.00"," 1923.75"," 1866.00"," 1900.00"," 1899.80"," 1895.43"," 1552404"," 29424.76"," 64956"," 169571"," 10.92",24,22,23.02,03/16/2022,F
"INDIGO"," EQ"," 15-Mar-2022"," 1838.80"," 1872.00"," 1883.40"," 1820.65"," 1831.30"," 1832.55"," 1852.15"," 965034"," 17873.91"," 44609"," 166031"," 17.20",22,22,23.00,03/15/2022,F
"INDIGO"," EQ"," 14-Mar-2022"," 1820.80"," 1823.00"," 1849.80"," 1806.30"," 1837.20"," 1838.80"," 1827.33"," 818803"," 14962.21"," 41401"," 199835"," 24.41",20,22,22.99,03/14/2022,F
"INDIGO"," EQ"," 11-Mar-2022"," 1789.45"," 1780.00"," 1839.00"," 1761.70"," 1817.00"," 1820.80"," 1818.59"," 1619561"," 29453.19"," 67618"," 168355"," 10.40",24,21,23.18,03/11/2022,F
"INDIGO"," EQ"," 10-Mar-2022"," 1709.10"," 1800.00"," 1824.60"," 1753.40"," 1789.60"," 1789.45"," 1797.92"," 2787796"," 50122.22"," 119134"," 503929"," 18.08",23,21,23.49,03/10/2022,F
"INDIGO"," EQ"," 09-Mar-2022"," 1598.80"," 1658.00"," 1754.85"," 1658.00"," 1715.00"," 1709.10"," 1710.01"," 5596423"," 95699.57"," 242368"," 992132"," 17.73",23,21,23.57,03/09/2022,F
"INDIGO"," EQ"," 08-Mar-2022"," 1617.00"," 1600.00"," 1614.95"," 1555.10"," 1600.15"," 1598.80"," 1586.45"," 1559479"," 24740.42"," 78013"," 491917"," 31.54",20,21,23.72,03/08/2022,F
"INDIGO"," EQ"," 04-Mar-2022"," 1729.95"," 1720.00"," 1742.30"," 1634.00"," 1729.00"," 1724.20"," 1690.06"," 2922485"," 49391.83"," 132286"," 986098"," 33.74",22,21,23.34,03/04/2022,T
"INDIGO"," EQ"," 03-Mar-2022"," 1805.05"," 1801.00"," 1803.85"," 1721.10"," 1725.00"," 1729.95"," 1749.44"," 1741377"," 30464.32"," 98803"," 668618"," 38.40",18,21,23.13,03/03/2022,F
"INDIGO"," EQ"," 02-Mar-2022"," 1874.90"," 1836.00"," 1865.00"," 1786.85"," 1815.85"," 1805.05"," 1824.48"," 1602449"," 29236.42"," 69662"," 632283"," 39.46",23,21,22.80,03/02/2022,T
"INDIGO"," EQ"," 28-Feb-2022"," 1918.25"," 1870.00"," 1894.00"," 1840.00"," 1870.10"," 1874.90"," 1867.73"," 1586689"," 29635.11"," 70045"," 558530"," 35.20",23,22,22.70,02/28/2022,T
"INDIGO"," EQ"," 25-Feb-2022"," 1830.55"," 1900.00"," 1977.30"," 1870.05"," 1923.85"," 1918.25"," 1938.78"," 1612923"," 31271.02"," 64804"," 109894"," 6.81",25,21,22.58,02/25/2022,F
"INDIGO"," EQ"," 24-Feb-2022"," 2039.40"," 1975.00"," 1988.00"," 1800.00"," 1820.05"," 1830.55"," 1890.22"," 2400153"," 45368.15"," 99739"," 690798"," 28.78",24,21,22.97,02/24/2022,T
"INDIGO"," EQ"," 23-Feb-2022"," 2066.05"," 2085.00"," 2095.00"," 2030.45"," 2039.00"," 2039.40"," 2053.13"," 720061"," 14783.79"," 33835"," 135036"," 18.75",21,21,22.87,02/23/2022,F
"INDIGO"," EQ"," 22-Feb-2022"," 2086.55"," 1996.00"," 2078.80"," 1996.00"," 2060.05"," 2066.05"," 2040.47"," 999361"," 20391.61"," 43885"," 145556"," 14.56",23,21,22.95,02/22/2022,F
"INDIGO"," EQ"," 21-Feb-2022"," 2116.60"," 2085.05"," 2096.15"," 2025.20"," 2079.00"," 2086.55"," 2065.02"," 1964631"," 40570.11"," 75771"," 177237"," 9.02",26,21,23.08,02/21/2022,F
"INDIGO"," EQ"," 18-Feb-2022"," 2156.65"," 2149.00"," 2168.00"," 2091.00"," 2113.00"," 2116.60"," 2130.44"," 951796"," 20277.46"," 43226"," 79228"," 8.32",22,21,23.36,02/18/2022,F
"INDIGO"," EQ"," 17-Feb-2022"," 2170.95"," 2197.95"," 2244.00"," 2130.00"," 2160.00"," 2156.65"," 2179.52"," 1442010"," 31428.92"," 68902"," 210819"," 14.62",21,21,23.59,02/17/2022,F
"INDIGO"," EQ"," 16-Feb-2022"," 2190.60"," 2195.00"," 2223.40"," 2152.10"," 2165.00"," 2170.95"," 2184.45"," 796340"," 17395.67"," 39417"," 98154"," 12.33",20,21,23.87,02/16/2022,F
"INDIGO"," EQ"," 15-Feb-2022"," 2092.30"," 2125.00"," 2198.95"," 2071.55"," 2195.00"," 2190.60"," 2135.34"," 1091103"," 23298.79"," 51574"," 244229"," 22.38",21,21,24.01,02/15/2022,F
"INDIGO"," EQ"," 14-Feb-2022"," 2264.95"," 2170.00"," 2228.50"," 2082.75"," 2095.50"," 2092.30"," 2147.26"," 1288158"," 27660.10"," 60891"," 415114"," 32.23",21,21,23.91,02/14/2022,F
"INDIGO"," EQ"," 11-Feb-2022"," 2236.75"," 2208.20"," 2282.00"," 2201.10"," 2254.00"," 2264.95"," 2262.15"," 1317813"," 29810.90"," 78305"," 345987"," 26.25",17,21,23.62,02/11/2022,F
"INDIGO"," EQ"," 10-Feb-2022"," 2253.80"," 2250.50"," 2282.10"," 2195.10"," 2231.90"," 2236.75"," 2234.03"," 1182724"," 26422.41"," 62080"," 329198"," 27.83",19,21,23.35,02/10/2022,F
"INDIGO"," EQ"," 09-Feb-2022"," 2182.60"," 2190.00"," 2263.00"," 2180.10"," 2248.00"," 2253.80"," 2232.42"," 1079814"," 24105.98"," 49739"," 106495"," 9.86",22,21,23.13,02/09/2022,F
"INDIGO"," EQ"," 08-Feb-2022"," 2170.10"," 2165.00"," 2235.00"," 2155.00"," 2186.55"," 2182.60"," 2192.90"," 2280188"," 50002.14"," 109589"," 242618"," 10.64",21,21,23.21,02/08/2022,F
"INDIGO"," EQ"," 07-Feb-2022"," 1974.35"," 2005.00"," 2187.05"," 1985.00"," 2161.00"," 2170.10"," 2132.62"," 4481201"," 95566.97"," 190264"," 301759"," 6.73",24,21,23.50,02/07/2022,F
"INDIGO"," EQ"," 04-Feb-2022"," 1941.50"," 1950.65"," 2005.00"," 1937.05"," 1971.00"," 1974.35"," 1980.32"," 946376"," 18741.29"," 45166"," 191042"," 20.19",21,21,23.75,02/04/2022,F
"INDIGO"," EQ"," 03-Feb-2022"," 1947.55"," 1959.40"," 1959.40"," 1920.00"," 1937.05"," 1941.50"," 1937.53"," 258633"," 5011.10"," 21464"," 67127"," 25.95",12,21,23.81,02/03/2022,F
"INDIGO"," EQ"," 02-Feb-2022"," 1950.90"," 1960.00"," 1979.95"," 1938.05"," 1949.00"," 1947.55"," 1959.89"," 318185"," 6236.08"," 18882"," 46070"," 14.48",17,21,23.82,02/02/2022,F
"INDIGO"," EQ"," 01-Feb-2022"," 1856.85"," 1867.10"," 1962.00"," 1864.05"," 1958.90"," 1950.90"," 1915.24"," 1050461"," 20118.81"," 49638"," 254731"," 24.25",21,21,24.01,02/01/2022,F
"INDIGO"," EQ"," 31-Jan-2022"," 1856.65"," 1865.00"," 1898.90"," 1835.10"," 1857.80"," 1856.85"," 1855.21"," 814981"," 15119.64"," 38601"," 337828"," 41.45",21,21,23.92,01/31/2022,F
"INDIGO"," EQ"," 28-Jan-2022"," 1862.60"," 1869.00"," 1901.25"," 1826.00"," 1860.35"," 1856.65"," 1862.28"," 1843563"," 34332.23"," 61136"," 1048519"," 56.87",30,21,23.47,01/28/2022,T
"INDIGO"," EQ"," 27-Jan-2022"," 1966.70"," 1925.00"," 1935.00"," 1838.00"," 1859.15"," 1862.60"," 1873.69"," 1484512"," 27815.09"," 80704"," 518976"," 34.96",18,21,22.81,01/27/2022,F
"INDIGO"," EQ"," 25-Jan-2022"," 1992.20"," 1985.10"," 2024.00"," 1955.60"," 1968.00"," 1966.70"," 1988.37"," 705168"," 14021.38"," 38243"," 262617"," 37.24",18,21,22.47,01/25/2022,F
"INDIGO"," EQ"," 24-Jan-2022"," 2084.35"," 2089.00"," 2089.00"," 1970.85"," 1991.00"," 1992.20"," 2023.22"," 459730"," 9301.37"," 28807"," 93789"," 20.40",16,21,22.32,01/24/2022,F
