symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"INDUSINDBK"," EQ"," 23-Mar-2022"," 927.70"," 933.00"," 944.45"," 928.10"," 930.00"," 931.35"," 934.37"," 2433056"," 22733.73"," 52516"," 670732"," 27.57",46,48,30.93,03/23/2022,F
"INDUSINDBK"," EQ"," 22-Mar-2022"," 913.40"," 916.00"," 932.00"," 903.60"," 931.00"," 927.70"," 916.58"," 2764481"," 25338.54"," 61449"," 691890"," 25.03",45,48,30.97,03/22/2022,F
"INDUSINDBK"," EQ"," 21-Mar-2022"," 932.45"," 938.00"," 938.00"," 911.00"," 915.50"," 913.40"," 918.96"," 2363059"," 21715.68"," 60864"," 697274"," 29.51",39,48,31.31,03/21/2022,F
"INDUSINDBK"," EQ"," 17-Mar-2022"," 928.65"," 943.95"," 949.50"," 929.55"," 931.65"," 932.45"," 941.35"," 4492246"," 42287.74"," 89208"," 1716573"," 38.21",50,48,31.59,03/17/2022,T
"INDUSINDBK"," EQ"," 16-Mar-2022"," 896.65"," 912.00"," 936.00"," 911.55"," 926.00"," 928.65"," 926.54"," 5705364"," 52862.21"," 96516"," 1566365"," 27.45",59,47,31.47,03/16/2022,F
"INDUSINDBK"," EQ"," 15-Mar-2022"," 907.60"," 916.90"," 922.00"," 887.25"," 894.90"," 896.65"," 906.94"," 4390735"," 39821.31"," 85039"," 1006659"," 22.93",52,47,31.69,03/15/2022,F
"INDUSINDBK"," EQ"," 14-Mar-2022"," 901.75"," 899.00"," 914.00"," 892.30"," 907.45"," 907.60"," 902.55"," 3718477"," 33561.08"," 66446"," 928321"," 24.97",56,47,31.75,03/14/2022,F
"INDUSINDBK"," EQ"," 11-Mar-2022"," 904.30"," 900.00"," 915.50"," 892.95"," 900.10"," 901.75"," 904.01"," 3451877"," 31205.40"," 73515"," 586698"," 17.00",47,46,31.87,03/11/2022,F
"INDUSINDBK"," EQ"," 10-Mar-2022"," 875.35"," 909.80"," 928.00"," 890.70"," 903.00"," 904.30"," 911.03"," 6312569"," 57509.08"," 113187"," 1139592"," 18.05",56,47,31.89,03/10/2022,F
"INDUSINDBK"," EQ"," 09-Mar-2022"," 840.70"," 863.00"," 880.00"," 838.25"," 879.30"," 875.35"," 857.55"," 6967640"," 59750.74"," 149339"," 1791132"," 25.71",47,46,32.08,03/09/2022,F
"INDUSINDBK"," EQ"," 08-Mar-2022"," 834.40"," 831.10"," 847.80"," 816.00"," 845.00"," 840.70"," 830.38"," 6163433"," 51180.16"," 134466"," 1246737"," 20.23",46,46,32.36,03/08/2022,F
"INDUSINDBK"," EQ"," 04-Mar-2022"," 912.25"," 896.00"," 922.90"," 891.00"," 900.90"," 901.90"," 904.26"," 3623960"," 32770.04"," 89123"," 636446"," 17.56",41,46,32.40,03/04/2022,F
"INDUSINDBK"," EQ"," 03-Mar-2022"," 906.35"," 918.00"," 926.00"," 906.50"," 910.00"," 912.25"," 914.84"," 3731807"," 34140.03"," 70456"," 991768"," 26.58",53,46,32.70,03/03/2022,F
"INDUSINDBK"," EQ"," 02-Mar-2022"," 920.70"," 907.00"," 912.65"," 887.55"," 908.00"," 906.35"," 899.80"," 4507940"," 40562.30"," 113466"," 1313486"," 29.14",40,46,32.87,03/02/2022,F
"INDUSINDBK"," EQ"," 28-Feb-2022"," 927.05"," 916.00"," 924.80"," 903.00"," 918.50"," 920.70"," 916.23"," 3299912"," 30234.94"," 74903"," 781013"," 23.67",44,47,32.83,02/28/2022,F
"INDUSINDBK"," EQ"," 25-Feb-2022"," 875.65"," 898.70"," 929.80"," 895.00"," 927.00"," 927.05"," 921.79"," 4821342"," 44442.64"," 104909"," 1557096"," 32.30",46,47,32.93,02/25/2022,F
"INDUSINDBK"," EQ"," 24-Feb-2022"," 950.70"," 919.50"," 934.30"," 868.85"," 870.35"," 875.65"," 895.47"," 7305449"," 65418.32"," 141833"," 2278845"," 31.19",52,47,32.98,02/24/2022,F
"INDUSINDBK"," EQ"," 23-Feb-2022"," 939.10"," 944.00"," 960.80"," 943.15"," 948.65"," 950.70"," 952.53"," 3507003"," 33405.33"," 87687"," 1089524"," 31.07",40,47,33.20,02/23/2022,F
"INDUSINDBK"," EQ"," 22-Feb-2022"," 952.45"," 925.00"," 949.85"," 923.00"," 939.00"," 939.10"," 936.16"," 2866135"," 26831.54"," 75175"," 565493"," 19.73",38,47,33.54,02/22/2022,F
"INDUSINDBK"," EQ"," 21-Feb-2022"," 955.35"," 952.00"," 972.00"," 949.00"," 954.00"," 952.45"," 959.84"," 3535914"," 33939.06"," 76965"," 581311"," 16.44",46,47,33.94,02/21/2022,F
"INDUSINDBK"," EQ"," 18-Feb-2022"," 955.80"," 950.00"," 966.00"," 948.60"," 959.00"," 955.35"," 958.24"," 2417043"," 23160.95"," 54890"," 496106"," 20.53",44,47,34.39,02/18/2022,F
"INDUSINDBK"," EQ"," 17-Feb-2022"," 968.40"," 980.00"," 980.00"," 951.10"," 955.30"," 955.80"," 961.81"," 3152042"," 30316.60"," 58783"," 435848"," 13.83",54,47,34.61,02/17/2022,F
"INDUSINDBK"," EQ"," 16-Feb-2022"," 969.70"," 966.10"," 987.55"," 961.95"," 967.55"," 968.40"," 975.01"," 3683264"," 35912.23"," 85242"," 1003930"," 27.26",43,46,34.95,02/16/2022,F
"INDUSINDBK"," EQ"," 15-Feb-2022"," 941.60"," 943.00"," 972.00"," 923.25"," 968.55"," 969.70"," 945.55"," 3985559"," 37685.37"," 107152"," 811865"," 20.37",37,46,34.96,02/15/2022,F
"INDUSINDBK"," EQ"," 14-Feb-2022"," 982.40"," 959.20"," 964.80"," 937.20"," 937.30"," 941.60"," 949.69"," 3652419"," 34686.60"," 91029"," 991686"," 27.15",40,46,35.24,02/14/2022,F
"INDUSINDBK"," EQ"," 11-Feb-2022"," 972.35"," 955.00"," 990.00"," 954.55"," 977.00"," 982.40"," 977.89"," 7171664"," 70131.26"," 128139"," 3036781"," 42.34",56,46,35.44,02/11/2022,T
"INDUSINDBK"," EQ"," 10-Feb-2022"," 967.15"," 966.00"," 977.75"," 960.25"," 971.10"," 972.35"," 971.50"," 4037566"," 39225.04"," 96922"," 1838968"," 45.55",42,46,35.48,02/10/2022,F
"INDUSINDBK"," EQ"," 09-Feb-2022"," 937.70"," 942.30"," 971.40"," 940.40"," 965.00"," 967.15"," 962.36"," 4101202"," 39468.45"," 101867"," 1223888"," 29.84",40,46,35.13,02/09/2022,F
"INDUSINDBK"," EQ"," 08-Feb-2022"," 933.05"," 938.00"," 940.75"," 913.00"," 935.85"," 937.70"," 929.32"," 3160992"," 29375.89"," 73309"," 673371"," 21.30",43,46,35.29,02/08/2022,F
"INDUSINDBK"," EQ"," 07-Feb-2022"," 956.05"," 952.05"," 959.40"," 928.15"," 932.00"," 933.05"," 942.28"," 2587054"," 24377.31"," 59993"," 694467"," 26.84",43,46,35.42,02/07/2022,F
"INDUSINDBK"," EQ"," 04-Feb-2022"," 958.35"," 958.00"," 974.95"," 945.00"," 954.70"," 956.05"," 960.05"," 5000045"," 48003.18"," 118273"," 1439274"," 28.79",42,46,35.48,02/04/2022,F
"INDUSINDBK"," EQ"," 03-Feb-2022"," 975.35"," 967.35"," 979.70"," 954.45"," 955.40"," 958.35"," 965.77"," 5623611"," 54310.88"," 124021"," 1854087"," 32.97",45,46,35.59,02/03/2022,F
"INDUSINDBK"," EQ"," 02-Feb-2022"," 922.30"," 930.10"," 981.80"," 930.10"," 968.00"," 975.35"," 963.13"," 14380553"," 138502.94"," 271920"," 5683051"," 39.52",53,45,35.52,02/02/2022,T
"INDUSINDBK"," EQ"," 01-Feb-2022"," 872.10"," 879.00"," 927.00"," 879.00"," 925.00"," 922.30"," 904.04"," 11628936"," 105130.37"," 261584"," 3852730"," 33.13",44,45,35.41,02/01/2022,F
"INDUSINDBK"," EQ"," 31-Jan-2022"," 903.55"," 927.45"," 927.45"," 866.65"," 871.90"," 872.10"," 880.53"," 10148990"," 89364.67"," 204399"," 2588887"," 25.51",50,45,35.29,01/31/2022,F
"INDUSINDBK"," EQ"," 28-Jan-2022"," 888.10"," 897.00"," 925.75"," 895.00"," 903.70"," 903.55"," 911.82"," 5520247"," 50334.95"," 119433"," 1660853"," 30.09",46,45,35.29,01/28/2022,F
"INDUSINDBK"," EQ"," 27-Jan-2022"," 884.25"," 874.20"," 893.60"," 861.10"," 892.85"," 888.10"," 880.23"," 4323258"," 38054.59"," 102951"," 1462168"," 33.82",42,45,35.12,01/27/2022,F
"INDUSINDBK"," EQ"," 25-Jan-2022"," 851.25"," 842.35"," 886.90"," 842.00"," 881.60"," 884.25"," 869.91"," 5165597"," 44936.08"," 109341"," 1470920"," 28.48",47,45,34.88,01/25/2022,F
"INDUSINDBK"," EQ"," 24-Jan-2022"," 854.10"," 859.00"," 869.30"," 831.55"," 850.50"," 851.25"," 853.38"," 4657809"," 39748.77"," 112346"," 1319456"," 28.33",41,44,34.98,01/24/2022,F
"INDUSINDBK"," EQ"," 21-Jan-2022"," 877.20"," 869.90"," 872.95"," 845.10"," 857.00"," 854.10"," 859.29"," 4042974"," 34740.91"," 94838"," 1606417"," 39.73",43,44,35.14,01/21/2022,F
"INDUSINDBK"," EQ"," 20-Jan-2022"," 893.25"," 895.00"," 898.45"," 872.00"," 878.00"," 877.20"," 881.40"," 3565267"," 31424.17"," 102789"," 1699158"," 47.66",35,44,35.08,01/20/2022,F
"INDUSINDBK"," EQ"," 19-Jan-2022"," 899.65"," 897.00"," 903.80"," 884.15"," 893.00"," 893.25"," 893.35"," 3628266"," 32412.99"," 99890"," 1542904"," 42.52",36,44,34.81,01/19/2022,F
"INDUSINDBK"," EQ"," 18-Jan-2022"," 920.50"," 920.50"," 927.35"," 895.35"," 901.00"," 899.65"," 914.57"," 3088062"," 28242.55"," 66807"," 962020"," 31.15",46,44,34.70,01/18/2022,F
"INDUSINDBK"," EQ"," 17-Jan-2022"," 920.05"," 919.00"," 931.90"," 912.25"," 921.00"," 920.50"," 922.46"," 3048497"," 28121.08"," 83663"," 1350496"," 44.30",36,44,34.76,01/17/2022,F
"INDUSINDBK"," EQ"," 14-Jan-2022"," 927.10"," 919.10"," 926.65"," 913.25"," 918.80"," 920.05"," 919.47"," 2557488"," 23515.41"," 77167"," 1033776"," 40.42",33,44,34.62,01/14/2022,F
"INDUSINDBK"," EQ"," 13-Jan-2022"," 941.55"," 948.00"," 950.00"," 926.00"," 926.25"," 927.10"," 932.29"," 2109207"," 19663.93"," 52999"," 841992"," 39.92",40,44,34.53,01/13/2022,F
"INDUSINDBK"," EQ"," 12-Jan-2022"," 917.95"," 928.00"," 946.60"," 920.10"," 943.50"," 941.55"," 936.63"," 5506622"," 51576.56"," 105507"," 2309133"," 41.93",52,44,34.34,01/12/2022,T
"INDUSINDBK"," EQ"," 11-Jan-2022"," 920.85"," 927.00"," 935.05"," 914.00"," 917.00"," 917.95"," 921.16"," 3383081"," 31163.61"," 72202"," 1239927"," 36.65",47,43,34.12,01/11/2022,T
