symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"INDUSTOWER"," EQ"," 23-Mar-2022"," 211.85"," 213.00"," 215.75"," 212.30"," 213.50"," 213.90"," 213.97"," 2445320"," 5232.20"," 33001"," 1361946"," 55.70",74,93,41.80,03/23/2022,F
"INDUSTOWER"," EQ"," 22-Mar-2022"," 209.95"," 210.20"," 213.05"," 208.75"," 211.65"," 211.85"," 211.05"," 2166509"," 4572.50"," 21243"," 1119498"," 51.67",102,93,41.51,03/22/2022,T
"INDUSTOWER"," EQ"," 21-Mar-2022"," 214.70"," 215.50"," 222.50"," 209.10"," 209.85"," 209.95"," 215.95"," 6255048"," 13507.88"," 67610"," 2767670"," 44.25",93,93,41.30,03/21/2022,F
"INDUSTOWER"," EQ"," 17-Mar-2022"," 214.45"," 217.45"," 218.40"," 213.45"," 215.30"," 214.70"," 215.41"," 5038190"," 10852.71"," 38552"," 3345662"," 66.41",131,92,41.27,03/17/2022,T
"INDUSTOWER"," EQ"," 16-Mar-2022"," 209.60"," 213.80"," 216.30"," 211.50"," 214.55"," 214.45"," 214.23"," 3464634"," 7422.15"," 46772"," 1909278"," 55.11",74,91,40.99,03/16/2022,F
"INDUSTOWER"," EQ"," 15-Mar-2022"," 214.25"," 214.50"," 215.00"," 208.50"," 209.45"," 209.60"," 211.76"," 2185096"," 4627.14"," 39016"," 1290339"," 59.05",56,92,40.64,03/15/2022,F
"INDUSTOWER"," EQ"," 14-Mar-2022"," 214.20"," 214.15"," 216.45"," 211.10"," 213.15"," 214.25"," 213.03"," 2881455"," 6138.50"," 34945"," 1771864"," 61.49",82,92,40.65,03/14/2022,F
"INDUSTOWER"," EQ"," 11-Mar-2022"," 212.35"," 212.10"," 214.90"," 211.60"," 213.90"," 214.20"," 213.76"," 1749413"," 3739.50"," 30241"," 889958"," 50.87",58,92,40.52,03/11/2022,F
"INDUSTOWER"," EQ"," 10-Mar-2022"," 212.25"," 217.85"," 217.85"," 211.10"," 212.20"," 212.35"," 213.79"," 3374016"," 7213.31"," 43283"," 1447096"," 42.89",78,92,40.35,03/10/2022,F
"INDUSTOWER"," EQ"," 09-Mar-2022"," 204.00"," 206.90"," 214.40"," 202.05"," 212.00"," 212.25"," 210.11"," 4515406"," 9487.22"," 48911"," 1668804"," 36.96",92,92,40.29,03/09/2022,F
"INDUSTOWER"," EQ"," 08-Mar-2022"," 198.85"," 200.00"," 205.25"," 197.55"," 204.70"," 204.00"," 201.01"," 3382497"," 6799.28"," 55460"," 1174377"," 34.72",61,92,40.38,03/08/2022,F
"INDUSTOWER"," EQ"," 04-Mar-2022"," 211.80"," 207.60"," 214.70"," 207.00"," 208.50"," 208.00"," 210.19"," 7836766"," 16472.27"," 68702"," 4134471"," 52.76",114,91,40.32,03/04/2022,T
"INDUSTOWER"," EQ"," 03-Mar-2022"," 207.15"," 209.00"," 212.85"," 207.50"," 212.00"," 211.80"," 210.39"," 6385651"," 13434.48"," 57991"," 3355226"," 52.54",110,91,40.04,03/03/2022,T
