symbol,series,date1,prev_close,open,high,low,last_price,close,average_pr,tottrades,turnover,numtrades,delivery,volume,action,avgaction,avgdel,date,lottery
"INFY"," EQ"," 16-Mar-2022"," 1839.30"," 1865.00"," 1893.95"," 1849.00"," 1889.00"," 1889.40"," 1874.83"," 5233979"," 98128.20"," 154465"," 3133488"," 59.87",34,29,61.96,03/16/2022,F
"INFY"," EQ"," 15-Mar-2022"," 1890.70"," 1888.35"," 1888.35"," 1830.00"," 1838.00"," 1839.30"," 1852.89"," 7140443"," 132304.85"," 224849"," 4846167"," 67.87",32,29,62.04,03/15/2022,T
"INFY"," EQ"," 14-Mar-2022"," 1822.00"," 1831.55"," 1895.00"," 1831.55"," 1891.00"," 1890.70"," 1872.10"," 10289724"," 192633.78"," 271878"," 6666093"," 64.78",38,29,62.09,03/14/2022,T
"INFY"," EQ"," 11-Mar-2022"," 1825.90"," 1814.00"," 1831.40"," 1811.00"," 1823.30"," 1822.00"," 1822.73"," 4758657"," 86737.58"," 148439"," 3194954"," 67.14",32,29,62.19,03/11/2022,T
"INFY"," EQ"," 10-Mar-2022"," 1813.35"," 1844.75"," 1844.75"," 1810.20"," 1822.10"," 1825.90"," 1823.68"," 6547182"," 119399.78"," 195637"," 4239162"," 64.75",33,29,61.95,03/10/2022,T
"INFY"," EQ"," 09-Mar-2022"," 1778.20"," 1791.00"," 1831.60"," 1791.00"," 1817.80"," 1813.35"," 1818.64"," 10193515"," 185383.20"," 290276"," 4998155"," 49.03",35,28,61.75,03/09/2022,F
"INFY"," EQ"," 08-Mar-2022"," 1739.85"," 1718.45"," 1800.00"," 1718.45"," 1775.20"," 1778.20"," 1771.93"," 10984500"," 194637.56"," 320286"," 6670845"," 60.73",34,28,61.78,03/08/2022,F
"INFY"," EQ"," 04-Mar-2022"," 1720.85"," 1695.25"," 1736.00"," 1681.00"," 1721.90"," 1723.30"," 1714.49"," 9074499"," 155581.03"," 317226"," 5315522"," 58.58",29,28,61.61,03/04/2022,F
"INFY"," EQ"," 03-Mar-2022"," 1702.80"," 1720.20"," 1733.90"," 1705.55"," 1721.75"," 1720.85"," 1722.78"," 7344147"," 126523.32"," 262571"," 4775991"," 65.03",28,28,61.58,03/03/2022,F
"INFY"," EQ"," 02-Mar-2022"," 1715.60"," 1710.00"," 1714.40"," 1691.00"," 1702.55"," 1702.80"," 1703.13"," 6771489"," 115327.01"," 301403"," 4673594"," 69.02",22,29,61.66,03/02/2022,F
"INFY"," EQ"," 28-Feb-2022"," 1694.60"," 1682.20"," 1728.05"," 1665.00"," 1719.00"," 1715.60"," 1709.44"," 15076542"," 257724.14"," 330427"," 8905012"," 59.07",46,29,61.80,02/28/2022,F
"INFY"," EQ"," 25-Feb-2022"," 1678.15"," 1715.00"," 1728.15"," 1677.00"," 1696.00"," 1694.60"," 1698.96"," 9737281"," 165432.43"," 305050"," 5913267"," 60.73",32,29,61.77,02/25/2022,F
"INFY"," EQ"," 24-Feb-2022"," 1742.85"," 1690.10"," 1714.95"," 1670.50"," 1674.80"," 1678.15"," 1689.92"," 13592379"," 229700.22"," 376409"," 9349789"," 68.79",36,29,61.86,02/24/2022,T
"INFY"," EQ"," 23-Feb-2022"," 1734.35"," 1750.00"," 1758.25"," 1733.40"," 1742.80"," 1742.85"," 1742.56"," 5478811"," 95471.55"," 191067"," 3712420"," 67.76",29,29,61.78,02/23/2022,F
