symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"INTELLECT"," EQ"," 23-Mar-2022"," 818.70"," 825.00"," 841.80"," 816.50"," 838.00"," 837.70"," 831.75"," 853287"," 7097.20"," 26793"," 169327"," 19.84",32,25,38.57,03/23/2022,F
"INTELLECT"," EQ"," 22-Mar-2022"," 802.90"," 807.15"," 844.50"," 791.00"," 819.00"," 818.70"," 825.29"," 2549888"," 21043.96"," 71428"," 463672"," 18.18",36,25,39.27,03/22/2022,F
"INTELLECT"," EQ"," 21-Mar-2022"," 767.05"," 774.00"," 817.05"," 766.25"," 804.00"," 802.90"," 797.81"," 1190290"," 9496.25"," 32128"," 402421"," 33.81",37,25,39.78,03/21/2022,F
"INTELLECT"," EQ"," 17-Mar-2022"," 761.80"," 772.00"," 779.25"," 757.70"," 764.00"," 767.05"," 770.27"," 594353"," 4578.11"," 18828"," 196389"," 33.04",32,25,40.12,03/17/2022,F
"INTELLECT"," EQ"," 16-Mar-2022"," 713.80"," 726.00"," 772.00"," 720.00"," 763.25"," 761.80"," 754.65"," 949473"," 7165.18"," 30247"," 296615"," 31.24",31,25,40.31,03/16/2022,F
"INTELLECT"," EQ"," 15-Mar-2022"," 734.40"," 734.05"," 744.25"," 708.75"," 716.00"," 713.80"," 725.03"," 219385"," 1590.61"," 11891"," 73946"," 33.71",18,24,40.49,03/15/2022,F
"INTELLECT"," EQ"," 14-Mar-2022"," 737.85"," 744.85"," 752.70"," 720.00"," 732.00"," 734.40"," 735.12"," 478192"," 3515.30"," 19372"," 118545"," 24.79",25,24,40.69,03/14/2022,F
"INTELLECT"," EQ"," 11-Mar-2022"," 719.45"," 718.00"," 747.25"," 705.65"," 746.00"," 737.85"," 728.69"," 395348"," 2880.88"," 13275"," 137401"," 34.75",30,24,40.98,03/11/2022,F
"INTELLECT"," EQ"," 10-Mar-2022"," 719.75"," 733.00"," 733.00"," 711.40"," 716.40"," 719.45"," 721.71"," 271776"," 1961.43"," 13103"," 87313"," 32.13",21,24,41.14,03/10/2022,F
"INTELLECT"," EQ"," 09-Mar-2022"," 710.30"," 712.70"," 730.00"," 709.20"," 722.40"," 719.75"," 719.76"," 364228"," 2621.58"," 13227"," 134253"," 36.86",28,24,41.37,03/09/2022,F
"INTELLECT"," EQ"," 08-Mar-2022"," 681.20"," 687.70"," 719.10"," 685.00"," 706.20"," 710.30"," 708.86"," 881203"," 6246.47"," 29017"," 171665"," 19.48",30,24,41.46,03/08/2022,F
"INTELLECT"," EQ"," 04-Mar-2022"," 656.00"," 654.90"," 691.90"," 644.80"," 678.90"," 679.00"," 675.01"," 1222819"," 8254.11"," 36108"," 197405"," 16.14",34,24,41.65,03/04/2022,F
"INTELLECT"," EQ"," 03-Mar-2022"," 652.70"," 660.00"," 668.65"," 651.60"," 654.30"," 656.00"," 657.98"," 303254"," 1995.35"," 14304"," 118423"," 39.05",21,24,42.08,03/03/2022,F
"INTELLECT"," EQ"," 02-Mar-2022"," 653.75"," 653.00"," 667.50"," 643.90"," 653.45"," 652.70"," 653.87"," 417417"," 2729.36"," 18021"," 132833"," 31.82",23,24,42.08,03/02/2022,F
"INTELLECT"," EQ"," 28-Feb-2022"," 644.90"," 644.90"," 660.00"," 631.25"," 655.05"," 653.75"," 644.99"," 225027"," 1451.40"," 9769"," 96204"," 42.75",23,24,42.39,02/28/2022,F
"INTELLECT"," EQ"," 25-Feb-2022"," 621.05"," 626.50"," 658.00"," 626.50"," 645.00"," 644.90"," 645.34"," 361291"," 2331.54"," 13220"," 118319"," 32.75",27,24,42.46,02/25/2022,F
"INTELLECT"," EQ"," 24-Feb-2022"," 666.25"," 635.00"," 643.85"," 616.25"," 620.00"," 621.05"," 631.40"," 490753"," 3098.60"," 21311"," 199278"," 40.61",23,24,42.80,02/24/2022,F
"INTELLECT"," EQ"," 23-Feb-2022"," 650.85"," 654.30"," 671.75"," 654.30"," 665.70"," 666.25"," 665.74"," 272290"," 1812.74"," 11821"," 103912"," 38.16",23,24,42.94,02/23/2022,F
"INTELLECT"," EQ"," 22-Feb-2022"," 670.20"," 644.00"," 658.00"," 641.25"," 652.95"," 650.85"," 649.64"," 347691"," 2258.75"," 19622"," 150346"," 43.24",18,24,43.15,02/22/2022,F
"INTELLECT"," EQ"," 21-Feb-2022"," 681.15"," 680.00"," 680.00"," 658.10"," 667.90"," 670.20"," 669.05"," 236703"," 1583.67"," 9787"," 75333"," 31.83",24,24,43.22,02/21/2022,F
"INTELLECT"," EQ"," 18-Feb-2022"," 672.60"," 666.00"," 699.15"," 664.05"," 681.00"," 681.15"," 678.84"," 227634"," 1545.27"," 7567"," 76548"," 33.63",30,23,43.68,02/18/2022,F
"INTELLECT"," EQ"," 17-Feb-2022"," 687.30"," 690.00"," 694.70"," 670.00"," 671.10"," 672.60"," 677.65"," 177238"," 1201.06"," 6711"," 67028"," 37.82",26,23,43.84,02/17/2022,F
"INTELLECT"," EQ"," 16-Feb-2022"," 676.15"," 686.60"," 698.75"," 680.05"," 686.10"," 687.30"," 688.90"," 350234"," 2412.78"," 12412"," 116386"," 33.23",28,23,44.10,02/16/2022,F
"INTELLECT"," EQ"," 15-Feb-2022"," 655.25"," 658.00"," 685.95"," 649.05"," 675.10"," 676.15"," 663.92"," 664499"," 4411.77"," 21875"," 116506"," 17.53",30,23,44.56,02/15/2022,F
"INTELLECT"," EQ"," 14-Feb-2022"," 685.30"," 671.00"," 674.00"," 627.90"," 653.00"," 655.25"," 660.09"," 659587"," 4353.85"," 23879"," 356792"," 54.09",28,23,45.02,02/14/2022,T
"INTELLECT"," EQ"," 11-Feb-2022"," 720.05"," 709.95"," 712.95"," 682.20"," 683.00"," 685.30"," 696.37"," 439365"," 3059.62"," 21839"," 176296"," 40.13",20,23,45.05,02/11/2022,F
