symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"IOC"," EQ"," 23-Mar-2022"," 120.65"," 121.85"," 123.00"," 120.65"," 121.50"," 121.70"," 121.41"," 16847442"," 20454.47"," 74770"," 6780538"," 40.25",225,147,39.53,03/23/2022,T
"IOC"," EQ"," 22-Mar-2022"," 118.00"," 119.00"," 121.85"," 118.50"," 120.55"," 120.65"," 120.25"," 20619526"," 24794.68"," 137739"," 6219371"," 30.16",150,146,39.55,03/22/2022,F
"IOC"," EQ"," 21-Mar-2022"," 121.35"," 121.80"," 121.80"," 117.80"," 118.00"," 118.00"," 119.14"," 12111014"," 14429.43"," 79471"," 5209341"," 43.01",152,146,39.74,03/21/2022,T
"IOC"," EQ"," 17-Mar-2022"," 121.95"," 122.40"," 122.90"," 120.10"," 121.35"," 121.35"," 121.09"," 27800074"," 33664.03"," 89691"," 16322974"," 58.72",310,146,39.96,03/17/2022,T
"IOC"," EQ"," 16-Mar-2022"," 119.00"," 120.30"," 122.60"," 119.45"," 121.80"," 121.95"," 120.58"," 10117835"," 12200.02"," 62101"," 4777926"," 47.22",163,144,39.83,03/16/2022,T
"IOC"," EQ"," 15-Mar-2022"," 120.80"," 120.80"," 121.05"," 118.20"," 119.00"," 119.00"," 119.47"," 11001228"," 13143.45"," 68540"," 3729196"," 33.90",161,144,40.01,03/15/2022,F
"IOC"," EQ"," 14-Mar-2022"," 123.70"," 124.85"," 124.85"," 120.05"," 120.50"," 120.80"," 121.18"," 14878543"," 18029.45"," 92848"," 5631485"," 37.85",160,144,40.39,03/14/2022,F
"IOC"," EQ"," 11-Mar-2022"," 120.95"," 120.80"," 124.40"," 120.40"," 123.60"," 123.70"," 122.28"," 12398829"," 15160.98"," 78003"," 4335139"," 34.96",159,145,40.71,03/11/2022,F
"IOC"," EQ"," 10-Mar-2022"," 116.95"," 119.05"," 121.40"," 117.70"," 120.80"," 120.95"," 120.31"," 18394923"," 22130.45"," 106391"," 6563760"," 35.68",173,146,41.07,03/10/2022,F
"IOC"," EQ"," 09-Mar-2022"," 117.05"," 118.90"," 118.90"," 115.80"," 117.10"," 116.95"," 116.83"," 15650703"," 18284.95"," 100110"," 5876025"," 37.54",156,146,41.41,03/09/2022,F
"IOC"," EQ"," 08-Mar-2022"," 112.25"," 112.00"," 117.75"," 111.60"," 117.00"," 117.05"," 114.49"," 22322573"," 25557.00"," 129741"," 10459543"," 46.86",172,145,41.53,03/08/2022,T
"IOC"," EQ"," 04-Mar-2022"," 114.65"," 114.95"," 115.40"," 112.80"," 113.30"," 113.25"," 113.50"," 16670574"," 18921.46"," 99814"," 8045157"," 48.26",167,145,41.48,03/04/2022,T
"IOC"," EQ"," 03-Mar-2022"," 112.25"," 115.00"," 116.50"," 113.00"," 114.90"," 114.65"," 114.88"," 18861056"," 21668.29"," 144090"," 5968388"," 31.64",131,145,41.22,03/03/2022,F
"IOC"," EQ"," 02-Mar-2022"," 115.00"," 113.75"," 116.40"," 111.45"," 112.40"," 112.25"," 113.50"," 14926831"," 16941.74"," 102730"," 7586854"," 50.83",145,145,41.24,03/02/2022,F
"IOC"," EQ"," 28-Feb-2022"," 112.35"," 112.80"," 116.20"," 110.60"," 115.05"," 115.00"," 113.36"," 16521199"," 18729.06"," 88091"," 6533626"," 39.55",188,147,41.58,02/28/2022,F
"IOC"," EQ"," 25-Feb-2022"," 110.00"," 113.00"," 118.50"," 111.00"," 112.40"," 112.35"," 112.60"," 18699142"," 21054.88"," 119965"," 6832416"," 36.54",156,146,41.78,02/25/2022,F
"IOC"," EQ"," 24-Feb-2022"," 117.15"," 114.95"," 116.20"," 109.30"," 110.15"," 110.00"," 112.83"," 13232094"," 14929.92"," 118310"," 5083702"," 38.42",112,146,41.82,02/24/2022,F
"IOC"," EQ"," 23-Feb-2022"," 117.10"," 117.80"," 118.30"," 116.50"," 117.40"," 117.15"," 117.41"," 5683477"," 6673.04"," 53945"," 2515073"," 44.25",105,145,41.70,02/23/2022,F
"IOC"," EQ"," 22-Feb-2022"," 119.20"," 117.00"," 118.65"," 116.50"," 117.10"," 117.10"," 117.31"," 7606407"," 8923.12"," 84228"," 3149449"," 41.41",90,145,41.67,02/22/2022,F
"IOC"," EQ"," 21-Feb-2022"," 121.15"," 120.00"," 121.15"," 118.60"," 119.00"," 119.20"," 119.80"," 5730295"," 6864.62"," 48355"," 1603009"," 27.97",119,147,42.08,02/21/2022,F
"IOC"," EQ"," 18-Feb-2022"," 121.40"," 121.40"," 122.30"," 120.60"," 121.10"," 121.15"," 121.35"," 5319044"," 6454.42"," 36910"," 1949813"," 36.66",144,147,42.35,02/18/2022,F
"IOC"," EQ"," 17-Feb-2022"," 121.50"," 122.85"," 123.95"," 120.50"," 121.35"," 121.40"," 122.25"," 11183068"," 13671.23"," 59075"," 3645394"," 32.60",189,147,42.44,02/17/2022,F
"IOC"," EQ"," 16-Feb-2022"," 118.75"," 119.25"," 122.20"," 119.25"," 121.30"," 121.50"," 121.05"," 11782127"," 14262.15"," 64566"," 3229785"," 27.41",182,145,42.49,02/16/2022,F
"IOC"," EQ"," 15-Feb-2022"," 116.55"," 117.00"," 119.00"," 114.50"," 118.60"," 118.75"," 116.68"," 8652149"," 10095.24"," 78883"," 2210391"," 25.55",110,145,42.81,02/15/2022,F
"IOC"," EQ"," 14-Feb-2022"," 122.05"," 121.00"," 121.00"," 116.15"," 116.65"," 116.55"," 118.53"," 10975847"," 13009.59"," 101414"," 5164703"," 47.06",108,145,43.24,02/14/2022,F
