symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"IPCALAB"," EQ"," 23-Mar-2022"," 999.75"," 999.75"," 1011.20"," 985.30"," 990.70"," 991.25"," 1001.43"," 267686"," 2680.69"," 21444"," 146724"," 54.81",12,18,47.40,03/23/2022,F
"IPCALAB"," EQ"," 22-Mar-2022"," 1003.00"," 1003.10"," 1013.50"," 995.10"," 998.95"," 999.75"," 1002.76"," 210510"," 2110.91"," 14082"," 98911"," 46.99",15,18,47.06,03/22/2022,F
"IPCALAB"," EQ"," 21-Mar-2022"," 1033.70"," 1035.00"," 1042.50"," 1000.00"," 1005.00"," 1003.00"," 1022.89"," 286959"," 2935.27"," 22649"," 118732"," 41.38",13,17,46.88,03/21/2022,F
"IPCALAB"," EQ"," 17-Mar-2022"," 1000.10"," 1002.50"," 1037.80"," 998.35"," 1032.80"," 1033.70"," 1013.22"," 1091505"," 11059.34"," 22645"," 853957"," 78.24",48,17,47.09,03/17/2022,T
"IPCALAB"," EQ"," 16-Mar-2022"," 993.15"," 998.40"," 1005.00"," 969.05"," 1000.50"," 1000.10"," 991.78"," 366323"," 3633.10"," 25212"," 158394"," 43.24",15,17,46.75,03/16/2022,F
"IPCALAB"," EQ"," 15-Mar-2022"," 1012.20"," 1017.50"," 1034.00"," 989.40"," 995.00"," 993.15"," 1005.68"," 250833"," 2522.57"," 20881"," 136092"," 54.26",12,17,46.94,03/15/2022,F
"IPCALAB"," EQ"," 14-Mar-2022"," 1018.85"," 1025.00"," 1042.00"," 995.85"," 1013.05"," 1012.20"," 1013.49"," 577886"," 5856.84"," 35112"," 317526"," 54.95",16,17,47.14,03/14/2022,F
"IPCALAB"," EQ"," 11-Mar-2022"," 1001.45"," 1006.70"," 1024.90"," 980.00"," 1021.00"," 1018.85"," 1010.05"," 388470"," 3923.76"," 34667"," 190290"," 48.98",11,17,47.24,03/11/2022,F
"IPCALAB"," EQ"," 10-Mar-2022"," 1005.65"," 1008.25"," 1022.95"," 992.30"," 1001.90"," 1001.45"," 1002.30"," 176806"," 1772.13"," 21191"," 81822"," 46.28",8,18,47.39,03/10/2022,F
"IPCALAB"," EQ"," 09-Mar-2022"," 1016.20"," 1020.20"," 1023.10"," 996.20"," 1005.00"," 1005.65"," 1008.41"," 357348"," 3603.54"," 17617"," 208992"," 58.48",20,18,47.60,03/09/2022,T
"IPCALAB"," EQ"," 08-Mar-2022"," 973.50"," 971.70"," 1021.00"," 964.00"," 1013.10"," 1016.20"," 995.73"," 592426"," 5898.99"," 28580"," 247724"," 41.82",21,18,47.60,03/08/2022,F
"IPCALAB"," EQ"," 04-Mar-2022"," 968.70"," 970.75"," 970.75"," 939.40"," 956.00"," 954.75"," 952.04"," 398094"," 3790.01"," 31952"," 237312"," 59.61",12,18,48.06,03/04/2022,F
"IPCALAB"," EQ"," 03-Mar-2022"," 984.80"," 986.00"," 998.30"," 962.45"," 965.85"," 968.70"," 981.31"," 246294"," 2416.91"," 19724"," 111753"," 45.37",12,18,48.04,03/03/2022,F
"IPCALAB"," EQ"," 02-Mar-2022"," 981.35"," 966.00"," 987.05"," 959.10"," 986.95"," 984.80"," 975.87"," 277879"," 2711.75"," 23128"," 147597"," 53.12",12,18,48.06,03/02/2022,F
"IPCALAB"," EQ"," 28-Feb-2022"," 969.85"," 970.00"," 987.00"," 955.00"," 980.60"," 981.35"," 968.16"," 413836"," 4006.59"," 27758"," 154222"," 37.27",15,19,47.98,02/28/2022,F
"IPCALAB"," EQ"," 25-Feb-2022"," 936.75"," 936.75"," 976.95"," 936.20"," 972.40"," 969.85"," 966.68"," 468020"," 4524.28"," 20602"," 302542"," 64.64",23,19,48.27,02/25/2022,T
"IPCALAB"," EQ"," 24-Feb-2022"," 955.20"," 935.00"," 956.05"," 925.20"," 948.00"," 936.75"," 940.77"," 482719"," 4541.27"," 25839"," 225233"," 46.66",19,19,48.16,02/24/2022,F
"IPCALAB"," EQ"," 23-Feb-2022"," 961.20"," 960.00"," 977.95"," 950.50"," 952.95"," 955.20"," 967.44"," 177240"," 1714.69"," 12731"," 86989"," 49.08",14,19,48.27,02/23/2022,F
"IPCALAB"," EQ"," 22-Feb-2022"," 961.80"," 952.00"," 973.50"," 937.85"," 969.45"," 961.20"," 962.12"," 385429"," 3708.29"," 29623"," 170408"," 44.21",13,19,48.26,02/22/2022,F
"IPCALAB"," EQ"," 21-Feb-2022"," 979.85"," 972.00"," 983.00"," 953.35"," 968.00"," 961.80"," 967.45"," 486916"," 4710.69"," 27729"," 273131"," 56.09",18,19,48.49,02/21/2022,F
"IPCALAB"," EQ"," 18-Feb-2022"," 965.05"," 964.50"," 986.20"," 954.35"," 975.00"," 979.85"," 974.11"," 725178"," 7064.07"," 31405"," 357948"," 49.36",23,19,48.23,02/18/2022,T
"IPCALAB"," EQ"," 17-Feb-2022"," 981.65"," 1001.00"," 1001.00"," 955.15"," 965.50"," 965.05"," 964.73"," 1321278"," 12746.81"," 43868"," 588152"," 44.51",30,19,48.21,02/17/2022,F
"IPCALAB"," EQ"," 16-Feb-2022"," 989.05"," 989.10"," 1002.05"," 971.20"," 975.60"," 981.65"," 984.82"," 371411"," 3657.72"," 17017"," 186628"," 50.25",22,19,48.47,02/16/2022,T
"IPCALAB"," EQ"," 15-Feb-2022"," 964.55"," 940.00"," 994.95"," 940.00"," 986.00"," 989.05"," 964.44"," 940898"," 9074.42"," 35612"," 273914"," 29.11",26,19,48.79,02/15/2022,F
"IPCALAB"," EQ"," 14-Feb-2022"," 993.75"," 990.00"," 994.00"," 942.10"," 963.90"," 964.55"," 969.76"," 851025"," 8252.90"," 34809"," 242504"," 28.50",24,19,49.32,02/14/2022,F
"IPCALAB"," EQ"," 11-Feb-2022"," 1004.00"," 989.00"," 1005.10"," 975.95"," 989.95"," 993.75"," 992.58"," 325629"," 3232.14"," 20146"," 150820"," 46.32",16,18,49.67,02/11/2022,F
"IPCALAB"," EQ"," 10-Feb-2022"," 1020.50"," 1029.00"," 1029.00"," 985.15"," 985.15"," 1004.00"," 1010.26"," 118579"," 1197.96"," 7330"," 62217"," 52.47",16,18,49.64,02/10/2022,F
"IPCALAB"," EQ"," 09-Feb-2022"," 1001.35"," 1007.00"," 1024.90"," 1002.55"," 1019.00"," 1020.50"," 1014.22"," 119278"," 1209.74"," 12283"," 40261"," 33.75",10,18,49.67,02/09/2022,F
"IPCALAB"," EQ"," 08-Feb-2022"," 1020.30"," 1024.00"," 1024.00"," 996.55"," 998.00"," 1001.35"," 1009.44"," 162046"," 1635.76"," 9697"," 62034"," 38.28",17,18,49.70,02/08/2022,F
"IPCALAB"," EQ"," 07-Feb-2022"," 1036.65"," 1039.70"," 1054.00"," 1010.00"," 1012.65"," 1020.30"," 1022.43"," 174628"," 1785.45"," 10341"," 91995"," 52.68",17,18,49.75,02/07/2022,F
"IPCALAB"," EQ"," 04-Feb-2022"," 1045.70"," 1050.00"," 1051.75"," 1028.25"," 1036.30"," 1036.65"," 1041.39"," 52032"," 541.86"," 5155"," 14727"," 28.30",10,18,49.70,02/04/2022,F
"IPCALAB"," EQ"," 03-Feb-2022"," 1054.65"," 1061.75"," 1067.65"," 1040.00"," 1043.80"," 1045.70"," 1053.52"," 125055"," 1317.48"," 10370"," 40158"," 32.11",12,19,50.04,02/03/2022,F
"IPCALAB"," EQ"," 02-Feb-2022"," 1037.55"," 1047.45"," 1059.00"," 1037.45"," 1055.90"," 1054.65"," 1051.22"," 92474"," 972.11"," 8114"," 34075"," 36.85",11,18,50.36,02/02/2022,F
"IPCALAB"," EQ"," 01-Feb-2022"," 1034.65"," 1045.00"," 1045.00"," 1026.00"," 1040.00"," 1037.55"," 1033.34"," 86410"," 892.91"," 5884"," 34133"," 39.50",15,19,50.65,02/01/2022,F
"IPCALAB"," EQ"," 31-Jan-2022"," 1012.80"," 1020.10"," 1039.00"," 1008.65"," 1035.00"," 1034.65"," 1029.94"," 391944"," 4036.79"," 13369"," 294795"," 75.21",29,19,50.89,01/31/2022,T
"IPCALAB"," EQ"," 28-Jan-2022"," 1005.50"," 1000.00"," 1024.05"," 990.00"," 1013.85"," 1012.80"," 1015.02"," 222773"," 2261.20"," 12926"," 113888"," 51.12",17,18,50.36,01/28/2022,F
"IPCALAB"," EQ"," 27-Jan-2022"," 1043.20"," 1035.00"," 1045.70"," 998.05"," 1002.00"," 1005.50"," 1013.67"," 406915"," 4124.78"," 29454"," 217855"," 53.54",14,18,50.18,01/27/2022,F
"IPCALAB"," EQ"," 25-Jan-2022"," 1043.00"," 1040.00"," 1049.45"," 1018.00"," 1046.00"," 1043.20"," 1037.16"," 526167"," 5457.18"," 25413"," 276986"," 52.64",21,18,49.82,01/25/2022,T
"IPCALAB"," EQ"," 24-Jan-2022"," 1054.70"," 1055.00"," 1059.85"," 1020.00"," 1050.20"," 1043.00"," 1039.24"," 554842"," 5766.13"," 35818"," 338161"," 60.95",15,18,49.69,01/24/2022,F
"IPCALAB"," EQ"," 21-Jan-2022"," 1067.60"," 1054.00"," 1077.00"," 1042.45"," 1056.00"," 1054.70"," 1061.94"," 361783"," 3841.92"," 17744"," 210439"," 58.17",20,18,49.58,01/21/2022,T
"IPCALAB"," EQ"," 20-Jan-2022"," 1075.15"," 1073.00"," 1082.00"," 1061.60"," 1072.00"," 1067.60"," 1072.02"," 214363"," 2298.01"," 13603"," 98087"," 45.76",16,17,49.24,01/20/2022,F
