symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"IRCTC"," EQ"," 23-Mar-2022"," 765.80"," 772.00"," 785.60"," 763.00"," 766.00"," 766.45"," 774.08"," 3000265"," 23224.56"," 71631"," 822308"," 27.41",42,37,29.01,03/23/2022,F
"IRCTC"," EQ"," 22-Mar-2022"," 770.75"," 774.00"," 774.00"," 752.10"," 767.95"," 765.80"," 761.40"," 2670547"," 20333.67"," 73773"," 673022"," 25.20",36,37,29.05,03/22/2022,F
"IRCTC"," EQ"," 21-Mar-2022"," 770.45"," 773.05"," 782.70"," 768.00"," 769.50"," 770.75"," 774.10"," 2165538"," 16763.35"," 59548"," 732583"," 33.83",36,38,29.05,03/21/2022,F
"IRCTC"," EQ"," 17-Mar-2022"," 768.25"," 776.25"," 779.60"," 767.15"," 770.00"," 770.45"," 773.77"," 2471381"," 19122.72"," 69762"," 1009211"," 40.84",35,37,29.15,03/17/2022,F
"IRCTC"," EQ"," 16-Mar-2022"," 756.40"," 768.00"," 773.60"," 764.40"," 767.15"," 768.25"," 768.05"," 2456680"," 18868.46"," 65574"," 988719"," 40.25",37,37,28.90,03/16/2022,F
"IRCTC"," EQ"," 15-Mar-2022"," 752.85"," 759.00"," 769.90"," 751.05"," 755.50"," 756.40"," 761.50"," 3053279"," 23250.74"," 81913"," 945688"," 30.97",37,37,28.69,03/15/2022,F
"IRCTC"," EQ"," 14-Mar-2022"," 757.75"," 743.00"," 762.85"," 738.55"," 752.90"," 752.85"," 751.96"," 3574348"," 26877.78"," 107731"," 909260"," 25.44",33,37,28.64,03/14/2022,F
"IRCTC"," EQ"," 11-Mar-2022"," 758.10"," 754.30"," 765.00"," 748.00"," 757.15"," 757.75"," 757.58"," 2461743"," 18649.56"," 67865"," 644771"," 26.19",36,38,28.65,03/11/2022,F
"IRCTC"," EQ"," 10-Mar-2022"," 735.05"," 762.00"," 772.00"," 750.00"," 751.00"," 758.10"," 761.84"," 5542997"," 42228.75"," 146283"," 1319510"," 23.80",38,38,28.55,03/10/2022,F
"IRCTC"," EQ"," 09-Mar-2022"," 718.05"," 730.95"," 738.60"," 719.05"," 737.00"," 735.05"," 729.73"," 4485413"," 32731.44"," 133547"," 1638668"," 36.53",34,38,28.51,03/09/2022,F
"IRCTC"," EQ"," 08-Mar-2022"," 718.00"," 718.00"," 728.95"," 709.05"," 716.95"," 718.05"," 718.13"," 4872109"," 34987.83"," 148675"," 1489652"," 30.58",33,38,28.31,03/08/2022,F
"IRCTC"," EQ"," 04-Mar-2022"," 799.65"," 780.00"," 780.20"," 730.00"," 747.80"," 747.25"," 752.65"," 15395743"," 115876.54"," 437146"," 5513939"," 35.81",35,38,28.31,03/04/2022,F
"IRCTC"," EQ"," 03-Mar-2022"," 808.80"," 822.00"," 822.00"," 796.85"," 801.00"," 799.65"," 807.77"," 2962409"," 23929.50"," 78908"," 811767"," 27.40",38,38,28.08,03/03/2022,F
"IRCTC"," EQ"," 02-Mar-2022"," 809.35"," 795.00"," 815.80"," 795.00"," 809.10"," 808.80"," 807.54"," 3010826"," 24313.55"," 81521"," 861609"," 28.62",37,38,28.08,03/02/2022,F
"IRCTC"," EQ"," 28-Feb-2022"," 800.00"," 780.30"," 812.00"," 780.20"," 809.20"," 809.35"," 798.26"," 4654745"," 37156.92"," 112434"," 1324434"," 28.45",41,39,28.23,02/28/2022,T
"IRCTC"," EQ"," 25-Feb-2022"," 738.05"," 770.00"," 803.50"," 768.00"," 800.00"," 800.00"," 791.64"," 7097351"," 56185.43"," 171627"," 1763818"," 24.85",41,39,28.19,02/25/2022,F
"IRCTC"," EQ"," 24-Feb-2022"," 814.35"," 775.00"," 794.35"," 735.00"," 739.55"," 738.05"," 763.78"," 10021435"," 76541.78"," 437643"," 3821343"," 38.13",23,39,28.34,02/24/2022,F
"IRCTC"," EQ"," 23-Feb-2022"," 789.60"," 799.90"," 819.00"," 795.00"," 812.05"," 814.35"," 810.56"," 4772916"," 38687.47"," 94191"," 851854"," 17.85",51,39,28.16,02/23/2022,F
"IRCTC"," EQ"," 22-Feb-2022"," 803.40"," 781.00"," 799.35"," 780.00"," 789.05"," 789.60"," 790.06"," 4301060"," 33980.82"," 166574"," 1303436"," 30.30",26,39,28.51,02/22/2022,F
"IRCTC"," EQ"," 21-Feb-2022"," 816.35"," 810.00"," 816.00"," 796.00"," 804.40"," 803.40"," 805.70"," 3000870"," 24178.08"," 98586"," 688829"," 22.95",30,39,28.53,02/21/2022,F
"IRCTC"," EQ"," 18-Feb-2022"," 821.85"," 818.00"," 827.30"," 813.05"," 815.70"," 816.35"," 820.69"," 1905006"," 15634.20"," 47610"," 457434"," 24.01",40,39,28.58,02/18/2022,F
