symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"JINDALSTEL"," EQ"," 25-Mar-2022"," 521.65"," 527.70"," 536.00"," 523.00"," 531.20"," 529.65"," 529.67"," 9882557"," 52344.67"," 127318"," 2093301"," 21.18",78,96,21.58,03/25/2022,F
"JINDALSTEL"," EQ"," 24-Mar-2022"," 510.80"," 511.70"," 529.35"," 510.80"," 522.45"," 521.65"," 522.11"," 10208046"," 53297.42"," 143754"," 1712581"," 16.78",71,96,21.55,03/24/2022,F
"JINDALSTEL"," EQ"," 23-Mar-2022"," 493.10"," 498.70"," 514.35"," 485.60"," 510.30"," 510.80"," 501.42"," 13325630"," 66817.59"," 155111"," 2896327"," 21.74",86,96,21.69,03/23/2022,F
"JINDALSTEL"," EQ"," 22-Mar-2022"," 487.60"," 489.45"," 497.75"," 483.00"," 493.15"," 493.10"," 491.42"," 5845218"," 28724.28"," 76002"," 797726"," 13.65",77,97,21.62,03/22/2022,F
"JINDALSTEL"," EQ"," 21-Mar-2022"," 477.15"," 484.95"," 494.75"," 480.65"," 487.00"," 487.60"," 489.58"," 7437561"," 36412.55"," 88509"," 1284632"," 17.27",84,97,21.68,03/21/2022,F
"JINDALSTEL"," EQ"," 17-Mar-2022"," 465.10"," 473.00"," 486.60"," 470.00"," 476.20"," 477.15"," 478.44"," 7937854"," 37977.90"," 84743"," 1973796"," 24.87",94,97,21.91,03/17/2022,F
"JINDALSTEL"," EQ"," 16-Mar-2022"," 452.50"," 456.50"," 471.90"," 454.10"," 466.55"," 465.10"," 463.85"," 7602106"," 35262.16"," 75555"," 1982667"," 26.08",101,98,21.98,03/16/2022,T
"JINDALSTEL"," EQ"," 15-Mar-2022"," 476.35"," 472.50"," 474.30"," 445.80"," 452.20"," 452.50"," 456.90"," 8631742"," 39438.00"," 127133"," 1794072"," 20.78",68,98,21.91,03/15/2022,F
"JINDALSTEL"," EQ"," 14-Mar-2022"," 479.25"," 484.50"," 485.70"," 470.55"," 476.00"," 476.35"," 476.44"," 6558924"," 31249.65"," 76100"," 1397544"," 21.31",86,98,21.87,03/14/2022,F
"JINDALSTEL"," EQ"," 11-Mar-2022"," 467.80"," 466.00"," 481.60"," 465.00"," 478.20"," 479.25"," 473.76"," 11870331"," 56236.56"," 122638"," 2503334"," 21.09",97,98,21.87,03/11/2022,F
"JINDALSTEL"," EQ"," 10-Mar-2022"," 449.75"," 452.00"," 470.85"," 439.90"," 468.30"," 467.80"," 455.66"," 11549021"," 52623.90"," 112124"," 3163008"," 27.39",103,98,21.86,03/10/2022,T
"JINDALSTEL"," EQ"," 09-Mar-2022"," 442.00"," 445.00"," 459.20"," 437.00"," 448.15"," 449.75"," 447.83"," 6811358"," 30503.40"," 74093"," 1599085"," 23.48",92,98,21.71,03/09/2022,F
"JINDALSTEL"," EQ"," 08-Mar-2022"," 443.85"," 443.85"," 445.00"," 426.20"," 442.00"," 442.00"," 435.02"," 7848374"," 34141.96"," 82253"," 1598865"," 20.37",95,99,21.60,03/08/2022,F
"JINDALSTEL"," EQ"," 04-Mar-2022"," 445.10"," 447.10"," 452.80"," 426.20"," 438.30"," 435.75"," 437.85"," 10981256"," 48081.89"," 111256"," 1417361"," 12.91",99,99,21.58,03/04/2022,F
"JINDALSTEL"," EQ"," 03-Mar-2022"," 444.15"," 450.00"," 462.70"," 443.00"," 445.15"," 445.10"," 449.07"," 9613194"," 43169.51"," 85846"," 1779090"," 18.51",112,99,21.62,03/03/2022,F
"JINDALSTEL"," EQ"," 02-Mar-2022"," 424.85"," 422.00"," 452.25"," 420.75"," 443.70"," 444.15"," 445.35"," 13939790"," 62080.21"," 140809"," 2424475"," 17.39",99,99,21.77,03/02/2022,F
"JINDALSTEL"," EQ"," 28-Feb-2022"," 399.75"," 394.00"," 426.40"," 392.10"," 423.65"," 424.85"," 416.97"," 12206595"," 50897.25"," 111391"," 2095118"," 17.16",110,99,22.45,02/28/2022,F
"JINDALSTEL"," EQ"," 25-Feb-2022"," 369.80"," 383.45"," 405.95"," 375.25"," 398.70"," 399.75"," 397.63"," 9564373"," 38030.87"," 81664"," 1587139"," 16.59",117,98,22.71,02/25/2022,F
"JINDALSTEL"," EQ"," 24-Feb-2022"," 403.00"," 387.00"," 395.45"," 367.75"," 370.20"," 369.80"," 381.84"," 9146123"," 34923.11"," 86782"," 2202807"," 24.08",105,97,23.03,02/24/2022,T
"JINDALSTEL"," EQ"," 23-Feb-2022"," 406.45"," 410.95"," 411.95"," 400.65"," 402.00"," 403.00"," 406.29"," 4344345"," 17650.46"," 40579"," 700933"," 16.13",107,97,23.03,02/23/2022,F
"JINDALSTEL"," EQ"," 22-Feb-2022"," 415.15"," 405.50"," 410.80"," 395.70"," 405.00"," 406.45"," 404.81"," 7263740"," 29404.40"," 68246"," 1515963"," 20.87",106,97,23.11,02/22/2022,F
"JINDALSTEL"," EQ"," 21-Feb-2022"," 413.15"," 410.05"," 423.65"," 409.00"," 414.50"," 415.15"," 416.40"," 6047365"," 25181.23"," 57412"," 1307686"," 21.62",105,96,23.16,02/21/2022,F
"JINDALSTEL"," EQ"," 18-Feb-2022"," 415.40"," 412.15"," 420.75"," 411.40"," 413.00"," 413.15"," 416.64"," 3632694"," 15135.16"," 36716"," 807488"," 22.23",99,96,23.13,02/18/2022,F
"JINDALSTEL"," EQ"," 17-Feb-2022"," 413.95"," 416.05"," 421.60"," 409.30"," 415.50"," 415.40"," 416.19"," 4835093"," 20123.11"," 47314"," 929914"," 19.23",102,96,23.15,02/17/2022,F
"JINDALSTEL"," EQ"," 16-Feb-2022"," 415.70"," 418.90"," 420.55"," 412.30"," 414.00"," 413.95"," 415.79"," 5635279"," 23431.21"," 51994"," 1165027"," 20.67",108,96,23.30,02/16/2022,F
"JINDALSTEL"," EQ"," 15-Feb-2022"," 407.65"," 409.70"," 417.60"," 393.00"," 415.00"," 415.70"," 404.15"," 11225764"," 45368.52"," 114264"," 2215782"," 19.74",98,95,23.38,02/15/2022,F
"JINDALSTEL"," EQ"," 14-Feb-2022"," 436.40"," 422.35"," 429.00"," 402.50"," 404.90"," 407.65"," 416.26"," 8907990"," 37080.13"," 83360"," 2158932"," 24.24",107,95,23.42,02/14/2022,T
"JINDALSTEL"," EQ"," 11-Feb-2022"," 440.90"," 435.95"," 444.80"," 433.80"," 435.50"," 436.40"," 439.36"," 9998336"," 43928.24"," 97311"," 2064391"," 20.65",103,95,23.49,02/11/2022,F
"JINDALSTEL"," EQ"," 10-Feb-2022"," 416.50"," 418.00"," 442.10"," 418.00"," 439.90"," 440.90"," 435.86"," 16483464"," 71844.84"," 186625"," 3151861"," 19.12",88,95,23.56,02/10/2022,F
"JINDALSTEL"," EQ"," 09-Feb-2022"," 422.30"," 409.70"," 418.95"," 401.25"," 416.00"," 416.50"," 410.41"," 11868324"," 48708.24"," 102102"," 2343454"," 19.75",116,95,23.57,02/09/2022,F
"JINDALSTEL"," EQ"," 08-Feb-2022"," 421.55"," 424.00"," 429.40"," 410.50"," 421.00"," 422.30"," 419.54"," 7882733"," 33070.84"," 80927"," 1710466"," 21.70",97,95,23.72,02/08/2022,F
"JINDALSTEL"," EQ"," 07-Feb-2022"," 424.40"," 426.00"," 434.30"," 419.75"," 422.20"," 421.55"," 427.06"," 6533398"," 27901.40"," 70463"," 1138865"," 17.43",93,95,24.03,02/07/2022,F
"JINDALSTEL"," EQ"," 04-Feb-2022"," 417.50"," 418.70"," 431.50"," 417.75"," 424.30"," 424.40"," 426.73"," 7140522"," 30471.00"," 77462"," 1518090"," 21.26",92,96,23.96,02/04/2022,F
"JINDALSTEL"," EQ"," 03-Feb-2022"," 416.90"," 413.60"," 425.75"," 413.30"," 417.00"," 417.50"," 421.30"," 6623741"," 27905.76"," 65774"," 1279333"," 19.31",101,96,24.01,02/03/2022,F
"JINDALSTEL"," EQ"," 02-Feb-2022"," 411.15"," 414.00"," 418.50"," 406.90"," 417.00"," 416.90"," 413.30"," 5440855"," 22486.81"," 54904"," 927379"," 17.04",99,95,24.26,02/02/2022,F
"JINDALSTEL"," EQ"," 01-Feb-2022"," 386.00"," 389.70"," 413.70"," 386.00"," 410.20"," 411.15"," 400.27"," 10377270"," 41537.13"," 90232"," 2074592"," 19.99",115,95,24.37,02/01/2022,F
"JINDALSTEL"," EQ"," 31-Jan-2022"," 382.60"," 388.85"," 390.55"," 382.65"," 385.80"," 386.00"," 387.06"," 4610487"," 17845.14"," 49601"," 951434"," 20.64",93,95,24.43,01/31/2022,F
"JINDALSTEL"," EQ"," 28-Jan-2022"," 375.50"," 380.00"," 396.75"," 380.00"," 382.50"," 382.60"," 388.70"," 6025485"," 23420.98"," 60577"," 851932"," 14.14",99,95,24.41,01/28/2022,F
"JINDALSTEL"," EQ"," 27-Jan-2022"," 376.55"," 370.00"," 378.45"," 361.15"," 375.00"," 375.50"," 369.80"," 6635808"," 24539.48"," 81545"," 1170318"," 17.64",81,95,24.57,01/27/2022,F
"JINDALSTEL"," EQ"," 25-Jan-2022"," 376.95"," 377.00"," 383.35"," 371.30"," 374.80"," 376.55"," 377.45"," 5563162"," 20997.93"," 73088"," 1539589"," 27.67",76,94,24.58,01/25/2022,F
"JINDALSTEL"," EQ"," 24-Jan-2022"," 405.15"," 402.00"," 402.65"," 370.65"," 377.30"," 376.95"," 384.69"," 8097592"," 31150.56"," 84519"," 2411783"," 29.78",96,94,24.45,01/24/2022,T
"JINDALSTEL"," EQ"," 21-Jan-2022"," 418.20"," 414.00"," 417.40"," 401.00"," 406.45"," 405.15"," 407.90"," 6469700"," 26389.92"," 67780"," 1638705"," 25.33",95,94,24.20,01/21/2022,T
"JINDALSTEL"," EQ"," 20-Jan-2022"," 409.00"," 411.45"," 420.60"," 407.85"," 419.05"," 418.20"," 415.77"," 5606748"," 23311.23"," 58992"," 973844"," 17.37",95,94,24.14,01/20/2022,F
"JINDALSTEL"," EQ"," 19-Jan-2022"," 402.40"," 402.50"," 413.60"," 398.35"," 408.65"," 409.00"," 405.77"," 6338539"," 25720.11"," 58206"," 1501361"," 23.69",109,94,24.12,01/19/2022,F
"JINDALSTEL"," EQ"," 18-Jan-2022"," 418.65"," 420.00"," 421.65"," 400.50"," 402.50"," 402.40"," 410.92"," 5251367"," 21578.69"," 53134"," 1331496"," 25.36",99,94,24.03,01/18/2022,T
"JINDALSTEL"," EQ"," 17-Jan-2022"," 418.65"," 420.00"," 423.60"," 414.55"," 418.90"," 418.65"," 419.04"," 5629017"," 23587.75"," 78232"," 1445448"," 25.68",72,94,23.97,01/17/2022,F
"JINDALSTEL"," EQ"," 14-Jan-2022"," 413.20"," 411.00"," 421.40"," 408.60"," 417.60"," 418.65"," 417.08"," 6714395"," 28004.13"," 71581"," 1545143"," 23.01",94,94,23.95,01/14/2022,F
"JINDALSTEL"," EQ"," 13-Jan-2022"," 390.40"," 391.50"," 414.50"," 391.15"," 411.70"," 413.20"," 408.59"," 12631114"," 51609.42"," 112672"," 4146354"," 32.83",112,94,23.97,01/13/2022,T
"JINDALSTEL"," EQ"," 12-Jan-2022"," 383.95"," 387.00"," 394.60"," 386.55"," 390.10"," 390.40"," 389.89"," 3823504"," 14907.48"," 49956"," 1020211"," 26.68",77,93,23.85,01/12/2022,F
"JINDALSTEL"," EQ"," 11-Jan-2022"," 404.30"," 400.00"," 403.70"," 382.60"," 384.80"," 383.95"," 390.31"," 8641956"," 33729.99"," 85676"," 3046680"," 35.25",101,94,23.85,01/11/2022,T
"JINDALSTEL"," EQ"," 10-Jan-2022"," 406.60"," 410.40"," 410.60"," 402.85"," 404.50"," 404.30"," 406.38"," 3564673"," 14486.07"," 35972"," 904068"," 25.36",99,94,23.74,01/10/2022,T
"JINDALSTEL"," EQ"," 07-Jan-2022"," 402.90"," 406.90"," 408.75"," 399.60"," 405.80"," 406.60"," 405.32"," 3868930"," 15681.68"," 42548"," 813170"," 21.02",91,94,23.66,01/07/2022,F
"JINDALSTEL"," EQ"," 06-Jan-2022"," 406.40"," 404.00"," 411.10"," 400.30"," 403.45"," 402.90"," 404.62"," 5791462"," 23433.48"," 65089"," 1496417"," 25.84",89,95,23.63,01/06/2022,F
"JINDALSTEL"," EQ"," 05-Jan-2022"," 388.20"," 388.00"," 408.45"," 386.25"," 406.10"," 406.40"," 399.88"," 9891594"," 39554.80"," 86726"," 3535546"," 35.74",114,95,23.65,01/05/2022,T
"JINDALSTEL"," EQ"," 04-Jan-2022"," 385.85"," 388.05"," 390.45"," 382.00"," 387.20"," 388.20"," 387.19"," 3847048"," 14895.50"," 40730"," 1002264"," 26.05",94,95,23.36,01/04/2022,F
"JINDALSTEL"," EQ"," 03-Jan-2022"," 377.25"," 379.25"," 387.40"," 377.05"," 386.50"," 385.85"," 382.61"," 2331615"," 8920.95"," 22983"," 576576"," 24.73",101,95,23.32,01/03/2022,T
"JINDALSTEL"," EQ"," 31-Dec-2021"," 370.10"," 371.00"," 381.70"," 371.00"," 377.50"," 377.25"," 377.08"," 2721297"," 10261.52"," 27689"," 479623"," 17.62",98,95,23.44,12/31/2021,F
"JINDALSTEL"," EQ"," 30-Dec-2021"," 376.15"," 374.15"," 379.40"," 368.75"," 371.50"," 370.10"," 373.29"," 2800848"," 10455.29"," 36824"," 866476"," 30.94",76,96,23.46,12/30/2021,F
"JINDALSTEL"," EQ"," 29-Dec-2021"," 383.20"," 383.70"," 383.75"," 373.00"," 375.50"," 376.15"," 376.86"," 3347746"," 12616.22"," 36664"," 690817"," 20.64",91,97,23.23,12/29/2021,F
"JINDALSTEL"," EQ"," 28-Dec-2021"," 381.00"," 385.00"," 385.70"," 381.25"," 383.30"," 383.20"," 383.44"," 1855502"," 7114.68"," 19226"," 200384"," 10.80",97,97,23.40,12/28/2021,F
"JINDALSTEL"," EQ"," 27-Dec-2021"," 384.30"," 382.00"," 383.40"," 377.20"," 381.15"," 381.00"," 380.75"," 2220250"," 8453.49"," 21800"," 195173"," 8.79",102,97,23.46,12/27/2021,F
"JINDALSTEL"," EQ"," 24-Dec-2021"," 385.55"," 386.00"," 387.55"," 377.85"," 383.40"," 384.30"," 382.42"," 3293420"," 12594.60"," 39821"," 637878"," 19.37",83,97,23.56,12/24/2021,F
"JINDALSTEL"," EQ"," 23-Dec-2021"," 379.95"," 383.00"," 389.80"," 382.60"," 384.90"," 385.55"," 386.36"," 5102828"," 19715.09"," 57122"," 1294963"," 25.38",89,98,23.62,12/23/2021,F
"JINDALSTEL"," EQ"," 22-Dec-2021"," 378.05"," 380.00"," 383.80"," 375.65"," 380.60"," 379.95"," 380.43"," 2714085"," 10325.14"," 31472"," 478615"," 17.63",86,98,23.61,12/22/2021,F
"JINDALSTEL"," EQ"," 21-Dec-2021"," 364.15"," 370.80"," 382.15"," 366.15"," 378.85"," 378.05"," 377.03"," 5272426"," 19878.71"," 50937"," 911666"," 17.29",104,98,23.57,12/21/2021,F
"JINDALSTEL"," EQ"," 20-Dec-2021"," 386.05"," 380.00"," 380.45"," 357.10"," 363.45"," 364.15"," 365.19"," 7368367"," 26908.78"," 96702"," 1694042"," 22.99",76,98,23.50,12/20/2021,F
"JINDALSTEL"," EQ"," 17-Dec-2021"," 395.00"," 395.00"," 398.35"," 382.50"," 385.00"," 386.05"," 388.35"," 5908359"," 22945.11"," 49257"," 1773912"," 30.02",120,99,23.60,12/17/2021,T
"JINDALSTEL"," EQ"," 16-Dec-2021"," 395.90"," 398.70"," 401.95"," 392.10"," 395.55"," 395.00"," 397.01"," 4730287"," 18779.60"," 36178"," 1385406"," 29.29",131,98,23.59,12/16/2021,T
"JINDALSTEL"," EQ"," 15-Dec-2021"," 399.10"," 399.00"," 405.60"," 395.00"," 395.80"," 395.90"," 400.24"," 5197495"," 20802.49"," 61245"," 1117238"," 21.50",85,98,23.59,12/15/2021,F
"JINDALSTEL"," EQ"," 14-Dec-2021"," 395.85"," 390.50"," 401.00"," 389.60"," 399.10"," 399.10"," 396.11"," 5193670"," 20572.64"," 72006"," 971393"," 18.70",72,99,23.50,12/14/2021,F
"JINDALSTEL"," EQ"," 13-Dec-2021"," 395.45"," 409.00"," 409.00"," 395.10"," 395.50"," 395.85"," 399.07"," 7021123"," 28019.52"," 72961"," 1486530"," 21.17",96,100,23.66,12/13/2021,F
"JINDALSTEL"," EQ"," 10-Dec-2021"," 390.95"," 387.90"," 398.40"," 385.70"," 394.45"," 395.45"," 392.36"," 6916045"," 27135.90"," 64170"," 1398264"," 20.22",108,100,23.77,12/10/2021,F
"JINDALSTEL"," EQ"," 09-Dec-2021"," 381.40"," 384.95"," 392.25"," 379.10"," 391.15"," 390.95"," 387.17"," 7890573"," 30549.66"," 65690"," 1456995"," 18.47",120,100,23.82,12/09/2021,F
"JINDALSTEL"," EQ"," 08-Dec-2021"," 367.95"," 373.45"," 383.00"," 370.35"," 382.00"," 381.40"," 377.93"," 11630602"," 43956.11"," 97517"," 1923954"," 16.54",119,100,23.76,12/08/2021,F
"JINDALSTEL"," EQ"," 07-Dec-2021"," 356.80"," 359.60"," 370.70"," 359.05"," 369.05"," 367.95"," 366.68"," 5908638"," 21665.83"," 59668"," 1115686"," 18.88",99,100,23.75,12/07/2021,F
"JINDALSTEL"," EQ"," 06-Dec-2021"," 359.45"," 358.50"," 365.40"," 352.90"," 356.40"," 356.80"," 358.85"," 5309123"," 19051.96"," 56604"," 1173912"," 22.11",94,100,23.71,12/06/2021,F
"JINDALSTEL"," EQ"," 03-Dec-2021"," 354.05"," 355.00"," 366.95"," 353.15"," 358.50"," 359.45"," 360.33"," 5937967"," 21396.40"," 52204"," 892096"," 15.02",114,100,23.62,12/03/2021,F
