symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"JKCEMENT"," EQ"," 23-Mar-2022"," 2382.90"," 2394.05"," 2413.85"," 2310.00"," 2311.70"," 2328.40"," 2356.40"," 266411"," 6277.71"," 20792"," 127808"," 47.97",13,9,33.85,03/23/2022,T
"JKCEMENT"," EQ"," 22-Mar-2022"," 2452.15"," 2459.90"," 2459.90"," 2332.05"," 2388.00"," 2382.90"," 2381.46"," 436710"," 10400.09"," 33145"," 179235"," 41.04",13,9,33.94,03/22/2022,T
"JKCEMENT"," EQ"," 21-Mar-2022"," 2515.00"," 2543.50"," 2563.90"," 2435.00"," 2450.00"," 2452.15"," 2480.87"," 269708"," 6691.11"," 20474"," 60984"," 22.61",13,9,33.66,03/21/2022,F
"JKCEMENT"," EQ"," 17-Mar-2022"," 2486.40"," 2548.00"," 2554.55"," 2500.10"," 2525.00"," 2515.00"," 2529.43"," 337392"," 8534.10"," 24931"," 83337"," 24.70",14,9,33.93,03/17/2022,F
"JKCEMENT"," EQ"," 16-Mar-2022"," 2303.20"," 2349.00"," 2510.45"," 2325.00"," 2499.00"," 2486.40"," 2431.41"," 629933"," 15316.26"," 41878"," 153287"," 24.33",15,9,34.10,03/16/2022,F
"JKCEMENT"," EQ"," 15-Mar-2022"," 2276.70"," 2287.80"," 2378.95"," 2273.35"," 2308.90"," 2303.20"," 2332.73"," 351325"," 8195.46"," 28710"," 97621"," 27.79",12,9,34.34,03/15/2022,F
"JKCEMENT"," EQ"," 14-Mar-2022"," 2296.10"," 2300.00"," 2324.40"," 2250.55"," 2268.00"," 2276.70"," 2281.32"," 119807"," 2733.18"," 9892"," 39069"," 32.61",12,9,34.31,03/14/2022,F
"JKCEMENT"," EQ"," 11-Mar-2022"," 2293.05"," 2298.40"," 2340.95"," 2275.00"," 2292.00"," 2296.10"," 2296.36"," 253619"," 5824.00"," 15646"," 94025"," 37.07",16,9,34.35,03/11/2022,T
"JKCEMENT"," EQ"," 10-Mar-2022"," 2257.55"," 2345.00"," 2448.80"," 2269.80"," 2276.00"," 2293.05"," 2375.65"," 583932"," 13872.18"," 41177"," 89908"," 15.40",14,9,34.08,03/10/2022,F
"JKCEMENT"," EQ"," 09-Mar-2022"," 2189.15"," 2217.00"," 2286.45"," 2139.05"," 2257.65"," 2257.55"," 2204.87"," 789620"," 17410.11"," 60059"," 331555"," 41.99",13,9,34.46,03/09/2022,T
"JKCEMENT"," EQ"," 08-Mar-2022"," 2336.90"," 2365.00"," 2394.20"," 2165.55"," 2175.25"," 2189.15"," 2227.64"," 688464"," 15336.48"," 70882"," 263877"," 38.33",10,9,34.07,03/08/2022,T
"JKCEMENT"," EQ"," 04-Mar-2022"," 2675.95"," 2675.95"," 2734.60"," 2594.75"," 2630.00"," 2639.65"," 2651.58"," 147050"," 3899.15"," 17029"," 40734"," 27.70",9,9,34.55,03/04/2022,F
"JKCEMENT"," EQ"," 03-Mar-2022"," 2779.90"," 2818.80"," 2822.55"," 2643.05"," 2700.00"," 2675.95"," 2699.51"," 129602"," 3498.62"," 20571"," 58387"," 45.05",6,9,34.68,03/03/2022,F
"JKCEMENT"," EQ"," 02-Mar-2022"," 2846.80"," 2846.80"," 2860.00"," 2758.00"," 2790.00"," 2779.90"," 2802.51"," 49707"," 1393.04"," 6902"," 22413"," 45.09",7,9,34.55,03/02/2022,F
"JKCEMENT"," EQ"," 28-Feb-2022"," 2793.10"," 2810.00"," 2859.85"," 2711.00"," 2830.00"," 2846.80"," 2802.24"," 73208"," 2051.46"," 12305"," 25265"," 34.51",6,8,34.39,02/28/2022,F
"JKCEMENT"," EQ"," 25-Feb-2022"," 2786.95"," 2806.00"," 2999.00"," 2750.00"," 2794.00"," 2793.10"," 2800.59"," 110031"," 3081.52"," 17254"," 34407"," 31.27",6,8,34.81,02/25/2022,F
"JKCEMENT"," EQ"," 24-Feb-2022"," 2913.15"," 2885.00"," 2885.00"," 2755.25"," 2791.00"," 2786.95"," 2795.32"," 178719"," 4995.77"," 23685"," 74663"," 41.78",8,8,34.65,02/24/2022,F
"JKCEMENT"," EQ"," 23-Feb-2022"," 2911.05"," 2911.00"," 2964.35"," 2905.25"," 2910.05"," 2913.15"," 2926.04"," 81287"," 2378.49"," 9421"," 38623"," 47.51",9,8,34.38,02/23/2022,T
"JKCEMENT"," EQ"," 22-Feb-2022"," 2911.10"," 2839.80"," 2955.00"," 2804.15"," 2907.00"," 2911.05"," 2892.63"," 98609"," 2852.40"," 11508"," 38669"," 39.21",9,8,33.87,02/22/2022,T
"JKCEMENT"," EQ"," 21-Feb-2022"," 2978.00"," 2960.00"," 2960.00"," 2884.15"," 2910.00"," 2911.10"," 2929.75"," 95794"," 2806.52"," 16618"," 34948"," 36.48",6,8,33.42,02/21/2022,F
"JKCEMENT"," EQ"," 18-Feb-2022"," 3043.85"," 3043.85"," 3073.10"," 2940.25"," 2960.00"," 2978.00"," 2995.86"," 92683"," 2776.66"," 12474"," 34946"," 37.70",7,8,33.15,02/18/2022,F
"JKCEMENT"," EQ"," 17-Feb-2022"," 3081.45"," 3115.30"," 3115.30"," 3004.05"," 3044.00"," 3043.85"," 3040.19"," 61450"," 1868.20"," 8221"," 16648"," 27.09",7,8,33.08,02/17/2022,F
"JKCEMENT"," EQ"," 16-Feb-2022"," 3149.80"," 3190.00"," 3191.15"," 3017.05"," 3099.85"," 3081.45"," 3095.66"," 99012"," 3065.08"," 12138"," 33925"," 34.26",8,8,33.32,02/16/2022,F
"JKCEMENT"," EQ"," 15-Feb-2022"," 3063.00"," 3065.00"," 3200.00"," 3042.10"," 3161.05"," 3149.80"," 3104.80"," 58961"," 1830.62"," 7953"," 26542"," 45.02",7,8,33.27,02/15/2022,F
"JKCEMENT"," EQ"," 14-Feb-2022"," 3196.35"," 3159.85"," 3174.40"," 3040.00"," 3070.00"," 3063.00"," 3080.73"," 135346"," 4169.65"," 22636"," 66105"," 48.84",6,8,33.00,02/14/2022,F
"JKCEMENT"," EQ"," 11-Feb-2022"," 3294.80"," 3285.00"," 3294.15"," 3145.05"," 3186.00"," 3196.35"," 3195.67"," 105629"," 3375.55"," 12178"," 43935"," 41.59",9,8,32.64,02/11/2022,T
