symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"JSWSTEEL"," EQ"," 25-Mar-2022"," 715.10"," 718.00"," 726.50"," 710.25"," 719.00"," 721.35"," 719.64"," 16121868"," 116018.74"," 135899"," 7327868"," 45.45",119,64,25.41,03/25/2022,T
"JSWSTEEL"," EQ"," 24-Mar-2022"," 704.40"," 704.50"," 719.50"," 704.20"," 715.00"," 715.10"," 714.18"," 6069039"," 43343.62"," 82159"," 1879569"," 30.97",74,63,25.05,03/24/2022,T
"JSWSTEEL"," EQ"," 23-Mar-2022"," 696.50"," 702.90"," 710.00"," 692.25"," 702.00"," 704.40"," 702.86"," 8964532"," 63008.56"," 112125"," 2267642"," 25.30",80,63,24.90,03/23/2022,T
"JSWSTEEL"," EQ"," 22-Mar-2022"," 681.30"," 678.85"," 699.90"," 677.45"," 695.00"," 696.50"," 689.93"," 4811589"," 33196.77"," 70059"," 1167616"," 24.27",69,62,24.70,03/22/2022,F
"JSWSTEEL"," EQ"," 21-Mar-2022"," 685.10"," 689.70"," 699.00"," 679.00"," 679.30"," 681.30"," 689.69"," 4609771"," 31793.24"," 66683"," 846488"," 18.36",69,62,24.60,03/21/2022,F
"JSWSTEEL"," EQ"," 17-Mar-2022"," 655.25"," 662.00"," 692.95"," 660.35"," 684.00"," 685.10"," 682.58"," 9991824"," 68202.53"," 117560"," 2498208"," 25.00",85,62,24.79,03/17/2022,T
"JSWSTEEL"," EQ"," 16-Mar-2022"," 641.15"," 648.65"," 662.75"," 647.50"," 655.70"," 655.25"," 654.78"," 3150421"," 20628.47"," 46170"," 723242"," 22.96",68,61,24.86,03/16/2022,F
"JSWSTEEL"," EQ"," 15-Mar-2022"," 664.85"," 659.00"," 660.80"," 635.00"," 640.80"," 641.15"," 645.57"," 4754984"," 30696.81"," 87451"," 1362528"," 28.65",54,62,25.09,03/15/2022,F
"JSWSTEEL"," EQ"," 14-Mar-2022"," 669.75"," 667.00"," 673.00"," 658.60"," 664.00"," 664.85"," 664.86"," 2529995"," 16820.84"," 47843"," 402266"," 15.90",53,62,24.97,03/14/2022,F
"JSWSTEEL"," EQ"," 11-Mar-2022"," 650.75"," 648.50"," 673.00"," 647.20"," 667.80"," 669.75"," 665.60"," 8172290"," 54394.98"," 109109"," 1959820"," 23.98",75,62,25.10,03/11/2022,F
"JSWSTEEL"," EQ"," 10-Mar-2022"," 627.15"," 632.00"," 652.15"," 624.00"," 648.50"," 650.75"," 640.92"," 5201836"," 33339.46"," 82271"," 935881"," 17.99",63,62,24.99,03/10/2022,F
"JSWSTEEL"," EQ"," 09-Mar-2022"," 629.85"," 629.00"," 634.25"," 618.00"," 627.75"," 627.15"," 626.11"," 3784214"," 23693.29"," 65716"," 928624"," 24.54",58,63,25.38,03/09/2022,F
"JSWSTEEL"," EQ"," 08-Mar-2022"," 637.15"," 639.95"," 639.95"," 613.10"," 628.55"," 629.85"," 625.04"," 5422987"," 33895.84"," 83677"," 1655355"," 30.52",65,64,25.75,03/08/2022,T
"JSWSTEEL"," EQ"," 04-Mar-2022"," 654.70"," 654.70"," 660.40"," 628.70"," 632.15"," 631.95"," 643.58"," 7605400"," 48947.10"," 88881"," 2387028"," 31.39",86,65,26.12,03/04/2022,T
"JSWSTEEL"," EQ"," 03-Mar-2022"," 644.60"," 650.50"," 662.50"," 649.30"," 654.60"," 654.70"," 654.98"," 5940599"," 38909.92"," 86282"," 1507810"," 25.38",69,64,26.10,03/03/2022,F
"JSWSTEEL"," EQ"," 02-Mar-2022"," 627.45"," 625.00"," 654.00"," 622.15"," 641.15"," 644.60"," 642.76"," 8894940"," 57173.01"," 132221"," 1938820"," 21.80",67,64,26.15,03/02/2022,F
"JSWSTEEL"," EQ"," 28-Feb-2022"," 598.60"," 591.50"," 629.80"," 590.20"," 626.00"," 627.45"," 618.38"," 7142843"," 44169.87"," 97301"," 1514904"," 21.21",73,64,26.47,02/28/2022,F
"JSWSTEEL"," EQ"," 25-Feb-2022"," 569.35"," 576.15"," 605.95"," 576.15"," 598.40"," 598.60"," 595.33"," 4524909"," 26938.35"," 72659"," 924602"," 20.43",62,64,26.47,02/25/2022,F
"JSWSTEEL"," EQ"," 24-Feb-2022"," 614.70"," 599.00"," 604.50"," 566.00"," 570.00"," 569.35"," 586.22"," 5487481"," 32168.71"," 126101"," 1361437"," 24.81",44,64,26.74,02/24/2022,F
"JSWSTEEL"," EQ"," 23-Feb-2022"," 622.00"," 624.50"," 627.95"," 612.85"," 613.85"," 614.70"," 619.28"," 2339927"," 14490.67"," 49018"," 560207"," 23.94",48,64,26.87,02/23/2022,F
"JSWSTEEL"," EQ"," 22-Feb-2022"," 623.10"," 611.00"," 624.70"," 602.50"," 620.00"," 622.00"," 613.20"," 3353278"," 20562.37"," 61497"," 657985"," 19.62",55,65,26.90,02/22/2022,F
"JSWSTEEL"," EQ"," 21-Feb-2022"," 632.85"," 631.90"," 635.00"," 621.25"," 623.00"," 623.10"," 627.96"," 1857572"," 11664.78"," 38362"," 329874"," 17.76",48,65,27.02,02/21/2022,F
"JSWSTEEL"," EQ"," 18-Feb-2022"," 638.20"," 635.20"," 642.50"," 631.15"," 632.10"," 632.85"," 636.67"," 1458069"," 9283.05"," 32067"," 265071"," 18.18",45,65,27.22,02/18/2022,F
