symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"JUBLFOOD"," EQ"," 25-Mar-2022"," 2618.95"," 2630.00"," 2647.75"," 2601.05"," 2612.50"," 2617.10"," 2626.19"," 806987"," 21192.98"," 41731"," 303240"," 37.58",19,13,35.29,03/25/2022,T
"JUBLFOOD"," EQ"," 24-Mar-2022"," 2651.30"," 2621.00"," 2654.30"," 2604.35"," 2613.00"," 2618.95"," 2623.59"," 713562"," 18720.94"," 43964"," 279882"," 39.22",16,12,35.16,03/24/2022,T
"JUBLFOOD"," EQ"," 23-Mar-2022"," 2621.35"," 2650.00"," 2692.95"," 2626.55"," 2646.40"," 2651.30"," 2664.67"," 1572334"," 41897.58"," 79557"," 445095"," 28.31",20,12,34.81,03/23/2022,F
"JUBLFOOD"," EQ"," 22-Mar-2022"," 2552.65"," 2549.00"," 2640.00"," 2482.00"," 2638.70"," 2621.35"," 2557.20"," 1601024"," 40941.40"," 89344"," 505234"," 31.56",18,12,35.02,03/22/2022,F
"JUBLFOOD"," EQ"," 21-Mar-2022"," 2560.85"," 2585.00"," 2605.85"," 2535.00"," 2548.00"," 2552.65"," 2564.39"," 1251682"," 32097.95"," 77908"," 491867"," 39.30",16,12,35.27,03/21/2022,T
"JUBLFOOD"," EQ"," 17-Mar-2022"," 2563.45"," 2598.00"," 2614.40"," 2551.00"," 2563.00"," 2560.85"," 2586.78"," 1905644"," 49294.74"," 118249"," 852320"," 44.73",16,12,35.62,03/17/2022,T
"JUBLFOOD"," EQ"," 16-Mar-2022"," 2524.05"," 2559.10"," 2588.50"," 2535.00"," 2560.45"," 2563.45"," 2566.71"," 1751143"," 44946.76"," 107106"," 662667"," 37.84",16,12,35.52,03/16/2022,T
"JUBLFOOD"," EQ"," 15-Mar-2022"," 2514.00"," 2548.00"," 2589.40"," 2483.25"," 2515.00"," 2524.05"," 2531.16"," 3633936"," 91980.75"," 213931"," 1000074"," 27.52",17,12,35.68,03/15/2022,F
"JUBLFOOD"," EQ"," 14-Mar-2022"," 2864.60"," 2674.95"," 2691.95"," 2443.30"," 2514.70"," 2514.00"," 2508.02"," 8367814"," 209866.22"," 439419"," 2475799"," 29.59",19,12,35.95,03/14/2022,F
"JUBLFOOD"," EQ"," 11-Mar-2022"," 2755.25"," 2755.25"," 2879.40"," 2727.75"," 2866.95"," 2864.60"," 2822.95"," 947064"," 26735.19"," 75243"," 286859"," 30.29",13,12,36.25,03/11/2022,F
"JUBLFOOD"," EQ"," 10-Mar-2022"," 2694.75"," 2810.00"," 2837.55"," 2719.00"," 2760.00"," 2755.25"," 2775.70"," 1046360"," 29043.83"," 69716"," 347628"," 33.22",15,11,36.34,03/10/2022,F
"JUBLFOOD"," EQ"," 09-Mar-2022"," 2577.35"," 2618.00"," 2723.00"," 2578.50"," 2689.00"," 2694.75"," 2654.53"," 1094676"," 29058.45"," 97592"," 462546"," 42.25",11,11,36.57,03/09/2022,F
"JUBLFOOD"," EQ"," 08-Mar-2022"," 2553.45"," 2575.90"," 2808.75"," 2518.05"," 2580.00"," 2577.35"," 2564.93"," 833178"," 21370.42"," 66762"," 321857"," 38.63",12,11,36.48,03/08/2022,T
"JUBLFOOD"," EQ"," 04-Mar-2022"," 2799.45"," 2780.00"," 2780.00"," 2615.00"," 2618.40"," 2628.00"," 2686.83"," 1442169"," 38748.64"," 123198"," 657828"," 45.61",12,11,36.16,03/04/2022,T
"JUBLFOOD"," EQ"," 03-Mar-2022"," 2857.25"," 2897.00"," 2905.25"," 2790.00"," 2796.00"," 2799.45"," 2824.81"," 717424"," 20265.86"," 74694"," 329318"," 45.90",10,11,35.96,03/03/2022,F
"JUBLFOOD"," EQ"," 02-Mar-2022"," 2910.50"," 2895.30"," 2905.45"," 2836.15"," 2861.75"," 2857.25"," 2871.48"," 729807"," 20956.26"," 65561"," 347947"," 47.68",11,11,35.92,03/02/2022,F
"JUBLFOOD"," EQ"," 28-Feb-2022"," 2940.70"," 2924.00"," 2924.95"," 2865.45"," 2914.00"," 2910.50"," 2903.41"," 565161"," 16408.92"," 46478"," 268738"," 47.55",12,11,35.83,02/28/2022,T
