symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"KOTAKBANK"," EQ"," 25-Mar-2022"," 1714.15"," 1728.00"," 1731.80"," 1712.00"," 1725.65"," 1722.25"," 1723.04"," 3039150"," 52365.64"," 98475"," 1509111"," 49.66",31,27,51.75,03/25/2022,F
"KOTAKBANK"," EQ"," 24-Mar-2022"," 1769.75"," 1715.00"," 1728.90"," 1701.00"," 1714.95"," 1714.15"," 1712.21"," 19710178"," 337478.89"," 345364"," 10450096"," 53.02",57,27,51.57,03/24/2022,T
"KOTAKBANK"," EQ"," 23-Mar-2022"," 1807.85"," 1815.00"," 1827.25"," 1758.00"," 1760.75"," 1769.75"," 1790.54"," 3226340"," 57768.96"," 90295"," 1638281"," 50.78",36,26,51.64,03/23/2022,F
"KOTAKBANK"," EQ"," 22-Mar-2022"," 1777.10"," 1777.10"," 1813.60"," 1755.35"," 1805.45"," 1807.85"," 1778.54"," 3397456"," 60425.13"," 117818"," 1693243"," 49.84",29,26,51.91,03/22/2022,F
"KOTAKBANK"," EQ"," 21-Mar-2022"," 1820.00"," 1815.65"," 1830.00"," 1773.00"," 1779.05"," 1777.10"," 1786.61"," 2397699"," 42837.60"," 90139"," 1207827"," 50.37",27,26,51.85,03/21/2022,F
"KOTAKBANK"," EQ"," 17-Mar-2022"," 1760.50"," 1790.00"," 1827.60"," 1782.55"," 1819.00"," 1820.00"," 1814.76"," 3359007"," 60957.95"," 114249"," 1667128"," 49.63",29,26,51.93,03/17/2022,F
"KOTAKBANK"," EQ"," 16-Mar-2022"," 1733.75"," 1760.00"," 1774.80"," 1752.75"," 1758.00"," 1760.50"," 1763.79"," 2927241"," 51630.27"," 86273"," 1635223"," 55.86",34,26,52.10,03/16/2022,T
"KOTAKBANK"," EQ"," 15-Mar-2022"," 1788.75"," 1784.00"," 1789.95"," 1714.00"," 1731.50"," 1733.75"," 1748.01"," 4807455"," 84034.78"," 163720"," 2708684"," 56.34",29,26,52.15,03/15/2022,T
"KOTAKBANK"," EQ"," 14-Mar-2022"," 1763.00"," 1745.45"," 1797.35"," 1742.00"," 1790.70"," 1788.75"," 1768.54"," 3316649"," 58656.25"," 80515"," 1660020"," 50.05",41,26,52.34,03/14/2022,F
"KOTAKBANK"," EQ"," 11-Mar-2022"," 1754.35"," 1745.00"," 1779.90"," 1736.00"," 1761.15"," 1763.00"," 1761.78"," 2506340"," 44156.17"," 88587"," 1294755"," 51.66",28,26,52.55,03/11/2022,F
"KOTAKBANK"," EQ"," 10-Mar-2022"," 1739.10"," 1800.00"," 1813.00"," 1736.00"," 1749.00"," 1754.35"," 1774.88"," 4188469"," 74340.25"," 131545"," 1663593"," 39.72",32,26,52.68,03/10/2022,F
