symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"L&TFH"," EQ"," 25-Mar-2022"," 80.05"," 80.65"," 87.95"," 80.55"," 82.45"," 83.20"," 84.31"," 86873136"," 73242.52"," 216586"," 10508583"," 12.10",401,250,34.41,03/25/2022,F
"L&TFH"," EQ"," 24-Mar-2022"," 87.25"," 89.80"," 89.80"," 79.60"," 80.05"," 80.05"," 82.78"," 87968595"," 72821.73"," 259657"," 16280147"," 18.51",339,248,34.67,03/24/2022,F
"L&TFH"," EQ"," 23-Mar-2022"," 75.10"," 75.40"," 90.10"," 75.25"," 90.10"," 87.25"," 83.37"," 111140201"," 92659.31"," 225348"," 35237281"," 31.71",493,247,34.82,03/23/2022,F
"L&TFH"," EQ"," 22-Mar-2022"," 72.40"," 72.20"," 75.50"," 71.10"," 75.40"," 75.10"," 74.06"," 20021497"," 14828.87"," 51081"," 8579903"," 42.85",392,245,34.93,03/22/2022,T
"L&TFH"," EQ"," 21-Mar-2022"," 71.35"," 71.55"," 72.70"," 69.90"," 72.25"," 72.40"," 71.81"," 11338457"," 8141.83"," 37051"," 3514739"," 31.00",306,243,34.78,03/21/2022,F
"L&TFH"," EQ"," 17-Mar-2022"," 66.60"," 67.30"," 71.80"," 67.10"," 71.50"," 71.35"," 69.83"," 21714937"," 15164.57"," 37521"," 13159374"," 60.60",579,242,35.02,03/17/2022,T
"L&TFH"," EQ"," 16-Mar-2022"," 64.65"," 65.85"," 66.90"," 65.50"," 66.60"," 66.60"," 66.26"," 5649439"," 3743.54"," 16846"," 1999204"," 35.39",335,236,34.69,03/16/2022,T
"L&TFH"," EQ"," 15-Mar-2022"," 66.30"," 66.15"," 67.10"," 64.10"," 64.55"," 64.65"," 65.58"," 7802781"," 5116.89"," 24562"," 2736734"," 35.07",318,237,34.89,03/15/2022,T
"L&TFH"," EQ"," 14-Mar-2022"," 66.90"," 66.50"," 66.85"," 64.75"," 66.15"," 66.30"," 65.62"," 5485706"," 3599.85"," 20892"," 1547827"," 28.22",263,237,35.00,03/14/2022,F
"L&TFH"," EQ"," 11-Mar-2022"," 65.55"," 65.40"," 67.10"," 65.00"," 66.80"," 66.90"," 66.27"," 4819973"," 3194.05"," 16642"," 1779430"," 36.92",290,237,35.25,03/11/2022,T
"L&TFH"," EQ"," 10-Mar-2022"," 65.00"," 67.00"," 67.55"," 65.15"," 65.30"," 65.55"," 66.39"," 6595100"," 4378.22"," 24115"," 1914246"," 29.03",273,236,35.25,03/10/2022,F
"L&TFH"," EQ"," 09-Mar-2022"," 62.40"," 62.90"," 65.30"," 62.50"," 65.05"," 65.00"," 64.24"," 7350413"," 4721.63"," 27051"," 2465288"," 33.54",272,236,35.39,03/09/2022,F
"L&TFH"," EQ"," 08-Mar-2022"," 59.40"," 59.50"," 62.75"," 59.50"," 62.75"," 62.40"," 61.15"," 7662249"," 4685.14"," 29703"," 2249253"," 29.35",258,236,35.40,03/08/2022,F
"L&TFH"," EQ"," 04-Mar-2022"," 63.35"," 62.80"," 63.50"," 61.30"," 61.40"," 61.55"," 62.44"," 8807420"," 5499.38"," 32729"," 2748874"," 31.21",269,237,35.48,03/04/2022,F
"L&TFH"," EQ"," 03-Mar-2022"," 63.70"," 64.20"," 65.00"," 62.80"," 63.50"," 63.35"," 63.77"," 7564096"," 4823.94"," 29712"," 2979316"," 39.39",255,237,35.41,03/03/2022,T
"L&TFH"," EQ"," 02-Mar-2022"," 65.95"," 65.60"," 66.30"," 62.50"," 64.05"," 63.70"," 64.23"," 11075595"," 7113.88"," 39511"," 4343409"," 39.22",280,236,35.26,03/02/2022,T
"L&TFH"," EQ"," 28-Feb-2022"," 65.70"," 65.00"," 66.20"," 64.25"," 66.05"," 65.95"," 65.32"," 4569424"," 2984.89"," 19234"," 1086894"," 23.79",238,236,34.92,02/28/2022,F
"L&TFH"," EQ"," 25-Feb-2022"," 62.30"," 65.25"," 66.50"," 64.30"," 65.70"," 65.70"," 65.55"," 8933247"," 5855.40"," 33234"," 2297784"," 25.72",269,237,34.94,02/25/2022,F
"L&TFH"," EQ"," 24-Feb-2022"," 69.75"," 67.00"," 67.90"," 61.80"," 62.10"," 62.30"," 64.50"," 14926651"," 9627.41"," 67532"," 5767894"," 38.64",221,236,35.24,02/24/2022,F
"L&TFH"," EQ"," 23-Feb-2022"," 69.95"," 70.45"," 71.20"," 69.45"," 69.80"," 69.75"," 70.23"," 4807096"," 3376.12"," 18374"," 1769697"," 36.81",262,237,35.01,02/23/2022,T
