symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"LALPATHLAB"," EQ"," 25-Mar-2022"," 2658.50"," 2670.00"," 2678.00"," 2623.30"," 2638.75"," 2636.60"," 2646.91"," 134071"," 3548.73"," 15631"," 55347"," 41.28",9,9,39.47,03/25/2022,F
"LALPATHLAB"," EQ"," 24-Mar-2022"," 2663.10"," 2640.00"," 2678.00"," 2620.15"," 2670.00"," 2658.50"," 2658.31"," 133964"," 3561.18"," 11564"," 53048"," 39.60",12,9,39.26,03/24/2022,T
"LALPATHLAB"," EQ"," 23-Mar-2022"," 2652.60"," 2675.00"," 2728.55"," 2650.00"," 2655.00"," 2663.10"," 2697.28"," 195324"," 5268.44"," 19148"," 74995"," 38.40",10,9,39.05,03/23/2022,F
"LALPATHLAB"," EQ"," 22-Mar-2022"," 2663.60"," 2659.45"," 2669.95"," 2595.10"," 2666.50"," 2652.60"," 2627.88"," 237594"," 6243.68"," 23788"," 108630"," 45.72",10,9,39.28,03/22/2022,T
"LALPATHLAB"," EQ"," 21-Mar-2022"," 2756.20"," 2760.00"," 2760.00"," 2650.00"," 2663.90"," 2663.60"," 2708.27"," 319908"," 8663.98"," 35214"," 131696"," 41.17",9,9,39.52,03/21/2022,F
"LALPATHLAB"," EQ"," 17-Mar-2022"," 2699.40"," 2730.00"," 2842.65"," 2674.00"," 2802.00"," 2756.20"," 2738.24"," 702017"," 19222.89"," 40396"," 397352"," 56.60",17,9,39.55,03/17/2022,T
"LALPATHLAB"," EQ"," 16-Mar-2022"," 2618.55"," 2670.00"," 2709.00"," 2635.60"," 2702.00"," 2699.40"," 2681.43"," 162576"," 4359.37"," 17855"," 57947"," 35.64",9,9,39.31,03/16/2022,F
"LALPATHLAB"," EQ"," 15-Mar-2022"," 2629.95"," 2630.00"," 2675.00"," 2601.50"," 2626.15"," 2618.55"," 2638.20"," 194435"," 5129.59"," 20184"," 63455"," 32.64",10,9,39.53,03/15/2022,F
"LALPATHLAB"," EQ"," 14-Mar-2022"," 2637.55"," 2637.00"," 2646.85"," 2584.45"," 2623.00"," 2629.95"," 2621.19"," 131099"," 3436.36"," 16455"," 41445"," 31.61",8,9,39.46,03/14/2022,F
"LALPATHLAB"," EQ"," 11-Mar-2022"," 2582.50"," 2600.15"," 2652.00"," 2540.00"," 2639.60"," 2637.55"," 2606.49"," 258148"," 6728.60"," 27378"," 81970"," 31.75",9,9,39.77,03/11/2022,F
"LALPATHLAB"," EQ"," 10-Mar-2022"," 2614.70"," 2699.00"," 2699.00"," 2554.50"," 2605.00"," 2582.50"," 2609.44"," 334214"," 8721.12"," 32951"," 99188"," 29.68",10,9,39.75,03/10/2022,F
