symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"LICHSGFIN"," EQ"," 23-Mar-2022"," 366.80"," 369.80"," 372.95"," 364.45"," 365.70"," 366.30"," 368.90"," 2171461"," 8010.60"," 28752"," 687489"," 31.66",76,75,31.28,03/23/2022,T
"LICHSGFIN"," EQ"," 22-Mar-2022"," 357.85"," 359.60"," 371.20"," 353.40"," 369.00"," 366.80"," 364.06"," 4826254"," 17570.70"," 47798"," 1494950"," 30.98",101,75,31.23,03/22/2022,F
"LICHSGFIN"," EQ"," 21-Mar-2022"," 364.85"," 367.00"," 367.10"," 356.45"," 357.30"," 357.85"," 359.50"," 3205547"," 11524.03"," 29481"," 1824832"," 56.93",109,75,31.33,03/21/2022,T
"LICHSGFIN"," EQ"," 17-Mar-2022"," 362.90"," 366.50"," 367.10"," 363.50"," 364.70"," 364.85"," 365.47"," 2123267"," 7759.89"," 27743"," 825589"," 38.88",77,74,31.14,03/17/2022,T
"LICHSGFIN"," EQ"," 16-Mar-2022"," 346.20"," 350.00"," 363.50"," 350.00"," 362.20"," 362.90"," 360.26"," 4204815"," 15148.33"," 46406"," 1134009"," 26.97",91,74,31.34,03/16/2022,F
"LICHSGFIN"," EQ"," 15-Mar-2022"," 351.95"," 352.55"," 357.10"," 344.20"," 345.60"," 346.20"," 351.69"," 3001518"," 10555.94"," 30860"," 1191124"," 39.68",97,73,31.50,03/15/2022,T
"LICHSGFIN"," EQ"," 14-Mar-2022"," 355.20"," 356.00"," 357.45"," 346.70"," 353.00"," 351.95"," 349.99"," 2563616"," 8972.41"," 27833"," 961974"," 37.52",92,73,31.44,03/14/2022,T
"LICHSGFIN"," EQ"," 11-Mar-2022"," 353.25"," 351.95"," 358.10"," 349.40"," 355.30"," 355.20"," 354.72"," 1619060"," 5743.18"," 23583"," 385713"," 23.82",69,72,31.53,03/11/2022,F
"LICHSGFIN"," EQ"," 10-Mar-2022"," 347.70"," 358.20"," 360.70"," 350.90"," 352.40"," 353.25"," 355.97"," 2815107"," 10020.82"," 33982"," 606429"," 21.54",83,72,31.86,03/10/2022,F
"LICHSGFIN"," EQ"," 09-Mar-2022"," 338.85"," 343.00"," 352.30"," 340.40"," 348.10"," 347.70"," 346.97"," 2631679"," 9131.11"," 32285"," 638903"," 24.28",82,72,32.06,03/09/2022,F
"LICHSGFIN"," EQ"," 08-Mar-2022"," 330.70"," 331.95"," 340.80"," 326.85"," 339.50"," 338.85"," 333.20"," 2234945"," 7446.76"," 40977"," 484053"," 21.66",55,72,32.20,03/08/2022,F
"LICHSGFIN"," EQ"," 04-Mar-2022"," 346.80"," 343.00"," 349.55"," 340.00"," 342.50"," 342.35"," 344.39"," 2994698"," 10313.35"," 41586"," 779352"," 26.02",72,72,32.23,03/04/2022,F
