symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"LTI"," EQ"," 25-Mar-2022"," 6177.35"," 6212.00"," 6221.00"," 6100.00"," 6170.00"," 6183.25"," 6167.05"," 182884"," 11278.55"," 25939"," 49172"," 26.89",7,9,43.34,03/25/2022,F
"LTI"," EQ"," 24-Mar-2022"," 6072.80"," 6069.90"," 6201.80"," 6050.00"," 6189.00"," 6177.35"," 6125.40"," 293186"," 17958.82"," 24768"," 158121"," 53.93",12,9,43.37,03/24/2022,T
"LTI"," EQ"," 23-Mar-2022"," 6117.55"," 6147.00"," 6175.00"," 6055.00"," 6061.00"," 6072.80"," 6118.70"," 162694"," 9954.77"," 19555"," 67831"," 41.69",8,9,43.10,03/23/2022,F
"LTI"," EQ"," 22-Mar-2022"," 5992.40"," 6000.00"," 6150.00"," 5960.05"," 6105.00"," 6117.55"," 6082.27"," 249080"," 15149.72"," 30904"," 61053"," 24.51",8,9,42.76,03/22/2022,F
"LTI"," EQ"," 21-Mar-2022"," 6113.85"," 6189.90"," 6189.90"," 5977.50"," 5998.00"," 5992.40"," 6059.82"," 355524"," 21544.11"," 41615"," 199132"," 56.01",9,9,42.85,03/21/2022,F
"LTI"," EQ"," 17-Mar-2022"," 6025.70"," 6099.95"," 6199.00"," 6030.00"," 6134.65"," 6113.85"," 6114.05"," 651022"," 39803.81"," 55234"," 369072"," 56.69",12,9,42.23,03/17/2022,T
"LTI"," EQ"," 16-Mar-2022"," 6037.80"," 6193.85"," 6193.85"," 6005.10"," 6025.00"," 6025.70"," 6048.40"," 340735"," 20609.00"," 35516"," 217414"," 63.81",10,9,41.74,03/16/2022,T
"LTI"," EQ"," 15-Mar-2022"," 6272.35"," 6260.00"," 6299.00"," 6002.00"," 6045.00"," 6037.80"," 6098.86"," 435081"," 26534.97"," 65530"," 219585"," 50.47",7,9,41.53,03/15/2022,F
"LTI"," EQ"," 14-Mar-2022"," 6224.20"," 6230.00"," 6299.95"," 6200.35"," 6275.00"," 6272.35"," 6269.87"," 229657"," 14399.19"," 23044"," 113398"," 49.38",10,9,41.47,03/14/2022,T
"LTI"," EQ"," 11-Mar-2022"," 6285.60"," 6250.00"," 6267.00"," 6105.00"," 6244.95"," 6224.20"," 6204.31"," 281687"," 17476.74"," 29762"," 123645"," 43.89",9,9,41.17,03/11/2022,F
"LTI"," EQ"," 10-Mar-2022"," 6374.55"," 6475.00"," 6475.00"," 6235.00"," 6276.00"," 6285.60"," 6301.22"," 458366"," 28882.65"," 38944"," 223010"," 48.65",12,9,41.15,03/10/2022,T
"LTI"," EQ"," 09-Mar-2022"," 6437.75"," 6522.00"," 6524.80"," 6356.90"," 6364.00"," 6374.55"," 6445.49"," 289547"," 18662.71"," 37668"," 124860"," 43.12",8,9,41.22,03/09/2022,F
"LTI"," EQ"," 08-Mar-2022"," 6212.75"," 6191.00"," 6457.20"," 6165.00"," 6426.75"," 6437.75"," 6360.89"," 388105"," 24686.95"," 48871"," 132476"," 34.13",8,9,41.37,03/08/2022,F
"LTI"," EQ"," 04-Mar-2022"," 6016.50"," 5980.00"," 6279.00"," 5912.60"," 6100.00"," 6108.65"," 6131.34"," 549363"," 33683.34"," 66103"," 139988"," 25.48",8,9,41.48,03/04/2022,F
"LTI"," EQ"," 03-Mar-2022"," 5861.30"," 5966.00"," 6039.00"," 5885.00"," 6021.00"," 6016.50"," 5973.31"," 419327"," 25047.72"," 37915"," 239083"," 57.02",11,9,41.86,03/03/2022,T
"LTI"," EQ"," 02-Mar-2022"," 5849.80"," 5850.00"," 5879.00"," 5755.20"," 5870.00"," 5861.30"," 5836.98"," 221723"," 12941.92"," 29416"," 114689"," 51.73",8,9,41.49,03/02/2022,F
"LTI"," EQ"," 28-Feb-2022"," 5715.30"," 5685.30"," 5867.00"," 5590.00"," 5825.00"," 5849.80"," 5775.15"," 277884"," 16048.23"," 31598"," 129232"," 46.51",9,8,41.38,02/28/2022,T
"LTI"," EQ"," 25-Feb-2022"," 5600.95"," 5732.00"," 5805.00"," 5648.60"," 5720.10"," 5715.30"," 5716.80"," 355116"," 20301.26"," 37073"," 167199"," 47.08",10,8,41.00,02/25/2022,T
"LTI"," EQ"," 24-Feb-2022"," 5911.80"," 5769.00"," 5787.25"," 5580.00"," 5604.95"," 5600.95"," 5664.79"," 403007"," 22829.50"," 47837"," 210303"," 52.18",8,8,40.71,02/24/2022,F
"LTI"," EQ"," 23-Feb-2022"," 5991.05"," 6026.00"," 6073.30"," 5878.50"," 5940.00"," 5911.80"," 5966.46"," 246058"," 14680.95"," 26817"," 122558"," 49.81",9,8,40.33,02/23/2022,T
"LTI"," EQ"," 22-Feb-2022"," 5861.30"," 5730.00"," 6015.00"," 5698.00"," 5990.00"," 5991.05"," 5904.30"," 317699"," 18757.90"," 38647"," 131721"," 41.46",8,8,40.02,02/22/2022,F
"LTI"," EQ"," 21-Feb-2022"," 5860.65"," 5850.00"," 5920.00"," 5738.80"," 5866.00"," 5861.30"," 5830.59"," 129520"," 7551.78"," 16869"," 27632"," 21.33",8,8,39.82,02/21/2022,F
"LTI"," EQ"," 18-Feb-2022"," 5934.20"," 5891.00"," 5948.00"," 5850.00"," 5865.00"," 5860.65"," 5903.44"," 170126"," 10043.29"," 20853"," 72464"," 42.59",8,8,39.97,02/18/2022,F
"LTI"," EQ"," 17-Feb-2022"," 6002.90"," 6000.05"," 6020.00"," 5920.10"," 5931.00"," 5934.20"," 5960.00"," 185919"," 11080.77"," 27665"," 82486"," 44.37",7,8,39.93,02/17/2022,F
"LTI"," EQ"," 16-Feb-2022"," 6102.65"," 6160.00"," 6161.00"," 5966.00"," 5985.00"," 6002.90"," 6047.55"," 222936"," 13482.18"," 23541"," 107858"," 48.38",9,8,39.76,02/16/2022,T
"LTI"," EQ"," 15-Feb-2022"," 5885.35"," 5975.00"," 6110.00"," 5887.85"," 6102.25"," 6102.65"," 6006.84"," 204594"," 12289.63"," 25769"," 43091"," 21.06",8,8,39.29,02/15/2022,F
"LTI"," EQ"," 14-Feb-2022"," 5999.85"," 5800.00"," 5992.60"," 5670.10"," 5854.00"," 5885.35"," 5907.58"," 394155"," 23285.00"," 38347"," 161931"," 41.08",10,8,39.42,02/14/2022,T
"LTI"," EQ"," 11-Feb-2022"," 6317.40"," 6160.00"," 6201.80"," 5976.00"," 6002.00"," 5999.85"," 6042.74"," 424193"," 25632.87"," 60749"," 221480"," 52.21",7,8,39.26,02/11/2022,F
"LTI"," EQ"," 10-Feb-2022"," 6290.70"," 6339.90"," 6340.00"," 6250.00"," 6321.00"," 6317.40"," 6299.26"," 141271"," 8899.02"," 20218"," 62091"," 43.95",7,8,38.78,02/10/2022,F
"LTI"," EQ"," 09-Feb-2022"," 6143.95"," 6160.00"," 6319.85"," 6160.00"," 6315.00"," 6290.70"," 6270.90"," 232924"," 14606.44"," 31281"," 121435"," 52.14",7,8,38.64,02/09/2022,F
"LTI"," EQ"," 08-Feb-2022"," 6127.65"," 6140.00"," 6220.00"," 6029.05"," 6131.05"," 6143.95"," 6125.50"," 183679"," 11251.26"," 19124"," 70106"," 38.17",10,8,38.48,02/08/2022,F
"LTI"," EQ"," 07-Feb-2022"," 6282.00"," 6289.80"," 6330.00"," 6084.20"," 6137.75"," 6127.65"," 6188.78"," 157433"," 9743.19"," 25633"," 57430"," 36.48",6,8,38.40,02/07/2022,F
"LTI"," EQ"," 04-Feb-2022"," 6198.30"," 6150.00"," 6300.00"," 6108.30"," 6274.95"," 6282.00"," 6264.17"," 219167"," 13729.00"," 22534"," 72436"," 33.05",10,8,38.44,02/04/2022,F
"LTI"," EQ"," 03-Feb-2022"," 6396.75"," 6378.00"," 6378.00"," 6179.60"," 6217.00"," 6198.30"," 6258.03"," 224304"," 14037.01"," 27738"," 91631"," 40.85",8,8,38.53,02/03/2022,F
"LTI"," EQ"," 02-Feb-2022"," 6295.40"," 6330.00"," 6421.95"," 6280.00"," 6410.05"," 6396.75"," 6366.10"," 303718"," 19334.99"," 37004"," 132527"," 43.63",8,8,38.47,02/02/2022,F
"LTI"," EQ"," 01-Feb-2022"," 6270.35"," 6390.00"," 6432.30"," 6210.60"," 6313.95"," 6295.40"," 6287.51"," 435210"," 27363.87"," 50955"," 193306"," 44.42",9,8,38.51,02/01/2022,T
"LTI"," EQ"," 31-Jan-2022"," 5911.55"," 6070.00"," 6320.00"," 6009.00"," 6282.00"," 6270.35"," 6178.91"," 746524"," 46127.01"," 76571"," 275063"," 36.85",10,8,38.41,01/31/2022,F
"LTI"," EQ"," 28-Jan-2022"," 5745.70"," 5760.00"," 6094.00"," 5760.00"," 5910.10"," 5911.55"," 5992.91"," 720772"," 43195.18"," 86138"," 274022"," 38.02",8,8,38.40,01/28/2022,F
"LTI"," EQ"," 27-Jan-2022"," 6034.15"," 6000.00"," 6000.00"," 5722.00"," 5748.75"," 5745.70"," 5802.24"," 548141"," 31804.47"," 82092"," 296778"," 54.14",7,8,38.25,01/27/2022,F
"LTI"," EQ"," 25-Jan-2022"," 5969.10"," 5826.00"," 6067.45"," 5750.00"," 6042.90"," 6034.15"," 5969.18"," 528975"," 31575.46"," 65085"," 189630"," 35.85",8,8,37.91,01/25/2022,F
"LTI"," EQ"," 24-Jan-2022"," 6393.80"," 6408.00"," 6495.00"," 5826.00"," 5965.00"," 5969.10"," 6023.83"," 632383"," 38093.68"," 82347"," 267406"," 42.29",8,8,37.89,01/24/2022,F
"LTI"," EQ"," 21-Jan-2022"," 6606.45"," 6575.00"," 6589.90"," 6346.05"," 6411.00"," 6393.80"," 6466.40"," 538820"," 34842.28"," 70928"," 244137"," 45.31",8,8,37.86,01/21/2022,F
"LTI"," EQ"," 20-Jan-2022"," 6697.05"," 6949.80"," 6982.25"," 6570.15"," 6600.85"," 6606.45"," 6692.93"," 977600"," 65430.13"," 114273"," 282258"," 28.87",9,8,37.56,01/20/2022,F
"LTI"," EQ"," 19-Jan-2022"," 6869.50"," 6700.00"," 6738.00"," 6550.00"," 6714.00"," 6697.05"," 6650.98"," 555061"," 36917.00"," 69307"," 225504"," 40.63",8,8,37.37,01/19/2022,F
"LTI"," EQ"," 18-Jan-2022"," 7103.00"," 7077.00"," 7158.80"," 6850.00"," 6869.95"," 6869.50"," 7001.20"," 212064"," 14847.03"," 30092"," 99079"," 46.72",7,8,36.92,01/18/2022,F
"LTI"," EQ"," 17-Jan-2022"," 7078.35"," 7077.70"," 7127.80"," 6976.10"," 7115.00"," 7103.00"," 7049.59"," 212781"," 15000.19"," 28320"," 99510"," 46.77",8,8,36.37,01/17/2022,F
"LTI"," EQ"," 14-Jan-2022"," 7132.60"," 7087.20"," 7141.95"," 7030.25"," 7084.00"," 7078.35"," 7081.83"," 291638"," 20653.31"," 27781"," 148760"," 51.01",10,8,36.24,01/14/2022,T
"LTI"," EQ"," 13-Jan-2022"," 7170.75"," 7199.95"," 7240.00"," 7085.65"," 7141.90"," 7132.60"," 7140.08"," 198001"," 14137.42"," 23940"," 101670"," 51.35",8,8,36.01,01/13/2022,F
"LTI"," EQ"," 12-Jan-2022"," 7174.15"," 7229.95"," 7229.95"," 7135.50"," 7149.00"," 7170.75"," 7180.64"," 242957"," 17445.86"," 26333"," 137247"," 56.49",9,8,35.58,01/12/2022,T
"LTI"," EQ"," 11-Jan-2022"," 7103.55"," 7100.00"," 7235.00"," 7051.00"," 7172.00"," 7174.15"," 7157.72"," 401888"," 28766.00"," 42590"," 221048"," 55.00",9,8,35.31,01/11/2022,T
"LTI"," EQ"," 10-Jan-2022"," 7205.45"," 7297.00"," 7315.90"," 7085.00"," 7099.00"," 7103.55"," 7137.58"," 241841"," 17261.59"," 34529"," 110177"," 45.56",7,8,35.08,01/10/2022,F
"LTI"," EQ"," 07-Jan-2022"," 7191.25"," 7200.00"," 7280.00"," 7180.30"," 7200.00"," 7205.45"," 7224.69"," 417838"," 30187.50"," 35444"," 233692"," 55.93",12,8,34.86,01/07/2022,T
"LTI"," EQ"," 06-Jan-2022"," 7317.10"," 7250.00"," 7269.85"," 7134.45"," 7194.00"," 7191.25"," 7181.46"," 559885"," 40207.93"," 39984"," 318982"," 56.97",14,8,34.39,01/06/2022,T
"LTI"," EQ"," 05-Jan-2022"," 7561.75"," 7530.00"," 7549.45"," 7282.40"," 7319.10"," 7317.10"," 7390.65"," 376964"," 27860.09"," 42249"," 196087"," 52.02",9,8,34.15,01/05/2022,T
"LTI"," EQ"," 04-Jan-2022"," 7532.85"," 7550.00"," 7588.80"," 7436.10"," 7560.00"," 7561.75"," 7516.65"," 273052"," 20524.36"," 36594"," 72687"," 26.62",7,8,34.10,01/04/2022,F
"LTI"," EQ"," 03-Jan-2022"," 7332.00"," 7338.00"," 7570.00"," 7338.00"," 7520.00"," 7532.85"," 7471.38"," 311684"," 23287.11"," 32617"," 118576"," 38.04",10,8,34.47,01/03/2022,T
"LTI"," EQ"," 31-Dec-2021"," 7292.50"," 7324.80"," 7362.00"," 7252.20"," 7335.00"," 7332.00"," 7317.35"," 194116"," 14204.15"," 26267"," 70573"," 36.36",7,8,34.66,12/31/2021,F
"LTI"," EQ"," 30-Dec-2021"," 7263.10"," 7281.90"," 7347.65"," 7228.05"," 7319.00"," 7292.50"," 7301.91"," 258400"," 18868.13"," 28794"," 107727"," 41.69",9,8,34.78,12/30/2021,T
"LTI"," EQ"," 29-Dec-2021"," 7271.95"," 7263.80"," 7293.70"," 7205.00"," 7256.00"," 7263.10"," 7257.15"," 155943"," 11317.02"," 23842"," 56303"," 36.10",7,8,34.48,12/29/2021,F
"LTI"," EQ"," 28-Dec-2021"," 7181.25"," 7217.00"," 7300.00"," 7202.05"," 7261.70"," 7271.95"," 7263.79"," 206301"," 14985.28"," 25396"," 58824"," 28.51",8,8,34.50,12/28/2021,F
"LTI"," EQ"," 27-Dec-2021"," 7166.55"," 7194.80"," 7225.00"," 7050.00"," 7180.00"," 7181.25"," 7147.22"," 380141"," 27169.53"," 50469"," 108786"," 28.62",8,8,34.49,12/27/2021,F
"LTI"," EQ"," 24-Dec-2021"," 7033.50"," 7071.00"," 7185.00"," 7070.00"," 7170.00"," 7166.55"," 7130.55"," 363446"," 25915.69"," 31664"," 103145"," 28.38",11,8,34.51,12/24/2021,F
"LTI"," EQ"," 23-Dec-2021"," 7126.00"," 7200.00"," 7203.60"," 6991.55"," 7047.00"," 7033.50"," 7077.51"," 405769"," 28718.33"," 41647"," 152228"," 37.52",10,8,34.25,12/23/2021,T
"LTI"," EQ"," 22-Dec-2021"," 6976.45"," 7018.00"," 7197.90"," 7010.30"," 7111.05"," 7126.00"," 7131.48"," 431510"," 30773.03"," 45773"," 90048"," 20.87",9,8,34.16,12/22/2021,F
"LTI"," EQ"," 21-Dec-2021"," 6736.05"," 6766.00"," 7032.30"," 6740.00"," 6980.25"," 6976.45"," 6937.46"," 427382"," 29649.47"," 52897"," 127969"," 29.94",8,8,34.31,12/21/2021,F
"LTI"," EQ"," 20-Dec-2021"," 6978.30"," 6906.00"," 6937.45"," 6610.00"," 6714.00"," 6736.05"," 6734.93"," 416395"," 28043.93"," 44652"," 146477"," 35.18",9,8,34.28,12/20/2021,T
"LTI"," EQ"," 17-Dec-2021"," 6839.55"," 6917.20"," 7129.30"," 6867.10"," 6950.00"," 6978.30"," 6988.07"," 865305"," 60468.15"," 101572"," 221745"," 25.63",9,8,34.25,12/17/2021,F
"LTI"," EQ"," 16-Dec-2021"," 6675.65"," 6774.00"," 6850.00"," 6721.15"," 6843.60"," 6839.55"," 6804.07"," 355537"," 24191.00"," 41089"," 92158"," 25.92",9,8,34.52,12/16/2021,F
"LTI"," EQ"," 15-Dec-2021"," 6670.05"," 6685.00"," 6714.40"," 6565.00"," 6690.00"," 6675.65"," 6639.33"," 241189"," 16013.34"," 27084"," 123627"," 51.26",9,8,34.53,12/15/2021,T
"LTI"," EQ"," 14-Dec-2021"," 6770.60"," 6788.00"," 6788.00"," 6641.75"," 6674.95"," 6670.05"," 6696.69"," 264969"," 17744.16"," 42217"," 123329"," 46.54",6,8,34.18,12/14/2021,F
"LTI"," EQ"," 13-Dec-2021"," 6613.20"," 6664.00"," 6891.50"," 6600.00"," 6800.00"," 6770.60"," 6793.38"," 404491"," 27478.62"," 37649"," 125323"," 30.98",11,8,33.75,12/13/2021,F
"LTI"," EQ"," 10-Dec-2021"," 6606.10"," 6610.00"," 6629.95"," 6464.10"," 6615.00"," 6613.20"," 6539.48"," 380321"," 24871.02"," 39816"," 161396"," 42.44",10,8,33.88,12/10/2021,T
"LTI"," EQ"," 09-Dec-2021"," 6647.80"," 6590.00"," 6674.70"," 6553.05"," 6604.00"," 6606.10"," 6594.08"," 236607"," 15602.07"," 27140"," 125514"," 53.05",9,8,33.74,12/09/2021,T
"LTI"," EQ"," 08-Dec-2021"," 6556.40"," 6639.00"," 6720.00"," 6606.05"," 6647.00"," 6647.80"," 6667.84"," 335995"," 22403.61"," 31486"," 177027"," 52.69",11,8,33.36,12/08/2021,T
"LTI"," EQ"," 07-Dec-2021"," 6556.05"," 6650.00"," 6684.95"," 6493.00"," 6565.00"," 6556.40"," 6550.55"," 253149"," 16582.64"," 40652"," 98605"," 38.95",6,8,32.86,12/07/2021,F
"LTI"," EQ"," 06-Dec-2021"," 6848.85"," 6866.40"," 6866.40"," 6520.80"," 6572.80"," 6556.05"," 6653.26"," 317321"," 21112.20"," 48545"," 137793"," 43.42",7,8,32.85,12/06/2021,F
"LTI"," EQ"," 03-Dec-2021"," 6948.75"," 6969.00"," 6999.00"," 6835.15"," 6850.00"," 6848.85"," 6920.71"," 286743"," 19844.66"," 36289"," 140914"," 49.14",8,8,32.63,12/03/2021,F
"LTI"," EQ"," 02-Dec-2021"," 6912.20"," 6920.00"," 6977.80"," 6784.00"," 6971.40"," 6948.75"," 6895.68"," 303243"," 20910.68"," 39174"," 102648"," 33.85",8,8,32.22,12/02/2021,F
"LTI"," EQ"," 01-Dec-2021"," 6809.70"," 6820.00"," 6929.75"," 6816.15"," 6915.20"," 6912.20"," 6876.74"," 199325"," 13707.05"," 32427"," 92711"," 46.51",6,8,32.16,12/01/2021,F
"LTI"," EQ"," 30-Nov-2021"," 6748.55"," 6814.00"," 6949.95"," 6755.25"," 6787.00"," 6809.70"," 6831.75"," 299419"," 20455.55"," 41534"," 117622"," 39.28",7,8,32.02,11/30/2021,F
"LTI"," EQ"," 29-Nov-2021"," 6648.30"," 6530.00"," 6792.00"," 6392.35"," 6740.00"," 6748.55"," 6687.49"," 249304"," 16672.17"," 38772"," 56568"," 22.69",6,8,32.02,11/29/2021,F
"LTI"," EQ"," 26-Nov-2021"," 6849.80"," 6865.00"," 6865.00"," 6616.15"," 6660.00"," 6648.30"," 6717.73"," 171743"," 11537.23"," 27252"," 49039"," 28.55",6,8,32.24,11/26/2021,F
"LTI"," EQ"," 25-Nov-2021"," 6749.05"," 6760.00"," 6880.00"," 6712.40"," 6870.00"," 6849.80"," 6812.10"," 158382"," 10789.15"," 25848"," 44039"," 27.81",6,8,32.18,11/25/2021,F
