symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"LTTS"," EQ"," 23-Mar-2022"," 4878.55"," 4920.00"," 4958.80"," 4883.95"," 4897.50"," 4897.85"," 4915.20"," 210979"," 10370.03"," 25784"," 80664"," 38.23",8,10,35.82,03/23/2022,F
"LTTS"," EQ"," 22-Mar-2022"," 4788.10"," 4802.40"," 4891.65"," 4720.05"," 4882.00"," 4878.55"," 4824.32"," 235956"," 11383.28"," 25038"," 71946"," 30.49",9,10,35.51,03/22/2022,F
"LTTS"," EQ"," 21-Mar-2022"," 4732.85"," 4790.00"," 4818.00"," 4736.00"," 4780.00"," 4788.10"," 4772.61"," 203017"," 9689.20"," 27931"," 71164"," 35.05",7,10,35.38,03/21/2022,F
"LTTS"," EQ"," 17-Mar-2022"," 4754.90"," 4824.00"," 4824.00"," 4715.00"," 4738.00"," 4732.85"," 4760.52"," 372474"," 17731.70"," 40889"," 205824"," 55.26",9,10,35.09,03/17/2022,F
"LTTS"," EQ"," 16-Mar-2022"," 4753.85"," 4820.00"," 4855.95"," 4738.00"," 4744.90"," 4754.90"," 4778.70"," 294753"," 14085.35"," 30552"," 160354"," 54.40",10,10,34.52,03/16/2022,F
"LTTS"," EQ"," 15-Mar-2022"," 4969.70"," 4969.70"," 5016.90"," 4725.00"," 4746.00"," 4753.85"," 4836.56"," 317861"," 15373.54"," 43590"," 144020"," 45.31",7,10,34.04,03/15/2022,F
"LTTS"," EQ"," 14-Mar-2022"," 4938.90"," 4925.05"," 5010.00"," 4915.55"," 4959.00"," 4969.70"," 4974.98"," 200885"," 9993.98"," 23279"," 66506"," 33.11",9,10,33.95,03/14/2022,F
"LTTS"," EQ"," 11-Mar-2022"," 4941.00"," 4925.00"," 4979.30"," 4857.05"," 4930.00"," 4938.90"," 4927.37"," 174829"," 8614.48"," 17128"," 42674"," 24.41",10,10,33.97,03/11/2022,F
"LTTS"," EQ"," 10-Mar-2022"," 4821.10"," 4920.00"," 4966.95"," 4821.10"," 4930.00"," 4941.00"," 4904.22"," 312638"," 15332.45"," 31232"," 96246"," 30.79",10,10,34.13,03/10/2022,F
"LTTS"," EQ"," 09-Mar-2022"," 4825.50"," 4890.00"," 4939.90"," 4800.05"," 4830.90"," 4821.10"," 4868.10"," 328675"," 16000.24"," 41385"," 87486"," 26.62",8,10,34.47,03/09/2022,F
"LTTS"," EQ"," 08-Mar-2022"," 4610.35"," 4647.00"," 4860.00"," 4630.25"," 4858.00"," 4825.50"," 4747.46"," 468116"," 22223.60"," 40304"," 144654"," 30.90",12,10,34.36,03/08/2022,F
"LTTS"," EQ"," 04-Mar-2022"," 4658.65"," 4605.00"," 4685.00"," 4560.00"," 4609.95"," 4613.50"," 4623.27"," 308447"," 14260.34"," 25906"," 97954"," 31.76",12,10,34.43,03/04/2022,F
"LTTS"," EQ"," 03-Mar-2022"," 4539.05"," 4605.00"," 4697.95"," 4575.00"," 4644.00"," 4658.65"," 4654.92"," 354847"," 16517.83"," 29041"," 120775"," 34.04",12,10,34.48,03/03/2022,F
"LTTS"," EQ"," 02-Mar-2022"," 4532.05"," 4435.30"," 4573.95"," 4434.80"," 4550.00"," 4539.05"," 4525.77"," 294357"," 13321.93"," 26572"," 115389"," 39.20",11,10,34.53,03/02/2022,T
"LTTS"," EQ"," 28-Feb-2022"," 4423.55"," 4370.00"," 4558.40"," 4306.55"," 4516.70"," 4532.05"," 4495.04"," 301038"," 13531.79"," 28313"," 68266"," 22.68",11,9,34.59,02/28/2022,F
"LTTS"," EQ"," 25-Feb-2022"," 4290.60"," 4360.00"," 4452.00"," 4315.35"," 4411.75"," 4423.55"," 4386.98"," 390935"," 17150.26"," 52575"," 149522"," 38.25",7,9,34.96,02/25/2022,F
"LTTS"," EQ"," 24-Feb-2022"," 4455.35"," 4300.00"," 4362.05"," 4241.50"," 4310.05"," 4290.60"," 4293.15"," 405302"," 17400.23"," 34438"," 176037"," 43.43",12,10,35.12,02/24/2022,T
"LTTS"," EQ"," 23-Feb-2022"," 4432.75"," 4469.00"," 4492.10"," 4391.05"," 4460.00"," 4455.35"," 4447.44"," 184327"," 8197.83"," 17889"," 71367"," 38.72",10,9,35.03,02/23/2022,T
"LTTS"," EQ"," 22-Feb-2022"," 4365.75"," 4235.35"," 4499.00"," 4210.35"," 4425.20"," 4432.75"," 4392.62"," 441587"," 19397.25"," 38286"," 129255"," 29.27",12,9,35.09,02/22/2022,F
"LTTS"," EQ"," 21-Feb-2022"," 4444.95"," 4420.00"," 4426.75"," 4269.05"," 4367.00"," 4365.75"," 4353.49"," 264155"," 11499.97"," 28977"," 78744"," 29.81",9,9,35.03,02/21/2022,F
"LTTS"," EQ"," 18-Feb-2022"," 4434.80"," 4400.30"," 4499.40"," 4325.00"," 4460.00"," 4444.95"," 4447.77"," 224042"," 9964.88"," 19949"," 73576"," 32.84",11,9,35.04,02/18/2022,F
"LTTS"," EQ"," 17-Feb-2022"," 4483.60"," 4514.00"," 4539.55"," 4425.15"," 4435.00"," 4434.80"," 4486.72"," 177692"," 7972.54"," 16995"," 81270"," 45.74",10,9,35.08,02/17/2022,T
"LTTS"," EQ"," 16-Feb-2022"," 4552.50"," 4610.00"," 4612.10"," 4466.15"," 4488.00"," 4483.60"," 4521.42"," 241223"," 10906.71"," 20163"," 91560"," 37.96",12,9,34.64,02/16/2022,T
"LTTS"," EQ"," 15-Feb-2022"," 4423.20"," 4501.00"," 4575.00"," 4427.90"," 4556.00"," 4552.50"," 4505.12"," 239195"," 10776.02"," 24736"," 56042"," 23.43",10,9,34.30,02/15/2022,F
"LTTS"," EQ"," 14-Feb-2022"," 4486.00"," 4400.00"," 4512.80"," 4259.00"," 4434.80"," 4423.20"," 4421.17"," 432802"," 19134.89"," 39555"," 149680"," 34.58",11,9,34.40,02/14/2022,T
"LTTS"," EQ"," 11-Feb-2022"," 4686.70"," 4610.00"," 4624.90"," 4466.15"," 4489.20"," 4486.00"," 4517.45"," 415641"," 18776.39"," 45640"," 183700"," 44.20",9,9,34.33,02/11/2022,F
"LTTS"," EQ"," 10-Feb-2022"," 4575.20"," 4611.80"," 4700.00"," 4579.30"," 4680.05"," 4686.70"," 4652.89"," 327004"," 15215.14"," 28946"," 102705"," 31.41",11,9,33.98,02/10/2022,F
"LTTS"," EQ"," 09-Feb-2022"," 4417.40"," 4449.95"," 4640.00"," 4444.15"," 4602.00"," 4575.20"," 4592.68"," 437827"," 20107.98"," 36384"," 158093"," 36.11",12,9,33.93,02/09/2022,T
"LTTS"," EQ"," 08-Feb-2022"," 4444.60"," 4444.60"," 4489.00"," 4311.60"," 4436.15"," 4417.40"," 4383.62"," 270352"," 11851.21"," 33450"," 122588"," 45.34",8,9,33.96,02/08/2022,F
"LTTS"," EQ"," 07-Feb-2022"," 4543.85"," 4544.00"," 4566.20"," 4426.05"," 4436.00"," 4444.60"," 4471.92"," 163147"," 7295.80"," 24288"," 57463"," 35.22",7,9,33.79,02/07/2022,F
"LTTS"," EQ"," 04-Feb-2022"," 4591.95"," 4580.00"," 4624.45"," 4510.40"," 4539.25"," 4543.85"," 4570.23"," 326087"," 14902.91"," 27740"," 142500"," 43.70",12,9,33.83,02/04/2022,T
"LTTS"," EQ"," 03-Feb-2022"," 4780.00"," 4750.00"," 4750.00"," 4576.00"," 4584.00"," 4591.95"," 4660.67"," 253639"," 11821.27"," 28170"," 118848"," 46.86",9,9,33.68,02/03/2022,F
"LTTS"," EQ"," 02-Feb-2022"," 4694.50"," 4720.00"," 4827.00"," 4720.00"," 4794.50"," 4780.00"," 4787.89"," 271452"," 12996.81"," 32725"," 134162"," 49.42",8,9,33.62,02/02/2022,F
"LTTS"," EQ"," 01-Feb-2022"," 4693.10"," 4759.00"," 4766.00"," 4601.00"," 4698.00"," 4694.50"," 4670.03"," 391789"," 18296.66"," 35787"," 182975"," 46.70",11,9,33.48,02/01/2022,T
"LTTS"," EQ"," 31-Jan-2022"," 4580.10"," 4680.00"," 4783.70"," 4658.60"," 4698.00"," 4693.10"," 4721.52"," 434912"," 20534.45"," 44125"," 146788"," 33.75",10,9,33.32,01/31/2022,T
"LTTS"," EQ"," 28-Jan-2022"," 4355.40"," 4378.30"," 4654.00"," 4374.00"," 4585.00"," 4580.10"," 4570.65"," 494659"," 22609.13"," 55946"," 157170"," 31.77",9,9,33.36,01/28/2022,F
"LTTS"," EQ"," 27-Jan-2022"," 4587.85"," 4560.00"," 4560.00"," 4313.15"," 4374.00"," 4355.40"," 4383.07"," 434640"," 19050.56"," 55401"," 165979"," 38.19",8,9,33.47,01/27/2022,F
"LTTS"," EQ"," 25-Jan-2022"," 4557.60"," 4460.00"," 4634.95"," 4332.00"," 4595.00"," 4587.85"," 4523.98"," 465308"," 21050.43"," 57479"," 136670"," 29.37",8,9,33.46,01/25/2022,F
"LTTS"," EQ"," 24-Jan-2022"," 4810.40"," 4800.00"," 4820.00"," 4477.05"," 4565.00"," 4557.60"," 4591.66"," 580400"," 26649.97"," 69002"," 196282"," 33.82",8,10,33.62,01/24/2022,F
"LTTS"," EQ"," 21-Jan-2022"," 5119.50"," 5118.00"," 5118.00"," 4790.00"," 4800.00"," 4810.40"," 4920.69"," 571137"," 28103.87"," 66429"," 270992"," 47.45",9,10,33.54,01/21/2022,F
"LTTS"," EQ"," 20-Jan-2022"," 5077.55"," 5100.00"," 5149.85"," 5044.65"," 5145.40"," 5119.50"," 5097.51"," 323018"," 16465.88"," 40278"," 134370"," 41.60",8,10,33.30,01/20/2022,F
"LTTS"," EQ"," 19-Jan-2022"," 5420.50"," 5080.00"," 5153.00"," 4980.00"," 5092.00"," 5077.55"," 5066.74"," 1324020"," 67084.64"," 124918"," 365799"," 27.63",11,10,33.11,01/19/2022,F
"LTTS"," EQ"," 18-Jan-2022"," 5575.15"," 5610.00"," 5614.00"," 5401.30"," 5409.00"," 5420.50"," 5512.73"," 218879"," 12066.21"," 25729"," 67539"," 30.86",9,10,32.90,01/18/2022,F
"LTTS"," EQ"," 17-Jan-2022"," 5542.40"," 5555.80"," 5602.45"," 5520.00"," 5570.05"," 5575.15"," 5569.88"," 174200"," 9702.72"," 18693"," 64777"," 37.19",9,10,32.61,01/17/2022,F
"LTTS"," EQ"," 14-Jan-2022"," 5658.85"," 5650.00"," 5650.00"," 5504.15"," 5537.00"," 5542.40"," 5557.64"," 255238"," 14185.21"," 31095"," 94856"," 37.16",8,10,32.46,01/14/2022,F
"LTTS"," EQ"," 13-Jan-2022"," 5625.10"," 5625.00"," 5715.40"," 5584.55"," 5659.50"," 5658.85"," 5660.06"," 185927"," 10523.58"," 17795"," 70440"," 37.89",10,10,32.38,01/13/2022,F
"LTTS"," EQ"," 12-Jan-2022"," 5646.95"," 5699.95"," 5699.95"," 5575.00"," 5635.00"," 5625.10"," 5629.57"," 278048"," 15652.92"," 23584"," 127623"," 45.90",12,10,32.12,01/12/2022,T
"LTTS"," EQ"," 11-Jan-2022"," 5597.90"," 5599.95"," 5690.00"," 5581.95"," 5641.00"," 5646.95"," 5642.32"," 313913"," 17711.96"," 25905"," 146677"," 46.73",12,10,31.99,01/11/2022,T
"LTTS"," EQ"," 10-Jan-2022"," 5776.80"," 5828.90"," 5828.90"," 5580.00"," 5608.00"," 5597.90"," 5639.92"," 420390"," 23709.67"," 45687"," 180539"," 42.95",9,10,31.81,01/10/2022,F
"LTTS"," EQ"," 07-Jan-2022"," 5744.35"," 5773.50"," 5875.00"," 5750.00"," 5751.50"," 5776.80"," 5804.47"," 269298"," 15631.33"," 30077"," 107027"," 39.74",9,10,31.62,01/07/2022,F
"LTTS"," EQ"," 06-Jan-2022"," 5842.60"," 5741.00"," 5789.95"," 5714.40"," 5750.00"," 5744.35"," 5746.53"," 237620"," 13654.91"," 22757"," 123148"," 51.83",10,10,31.46,01/06/2022,F
"LTTS"," EQ"," 05-Jan-2022"," 5916.30"," 5914.00"," 5918.85"," 5800.10"," 5838.00"," 5842.60"," 5846.96"," 289734"," 16940.63"," 37992"," 98376"," 33.95",8,10,31.21,01/05/2022,F
"LTTS"," EQ"," 04-Jan-2022"," 5726.55"," 5731.00"," 5955.50"," 5666.50"," 5955.50"," 5916.30"," 5832.18"," 480593"," 28029.07"," 42053"," 108847"," 22.65",11,10,31.32,01/04/2022,F
"LTTS"," EQ"," 03-Jan-2022"," 5598.95"," 5601.00"," 5758.00"," 5601.00"," 5729.00"," 5726.55"," 5714.15"," 321738"," 18384.58"," 33140"," 91176"," 28.34",10,10,31.65,01/03/2022,F
