symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"LT"," EQ"," 23-Mar-2022"," 1774.05"," 1780.00"," 1791.55"," 1759.15"," 1765.00"," 1767.25"," 1771.67"," 1574226"," 27890.04"," 61568"," 761551"," 48.38",26,22,55.40,03/23/2022,F
"LT"," EQ"," 22-Mar-2022"," 1756.30"," 1756.30"," 1777.00"," 1721.15"," 1774.85"," 1774.05"," 1746.78"," 3986030"," 69627.26"," 135555"," 2485984"," 62.37",29,22,55.50,03/22/2022,T
"LT"," EQ"," 21-Mar-2022"," 1787.90"," 1805.00"," 1805.00"," 1745.00"," 1754.70"," 1756.30"," 1765.91"," 2301462"," 40641.65"," 92723"," 1353260"," 58.80",25,22,55.38,03/21/2022,T
"LT"," EQ"," 17-Mar-2022"," 1756.20"," 1781.15"," 1804.60"," 1768.45"," 1791.00"," 1787.90"," 1789.50"," 3383036"," 60539.56"," 107909"," 2111694"," 62.42",31,22,55.25,03/17/2022,T
"LT"," EQ"," 16-Mar-2022"," 1743.45"," 1761.00"," 1770.65"," 1746.20"," 1756.00"," 1756.20"," 1757.12"," 2101909"," 36933.04"," 79220"," 1300006"," 61.85",27,22,55.15,03/16/2022,T
"LT"," EQ"," 15-Mar-2022"," 1746.75"," 1748.00"," 1765.00"," 1726.60"," 1743.60"," 1743.45"," 1747.43"," 2062332"," 36037.81"," 91506"," 1241807"," 60.21",23,22,55.11,03/15/2022,T
"LT"," EQ"," 14-Mar-2022"," 1728.65"," 1735.00"," 1754.00"," 1715.50"," 1753.25"," 1746.75"," 1737.41"," 1558334"," 27074.61"," 62543"," 792008"," 50.82",25,22,55.16,03/14/2022,F
"LT"," EQ"," 11-Mar-2022"," 1728.20"," 1720.00"," 1735.45"," 1705.80"," 1726.80"," 1728.65"," 1726.73"," 1577597"," 27240.76"," 102049"," 905737"," 57.41",15,22,55.37,03/11/2022,F
"LT"," EQ"," 10-Mar-2022"," 1690.95"," 1740.00"," 1758.00"," 1707.00"," 1725.00"," 1728.20"," 1733.58"," 2776325"," 48129.83"," 137172"," 1547139"," 55.73",20,22,55.33,03/10/2022,F
"LT"," EQ"," 09-Mar-2022"," 1658.50"," 1676.50"," 1699.80"," 1650.05"," 1690.65"," 1690.95"," 1679.88"," 3306502"," 55545.23"," 107410"," 1886739"," 57.06",31,22,55.39,03/09/2022,T
"LT"," EQ"," 08-Mar-2022"," 1634.45"," 1627.90"," 1666.00"," 1595.00"," 1657.40"," 1658.50"," 1627.79"," 4421730"," 71976.46"," 161579"," 2685308"," 60.73",27,22,55.24,03/08/2022,T
"LT"," EQ"," 04-Mar-2022"," 1752.30"," 1740.00"," 1754.05"," 1703.00"," 1710.65"," 1711.75"," 1718.56"," 3906819"," 67141.10"," 175780"," 2524975"," 64.63",22,22,55.13,03/04/2022,F
"LT"," EQ"," 03-Mar-2022"," 1784.50"," 1810.00"," 1813.55"," 1745.55"," 1757.50"," 1752.30"," 1770.66"," 2259979"," 40016.52"," 135995"," 1493013"," 66.06",17,22,54.75,03/03/2022,F
"LT"," EQ"," 02-Mar-2022"," 1816.75"," 1800.00"," 1826.95"," 1768.50"," 1795.55"," 1784.50"," 1788.62"," 3152628"," 56388.64"," 147873"," 2118239"," 67.19",21,22,54.70,03/02/2022,F
"LT"," EQ"," 28-Feb-2022"," 1777.05"," 1764.90"," 1822.25"," 1752.80"," 1815.50"," 1816.75"," 1798.40"," 2553662"," 45925.14"," 109320"," 1480815"," 57.99",23,22,54.46,02/28/2022,T
"LT"," EQ"," 25-Feb-2022"," 1757.35"," 1782.00"," 1798.70"," 1765.00"," 1780.00"," 1777.05"," 1781.84"," 2476882"," 44134.09"," 163477"," 1458279"," 58.88",15,22,54.38,02/25/2022,F
"LT"," EQ"," 24-Feb-2022"," 1820.30"," 1783.25"," 1800.00"," 1751.00"," 1757.75"," 1757.35"," 1776.32"," 3616355"," 64237.97"," 217872"," 2103661"," 58.17",17,22,54.40,02/24/2022,F
"LT"," EQ"," 23-Feb-2022"," 1844.45"," 1849.00"," 1852.00"," 1816.15"," 1819.95"," 1820.30"," 1831.36"," 1583872"," 29006.35"," 113830"," 960634"," 60.65",14,23,54.57,02/23/2022,F
"LT"," EQ"," 22-Feb-2022"," 1863.95"," 1813.00"," 1855.00"," 1800.50"," 1837.10"," 1844.45"," 1828.73"," 2288298"," 41846.80"," 100077"," 982330"," 42.93",23,23,54.54,02/22/2022,F
"LT"," EQ"," 21-Feb-2022"," 1883.10"," 1874.95"," 1883.90"," 1848.85"," 1855.00"," 1863.95"," 1868.33"," 1262585"," 23589.20"," 64254"," 490357"," 38.84",20,23,54.84,02/21/2022,F
"LT"," EQ"," 18-Feb-2022"," 1868.70"," 1870.00"," 1896.00"," 1865.15"," 1881.90"," 1883.10"," 1886.34"," 1912482"," 36075.92"," 100742"," 782603"," 40.92",19,23,55.16,02/18/2022,F
"LT"," EQ"," 17-Feb-2022"," 1860.70"," 1869.00"," 1884.90"," 1854.10"," 1863.10"," 1868.70"," 1870.26"," 1459905"," 27304.01"," 72851"," 606590"," 41.55",20,23,55.39,02/17/2022,F
"LT"," EQ"," 16-Feb-2022"," 1876.05"," 1876.05"," 1887.30"," 1842.15"," 1859.00"," 1860.70"," 1858.26"," 1898439"," 35277.88"," 95311"," 955480"," 50.33",20,23,55.66,02/16/2022,F
"LT"," EQ"," 15-Feb-2022"," 1799.00"," 1810.00"," 1882.00"," 1806.15"," 1870.85"," 1876.05"," 1845.36"," 2602134"," 48018.76"," 125591"," 1312479"," 50.44",21,23,55.71,02/15/2022,F
"LT"," EQ"," 14-Feb-2022"," 1871.25"," 1843.25"," 1846.95"," 1795.00"," 1797.00"," 1799.00"," 1815.91"," 2290199"," 41587.95"," 157581"," 1206748"," 52.69",15,23,55.80,02/14/2022,F
"LT"," EQ"," 11-Feb-2022"," 1901.00"," 1889.00"," 1889.00"," 1850.00"," 1867.50"," 1871.25"," 1866.85"," 1744894"," 32574.52"," 104505"," 939148"," 53.82",17,23,55.84,02/11/2022,F
"LT"," EQ"," 10-Feb-2022"," 1888.80"," 1892.00"," 1911.00"," 1881.00"," 1898.00"," 1901.00"," 1901.71"," 1288856"," 24510.26"," 74334"," 610260"," 47.35",17,23,55.85,02/10/2022,F
"LT"," EQ"," 09-Feb-2022"," 1875.60"," 1884.50"," 1899.90"," 1875.60"," 1890.00"," 1888.80"," 1887.43"," 1390810"," 26250.61"," 74046"," 741730"," 53.33",19,23,56.03,02/09/2022,F
"LT"," EQ"," 08-Feb-2022"," 1884.50"," 1890.00"," 1896.95"," 1848.00"," 1872.10"," 1875.60"," 1867.77"," 2040523"," 38112.30"," 108225"," 972675"," 47.67",19,24,56.20,02/08/2022,F
"LT"," EQ"," 07-Feb-2022"," 1947.95"," 1932.50"," 1947.50"," 1874.55"," 1878.75"," 1884.50"," 1895.32"," 2641464"," 50064.22"," 129248"," 1506561"," 57.04",20,24,56.36,02/07/2022,F
"LT"," EQ"," 04-Feb-2022"," 1933.65"," 1948.00"," 1957.80"," 1923.30"," 1945.00"," 1947.95"," 1944.48"," 1440816"," 28016.36"," 85121"," 657575"," 45.64",17,24,56.34,02/04/2022,F
"LT"," EQ"," 03-Feb-2022"," 1982.70"," 1981.50"," 1985.00"," 1930.00"," 1931.20"," 1933.65"," 1947.70"," 2262217"," 44061.20"," 114638"," 1309045"," 57.87",20,24,56.51,02/03/2022,F
"LT"," EQ"," 02-Feb-2022"," 1990.50"," 1995.10"," 2008.00"," 1970.60"," 1980.95"," 1982.70"," 1986.62"," 3579380"," 71108.78"," 150366"," 2198792"," 61.43",24,24,56.19,02/02/2022,F
"LT"," EQ"," 01-Feb-2022"," 1909.20"," 1928.65"," 1999.90"," 1917.00"," 1995.00"," 1990.50"," 1956.04"," 5392787"," 105485.09"," 182471"," 1859480"," 34.48",30,24,55.87,02/01/2022,F
"LT"," EQ"," 31-Jan-2022"," 1897.55"," 1890.20"," 1924.00"," 1850.45"," 1912.00"," 1909.20"," 1900.77"," 3161064"," 60084.58"," 133776"," 1305130"," 41.29",24,24,56.20,01/31/2022,F
"LT"," EQ"," 28-Jan-2022"," 1910.85"," 1916.10"," 1948.00"," 1891.30"," 1897.85"," 1897.55"," 1922.61"," 2233620"," 42943.87"," 108456"," 977043"," 43.74",21,24,56.38,01/28/2022,F
"LT"," EQ"," 27-Jan-2022"," 1925.30"," 1914.55"," 1922.00"," 1867.00"," 1913.20"," 1910.85"," 1896.79"," 2932713"," 55627.39"," 161007"," 1564122"," 53.33",18,24,56.45,01/27/2022,F
"LT"," EQ"," 25-Jan-2022"," 1899.90"," 1895.00"," 1931.30"," 1850.10"," 1919.35"," 1925.30"," 1899.52"," 2998042"," 56948.26"," 150876"," 1726331"," 57.58",20,24,56.13,01/25/2022,F
"LT"," EQ"," 24-Jan-2022"," 1956.05"," 1955.00"," 1959.00"," 1881.55"," 1897.00"," 1899.90"," 1913.63"," 2307120"," 44149.74"," 121335"," 1327950"," 57.56",19,24,56.12,01/24/2022,F
