symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"LUPIN"," EQ"," 25-Mar-2022"," 774.60"," 778.70"," 779.05"," 748.65"," 757.00"," 756.35"," 760.03"," 1026805"," 7804.07"," 27621"," 307127"," 29.91",37,34,38.75,03/25/2022,F
"LUPIN"," EQ"," 24-Mar-2022"," 746.30"," 745.00"," 777.75"," 742.20"," 772.20"," 774.60"," 769.24"," 2161602"," 16627.98"," 53188"," 588846"," 27.24",41,34,38.80,03/24/2022,F
"LUPIN"," EQ"," 23-Mar-2022"," 757.25"," 760.40"," 770.00"," 743.55"," 744.50"," 746.30"," 756.87"," 1304255"," 9871.51"," 30477"," 463158"," 35.51",43,33,39.07,03/23/2022,F
"LUPIN"," EQ"," 22-Mar-2022"," 755.15"," 758.15"," 765.60"," 750.65"," 753.15"," 757.25"," 757.90"," 1261865"," 9563.62"," 28441"," 525535"," 41.65",44,33,39.24,03/22/2022,T
"LUPIN"," EQ"," 21-Mar-2022"," 765.35"," 766.85"," 776.95"," 752.70"," 755.55"," 755.15"," 765.72"," 1072681"," 8213.75"," 29155"," 332641"," 31.01",37,33,39.06,03/21/2022,F
"LUPIN"," EQ"," 17-Mar-2022"," 749.60"," 751.00"," 771.10"," 751.00"," 764.20"," 765.35"," 764.24"," 1488416"," 11375.12"," 33071"," 667806"," 44.87",45,33,38.90,03/17/2022,T
"LUPIN"," EQ"," 16-Mar-2022"," 737.95"," 743.50"," 751.00"," 740.00"," 750.00"," 749.60"," 745.47"," 931860"," 6946.77"," 24257"," 448606"," 48.14",38,33,38.59,03/16/2022,T
"LUPIN"," EQ"," 15-Mar-2022"," 745.20"," 747.05"," 757.90"," 733.20"," 736.50"," 737.95"," 746.06"," 1167960"," 8713.72"," 44054"," 344974"," 29.54",27,33,38.04,03/15/2022,F
"LUPIN"," EQ"," 14-Mar-2022"," 747.90"," 755.00"," 761.90"," 737.00"," 745.00"," 745.20"," 745.38"," 1311545"," 9775.94"," 28502"," 362448"," 27.64",46,33,37.82,03/14/2022,F
"LUPIN"," EQ"," 11-Mar-2022"," 739.55"," 738.00"," 754.50"," 737.55"," 746.00"," 747.90"," 747.57"," 1375395"," 10281.99"," 36675"," 477983"," 34.75",38,34,38.40,03/11/2022,F
"LUPIN"," EQ"," 10-Mar-2022"," 739.40"," 744.00"," 752.60"," 737.00"," 739.80"," 739.55"," 742.44"," 926663"," 6879.92"," 25291"," 312893"," 33.77",37,33,38.54,03/10/2022,F
"LUPIN"," EQ"," 09-Mar-2022"," 708.40"," 718.90"," 741.20"," 712.80"," 738.60"," 739.40"," 732.03"," 1971153"," 14429.51"," 55542"," 904697"," 45.90",35,33,38.73,03/09/2022,T
"LUPIN"," EQ"," 08-Mar-2022"," 700.80"," 700.80"," 711.50"," 692.50"," 707.55"," 708.40"," 704.41"," 1448596"," 10204.01"," 44771"," 540658"," 37.32",32,34,39.15,03/08/2022,F
"LUPIN"," EQ"," 04-Mar-2022"," 719.50"," 715.00"," 719.00"," 702.80"," 704.45"," 704.35"," 709.58"," 1472959"," 10451.86"," 69607"," 644739"," 43.77",21,34,39.04,03/04/2022,F
"LUPIN"," EQ"," 03-Mar-2022"," 728.15"," 739.15"," 739.15"," 717.05"," 719.65"," 719.50"," 724.65"," 866031"," 6275.65"," 34702"," 370714"," 42.81",25,34,38.98,03/03/2022,F
"LUPIN"," EQ"," 02-Mar-2022"," 745.85"," 741.00"," 749.35"," 723.00"," 728.60"," 728.15"," 731.68"," 1187558"," 8689.15"," 49034"," 429194"," 36.14",24,34,38.99,03/02/2022,F
"LUPIN"," EQ"," 28-Feb-2022"," 741.95"," 737.00"," 748.65"," 728.90"," 745.35"," 745.85"," 739.13"," 1245957"," 9209.23"," 47028"," 523626"," 42.03",26,34,39.16,02/28/2022,F
"LUPIN"," EQ"," 25-Feb-2022"," 713.20"," 713.75"," 744.00"," 713.75"," 741.55"," 741.95"," 736.41"," 1326234"," 9766.50"," 48200"," 454978"," 34.31",28,34,38.90,02/25/2022,F
"LUPIN"," EQ"," 24-Feb-2022"," 756.00"," 740.00"," 742.00"," 711.00"," 712.90"," 713.20"," 722.95"," 1977871"," 14299.11"," 64647"," 1003908"," 50.76",31,34,38.71,02/24/2022,F
"LUPIN"," EQ"," 23-Feb-2022"," 752.20"," 754.70"," 763.00"," 753.35"," 755.00"," 756.00"," 758.16"," 995845"," 7550.05"," 34755"," 378541"," 38.01",29,35,38.54,02/23/2022,F
"LUPIN"," EQ"," 22-Feb-2022"," 760.75"," 750.00"," 754.85"," 736.30"," 752.55"," 752.20"," 748.13"," 1144344"," 8561.20"," 44854"," 423549"," 37.01",26,35,38.52,02/22/2022,F
"LUPIN"," EQ"," 21-Feb-2022"," 767.75"," 761.80"," 766.40"," 752.85"," 761.25"," 760.75"," 760.00"," 1027437"," 7808.50"," 46844"," 487057"," 47.41",22,35,38.53,02/21/2022,F
"LUPIN"," EQ"," 18-Feb-2022"," 772.30"," 773.85"," 778.80"," 764.80"," 765.05"," 767.75"," 770.62"," 1434385"," 11053.71"," 62439"," 590131"," 41.14",23,35,38.53,02/18/2022,F
"LUPIN"," EQ"," 17-Feb-2022"," 777.40"," 785.30"," 785.30"," 767.05"," 771.40"," 772.30"," 771.59"," 1532083"," 11821.44"," 56175"," 790159"," 51.57",27,35,38.49,02/17/2022,F
"LUPIN"," EQ"," 16-Feb-2022"," 764.20"," 775.45"," 782.20"," 766.60"," 777.20"," 777.40"," 775.17"," 1201353"," 9312.52"," 35960"," 392991"," 32.71",33,35,38.28,02/16/2022,F
"LUPIN"," EQ"," 15-Feb-2022"," 761.35"," 765.45"," 767.80"," 748.00"," 766.50"," 764.20"," 755.43"," 2476433"," 18707.77"," 61682"," 1424344"," 57.52",40,35,38.46,02/15/2022,T
"LUPIN"," EQ"," 14-Feb-2022"," 798.10"," 790.00"," 791.70"," 758.00"," 760.30"," 761.35"," 774.37"," 2849642"," 22066.83"," 102282"," 1428686"," 50.14",28,35,38.21,02/14/2022,F
"LUPIN"," EQ"," 11-Feb-2022"," 806.35"," 805.45"," 805.45"," 791.50"," 795.05"," 798.10"," 796.95"," 1279333"," 10195.68"," 39837"," 616187"," 48.16",32,35,38.07,02/11/2022,F
"LUPIN"," EQ"," 10-Feb-2022"," 800.95"," 808.45"," 812.00"," 800.00"," 806.70"," 806.35"," 805.03"," 1583276"," 12745.85"," 46138"," 770484"," 48.66",34,35,38.03,02/10/2022,F
"LUPIN"," EQ"," 09-Feb-2022"," 787.60"," 796.00"," 804.90"," 786.15"," 804.40"," 800.95"," 794.31"," 2378442"," 18892.20"," 63331"," 989305"," 41.59",38,35,37.82,02/09/2022,T
"LUPIN"," EQ"," 08-Feb-2022"," 804.70"," 804.75"," 810.85"," 784.45"," 786.95"," 787.60"," 793.53"," 3627659"," 28786.72"," 93780"," 1280912"," 35.31",39,35,37.59,02/08/2022,F
"LUPIN"," EQ"," 07-Feb-2022"," 872.20"," 859.00"," 862.90"," 801.55"," 804.00"," 804.70"," 820.12"," 5308221"," 43533.55"," 148893"," 1725501"," 32.51",36,35,37.75,02/07/2022,F
"LUPIN"," EQ"," 04-Feb-2022"," 900.00"," 887.00"," 899.95"," 859.40"," 875.30"," 872.20"," 873.38"," 7628986"," 66630.40"," 167718"," 2932747"," 38.44",45,35,37.65,02/04/2022,T
"LUPIN"," EQ"," 03-Feb-2022"," 913.55"," 906.00"," 913.15"," 896.00"," 896.55"," 900.00"," 902.26"," 1420412"," 12815.83"," 55758"," 679861"," 47.86",25,35,37.64,02/03/2022,F
"LUPIN"," EQ"," 02-Feb-2022"," 904.05"," 913.70"," 918.75"," 904.50"," 914.45"," 913.55"," 911.16"," 1014602"," 9244.61"," 30678"," 338984"," 33.41",33,35,37.57,02/02/2022,F
"LUPIN"," EQ"," 01-Feb-2022"," 908.10"," 922.00"," 923.30"," 900.55"," 903.60"," 904.05"," 911.36"," 1225551"," 11169.19"," 38010"," 456363"," 37.24",32,35,37.87,02/01/2022,F
"LUPIN"," EQ"," 31-Jan-2022"," 899.75"," 900.25"," 914.85"," 890.00"," 909.45"," 908.10"," 905.99"," 1179252"," 10683.94"," 43551"," 507348"," 43.02",27,35,37.92,01/31/2022,F
"LUPIN"," EQ"," 28-Jan-2022"," 888.10"," 893.40"," 922.00"," 889.20"," 900.50"," 899.75"," 903.13"," 1123033"," 10142.44"," 38443"," 374026"," 33.30",29,35,37.71,01/28/2022,F
"LUPIN"," EQ"," 27-Jan-2022"," 915.95"," 913.55"," 913.55"," 881.95"," 887.00"," 888.10"," 889.39"," 1677902"," 14923.07"," 67591"," 836683"," 49.86",25,35,37.57,01/27/2022,F
"LUPIN"," EQ"," 25-Jan-2022"," 922.00"," 911.55"," 930.60"," 908.00"," 915.65"," 915.95"," 917.82"," 1482316"," 13605.06"," 45951"," 524623"," 35.39",32,35,37.52,01/25/2022,F
"LUPIN"," EQ"," 24-Jan-2022"," 903.40"," 898.50"," 933.50"," 898.50"," 919.00"," 922.00"," 920.85"," 2304612"," 21222.07"," 62844"," 549805"," 23.86",37,35,37.59,01/24/2022,F
"LUPIN"," EQ"," 21-Jan-2022"," 939.50"," 937.45"," 937.95"," 897.60"," 908.00"," 903.40"," 913.80"," 1198180"," 10949.00"," 41083"," 530761"," 44.30",29,36,38.14,01/21/2022,F
"LUPIN"," EQ"," 20-Jan-2022"," 959.45"," 958.80"," 959.80"," 934.05"," 939.00"," 939.50"," 941.94"," 965567"," 9095.07"," 27341"," 424747"," 43.99",35,36,38.11,01/20/2022,F
"LUPIN"," EQ"," 19-Jan-2022"," 943.70"," 945.00"," 969.35"," 933.10"," 959.15"," 959.45"," 954.16"," 1270932"," 12126.77"," 36829"," 362015"," 28.48",35,36,38.04,01/19/2022,F
"LUPIN"," EQ"," 18-Jan-2022"," 942.55"," 942.00"," 962.00"," 937.00"," 944.10"," 943.70"," 947.80"," 1620486"," 15358.94"," 42327"," 666920"," 41.16",38,36,38.24,01/18/2022,T
"LUPIN"," EQ"," 17-Jan-2022"," 951.80"," 951.80"," 953.70"," 935.25"," 942.50"," 942.55"," 942.29"," 710204"," 6692.15"," 19303"," 155699"," 21.92",37,37,38.57,01/17/2022,F
"LUPIN"," EQ"," 14-Jan-2022"," 958.95"," 958.95"," 962.85"," 948.55"," 949.20"," 951.80"," 954.65"," 534975"," 5107.15"," 18005"," 185188"," 34.62",30,37,38.86,01/14/2022,F
"LUPIN"," EQ"," 13-Jan-2022"," 952.85"," 954.00"," 971.45"," 952.60"," 957.30"," 958.95"," 963.75"," 1769485"," 17053.34"," 55529"," 394271"," 22.28",32,37,38.93,01/13/2022,F
"LUPIN"," EQ"," 12-Jan-2022"," 946.05"," 948.35"," 954.45"," 937.10"," 953.40"," 952.85"," 947.08"," 902540"," 8547.73"," 27194"," 487069"," 53.97",33,37,39.33,01/12/2022,F
"LUPIN"," EQ"," 11-Jan-2022"," 938.30"," 941.90"," 952.00"," 934.55"," 945.00"," 946.05"," 945.51"," 1160947"," 10976.82"," 35329"," 510512"," 43.97",33,37,39.05,01/11/2022,F
"LUPIN"," EQ"," 10-Jan-2022"," 916.05"," 917.00"," 941.75"," 916.05"," 939.70"," 938.30"," 933.95"," 982302"," 9174.18"," 35224"," 424244"," 43.19",28,37,38.75,01/10/2022,F
"LUPIN"," EQ"," 07-Jan-2022"," 923.15"," 930.00"," 931.15"," 914.00"," 916.00"," 916.05"," 918.55"," 666082"," 6118.32"," 21557"," 263722"," 39.59",31,37,38.91,01/07/2022,F
"LUPIN"," EQ"," 06-Jan-2022"," 932.05"," 932.00"," 941.05"," 921.25"," 923.15"," 923.15"," 929.95"," 637963"," 5932.73"," 14024"," 235154"," 36.86",45,37,39.00,01/06/2022,F
"LUPIN"," EQ"," 05-Jan-2022"," 932.35"," 934.00"," 939.60"," 924.00"," 932.35"," 932.05"," 931.36"," 453467"," 4223.39"," 14739"," 109845"," 24.22",31,37,39.02,01/05/2022,F
"LUPIN"," EQ"," 04-Jan-2022"," 945.25"," 945.30"," 951.15"," 930.00"," 932.00"," 932.35"," 936.98"," 382536"," 3584.29"," 14016"," 127152"," 33.24",27,37,39.48,01/04/2022,F
"LUPIN"," EQ"," 03-Jan-2022"," 950.75"," 951.00"," 957.00"," 942.10"," 944.10"," 945.25"," 947.60"," 773806"," 7332.58"," 16813"," 423053"," 54.67",46,38,39.55,01/03/2022,T
"LUPIN"," EQ"," 31-Dec-2021"," 937.85"," 941.00"," 956.80"," 936.10"," 950.00"," 950.75"," 948.80"," 1433403"," 13600.10"," 30376"," 781197"," 54.50",47,38,39.21,12/31/2021,T
"LUPIN"," EQ"," 30-Dec-2021"," 929.60"," 925.00"," 941.25"," 925.00"," 940.10"," 937.85"," 935.82"," 1055476"," 9877.35"," 30996"," 496619"," 47.05",34,37,38.88,12/30/2021,F
"LUPIN"," EQ"," 29-Dec-2021"," 916.60"," 918.00"," 934.90"," 918.00"," 927.15"," 929.60"," 928.22"," 1206098"," 11195.23"," 38345"," 323304"," 26.81",31,38,38.77,12/29/2021,F
"LUPIN"," EQ"," 28-Dec-2021"," 916.45"," 918.00"," 924.00"," 913.75"," 915.95"," 916.60"," 918.50"," 595298"," 5467.83"," 16403"," 192515"," 32.34",36,38,38.67,12/28/2021,F
"LUPIN"," EQ"," 27-Dec-2021"," 897.75"," 903.80"," 918.00"," 900.00"," 918.00"," 916.45"," 912.16"," 1580113"," 14413.21"," 39775"," 242794"," 15.37",40,38,39.03,12/27/2021,F
"LUPIN"," EQ"," 24-Dec-2021"," 912.45"," 913.95"," 925.70"," 895.60"," 896.00"," 897.75"," 908.36"," 1353165"," 12291.67"," 38493"," 447722"," 33.09",35,38,39.63,12/24/2021,F
"LUPIN"," EQ"," 23-Dec-2021"," 902.35"," 908.00"," 914.10"," 898.75"," 911.55"," 912.45"," 908.36"," 1038358"," 9431.99"," 32998"," 455007"," 43.82",31,38,40.02,12/23/2021,F
