symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"M&M"," EQ"," 25-Mar-2022"," 765.65"," 773.00"," 773.00"," 758.20"," 764.00"," 764.75"," 764.48"," 3148869"," 24072.47"," 77572"," 1820596"," 57.82",41,35,45.75,03/25/2022,T
"M&M"," EQ"," 24-Mar-2022"," 774.10"," 773.70"," 780.00"," 762.65"," 764.00"," 765.65"," 770.18"," 2248114"," 17314.54"," 90868"," 1281369"," 57.00",25,35,45.18,03/24/2022,F
"M&M"," EQ"," 23-Mar-2022"," 785.60"," 790.00"," 794.20"," 772.10"," 775.00"," 774.10"," 779.12"," 3277274"," 25533.77"," 104192"," 1983595"," 60.53",31,35,44.91,03/23/2022,F
"M&M"," EQ"," 22-Mar-2022"," 783.50"," 783.00"," 789.05"," 769.00"," 785.00"," 785.60"," 775.74"," 5436875"," 42176.01"," 76458"," 3716280"," 68.35",71,36,44.77,03/22/2022,T
"M&M"," EQ"," 21-Mar-2022"," 794.40"," 789.60"," 791.10"," 780.10"," 783.00"," 783.50"," 784.56"," 3008019"," 23599.82"," 96872"," 1979916"," 65.82",31,35,44.45,03/21/2022,F
"M&M"," EQ"," 17-Mar-2022"," 773.65"," 785.00"," 799.90"," 777.00"," 792.40"," 794.40"," 790.00"," 3787641"," 29922.37"," 90584"," 2179307"," 57.54",42,35,44.19,03/17/2022,T
"M&M"," EQ"," 16-Mar-2022"," 761.20"," 768.85"," 776.00"," 765.00"," 771.45"," 773.65"," 772.02"," 2277631"," 17583.80"," 51898"," 907018"," 39.82",44,35,44.15,03/16/2022,F
"M&M"," EQ"," 15-Mar-2022"," 743.20"," 745.00"," 769.20"," 745.00"," 760.90"," 761.20"," 760.62"," 4811450"," 36597.02"," 171353"," 2164557"," 44.99",28,35,44.04,03/15/2022,F
"M&M"," EQ"," 14-Mar-2022"," 734.80"," 734.80"," 746.00"," 725.45"," 744.90"," 743.20"," 734.96"," 3563695"," 26191.56"," 81292"," 1735115"," 48.69",44,35,44.03,03/14/2022,T
"M&M"," EQ"," 11-Mar-2022"," 738.85"," 734.00"," 741.80"," 728.70"," 734.25"," 734.80"," 733.94"," 2364792"," 17356.20"," 71772"," 850726"," 35.97",33,35,44.00,03/11/2022,F
"M&M"," EQ"," 10-Mar-2022"," 734.85"," 761.95"," 762.50"," 735.00"," 738.00"," 738.85"," 748.51"," 4064470"," 30422.97"," 114430"," 1886207"," 46.41",36,35,43.89,03/10/2022,T
"M&M"," EQ"," 09-Mar-2022"," 700.65"," 705.00"," 739.90"," 700.00"," 731.00"," 734.85"," 724.03"," 5490287"," 39751.19"," 124663"," 2542498"," 46.31",44,35,43.60,03/09/2022,T
"M&M"," EQ"," 08-Mar-2022"," 690.55"," 690.55"," 703.05"," 671.15"," 700.65"," 700.65"," 689.71"," 4000294"," 27590.55"," 123017"," 1668141"," 41.70",33,35,43.69,03/08/2022,F
"M&M"," EQ"," 04-Mar-2022"," 762.05"," 750.00"," 756.00"," 730.00"," 732.60"," 732.30"," 740.02"," 4829850"," 35741.98"," 177129"," 2500960"," 51.78",27,35,43.95,03/04/2022,F
"M&M"," EQ"," 03-Mar-2022"," 778.35"," 792.00"," 793.15"," 760.05"," 762.50"," 762.05"," 773.41"," 2763929"," 21376.43"," 79859"," 1184165"," 42.84",35,35,43.94,03/03/2022,F
"M&M"," EQ"," 02-Mar-2022"," 790.85"," 785.50"," 810.75"," 769.00"," 784.10"," 778.35"," 786.46"," 5779175"," 45451.06"," 129730"," 2483293"," 42.97",45,35,43.68,03/02/2022,F
"M&M"," EQ"," 28-Feb-2022"," 807.60"," 807.00"," 807.00"," 786.75"," 791.10"," 790.85"," 793.13"," 5026913"," 39869.83"," 140193"," 2790267"," 55.51",36,36,44.09,02/28/2022,F
"M&M"," EQ"," 25-Feb-2022"," 795.80"," 812.70"," 825.00"," 802.00"," 808.00"," 807.60"," 812.21"," 3470318"," 28186.33"," 114280"," 1737367"," 50.06",30,36,43.78,02/25/2022,F
"M&M"," EQ"," 24-Feb-2022"," 850.30"," 818.10"," 831.90"," 790.50"," 796.60"," 795.80"," 809.60"," 5677898"," 45968.04"," 162423"," 3266389"," 57.53",35,36,43.87,02/24/2022,F
"M&M"," EQ"," 23-Feb-2022"," 853.25"," 856.00"," 869.70"," 845.70"," 849.80"," 850.30"," 856.08"," 2265060"," 19390.64"," 104276"," 904320"," 39.92",22,36,43.64,02/23/2022,F
"M&M"," EQ"," 22-Feb-2022"," 841.10"," 827.00"," 856.00"," 823.35"," 855.60"," 853.25"," 839.70"," 2768989"," 23251.33"," 93787"," 1404949"," 50.74",30,36,43.89,02/22/2022,F
"M&M"," EQ"," 21-Feb-2022"," 852.00"," 845.20"," 850.50"," 832.00"," 842.00"," 841.10"," 842.11"," 2255753"," 18995.99"," 101530"," 1133685"," 50.26",22,36,43.96,02/21/2022,F
"M&M"," EQ"," 18-Feb-2022"," 862.25"," 857.20"," 869.75"," 847.15"," 850.00"," 852.00"," 858.64"," 1616856"," 13883.02"," 41067"," 645913"," 39.95",39,36,43.97,02/18/2022,F
"M&M"," EQ"," 17-Feb-2022"," 864.25"," 872.00"," 877.30"," 859.00"," 860.00"," 862.25"," 867.68"," 2041741"," 17715.79"," 46429"," 803144"," 39.34",44,36,44.04,02/17/2022,F
"M&M"," EQ"," 16-Feb-2022"," 854.60"," 854.60"," 878.50"," 854.60"," 861.50"," 864.25"," 871.27"," 4401342"," 38347.38"," 130828"," 1588431"," 36.09",34,36,44.05,02/16/2022,F
"M&M"," EQ"," 15-Feb-2022"," 825.05"," 828.00"," 858.00"," 820.40"," 854.05"," 854.60"," 841.67"," 2728328"," 22963.45"," 89880"," 956533"," 35.06",30,36,44.08,02/15/2022,F
"M&M"," EQ"," 14-Feb-2022"," 853.65"," 841.75"," 845.40"," 780.70"," 821.45"," 825.05"," 826.10"," 4202165"," 34713.96"," 106397"," 1901009"," 45.24",39,36,44.17,02/14/2022,T
