symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MANAPPURAM"," EQ"," 25-Mar-2022"," 117.10"," 117.50"," 118.25"," 113.30"," 114.45"," 114.40"," 114.99"," 6387405"," 7345.01"," 33833"," 2413294"," 37.78",189,168,32.12,03/25/2022,T
"MANAPPURAM"," EQ"," 24-Mar-2022"," 117.20"," 116.00"," 117.95"," 116.00"," 116.90"," 117.10"," 117.09"," 2577467"," 3018.01"," 13612"," 783724"," 30.41",189,167,31.82,03/24/2022,F
"MANAPPURAM"," EQ"," 23-Mar-2022"," 116.65"," 117.00"," 118.80"," 116.50"," 116.75"," 117.20"," 117.69"," 4510532"," 5308.54"," 19464"," 1434648"," 31.81",232,167,31.73,03/23/2022,T
"MANAPPURAM"," EQ"," 22-Mar-2022"," 116.40"," 116.55"," 117.60"," 114.20"," 116.55"," 116.65"," 115.92"," 6702761"," 7769.59"," 26281"," 2387270"," 35.62",255,165,31.75,03/22/2022,T
"MANAPPURAM"," EQ"," 21-Mar-2022"," 118.20"," 119.80"," 119.80"," 116.00"," 116.30"," 116.40"," 116.95"," 4327044"," 5060.30"," 26198"," 1929624"," 44.59",165,162,31.77,03/21/2022,T
"MANAPPURAM"," EQ"," 17-Mar-2022"," 116.75"," 118.00"," 120.50"," 117.90"," 118.35"," 118.20"," 119.06"," 6251606"," 7443.46"," 25248"," 2524928"," 40.39",248,161,31.88,03/17/2022,T
"MANAPPURAM"," EQ"," 16-Mar-2022"," 113.75"," 115.50"," 116.95"," 114.75"," 116.80"," 116.75"," 115.92"," 4331267"," 5020.72"," 19209"," 1587049"," 36.64",225,159,31.89,03/16/2022,T
"MANAPPURAM"," EQ"," 15-Mar-2022"," 114.65"," 114.65"," 117.80"," 113.30"," 113.55"," 113.75"," 115.61"," 7124216"," 8236.41"," 35006"," 2455374"," 34.47",204,158,31.87,03/15/2022,T
"MANAPPURAM"," EQ"," 14-Mar-2022"," 116.85"," 117.00"," 117.80"," 112.90"," 114.85"," 114.65"," 114.45"," 9477183"," 10846.44"," 37903"," 4455988"," 47.02",250,157,31.70,03/14/2022,T
"MANAPPURAM"," EQ"," 11-Mar-2022"," 120.75"," 119.85"," 120.30"," 116.30"," 116.95"," 116.85"," 117.75"," 11574523"," 13628.83"," 42340"," 5931482"," 51.25",273,156,31.66,03/11/2022,T
"MANAPPURAM"," EQ"," 10-Mar-2022"," 121.60"," 124.15"," 124.15"," 119.65"," 120.55"," 120.75"," 122.19"," 7954021"," 9719.26"," 43366"," 3148694"," 39.59",183,154,31.46,03/10/2022,T
"MANAPPURAM"," EQ"," 09-Mar-2022"," 120.45"," 122.75"," 124.40"," 120.70"," 121.25"," 121.60"," 122.31"," 12039926"," 14725.83"," 71298"," 3847014"," 31.95",169,154,31.75,03/09/2022,T
