symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MARICO"," EQ"," 25-Mar-2022"," 482.40"," 486.90"," 486.90"," 473.70"," 478.30"," 478.10"," 477.81"," 1468764"," 7017.89"," 38329"," 899495"," 61.24",38,41,55.95,03/25/2022,F
"MARICO"," EQ"," 24-Mar-2022"," 484.60"," 486.00"," 486.00"," 478.90"," 482.50"," 482.40"," 481.41"," 2941035"," 14158.55"," 83403"," 1851473"," 62.95",35,41,55.48,03/24/2022,F
"MARICO"," EQ"," 23-Mar-2022"," 492.10"," 493.75"," 495.00"," 483.80"," 485.25"," 484.60"," 487.26"," 1755374"," 8553.18"," 30758"," 1225713"," 69.83",57,41,55.21,03/23/2022,T
"MARICO"," EQ"," 22-Mar-2022"," 504.35"," 505.00"," 505.00"," 486.50"," 493.45"," 492.10"," 492.05"," 1143012"," 5624.21"," 34263"," 431912"," 37.79",33,41,54.90,03/22/2022,F
"MARICO"," EQ"," 21-Mar-2022"," 524.10"," 523.00"," 523.85"," 503.10"," 505.80"," 504.35"," 511.36"," 1655968"," 8467.89"," 37712"," 1067706"," 64.48",44,41,55.07,03/21/2022,T
"MARICO"," EQ"," 17-Mar-2022"," 525.45"," 533.40"," 535.00"," 518.50"," 524.95"," 524.10"," 524.58"," 2070981"," 10863.93"," 38381"," 1279250"," 61.77",54,41,54.85,03/17/2022,T
"MARICO"," EQ"," 16-Mar-2022"," 511.45"," 516.95"," 529.90"," 513.20"," 527.70"," 525.45"," 522.31"," 2965305"," 15488.04"," 50142"," 1887088"," 63.64",59,40,54.74,03/16/2022,T
"MARICO"," EQ"," 15-Mar-2022"," 507.10"," 510.00"," 513.80"," 507.25"," 511.70"," 511.45"," 510.61"," 1167973"," 5963.84"," 52435"," 660436"," 56.55",22,40,54.45,03/15/2022,F
"MARICO"," EQ"," 14-Mar-2022"," 507.55"," 508.50"," 510.35"," 504.15"," 507.00"," 507.10"," 507.07"," 1105361"," 5605.00"," 47181"," 799263"," 72.31",23,41,54.63,03/14/2022,F
"MARICO"," EQ"," 11-Mar-2022"," 500.80"," 503.00"," 509.00"," 502.20"," 507.70"," 507.55"," 505.91"," 1575214"," 7969.14"," 34543"," 688737"," 43.72",46,41,54.53,03/11/2022,F
"MARICO"," EQ"," 10-Mar-2022"," 492.60"," 500.00"," 504.90"," 497.90"," 501.30"," 500.80"," 501.29"," 1022074"," 5123.55"," 22879"," 634731"," 62.10",45,41,54.79,03/10/2022,T
"MARICO"," EQ"," 09-Mar-2022"," 490.65"," 495.00"," 498.30"," 487.05"," 493.95"," 492.60"," 493.58"," 2526968"," 12472.72"," 23450"," 2007050"," 79.43",108,41,54.54,03/09/2022,T
"MARICO"," EQ"," 08-Mar-2022"," 481.85"," 482.00"," 492.40"," 478.20"," 488.10"," 490.65"," 484.67"," 1797911"," 8713.95"," 24583"," 1372484"," 76.34",73,40,54.28,03/08/2022,T
"MARICO"," EQ"," 04-Mar-2022"," 511.05"," 507.00"," 510.00"," 499.10"," 502.20"," 501.05"," 502.25"," 2233264"," 11216.61"," 31118"," 1744229"," 78.10",72,39,54.10,03/04/2022,T
"MARICO"," EQ"," 03-Mar-2022"," 512.55"," 512.60"," 518.40"," 509.00"," 512.50"," 511.05"," 512.75"," 1271102"," 6517.60"," 31580"," 751176"," 59.10",40,39,53.74,03/03/2022,T
"MARICO"," EQ"," 02-Mar-2022"," 514.70"," 514.00"," 515.70"," 504.25"," 511.60"," 512.55"," 510.25"," 1985091"," 10128.98"," 49212"," 1168693"," 58.87",40,39,53.79,03/02/2022,T
"MARICO"," EQ"," 28-Feb-2022"," 494.85"," 493.75"," 518.00"," 485.80"," 510.00"," 514.70"," 507.95"," 3050846"," 15496.81"," 38493"," 2079821"," 68.17",79,39,53.94,02/28/2022,T
"MARICO"," EQ"," 25-Feb-2022"," 483.45"," 484.60"," 497.35"," 484.60"," 496.00"," 494.85"," 494.16"," 1460932"," 7219.39"," 35160"," 919003"," 62.91",42,39,53.62,02/25/2022,T
"MARICO"," EQ"," 24-Feb-2022"," 501.00"," 477.00"," 495.45"," 477.00"," 481.10"," 483.45"," 489.25"," 3229880"," 15802.13"," 52965"," 2319275"," 71.81",61,39,53.41,02/24/2022,T
"MARICO"," EQ"," 23-Feb-2022"," 505.35"," 503.00"," 506.45"," 499.70"," 500.40"," 501.00"," 501.76"," 812781"," 4078.20"," 28898"," 489023"," 60.17",28,39,53.25,02/23/2022,F
"MARICO"," EQ"," 22-Feb-2022"," 507.25"," 501.00"," 511.00"," 498.60"," 503.85"," 505.35"," 504.55"," 1586579"," 8005.02"," 30195"," 794070"," 50.05",53,39,53.35,02/22/2022,F
"MARICO"," EQ"," 21-Feb-2022"," 504.75"," 504.00"," 508.90"," 499.00"," 508.90"," 507.25"," 503.99"," 1505281"," 7586.49"," 28061"," 983130"," 65.31",54,38,53.46,02/21/2022,T
"MARICO"," EQ"," 18-Feb-2022"," 506.15"," 506.90"," 507.00"," 500.35"," 505.80"," 504.75"," 503.38"," 1330397"," 6696.91"," 27632"," 890380"," 66.93",48,38,53.22,02/18/2022,T
