symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MARUTI"," EQ"," 23-Mar-2022"," 7766.65"," 7800.00"," 7862.80"," 7611.00"," 7631.00"," 7644.85"," 7683.62"," 808597"," 62129.52"," 94741"," 215844"," 26.69",9,9,35.91,03/23/2022,F
"MARUTI"," EQ"," 22-Mar-2022"," 7705.55"," 7714.95"," 7809.00"," 7536.65"," 7763.95"," 7766.65"," 7686.40"," 1093502"," 84050.93"," 113852"," 253712"," 23.20",10,9,36.06,03/22/2022,F
"MARUTI"," EQ"," 21-Mar-2022"," 7693.00"," 7844.00"," 7940.00"," 7650.00"," 7672.00"," 7705.55"," 7841.59"," 1354525"," 106216.25"," 147370"," 378430"," 27.94",9,9,36.22,03/21/2022,F
"MARUTI"," EQ"," 17-Mar-2022"," 7485.80"," 7574.00"," 7741.95"," 7530.00"," 7686.00"," 7693.00"," 7665.99"," 1133271"," 86876.43"," 110232"," 493430"," 43.54",10,9,36.83,03/17/2022,T
"MARUTI"," EQ"," 16-Mar-2022"," 7420.10"," 7570.00"," 7595.75"," 7440.00"," 7479.70"," 7485.80"," 7497.48"," 584457"," 43819.55"," 60391"," 131592"," 22.52",10,9,36.88,03/16/2022,F
"MARUTI"," EQ"," 15-Mar-2022"," 7316.75"," 7321.00"," 7620.00"," 7318.00"," 7408.00"," 7420.10"," 7492.90"," 1586111"," 118845.69"," 164532"," 515898"," 32.53",10,9,37.02,03/15/2022,F
"MARUTI"," EQ"," 14-Mar-2022"," 7102.55"," 7050.00"," 7335.00"," 7012.00"," 7298.60"," 7316.75"," 7186.66"," 1023874"," 73582.37"," 124653"," 394933"," 38.57",8,9,37.30,03/14/2022,F
"MARUTI"," EQ"," 11-Mar-2022"," 7211.80"," 7200.00"," 7200.00"," 7080.00"," 7099.00"," 7102.55"," 7118.54"," 1024452"," 72925.98"," 116914"," 460164"," 44.92",9,9,37.50,03/11/2022,F
"MARUTI"," EQ"," 10-Mar-2022"," 7026.85"," 7255.00"," 7399.85"," 7177.30"," 7195.75"," 7211.80"," 7270.31"," 1535070"," 111604.38"," 149607"," 609171"," 39.68",10,9,37.30,03/10/2022,T
"MARUTI"," EQ"," 09-Mar-2022"," 6806.30"," 6874.00"," 7078.10"," 6777.00"," 7021.35"," 7026.85"," 6918.36"," 1827539"," 126435.76"," 174151"," 813220"," 44.50",10,9,37.21,03/09/2022,T
"MARUTI"," EQ"," 08-Mar-2022"," 6769.05"," 6705.00"," 6855.00"," 6536.55"," 6803.00"," 6806.30"," 6646.61"," 2840376"," 188788.62"," 236017"," 1413290"," 49.76",12,9,36.83,03/08/2022,T
"MARUTI"," EQ"," 04-Mar-2022"," 7595.55"," 7482.00"," 7519.20"," 7130.00"," 7235.00"," 7247.30"," 7261.25"," 2511658"," 182377.73"," 259318"," 1221039"," 48.61",10,9,36.49,03/04/2022,T
"MARUTI"," EQ"," 03-Mar-2022"," 7814.20"," 7924.00"," 7939.95"," 7558.50"," 7608.00"," 7595.55"," 7701.54"," 1050154"," 80878.03"," 132535"," 359985"," 34.28",8,9,36.25,03/03/2022,F
"MARUTI"," EQ"," 02-Mar-2022"," 8314.15"," 8197.70"," 8199.00"," 7764.00"," 7815.15"," 7814.20"," 7918.44"," 1783011"," 141186.69"," 202170"," 869422"," 48.76",9,9,36.21,03/02/2022,F
"MARUTI"," EQ"," 28-Feb-2022"," 8356.10"," 8300.00"," 8339.95"," 8114.10"," 8304.90"," 8314.15"," 8241.60"," 961303"," 79226.73"," 122221"," 497971"," 51.80",8,9,36.32,02/28/2022,F
"MARUTI"," EQ"," 25-Feb-2022"," 8210.15"," 8260.00"," 8466.00"," 8209.55"," 8355.40"," 8356.10"," 8333.04"," 1344343"," 112024.66"," 129963"," 620734"," 46.17",10,9,36.25,02/25/2022,T
"MARUTI"," EQ"," 24-Feb-2022"," 8698.85"," 8402.00"," 8587.25"," 8155.00"," 8195.00"," 8210.15"," 8334.67"," 947351"," 78958.55"," 141883"," 400535"," 42.28",7,9,36.28,02/24/2022,F
"MARUTI"," EQ"," 23-Feb-2022"," 8622.80"," 8690.00"," 8789.95"," 8655.20"," 8690.00"," 8698.85"," 8731.99"," 557954"," 48720.48"," 85991"," 210776"," 37.78",6,9,36.63,02/23/2022,F
"MARUTI"," EQ"," 22-Feb-2022"," 8612.70"," 8495.00"," 8659.80"," 8384.85"," 8642.00"," 8622.80"," 8522.96"," 620828"," 52912.94"," 96897"," 255565"," 41.17",6,9,36.75,02/22/2022,F
"MARUTI"," EQ"," 21-Feb-2022"," 8569.10"," 8544.05"," 8724.25"," 8443.60"," 8606.00"," 8612.70"," 8610.76"," 626049"," 53907.61"," 70754"," 221789"," 35.43",9,9,36.76,02/21/2022,F
"MARUTI"," EQ"," 18-Feb-2022"," 8552.45"," 8550.00"," 8645.95"," 8520.05"," 8544.05"," 8569.10"," 8592.96"," 385273"," 33106.34"," 52373"," 138062"," 35.83",7,9,36.80,02/18/2022,F
"MARUTI"," EQ"," 17-Feb-2022"," 8582.95"," 8575.00"," 8658.30"," 8525.00"," 8541.00"," 8552.45"," 8574.04"," 305313"," 26177.65"," 33791"," 53201"," 17.43",9,9,36.81,02/17/2022,F
"MARUTI"," EQ"," 16-Feb-2022"," 8622.70"," 8720.00"," 8736.40"," 8544.00"," 8566.00"," 8582.95"," 8617.72"," 422704"," 36427.45"," 53955"," 110602"," 26.17",8,9,36.92,02/16/2022,F
"MARUTI"," EQ"," 15-Feb-2022"," 8366.40"," 8410.00"," 8664.25"," 8356.50"," 8610.00"," 8622.70"," 8497.26"," 682766"," 58016.44"," 87718"," 211964"," 31.04",8,9,37.08,02/15/2022,F
"MARUTI"," EQ"," 14-Feb-2022"," 8737.15"," 8500.00"," 8615.05"," 8325.00"," 8361.00"," 8366.40"," 8441.82"," 995540"," 84041.71"," 105940"," 450692"," 45.27",9,9,36.97,02/14/2022,F
"MARUTI"," EQ"," 11-Feb-2022"," 8805.45"," 8738.00"," 8865.00"," 8673.30"," 8732.00"," 8737.15"," 8776.48"," 671572"," 58940.41"," 77804"," 229313"," 34.15",9,9,37.04,02/11/2022,F
