symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MCDOWELL-N"," EQ"," 23-Mar-2022"," 916.15"," 917.00"," 925.95"," 901.25"," 906.00"," 904.10"," 912.28"," 1478958"," 13492.28"," 32107"," 772790"," 52.25",46,37,41.36,03/23/2022,T
"MCDOWELL-N"," EQ"," 22-Mar-2022"," 904.95"," 904.50"," 918.20"," 886.20"," 915.50"," 916.15"," 903.34"," 1029613"," 9300.95"," 36045"," 362622"," 35.22",29,37,40.94,03/22/2022,F
"MCDOWELL-N"," EQ"," 21-Mar-2022"," 919.55"," 922.55"," 934.90"," 902.00"," 902.65"," 904.95"," 916.01"," 2156745"," 19756.01"," 66276"," 1086784"," 50.39",33,37,40.92,03/21/2022,F
"MCDOWELL-N"," EQ"," 17-Mar-2022"," 877.25"," 889.25"," 922.00"," 885.75"," 921.00"," 919.55"," 909.15"," 3898848"," 35446.33"," 90943"," 1613212"," 41.38",43,37,40.85,03/17/2022,T
"MCDOWELL-N"," EQ"," 16-Mar-2022"," 858.25"," 867.00"," 889.45"," 866.00"," 880.50"," 877.25"," 879.60"," 1966583"," 17298.04"," 57297"," 729610"," 37.10",34,37,40.94,03/16/2022,F
"MCDOWELL-N"," EQ"," 15-Mar-2022"," 854.90"," 854.80"," 865.90"," 851.00"," 855.65"," 858.25"," 858.22"," 1356249"," 11639.57"," 39557"," 586674"," 43.26",34,37,40.94,03/15/2022,F
"MCDOWELL-N"," EQ"," 14-Mar-2022"," 851.85"," 855.00"," 862.95"," 848.00"," 856.00"," 854.90"," 856.35"," 1081248"," 9259.24"," 31062"," 378523"," 35.01",35,37,40.84,03/14/2022,F
"MCDOWELL-N"," EQ"," 11-Mar-2022"," 846.55"," 839.00"," 856.00"," 838.30"," 851.10"," 851.85"," 849.66"," 1025573"," 8713.85"," 32144"," 343336"," 33.48",32,37,41.04,03/11/2022,F
"MCDOWELL-N"," EQ"," 10-Mar-2022"," 817.10"," 829.00"," 860.70"," 825.15"," 842.65"," 846.55"," 848.17"," 2544833"," 21584.56"," 64786"," 1321298"," 51.92",39,37,41.09,03/10/2022,T
"MCDOWELL-N"," EQ"," 09-Mar-2022"," 789.10"," 790.90"," 822.00"," 782.80"," 819.00"," 817.10"," 808.06"," 1993280"," 16106.84"," 54863"," 866881"," 43.49",36,37,40.93,03/09/2022,F
"MCDOWELL-N"," EQ"," 08-Mar-2022"," 775.00"," 772.00"," 791.45"," 766.10"," 788.45"," 789.10"," 777.58"," 2322268"," 18057.49"," 134669"," 1293313"," 55.69",17,37,40.81,03/08/2022,F
