symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MCX"," EQ"," 25-Mar-2022"," 1422.70"," 1440.00"," 1487.80"," 1424.65"," 1441.00"," 1443.20"," 1458.56"," 1745667"," 25461.65"," 87966"," 255072"," 14.61",20,18,32.95,03/25/2022,F
"MCX"," EQ"," 24-Mar-2022"," 1401.80"," 1400.00"," 1425.00"," 1400.00"," 1419.95"," 1422.70"," 1416.12"," 248408"," 3517.76"," 15778"," 75273"," 30.30",16,18,33.05,03/24/2022,F
"MCX"," EQ"," 23-Mar-2022"," 1419.50"," 1423.60"," 1439.00"," 1395.00"," 1399.65"," 1401.80"," 1414.30"," 290000"," 4101.46"," 19259"," 118729"," 40.94",15,18,33.00,03/23/2022,F
"MCX"," EQ"," 22-Mar-2022"," 1439.30"," 1446.00"," 1448.65"," 1410.00"," 1418.00"," 1419.50"," 1423.83"," 486754"," 6930.55"," 29481"," 249274"," 51.21",17,18,32.64,03/22/2022,F
"MCX"," EQ"," 21-Mar-2022"," 1426.65"," 1430.00"," 1455.00"," 1413.60"," 1437.05"," 1439.30"," 1436.33"," 619881"," 8903.51"," 29631"," 192446"," 31.05",21,18,32.22,03/21/2022,F
"MCX"," EQ"," 17-Mar-2022"," 1412.80"," 1421.50"," 1433.95"," 1408.55"," 1423.00"," 1426.65"," 1421.79"," 549522"," 7813.07"," 19727"," 221633"," 40.33",28,18,32.11,03/17/2022,T
"MCX"," EQ"," 16-Mar-2022"," 1369.90"," 1380.40"," 1418.80"," 1380.40"," 1409.05"," 1412.80"," 1402.44"," 749522"," 10511.63"," 33581"," 281318"," 37.53",22,18,31.90,03/16/2022,T
"MCX"," EQ"," 15-Mar-2022"," 1406.10"," 1419.00"," 1419.00"," 1351.50"," 1361.60"," 1369.90"," 1377.85"," 700302"," 9649.08"," 38821"," 208796"," 29.82",18,18,31.57,03/15/2022,F
"MCX"," EQ"," 14-Mar-2022"," 1388.65"," 1395.80"," 1427.20"," 1389.50"," 1407.00"," 1406.10"," 1410.52"," 875466"," 12348.59"," 42263"," 165139"," 18.86",21,18,31.42,03/14/2022,F
"MCX"," EQ"," 11-Mar-2022"," 1328.75"," 1324.50"," 1419.65"," 1316.70"," 1388.00"," 1388.65"," 1388.20"," 2064491"," 28659.27"," 116432"," 360194"," 17.45",18,18,31.59,03/11/2022,F
