symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"METROPOLIS"," EQ"," 23-Mar-2022"," 2002.85"," 2023.90"," 2048.35"," 1971.00"," 1980.00"," 1989.25"," 2014.55"," 221975"," 4471.80"," 21669"," 64170"," 28.91",10,13,36.63,03/23/2022,F
"METROPOLIS"," EQ"," 22-Mar-2022"," 2008.30"," 2011.00"," 2011.35"," 1925.00"," 2010.00"," 2002.85"," 1973.80"," 186681"," 3684.71"," 15536"," 48150"," 25.79",12,13,36.81,03/22/2022,F
"METROPOLIS"," EQ"," 21-Mar-2022"," 1996.35"," 2008.00"," 2034.00"," 1986.05"," 2011.00"," 2008.30"," 2010.07"," 246083"," 4946.43"," 17991"," 134005"," 54.46",14,13,36.91,03/21/2022,T
"METROPOLIS"," EQ"," 17-Mar-2022"," 1972.65"," 2011.00"," 2053.95"," 1984.60"," 1989.00"," 1996.35"," 2011.91"," 281611"," 5665.76"," 26038"," 91186"," 32.38",11,13,36.36,03/17/2022,F
"METROPOLIS"," EQ"," 16-Mar-2022"," 1874.25"," 1911.55"," 1985.00"," 1901.00"," 1975.75"," 1972.65"," 1953.50"," 249601"," 4875.96"," 18924"," 50049"," 20.05",13,13,36.12,03/16/2022,F
"METROPOLIS"," EQ"," 15-Mar-2022"," 1884.55"," 1885.00"," 1989.90"," 1850.00"," 1877.00"," 1874.25"," 1938.17"," 365313"," 7080.38"," 32687"," 66531"," 18.21",11,13,36.54,03/15/2022,F
"METROPOLIS"," EQ"," 14-Mar-2022"," 1895.90"," 1909.90"," 1911.80"," 1858.00"," 1885.00"," 1884.55"," 1881.65"," 86434"," 1626.38"," 10550"," 29340"," 33.94",8,13,36.74,03/14/2022,F
"METROPOLIS"," EQ"," 11-Mar-2022"," 1915.40"," 1902.00"," 1943.70"," 1891.40"," 1901.00"," 1895.90"," 1913.00"," 119207"," 2280.43"," 9712"," 33496"," 28.10",12,13,37.13,03/11/2022,F
"METROPOLIS"," EQ"," 10-Mar-2022"," 1935.50"," 1978.90"," 1988.80"," 1906.60"," 1909.55"," 1915.40"," 1939.72"," 133484"," 2589.21"," 11844"," 53357"," 39.97",11,13,37.12,03/10/2022,F
"METROPOLIS"," EQ"," 09-Mar-2022"," 1894.25"," 1912.05"," 1959.90"," 1883.10"," 1950.00"," 1935.50"," 1929.02"," 297633"," 5741.40"," 22786"," 171049"," 57.47",13,13,36.88,03/09/2022,F
"METROPOLIS"," EQ"," 08-Mar-2022"," 1864.70"," 1879.90"," 1908.85"," 1868.30"," 1894.60"," 1894.25"," 1893.87"," 140097"," 2653.26"," 10604"," 58215"," 41.55",13,13,36.54,03/08/2022,F
"METROPOLIS"," EQ"," 04-Mar-2022"," 1955.70"," 1950.00"," 1953.75"," 1854.00"," 1873.50"," 1895.70"," 1899.88"," 368273"," 6996.74"," 28752"," 174429"," 47.36",13,13,35.93,03/04/2022,F
"METROPOLIS"," EQ"," 03-Mar-2022"," 1961.85"," 1975.15"," 1994.50"," 1950.00"," 1950.00"," 1955.70"," 1966.33"," 160488"," 3155.72"," 12285"," 75253"," 46.89",13,13,35.56,03/03/2022,F
"METROPOLIS"," EQ"," 02-Mar-2022"," 1956.70"," 1950.00"," 2000.00"," 1928.50"," 1956.05"," 1961.85"," 1959.03"," 215380"," 4219.37"," 21262"," 81500"," 37.84",10,13,35.19,03/02/2022,F
"METROPOLIS"," EQ"," 28-Feb-2022"," 1982.80"," 1975.00"," 1975.00"," 1912.00"," 1959.25"," 1956.70"," 1944.23"," 305217"," 5934.12"," 19990"," 134189"," 43.97",15,13,34.72,02/28/2022,T
"METROPOLIS"," EQ"," 25-Feb-2022"," 1998.15"," 2049.00"," 2060.65"," 1972.30"," 1987.00"," 1982.80"," 2008.98"," 657745"," 13213.97"," 21023"," 283912"," 43.16",31,13,34.25,02/25/2022,T
"METROPOLIS"," EQ"," 24-Feb-2022"," 2086.50"," 2027.40"," 2073.20"," 1972.00"," 1986.45"," 1998.15"," 2023.62"," 449428"," 9094.73"," 24103"," 185363"," 41.24",19,13,33.92,02/24/2022,T
"METROPOLIS"," EQ"," 23-Feb-2022"," 2033.30"," 2064.00"," 2144.15"," 2055.00"," 2086.60"," 2086.50"," 2096.97"," 599949"," 12580.75"," 35178"," 138087"," 23.02",17,13,33.70,02/23/2022,F
"METROPOLIS"," EQ"," 22-Feb-2022"," 1976.10"," 1960.00"," 2070.00"," 1933.10"," 2041.80"," 2033.30"," 2017.63"," 762070"," 15375.75"," 31430"," 268787"," 35.27",24,13,33.63,02/22/2022,T
"METROPOLIS"," EQ"," 21-Feb-2022"," 2000.50"," 1982.00"," 2023.75"," 1925.10"," 1979.95"," 1976.10"," 1987.60"," 478572"," 9512.08"," 24781"," 185638"," 38.79",19,13,34.14,02/21/2022,T
"METROPOLIS"," EQ"," 18-Feb-2022"," 2009.15"," 1997.00"," 2020.70"," 1981.00"," 1989.35"," 2000.50"," 2002.70"," 318442"," 6377.44"," 20208"," 102250"," 32.11",16,13,34.28,02/18/2022,F
"METROPOLIS"," EQ"," 17-Feb-2022"," 1987.00"," 2005.05"," 2059.00"," 1970.05"," 2004.00"," 2009.15"," 2020.62"," 1183672"," 23917.56"," 62829"," 483340"," 40.83",19,13,34.32,02/17/2022,T
"METROPOLIS"," EQ"," 16-Feb-2022"," 1968.90"," 2010.00"," 2033.00"," 1943.00"," 1980.15"," 1987.00"," 1976.24"," 1220154"," 24113.17"," 55960"," 570518"," 46.76",22,13,34.57,02/16/2022,T
"METROPOLIS"," EQ"," 15-Feb-2022"," 2051.30"," 2060.00"," 2130.50"," 1871.00"," 1992.50"," 1968.90"," 1948.95"," 2447671"," 47703.91"," 177011"," 861999"," 35.22",14,12,34.16,02/15/2022,T
"METROPOLIS"," EQ"," 14-Feb-2022"," 2421.65"," 2259.00"," 2297.95"," 1938.60"," 2040.00"," 2051.30"," 2088.53"," 2035126"," 42504.23"," 126620"," 568152"," 27.92",16,13,34.33,02/14/2022,F
"METROPOLIS"," EQ"," 11-Feb-2022"," 2460.55"," 2448.00"," 2448.00"," 2363.75"," 2399.90"," 2421.65"," 2403.27"," 197768"," 4752.89"," 16515"," 74281"," 37.56",12,13,34.44,02/11/2022,F
"METROPOLIS"," EQ"," 10-Feb-2022"," 2456.70"," 2456.70"," 2498.00"," 2431.95"," 2459.00"," 2460.55"," 2462.75"," 71844"," 1769.34"," 8433"," 29013"," 40.38",9,13,34.70,02/10/2022,F
"METROPOLIS"," EQ"," 09-Feb-2022"," 2433.60"," 2459.55"," 2512.00"," 2428.05"," 2452.45"," 2456.70"," 2467.02"," 110569"," 2727.76"," 13884"," 46915"," 42.43",8,13,34.62,02/09/2022,F
"METROPOLIS"," EQ"," 08-Feb-2022"," 2529.70"," 2528.80"," 2567.25"," 2415.25"," 2429.00"," 2433.60"," 2475.13"," 237471"," 5877.71"," 13794"," 153338"," 64.57",17,13,34.53,02/08/2022,T
"METROPOLIS"," EQ"," 07-Feb-2022"," 2586.70"," 2588.00"," 2599.60"," 2480.00"," 2526.00"," 2529.70"," 2531.61"," 122857"," 3110.26"," 14006"," 60540"," 49.28",9,13,34.25,02/07/2022,F
"METROPOLIS"," EQ"," 04-Feb-2022"," 2560.40"," 2545.00"," 2620.00"," 2505.25"," 2592.00"," 2586.70"," 2580.73"," 126659"," 3268.73"," 12724"," 43054"," 33.99",10,13,34.10,02/04/2022,F
"METROPOLIS"," EQ"," 03-Feb-2022"," 2631.40"," 2640.00"," 2653.00"," 2550.00"," 2551.20"," 2560.40"," 2596.94"," 131411"," 3412.66"," 16059"," 57690"," 43.90",8,13,34.10,02/03/2022,F
"METROPOLIS"," EQ"," 02-Feb-2022"," 2544.10"," 2575.10"," 2651.00"," 2561.20"," 2640.00"," 2631.40"," 2628.94"," 331004"," 8701.91"," 20396"," 116696"," 35.26",16,13,34.00,02/02/2022,T
"METROPOLIS"," EQ"," 01-Feb-2022"," 2513.10"," 2544.95"," 2593.20"," 2504.10"," 2563.70"," 2544.10"," 2545.45"," 871765"," 22190.31"," 27429"," 416193"," 47.74",32,13,33.70,02/01/2022,T
"METROPOLIS"," EQ"," 31-Jan-2022"," 2520.00"," 2519.00"," 2546.75"," 2380.00"," 2518.00"," 2513.10"," 2503.48"," 317814"," 7956.40"," 16840"," 101808"," 32.03",19,13,33.34,01/31/2022,F
"METROPOLIS"," EQ"," 28-Jan-2022"," 2450.15"," 2460.05"," 2562.70"," 2460.05"," 2519.85"," 2520.00"," 2529.08"," 171863"," 4346.55"," 18143"," 61853"," 35.99",9,12,33.36,01/28/2022,F
"METROPOLIS"," EQ"," 27-Jan-2022"," 2539.95"," 2526.70"," 2546.85"," 2428.25"," 2457.65"," 2450.15"," 2466.90"," 183632"," 4530.01"," 15101"," 63566"," 34.62",12,13,33.22,01/27/2022,F
"METROPOLIS"," EQ"," 25-Jan-2022"," 2535.55"," 2490.00"," 2555.00"," 2457.70"," 2525.00"," 2539.95"," 2521.34"," 174601"," 4402.28"," 15984"," 39732"," 22.76",11,13,33.05,01/25/2022,F
"METROPOLIS"," EQ"," 24-Jan-2022"," 2658.25"," 2629.95"," 2674.30"," 2513.55"," 2534.85"," 2535.55"," 2559.35"," 285835"," 7315.52"," 32073"," 82828"," 28.98",9,13,33.40,01/24/2022,F
"METROPOLIS"," EQ"," 21-Jan-2022"," 2725.10"," 2700.00"," 2765.05"," 2645.05"," 2657.00"," 2658.25"," 2705.34"," 337882"," 9140.85"," 27951"," 124775"," 36.93",12,13,33.96,01/21/2022,F
"METROPOLIS"," EQ"," 20-Jan-2022"," 2780.90"," 2800.70"," 2840.95"," 2715.00"," 2730.00"," 2725.10"," 2777.93"," 263895"," 7330.82"," 23339"," 77584"," 29.40",11,13,33.91,01/20/2022,F
