symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MFSL"," EQ"," 25-Mar-2022"," 747.65"," 749.00"," 753.75"," 728.05"," 736.00"," 732.10"," 741.44"," 427695"," 3171.09"," 14929"," 176862"," 41.35",29,28,55.55,03/25/2022,F
"MFSL"," EQ"," 24-Mar-2022"," 770.00"," 752.20"," 768.35"," 744.75"," 745.00"," 747.65"," 751.88"," 731750"," 5501.92"," 24904"," 279893"," 38.25",29,27,55.19,03/24/2022,F
"MFSL"," EQ"," 23-Mar-2022"," 784.05"," 787.95"," 795.00"," 765.00"," 766.00"," 770.00"," 772.65"," 592082"," 4574.74"," 19911"," 309909"," 52.34",30,27,55.09,03/23/2022,F
"MFSL"," EQ"," 22-Mar-2022"," 778.55"," 782.60"," 794.00"," 769.15"," 783.25"," 784.05"," 785.15"," 577994"," 4538.12"," 21197"," 261339"," 45.21",27,27,55.16,03/22/2022,F
"MFSL"," EQ"," 21-Mar-2022"," 805.10"," 805.00"," 805.00"," 766.35"," 779.50"," 778.55"," 776.47"," 767844"," 5962.09"," 21497"," 252112"," 32.83",36,27,55.20,03/21/2022,F
"MFSL"," EQ"," 17-Mar-2022"," 780.90"," 787.20"," 814.50"," 787.20"," 811.00"," 805.10"," 798.63"," 990944"," 7914.02"," 30868"," 516620"," 52.13",32,27,55.58,03/17/2022,F
"MFSL"," EQ"," 16-Mar-2022"," 774.40"," 779.10"," 800.00"," 776.25"," 778.95"," 780.90"," 785.70"," 314597"," 2471.79"," 13865"," 154735"," 49.19",23,27,55.38,03/16/2022,F
"MFSL"," EQ"," 15-Mar-2022"," 779.40"," 783.00"," 799.75"," 766.40"," 770.90"," 774.40"," 778.95"," 672260"," 5236.55"," 20087"," 422393"," 62.83",33,26,54.91,03/15/2022,T
"MFSL"," EQ"," 14-Mar-2022"," 787.60"," 786.00"," 786.00"," 770.50"," 778.00"," 779.40"," 778.68"," 165085"," 1285.49"," 12342"," 55612"," 33.69",13,26,54.79,03/14/2022,F
"MFSL"," EQ"," 11-Mar-2022"," 773.60"," 768.00"," 791.25"," 767.85"," 783.00"," 787.60"," 778.49"," 412172"," 3208.73"," 21573"," 219757"," 53.32",19,26,55.12,03/11/2022,F
"MFSL"," EQ"," 10-Mar-2022"," 785.00"," 803.00"," 805.45"," 765.70"," 770.00"," 773.60"," 788.77"," 347901"," 2744.14"," 14447"," 165315"," 47.52",24,27,55.25,03/10/2022,F
"MFSL"," EQ"," 09-Mar-2022"," 774.50"," 774.50"," 796.95"," 771.00"," 780.00"," 785.00"," 783.35"," 762769"," 5975.18"," 24139"," 465027"," 60.97",32,27,55.12,03/09/2022,T
"MFSL"," EQ"," 08-Mar-2022"," 779.15"," 772.10"," 786.15"," 756.00"," 774.00"," 774.50"," 771.92"," 316217"," 2440.93"," 12216"," 174281"," 55.11",26,27,55.17,03/08/2022,F
"MFSL"," EQ"," 04-Mar-2022"," 815.60"," 806.00"," 811.85"," 781.15"," 783.35"," 789.55"," 797.85"," 383707"," 3061.41"," 22245"," 196536"," 51.22",17,28,55.84,03/04/2022,F
"MFSL"," EQ"," 03-Mar-2022"," 853.55"," 859.00"," 861.10"," 812.05"," 812.55"," 815.60"," 831.21"," 309571"," 2573.17"," 15399"," 118012"," 38.12",20,28,55.54,03/03/2022,F
"MFSL"," EQ"," 02-Mar-2022"," 829.80"," 815.50"," 859.00"," 815.50"," 855.10"," 853.55"," 840.92"," 891755"," 7498.94"," 19400"," 537558"," 60.28",46,28,55.45,03/02/2022,T
"MFSL"," EQ"," 28-Feb-2022"," 817.80"," 817.80"," 847.05"," 795.25"," 838.00"," 829.80"," 827.55"," 838877"," 6942.09"," 31981"," 542368"," 64.65",26,28,55.01,02/28/2022,F
"MFSL"," EQ"," 25-Feb-2022"," 809.75"," 828.00"," 842.90"," 810.70"," 814.00"," 817.80"," 826.76"," 608971"," 5034.70"," 22013"," 317601"," 52.15",28,28,54.82,02/25/2022,F
"MFSL"," EQ"," 24-Feb-2022"," 831.80"," 815.00"," 818.05"," 802.00"," 814.00"," 809.75"," 807.64"," 915583"," 7394.66"," 33236"," 598016"," 65.32",28,28,54.76,02/24/2022,F
