symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MGL"," EQ"," 23-Mar-2022"," 753.05"," 759.80"," 794.90"," 757.15"," 770.50"," 771.30"," 781.22"," 1806388"," 14111.86"," 45200"," 288481"," 15.97",40,30,45.98,03/23/2022,F
"MGL"," EQ"," 22-Mar-2022"," 763.20"," 769.00"," 769.00"," 746.35"," 754.00"," 753.05"," 754.29"," 334753"," 2525.03"," 11890"," 135721"," 40.54",28,29,46.84,03/22/2022,F
"MGL"," EQ"," 21-Mar-2022"," 768.55"," 770.00"," 775.00"," 760.25"," 763.00"," 763.20"," 766.35"," 413269"," 3167.08"," 15005"," 190290"," 46.05",28,29,47.14,03/21/2022,F
"MGL"," EQ"," 17-Mar-2022"," 768.85"," 778.40"," 782.85"," 766.95"," 768.25"," 768.55"," 772.64"," 518355"," 4005.00"," 14357"," 202255"," 39.02",36,29,47.28,03/17/2022,F
"MGL"," EQ"," 16-Mar-2022"," 753.50"," 756.10"," 776.95"," 756.10"," 765.90"," 768.85"," 768.03"," 572420"," 4396.37"," 16327"," 198961"," 34.76",35,29,47.62,03/16/2022,F
"MGL"," EQ"," 15-Mar-2022"," 793.40"," 790.00"," 792.85"," 751.20"," 754.00"," 753.50"," 772.25"," 682830"," 5273.18"," 22103"," 208933"," 30.60",31,29,47.77,03/15/2022,F
"MGL"," EQ"," 14-Mar-2022"," 750.00"," 760.90"," 797.00"," 755.55"," 790.00"," 793.40"," 779.22"," 3300995"," 25722.01"," 83245"," 807505"," 24.46",40,29,48.11,03/14/2022,F
"MGL"," EQ"," 11-Mar-2022"," 760.00"," 760.00"," 762.05"," 744.10"," 749.00"," 750.00"," 750.21"," 697058"," 5229.41"," 23533"," 350461"," 50.28",30,29,48.59,03/11/2022,T
"MGL"," EQ"," 10-Mar-2022"," 758.20"," 768.00"," 772.15"," 755.00"," 759.00"," 760.00"," 763.60"," 431173"," 3292.42"," 17822"," 124597"," 28.90",24,29,48.67,03/10/2022,F
"MGL"," EQ"," 09-Mar-2022"," 761.85"," 775.00"," 778.80"," 748.80"," 757.45"," 758.20"," 756.97"," 661284"," 5005.75"," 25509"," 201210"," 30.43",26,29,49.19,03/09/2022,F
"MGL"," EQ"," 08-Mar-2022"," 713.70"," 722.75"," 777.25"," 720.05"," 759.00"," 761.85"," 757.12"," 2481243"," 18786.00"," 70012"," 423730"," 17.08",35,29,49.78,03/08/2022,F
"MGL"," EQ"," 04-Mar-2022"," 727.10"," 723.10"," 728.35"," 712.00"," 718.00"," 716.35"," 719.59"," 423324"," 3046.19"," 20581"," 200435"," 47.35",21,29,50.57,03/04/2022,F
"MGL"," EQ"," 03-Mar-2022"," 725.90"," 734.00"," 736.55"," 722.50"," 727.00"," 727.10"," 730.13"," 364817"," 2663.64"," 18524"," 176460"," 48.37",20,29,50.34,03/03/2022,F
"MGL"," EQ"," 02-Mar-2022"," 727.65"," 725.00"," 743.40"," 720.35"," 727.00"," 725.90"," 731.05"," 489824"," 3580.87"," 30972"," 186416"," 38.06",16,29,50.63,03/02/2022,F
"MGL"," EQ"," 28-Feb-2022"," 701.90"," 699.00"," 730.00"," 690.60"," 726.85"," 727.65"," 716.28"," 569000"," 4075.65"," 22484"," 237731"," 41.78",25,29,50.88,02/28/2022,F
"MGL"," EQ"," 25-Feb-2022"," 681.30"," 693.95"," 716.65"," 690.30"," 702.65"," 701.90"," 703.33"," 1073132"," 7547.62"," 39162"," 634484"," 59.12",27,29,50.88,02/25/2022,F
"MGL"," EQ"," 24-Feb-2022"," 747.75"," 725.00"," 739.50"," 680.00"," 684.00"," 681.30"," 705.39"," 887399"," 6259.63"," 34133"," 373517"," 42.09",26,29,50.52,02/24/2022,F
