symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"MINDTREE"," EQ"," 25-Mar-2022"," 4277.50"," 4305.00"," 4323.00"," 4247.00"," 4276.00"," 4281.35"," 4287.85"," 711241"," 30496.91"," 55247"," 172216"," 24.21",13,13,27.98,03/25/2022,F
"MINDTREE"," EQ"," 24-Mar-2022"," 4102.60"," 4075.00"," 4288.00"," 4075.00"," 4280.00"," 4277.50"," 4194.97"," 1077491"," 45200.45"," 84211"," 376162"," 34.91",13,13,27.87,03/24/2022,F
"MINDTREE"," EQ"," 23-Mar-2022"," 4034.40"," 4052.00"," 4128.95"," 4045.00"," 4095.00"," 4102.60"," 4098.09"," 681813"," 27941.30"," 59290"," 214216"," 31.42",12,13,27.68,03/23/2022,F
"MINDTREE"," EQ"," 22-Mar-2022"," 3975.95"," 3956.00"," 4045.00"," 3956.00"," 4032.45"," 4034.40"," 4011.48"," 422680"," 16955.71"," 32007"," 89002"," 21.06",13,13,27.52,03/22/2022,F
"MINDTREE"," EQ"," 21-Mar-2022"," 3986.85"," 4036.90"," 4044.95"," 3940.65"," 3956.60"," 3975.95"," 3991.70"," 593894"," 23706.49"," 36339"," 205521"," 34.61",16,13,27.60,03/21/2022,T
"MINDTREE"," EQ"," 17-Mar-2022"," 3948.75"," 4020.00"," 4079.00"," 3970.35"," 4000.00"," 3986.85"," 4026.09"," 681280"," 27428.94"," 50776"," 257518"," 37.80",13,13,27.38,03/17/2022,F
"MINDTREE"," EQ"," 16-Mar-2022"," 3884.15"," 3960.10"," 3962.35"," 3880.10"," 3945.00"," 3948.75"," 3927.56"," 845286"," 33199.09"," 64818"," 354913"," 41.99",13,13,27.13,03/16/2022,F
"MINDTREE"," EQ"," 15-Mar-2022"," 4125.05"," 4160.00"," 4160.00"," 3862.00"," 3878.00"," 3884.15"," 3981.18"," 813173"," 32373.85"," 75571"," 310091"," 38.13",11,13,26.93,03/15/2022,F
"MINDTREE"," EQ"," 14-Mar-2022"," 4088.00"," 4061.00"," 4153.00"," 4061.00"," 4129.90"," 4125.05"," 4123.95"," 509679"," 21018.92"," 38566"," 146023"," 28.65",13,13,26.79,03/14/2022,F
"MINDTREE"," EQ"," 11-Mar-2022"," 4088.60"," 4058.80"," 4100.00"," 3995.10"," 4088.00"," 4088.00"," 4046.88"," 626688"," 25361.31"," 42513"," 212033"," 33.83",15,13,26.67,03/11/2022,T
"MINDTREE"," EQ"," 10-Mar-2022"," 4133.80"," 4200.00"," 4220.00"," 4078.00"," 4081.40"," 4088.60"," 4123.80"," 683436"," 28183.54"," 49955"," 207430"," 30.35",14,13,26.65,03/10/2022,T
"MINDTREE"," EQ"," 09-Mar-2022"," 3996.75"," 4011.00"," 4151.60"," 4000.85"," 4117.90"," 4133.80"," 4098.39"," 916944"," 37579.98"," 49100"," 340402"," 37.12",19,13,26.48,03/09/2022,T
"MINDTREE"," EQ"," 08-Mar-2022"," 3858.85"," 3874.85"," 4016.00"," 3874.75"," 3987.05"," 3996.75"," 3968.54"," 832829"," 33051.18"," 64504"," 178134"," 21.39",13,13,26.35,03/08/2022,F
"MINDTREE"," EQ"," 04-Mar-2022"," 3955.30"," 3900.00"," 3963.60"," 3810.00"," 3889.00"," 3884.60"," 3882.59"," 654585"," 25414.86"," 51782"," 137417"," 20.99",13,13,26.40,03/04/2022,F
"MINDTREE"," EQ"," 03-Mar-2022"," 3911.85"," 3950.00"," 4020.00"," 3938.65"," 3950.00"," 3955.30"," 3981.70"," 626544"," 24947.13"," 55106"," 200192"," 31.95",11,13,26.41,03/03/2022,F
"MINDTREE"," EQ"," 02-Mar-2022"," 3881.20"," 3870.00"," 3934.90"," 3836.10"," 3909.00"," 3911.85"," 3898.21"," 560643"," 21855.02"," 40755"," 138509"," 24.71",14,13,26.51,03/02/2022,F
"MINDTREE"," EQ"," 28-Feb-2022"," 3783.90"," 3743.90"," 3895.00"," 3678.50"," 3873.00"," 3881.20"," 3810.00"," 665332"," 25349.18"," 46417"," 177065"," 26.61",14,14,26.78,02/28/2022,F
"MINDTREE"," EQ"," 25-Feb-2022"," 3565.90"," 3658.00"," 3795.00"," 3603.00"," 3793.75"," 3783.90"," 3726.30"," 805773"," 30025.48"," 52457"," 220937"," 27.42",15,14,26.84,02/25/2022,T
"MINDTREE"," EQ"," 24-Feb-2022"," 3801.80"," 3685.00"," 3705.65"," 3542.10"," 3550.00"," 3565.90"," 3619.72"," 1036474"," 37517.50"," 80156"," 336687"," 32.48",13,14,27.06,02/24/2022,F
"MINDTREE"," EQ"," 23-Feb-2022"," 3821.35"," 3861.00"," 3894.00"," 3780.75"," 3791.00"," 3801.80"," 3824.10"," 517241"," 19779.81"," 40635"," 177335"," 34.28",13,14,27.11,02/23/2022,F
"MINDTREE"," EQ"," 22-Feb-2022"," 3847.95"," 3710.00"," 3843.00"," 3705.00"," 3839.00"," 3821.35"," 3787.22"," 627281"," 23756.49"," 63402"," 193074"," 30.78",10,14,27.22,02/22/2022,F
"MINDTREE"," EQ"," 21-Feb-2022"," 3797.00"," 3796.00"," 3871.75"," 3715.00"," 3851.90"," 3847.95"," 3804.25"," 562328"," 21392.34"," 44118"," 77225"," 13.73",13,14,27.27,02/21/2022,F
"MINDTREE"," EQ"," 18-Feb-2022"," 3859.45"," 3811.05"," 3879.70"," 3786.00"," 3802.00"," 3797.00"," 3837.00"," 378265"," 14514.04"," 28802"," 76912"," 20.33",13,14,27.47,02/18/2022,F
"MINDTREE"," EQ"," 17-Feb-2022"," 3892.20"," 3935.50"," 3935.50"," 3841.25"," 3850.00"," 3859.45"," 3871.23"," 381563"," 14771.19"," 38043"," 72121"," 18.90",10,14,27.59,02/17/2022,F
"MINDTREE"," EQ"," 16-Feb-2022"," 3967.95"," 4030.00"," 4036.95"," 3861.65"," 3890.00"," 3892.20"," 3934.58"," 535405"," 21065.96"," 47089"," 86062"," 16.07",11,14,27.74,02/16/2022,F
"MINDTREE"," EQ"," 15-Feb-2022"," 3776.45"," 3830.00"," 3980.00"," 3782.90"," 3974.00"," 3967.95"," 3879.51"," 718004"," 27855.03"," 54003"," 142951"," 19.91",13,14,28.09,02/15/2022,F
"MINDTREE"," EQ"," 14-Feb-2022"," 3869.65"," 3701.50"," 3835.95"," 3655.80"," 3765.95"," 3776.45"," 3783.31"," 662936"," 25080.91"," 58413"," 160809"," 24.26",11,14,28.23,02/14/2022,F
"MINDTREE"," EQ"," 11-Feb-2022"," 4029.55"," 3930.00"," 3980.00"," 3831.00"," 3872.05"," 3869.65"," 3875.87"," 860200"," 33340.27"," 68270"," 350639"," 40.76",13,14,28.35,02/11/2022,F
"MINDTREE"," EQ"," 10-Feb-2022"," 3993.30"," 4024.00"," 4041.65"," 3965.05"," 4026.00"," 4029.55"," 4010.16"," 377038"," 15119.84"," 37112"," 108177"," 28.69",10,14,28.05,02/10/2022,F
"MINDTREE"," EQ"," 09-Feb-2022"," 3884.50"," 3930.00"," 4021.95"," 3922.05"," 3998.00"," 3993.30"," 3988.82"," 605069"," 24135.14"," 48169"," 194176"," 32.09",13,14,27.93,02/09/2022,F
"MINDTREE"," EQ"," 08-Feb-2022"," 3870.05"," 3910.00"," 3956.40"," 3821.20"," 3875.00"," 3884.50"," 3889.97"," 528879"," 20573.24"," 40578"," 84398"," 15.96",13,14,27.88,02/08/2022,F
"MINDTREE"," EQ"," 07-Feb-2022"," 3965.85"," 3965.00"," 4025.00"," 3850.85"," 3870.00"," 3870.05"," 3914.02"," 452237"," 17700.66"," 40065"," 95549"," 21.13",11,14,28.13,02/07/2022,F
"MINDTREE"," EQ"," 04-Feb-2022"," 3913.10"," 3903.10"," 3988.00"," 3828.45"," 3965.00"," 3965.85"," 3939.56"," 606538"," 23894.92"," 44580"," 74341"," 12.26",14,14,28.21,02/04/2022,F
"MINDTREE"," EQ"," 03-Feb-2022"," 4066.10"," 4027.00"," 4044.00"," 3895.40"," 3904.95"," 3913.10"," 3961.88"," 608593"," 24111.74"," 52035"," 158866"," 26.10",12,14,28.47,02/03/2022,F
"MINDTREE"," EQ"," 02-Feb-2022"," 3983.70"," 4019.65"," 4079.35"," 3973.95"," 4070.00"," 4066.10"," 4040.16"," 602678"," 24349.14"," 46512"," 181502"," 30.12",13,14,28.52,02/02/2022,F
"MINDTREE"," EQ"," 01-Feb-2022"," 4006.30"," 4113.90"," 4117.80"," 3926.35"," 4008.70"," 3983.70"," 3994.71"," 1193072"," 47659.71"," 94720"," 309560"," 25.95",13,14,28.51,02/01/2022,F
"MINDTREE"," EQ"," 31-Jan-2022"," 3724.20"," 3843.95"," 4070.00"," 3835.00"," 4040.75"," 4006.30"," 3965.74"," 1688744"," 66971.13"," 112927"," 342163"," 20.26",15,14,28.59,01/31/2022,F
